DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
23/5,Phoenix ,James,Drummond,James,H,Los Angeles Lakers 2020-21 Postseason NBA Schedule,L,,,99,90
25/5,Phoenix ,Davis,Drummond,James,H,Los Angeles Lakers 2020-21 Postseason NBA Schedule,W,,,109,102
27/5, Phoenix ,Davis,Davis,James,A,Los Angeles Lakers 2020-21 Postseason NBA Schedule,W,,,109,95
30/5, Phoenix ,James,James,James,A,Los Angeles Lakers 2020-21 Postseason NBA Schedule,L,,,100,92
1/6,Phoenix ,James,Drummond,James,H,Los Angeles Lakers 2020-21 Postseason NBA Schedule,L,,,115,85
3/6, Phoenix ,James,James,James,A,Los Angeles Lakers 2020-21 Postseason NBA Schedule,L,,,113,100
