DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
7/10,Minnesota ,Ibaka,Westbrook,Westbrook,H,Oklahoma City Thunder 2015-16 Preseason NBA Schedule,W,1,0,122,99
9/10,Fenerbahce Ulker,Waiters,Adams,Westbrook,A,Oklahoma City Thunder 2015-16 Preseason NBA Schedule,W,2,0,111,81
13/10, Dallas,Westbrook,Freedom,Augustin,N,Oklahoma City Thunder 2015-16 Preseason NBA Schedule,W,3,0,100,88
16/10,Memphis ,Morrow,Adams,Payne,H,Oklahoma City Thunder 2015-16 Preseason NBA Schedule,L,3,1,94,78
18/10, Denver ,Durant,Freedom,Westbrook,A,Oklahoma City Thunder 2015-16 Preseason NBA Schedule,W,4,1,111,98
20/10,Utah ,Durant,Westbrook,Westbrook,H,Oklahoma City Thunder 2015-16 Preseason NBA Schedule,W,5,1,113,102
