Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Danny Young,MIL,7,77.0,24,9,17,.529,5,12,.417,1,1,1.000,1,4,5,12,4,0,4,8,NBA 1994-1995 Regular_Season Players Statistic
Sharone Wright,PHI,79,"2,044.0",904,361,776,.465,0,8,.000,182,282,.645,191,281,472,48,37,104,151,246,NBA 1994-1995 Regular_Season Players Statistic
Haywoode Workman,IND,69,"1,028.0",292,101,269,.375,35,98,.357,55,74,.743,21,90,111,194,59,5,73,115,NBA 1994-1995 Regular_Season Players Statistic
Randy Woods,LAC,62,495.0,124,37,117,.316,22,74,.297,28,38,.737,10,34,44,134,41,0,55,87,NBA 1994-1995 Regular_Season Players Statistic
David Wood,GSW,78,"1,336.0",428,153,326,.469,31,91,.341,91,117,.778,83,158,241,65,28,13,53,217,NBA 1994-1995 Regular_Season Players Statistic
Joe Wolf,CHA,63,583.0,90,38,81,.469,2,6,.333,12,16,.750,34,95,129,37,9,6,22,101,NBA 1994-1995 Regular_Season Players Statistic
Dontonio Wingfield,SEA,20,81.0,46,18,51,.353,2,12,.167,8,10,.800,11,19,30,3,5,3,8,15,NBA 1994-1995 Regular_Season Players Statistic
David Wingate,CHA,52,515.0,122,50,122,.410,4,22,.182,18,24,.750,11,49,60,56,19,6,27,60,NBA 1994-1995 Regular_Season Players Statistic
Trevor Wilson,SAC,15,147.0,47,18,40,.450,0,0,.000,11,14,.786,10,16,26,12,4,2,6,12,NBA 1994-1995 Regular_Season Players Statistic
Kevin Willis,MIA,67,"2,390.0","1,154",473,"1,015",.466,3,15,.200,205,297,.690,227,505,732,86,60,36,162,215,NBA 1994-1995 Regular_Season Players Statistic
Walt Williams,SAC,77,"2,739.0","1,259",445,998,.446,103,296,.348,266,364,.731,100,245,345,316,123,63,243,265,NBA 1994-1995 Regular_Season Players Statistic
Scott Williams,PHI,77,"1,781.0",491,206,434,.475,0,7,.000,79,107,.738,173,312,485,59,71,40,84,237,NBA 1994-1995 Regular_Season Players Statistic
Reggie Williams,DEN,74,"2,198.0",993,388,846,.459,85,266,.320,132,174,.759,94,235,329,231,114,67,124,264,NBA 1994-1995 Regular_Season Players Statistic
Monty Williams,NYK,41,503.0,137,60,133,.451,0,8,.000,17,38,.447,42,56,98,49,20,4,41,87,NBA 1994-1995 Regular_Season Players Statistic
Micheal Williams,MIN,1,28.0,6,1,4,.250,0,0,.000,4,5,.800,0,1,1,3,2,0,3,3,NBA 1994-1995 Regular_Season Players Statistic
Lorenzo Williams,DAL,82,"2,383.0",328,145,304,.477,0,0,.000,38,101,.376,291,399,690,124,52,148,105,306,NBA 1994-1995 Regular_Season Players Statistic
John Williams,IND,34,402.0,100,41,115,.357,4,12,.333,14,25,.560,23,39,62,27,10,2,35,48,NBA 1994-1995 Regular_Season Players Statistic
Jayson Williams,NJN,75,982.0,363,149,323,.461,0,5,.000,65,122,.533,179,246,425,35,26,33,59,160,NBA 1994-1995 Regular_Season Players Statistic
Hot Rod Williams,CLE,74,"2,641.0",929,366,810,.452,1,5,.200,196,286,.685,173,334,507,192,83,101,149,211,NBA 1994-1995 Regular_Season Players Statistic
Herb Williams,NYK,56,743.0,187,82,180,.456,0,0,.000,23,37,.622,23,109,132,27,13,45,40,108,NBA 1994-1995 Regular_Season Players Statistic
Buck Williams,POR,82,"2,422.0",757,309,604,.512,1,2,.500,138,205,.673,251,418,669,78,67,69,119,254,NBA 1994-1995 Regular_Season Players Statistic
Aaron Williams,MIL,15,72.0,24,8,24,.333,0,1,.000,8,12,.667,5,14,19,0,2,6,7,14,NBA 1994-1995 Regular_Season Players Statistic
Dominique Wilkins,BOS,77,"2,423.0","1,370",496,"1,169",.424,112,289,.388,266,340,.782,157,244,401,166,61,14,173,130,NBA 1994-1995 Regular_Season Players Statistic
Morlon Wiley,ATL,43,424.0,137,50,117,.427,30,79,.380,7,10,.700,6,37,43,75,22,2,23,44,NBA 1994-1995 Regular_Season Players Statistic
Chris Whitney,SAS,25,179.0,42,14,47,.298,3,19,.158,11,11,1.000,4,9,13,28,4,0,18,34,NBA 1994-1995 Regular_Season Players Statistic
Ennis Whatley,ATL,27,292.0,70,24,53,.453,2,8,.250,20,32,.625,9,21,30,54,19,0,19,37,NBA 1994-1995 Regular_Season Players Statistic
Mark West,DET,67,"1,543.0",500,217,390,.556,0,0,.000,66,138,.478,160,248,408,18,27,102,85,247,NBA 1994-1995 Regular_Season Players Statistic
Doug West,MIN,71,"2,328.0",919,351,762,.461,11,61,.180,206,246,.837,60,167,227,185,65,24,126,250,NBA 1994-1995 Regular_Season Players Statistic
David Wesley,BOS,51,"1,380.0",378,128,313,.409,51,119,.429,71,94,.755,31,86,117,266,82,9,87,144,NBA 1994-1995 Regular_Season Players Statistic
Bill Wennington,CHI,73,956.0,363,156,317,.492,0,4,.000,51,63,.810,64,126,190,40,22,17,39,198,NBA 1994-1995 Regular_Season Players Statistic
Chris Webber,WAS,54,"2,067.0","1,085",464,938,.495,40,145,.276,117,233,.502,200,318,518,256,83,85,167,186,NBA 1994-1995 Regular_Season Players Statistic
