Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Danny Young,POR,21,294.0,86,28,72,.389,11,29,.379,19,27,.704,11,19,30,32,14,2,17,29,NBA 1989-1990 Playoffs Players Statistic
James Worthy,LAL,9,366.0,218,90,181,.497,2,8,.250,36,43,.837,11,39,50,27,14,3,22,18,NBA 1989-1990 Playoffs Players Statistic
Orlando Woolridge,LAL,9,199.0,106,40,70,.571,0,1,.000,26,37,.703,6,17,23,10,8,8,11,25,NBA 1989-1990 Playoffs Players Statistic
Mike Woodson,HOU,1,6.0,2,1,3,.333,0,1,.000,0,0,.000,0,0,0,2,0,0,0,1,NBA 1989-1990 Playoffs Players Statistic
Randy Wittman,IND,2,11.0,0,0,1,.000,0,0,.000,0,0,.000,0,1,1,0,0,0,0,0,NBA 1989-1990 Playoffs Players Statistic
David Wingate,SAS,10,293.0,91,40,77,.519,2,3,.667,9,12,.750,9,28,37,38,18,3,14,34,NBA 1989-1990 Playoffs Players Statistic
Reggie Williams,SAS,9,49.0,20,9,27,.333,0,2,.000,2,2,1.000,5,6,11,3,2,0,5,8,NBA 1989-1990 Playoffs Players Statistic
Hot Rod Williams,CLE,5,174.0,95,39,70,.557,0,0,.000,17,22,.773,14,32,46,11,2,5,7,23,NBA 1989-1990 Playoffs Players Statistic
Herb Williams,DAL,3,81.0,41,14,23,.609,0,0,.000,13,16,.813,4,9,13,5,1,2,3,16,NBA 1989-1990 Playoffs Players Statistic
Buck Williams,POR,21,776.0,273,101,199,.508,0,0,.000,71,105,.676,67,126,193,39,13,6,41,74,NBA 1989-1990 Playoffs Players Statistic
Gerald Wilkins,NYK,10,312.0,146,63,137,.460,2,8,.250,18,22,.818,14,22,36,52,14,1,18,23,NBA 1989-1990 Playoffs Players Statistic
Eddie Lee Wilkins,NYK,7,54.0,24,9,18,.500,0,0,.000,6,11,.545,5,6,11,0,2,0,2,7,NBA 1989-1990 Playoffs Players Statistic
Mitchell Wiggins,HOU,4,51.0,16,7,15,.467,0,0,.000,2,3,.667,4,9,13,2,1,0,4,5,NBA 1989-1990 Playoffs Players Statistic
Randy White,DAL,1,2.0,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 1989-1990 Playoffs Players Statistic
Mark West,PHX,16,544.0,177,75,130,.577,0,0,.000,27,50,.540,53,111,164,5,4,41,26,73,NBA 1989-1990 Playoffs Players Statistic
