Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Ivica Zubac,LAL,5,36.5,10,5,13,.385,0,0,.000,0,0,.000,1,7,8,3,1,3,2,3,NBA 2016-2017 Preseason Players Statistic
Paul Zipser,CHI,6,80.6,34,12,26,.462,2,11,.182,8,9,.889,1,14,15,3,0,2,5,10,NBA 2016-2017 Preseason Players Statistic
Stephen Zimmerman,ORL,4,53.3,21,7,15,.467,0,0,.000,7,8,.875,0,8,8,5,1,1,2,10,NBA 2016-2017 Preseason Players Statistic
Tang Zihao,SHA,1,1.3,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2016-2017 Preseason Players Statistic
Max Zhang,SHA,1,23.1,6,3,6,.500,0,0,.000,0,0,.000,0,9,9,0,0,2,1,5,NBA 2016-2017 Preseason Players Statistic
Tyler Zeller,BOS,7,122.7,43,16,36,.444,0,0,.000,11,14,.786,4,21,25,10,1,5,10,14,NBA 2016-2017 Preseason Players Statistic
Nick Zeisloft,IND,1,1.1,0,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2016-2017 Preseason Players Statistic
Thaddeus Young,IND,6,154.3,69,29,52,.558,3,8,.375,8,9,.889,9,32,41,12,7,2,9,9,NBA 2016-2017 Preseason Players Statistic
Nick Young,LAL,7,155.7,87,30,62,.484,21,43,.488,6,10,.600,1,17,18,7,7,1,3,15,NBA 2016-2017 Preseason Players Statistic
Joe Young,IND,6,79.0,35,16,38,.421,2,11,.182,1,1,1.000,1,8,9,8,2,0,4,10,NBA 2016-2017 Preseason Players Statistic
James Young,BOS,7,120.1,39,14,32,.438,6,17,.353,5,7,.714,3,22,25,7,4,1,9,12,NBA 2016-2017 Preseason Players Statistic
Zhai Yi,SHA,1,26.5,6,3,8,.375,0,2,.000,0,0,.000,0,1,1,0,0,0,1,2,NBA 2016-2017 Preseason Players Statistic
Jianlian Yi,LAL,6,63.9,18,7,20,.350,1,6,.167,3,6,.500,1,14,15,3,0,1,3,5,NBA 2016-2017 Preseason Players Statistic
Guerschon Yabusele,SHA,1,44.3,24,9,18,.500,0,5,.000,6,9,.667,5,7,12,1,1,0,3,1,NBA 2016-2017 Preseason Players Statistic
Quanxi Wu,SHA,1,12.8,4,2,5,.400,0,0,.000,0,0,.000,0,2,2,0,0,0,1,1,NBA 2016-2017 Preseason Players Statistic
Tony Wroten,MEM,1,6.4,2,1,3,.333,0,2,.000,0,0,.000,0,0,0,1,1,0,1,1,NBA 2016-2017 Preseason Players Statistic
Dorell Wright,LAC,2,10.0,0,0,2,.000,0,2,.000,0,0,.000,0,1,1,2,1,0,0,0,NBA 2016-2017 Preseason Players Statistic
Chris Wright,OKC,1,1.8,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,2,NBA 2016-2017 Preseason Players Statistic
Brandan Wright,MEM,2,44.4,15,6,11,.545,0,0,.000,3,4,.750,1,5,6,1,2,3,1,1,NBA 2016-2017 Preseason Players Statistic
Metta World Peace,LAL,2,10.5,0,0,4,.000,0,2,.000,0,0,.000,1,2,3,0,1,0,1,3,NBA 2016-2017 Preseason Players Statistic
Willy Workman,MAC,1,23.7,9,3,4,.750,0,0,.000,3,5,.600,2,1,3,1,0,0,0,1,NBA 2016-2017 Preseason Players Statistic
Scott Wood,GSW,2,11.9,3,1,4,.250,1,4,.250,0,0,.000,0,1,1,0,1,0,1,0,NBA 2016-2017 Preseason Players Statistic
Christian Wood,CHA,5,74.0,28,10,22,.455,0,7,.000,8,11,.727,5,10,15,3,1,1,6,5,NBA 2016-2017 Preseason Players Statistic
Nate Wolters,DEN,4,46.9,13,6,13,.462,0,4,.000,1,4,.250,0,6,6,8,2,0,5,2,NBA 2016-2017 Preseason Players Statistic
Jeff Withey,UTA,5,67.4,21,5,15,.333,0,0,.000,11,13,.846,4,12,16,0,1,4,7,10,NBA 2016-2017 Preseason Players Statistic
Justise Winslow,MIA,6,121.7,49,19,45,.422,5,14,.357,6,12,.500,3,19,22,13,2,2,12,18,NBA 2016-2017 Preseason Players Statistic
Kyle Wiltjer,HOU,6,88.6,50,19,40,.475,10,24,.417,2,2,1.000,6,10,16,2,0,2,3,4,NBA 2016-2017 Preseason Players Statistic
Troy Williams,MEM,6,152.2,79,25,48,.521,8,19,.421,21,29,.724,2,22,24,4,10,2,7,14,NBA 2016-2017 Preseason Players Statistic
Marvin Williams,CHA,4,84.8,37,10,28,.357,2,16,.125,15,15,1.000,2,16,18,4,2,1,5,5,NBA 2016-2017 Preseason Players Statistic
Lou Williams,LAL,7,153.9,78,22,60,.367,10,29,.345,24,29,.828,2,11,13,18,7,2,7,8,NBA 2016-2017 Preseason Players Statistic
Derrick Williams,MIA,8,195.0,76,27,65,.415,11,33,.333,11,15,.733,2,35,37,13,5,4,5,11,NBA 2016-2017 Preseason Players Statistic
Deron Williams,DAL,5,107.1,46,18,39,.462,4,16,.250,6,7,.857,1,6,7,14,1,0,12,9,NBA 2016-2017 Preseason Players Statistic
C.J. Williams,DAL,5,50.5,17,7,20,.350,3,9,.333,0,0,.000,1,6,7,5,0,1,1,6,NBA 2016-2017 Preseason Players Statistic
Alan Williams,PHX,4,59.3,23,5,16,.313,0,0,.000,13,15,.867,14,17,31,2,2,4,5,13,NBA 2016-2017 Preseason Players Statistic
C.J. Wilcox,ORL,6,110.2,32,11,29,.379,6,17,.353,4,5,.800,2,8,10,2,6,0,6,10,NBA 2016-2017 Preseason Players Statistic
Andrew Wiggins,MIN,4,112.6,69,20,53,.377,1,5,.200,28,34,.824,4,8,12,2,2,4,1,9,NBA 2016-2017 Preseason Players Statistic
Hassan Whiteside,MIA,6,132.2,89,36,55,.655,0,0,.000,17,31,.548,13,49,62,3,3,14,9,16,NBA 2016-2017 Preseason Players Statistic
Isaiah Whitehead,BRK,3,45.0,14,4,19,.211,0,7,.000,6,8,.750,0,3,3,1,1,2,5,10,NBA 2016-2017 Preseason Players Statistic
Okaro White,MIA,6,58.8,34,13,29,.448,4,13,.308,4,4,1.000,6,20,26,1,2,1,4,4,NBA 2016-2017 Preseason Players Statistic
Russell Westbrook,OKC,6,131.6,97,33,78,.423,7,17,.412,24,35,.686,0,16,16,39,8,0,14,12,NBA 2016-2017 Preseason Players Statistic
David West,GSW,6,83.6,31,14,30,.467,1,3,.333,2,4,.500,3,23,26,12,4,8,8,10,NBA 2016-2017 Preseason Players Statistic
Briante Weber,MIA,8,149.7,25,9,30,.300,1,7,.143,6,7,.857,1,17,18,23,19,0,20,10,NBA 2016-2017 Preseason Players Statistic
James Webb III,PHI,6,89.1,25,8,21,.381,4,10,.400,5,5,1.000,7,16,23,3,1,4,6,8,NBA 2016-2017 Preseason Players Statistic
Travis Wear,LAL,2,11.0,3,1,4,.250,1,4,.250,0,0,.000,1,1,2,0,0,0,1,2,NBA 2016-2017 Preseason Players Statistic
C.J. Watson,ORL,4,61.9,27,10,18,.556,1,4,.250,6,7,.857,3,3,6,20,5,0,7,7,NBA 2016-2017 Preseason Players Statistic
T.J. Warren,PHX,6,162.5,75,34,73,.466,0,5,.000,7,10,.700,13,12,25,4,5,4,9,12,NBA 2016-2017 Preseason Players Statistic
Jameel Warney,DAL,3,27.6,12,6,9,.667,0,0,.000,0,2,.000,5,3,8,1,0,0,0,3,NBA 2016-2017 Preseason Players Statistic
Casper Ware,WAS,1,14.6,8,2,5,.400,0,1,.000,4,4,1.000,0,2,2,3,1,0,2,5,NBA 2016-2017 Preseason Players Statistic
John Wall,WAS,5,108.7,60,23,53,.434,6,15,.400,8,16,.500,1,17,18,32,12,1,14,6,NBA 2016-2017 Preseason Players Statistic
Thomas Walkup,CHI,4,6.5,0,0,2,.000,0,1,.000,0,0,.000,0,2,2,0,1,0,2,0,NBA 2016-2017 Preseason Players Statistic
Kemba Walker,CHA,6,123.2,62,21,57,.368,9,24,.375,11,12,.917,5,17,22,19,7,2,13,7,NBA 2016-2017 Preseason Players Statistic
Dion Waiters,MIA,7,168.0,86,30,63,.476,8,18,.444,18,23,.783,1,11,12,26,4,1,15,12,NBA 2016-2017 Preseason Players Statistic
Dwyane Wade,CHI,6,133.9,68,25,63,.397,7,16,.438,11,16,.688,2,17,19,27,7,5,13,15,NBA 2016-2017 Preseason Players Statistic
Sasha Vujacic,NYK,6,82.8,49,17,32,.531,8,20,.400,7,8,.875,5,4,9,12,6,0,6,11,NBA 2016-2017 Preseason Players Statistic
Nikola Vucevic,ORL,6,144.4,52,19,56,.339,1,2,.500,13,14,.929,11,30,41,18,5,4,12,16,NBA 2016-2017 Preseason Players Statistic
Noah Vonleh,POR,6,107.3,44,19,30,.633,2,4,.500,4,8,.500,10,34,44,1,1,1,7,17,NBA 2016-2017 Preseason Players Statistic
