Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Rui Zhao,CHI,3,65.7,29,9,30,.300,3,16,.188,8,12,.667,2,2,4,4,4,0,9,11,NBA 2019-2020 Summer_League Players Statistic
Gabe York,ORL,3,36.7,17,5,16,.313,4,11,.364,3,6,.500,0,5,5,0,1,1,1,1,NBA 2019-2020 Summer_League Players Statistic
Ding Yanyuhang,CHI,3,31.1,13,5,13,.385,0,3,.000,3,5,.600,1,3,4,1,6,1,5,5,NBA 2019-2020 Summer_League Players Statistic
Guerschon Yabusele,BOS,2,32.8,4,1,7,.143,0,2,.000,2,2,1.000,3,3,6,3,2,2,1,3,NBA 2019-2020 Summer_League Players Statistic
Qian Wu,CHI,5,35.9,14,4,13,.308,3,12,.250,3,3,1.000,0,5,5,4,1,0,1,6,NBA 2019-2020 Summer_League Players Statistic
Kenny Wooten,NYK,3,34.9,5,2,3,.667,0,0,.000,1,2,.500,1,7,8,1,0,8,3,3,NBA 2019-2020 Summer_League Players Statistic
Jeff Withey,WAS,2,24.2,7,3,8,.375,1,3,.333,0,0,.000,0,1,1,0,2,3,0,4,NBA 2019-2020 Summer_League Players Statistic
Todd Withers,DET,5,94.1,50,17,30,.567,14,25,.560,2,4,.500,3,15,18,3,1,2,2,13,NBA 2019-2020 Summer_League Players Statistic
Thomas Wimbush,ATL,5,80.6,35,10,31,.323,1,13,.077,14,15,.933,4,13,17,2,1,0,10,11,NBA 2019-2020 Summer_League Players Statistic
D.J. Wilson,MIL,3,70.5,18,6,25,.240,3,15,.200,3,3,1.000,2,9,11,3,3,1,7,8,NBA 2019-2020 Summer_League Players Statistic
Derek Willis,PHX,3,49.4,20,8,17,.471,4,7,.571,0,0,.000,1,8,9,5,4,1,1,4,NBA 2019-2020 Summer_League Players Statistic
Robert Williams,BOS,4,78.3,36,15,29,.517,0,0,.000,6,9,.667,11,28,39,8,5,7,5,9,NBA 2019-2020 Summer_League Players Statistic
Kenrich Williams,NOP,4,108.7,44,20,45,.444,3,14,.214,1,2,.500,9,32,41,8,8,1,7,9,NBA 2019-2020 Summer_League Players Statistic
Johnathan Williams,HOU,5,105.8,42,18,33,.545,0,5,.000,6,7,.857,12,18,30,3,3,2,11,19,NBA 2019-2020 Summer_League Players Statistic
Grant Williams,BOS,5,120.7,65,21,45,.467,7,19,.368,16,21,.762,11,19,30,9,5,3,7,17,NBA 2019-2020 Summer_League Players Statistic
Lindell Wigginton,TOR,5,75.1,37,11,33,.333,1,11,.091,14,18,.778,1,3,4,4,5,1,9,6,NBA 2019-2020 Summer_League Players Statistic
Shayne Whittington,DAL,5,93.5,46,17,33,.515,4,12,.333,8,9,.889,8,16,24,5,3,2,6,19,NBA 2019-2020 Summer_League Players Statistic
Isaiah Whitehead,POR,5,67.7,20,8,24,.333,1,4,.250,3,5,.600,1,10,11,10,3,0,5,11,NBA 2019-2020 Summer_League Players Statistic
Coby White,CHI,5,154.0,75,28,83,.337,3,30,.100,16,22,.727,1,27,28,24,7,0,19,9,NBA 2019-2020 Summer_League Players Statistic
Andrew White,NYK,3,30.3,15,6,12,.500,3,7,.429,0,1,.000,1,0,1,1,0,0,1,3,NBA 2019-2020 Summer_League Players Statistic
Thomas Welsh,DEN,4,64.9,24,11,18,.611,2,4,.500,0,0,.000,5,13,18,3,0,2,7,3,NBA 2019-2020 Summer_League Players Statistic
David Wear,LAL,2,31.3,5,2,10,.200,1,7,.143,0,0,.000,2,10,12,1,1,0,1,6,NBA 2019-2020 Summer_League Players Statistic
Tremont Waters,BOS,5,121.7,56,22,58,.379,5,28,.179,7,11,.636,1,8,9,24,10,0,14,17,NBA 2019-2020 Summer_League Players Statistic
Nick Ward,ATL,5,82.0,33,11,23,.478,0,1,.000,11,17,.647,12,20,32,3,3,6,7,14,NBA 2019-2020 Summer_League Players Statistic
Zhelin Wang,CHI,4,74.6,31,13,30,.433,0,2,.000,5,13,.385,11,18,29,2,0,3,8,13,NBA 2019-2020 Summer_League Players Statistic
"Derrick Walton, Jr.",LAC,4,53.1,15,5,11,.455,4,7,.571,1,2,.500,4,3,7,7,3,1,1,3,NBA 2019-2020 Summer_League Players Statistic
Corey Walden,TOR,4,78.1,22,6,18,.333,3,11,.273,7,10,.700,2,10,12,11,3,0,8,10,NBA 2019-2020 Summer_League Players Statistic
Moe Wagner,WAS,4,80.5,43,13,42,.310,1,14,.071,16,18,.889,4,12,16,3,2,3,5,12,NBA 2019-2020 Summer_League Players Statistic
Domagoj Vukovic,CRO,4,54.5,19,7,19,.368,3,9,.333,2,2,1.000,6,3,9,3,5,0,3,5,NBA 2019-2020 Summer_League Players Statistic
Antonio Vrankovic,CRO,5,81.1,45,22,42,.524,0,2,.000,1,2,.500,13,15,28,2,2,3,4,12,NBA 2019-2020 Summer_League Players Statistic
Rashad Vaughn,HOU,2,13.1,0,0,3,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2019-2020 Summer_League Players Statistic
Jordon Varnado,TOR,3,42.0,11,5,15,.333,1,7,.143,0,0,.000,5,8,13,3,0,3,2,9,NBA 2019-2020 Summer_League Players Statistic
Jarred Vanderbilt,DEN,4,104.4,47,20,36,.556,1,5,.200,6,11,.545,13,32,45,9,6,3,15,16,NBA 2019-2020 Summer_League Players Statistic
Jarrod Uthoff,DET,5,104.9,58,22,42,.524,9,23,.391,5,7,.714,6,13,19,10,7,5,5,4,NBA 2019-2020 Summer_League Players Statistic
Rayjon Tucker,MIL,5,99.2,51,15,35,.429,7,17,.412,14,25,.560,4,14,18,5,5,0,9,11,NBA 2019-2020 Summer_League Players Statistic
Dakarai Tucker,PHX,2,30.5,6,2,7,.286,2,7,.286,0,0,.000,0,3,3,4,0,0,0,2,NBA 2019-2020 Summer_League Players Statistic
"Gary Trent, Jr.",POR,5,142.3,103,36,87,.414,17,46,.370,14,17,.824,3,29,32,13,7,0,7,10,NBA 2019-2020 Summer_League Players Statistic
Reid Travis,ATL,5,62.6,21,8,16,.500,1,4,.250,4,8,.500,3,17,20,3,4,3,4,7,NBA 2019-2020 Summer_League Players Statistic
Marques Townes,CHI,1,7.5,2,1,3,.333,0,0,.000,0,0,.000,0,2,2,1,0,0,2,1,NBA 2019-2020 Summer_League Players Statistic
Justin Tillman,PHX,1,13.6,2,1,5,.200,0,0,.000,0,0,.000,1,3,4,0,0,0,1,2,NBA 2019-2020 Summer_League Players Statistic
Matisse Thybulle,PHI,5,130.7,58,18,42,.429,11,28,.393,11,12,.917,3,16,19,10,10,6,12,12,NBA 2019-2020 Summer_League Players Statistic
Stevie Thompson,DAL,3,24.8,13,5,9,.556,2,5,.400,1,2,.500,0,1,1,1,1,0,0,7,NBA 2019-2020 Summer_League Players Statistic
Darius Thompson,TOR,5,65.3,18,6,12,.500,2,3,.667,4,7,.571,1,9,10,1,4,1,5,7,NBA 2019-2020 Summer_League Players Statistic
Zach Thomas,HOU,3,68.4,30,11,28,.393,7,21,.333,1,3,.333,1,2,3,2,2,1,1,5,NBA 2019-2020 Summer_League Players Statistic
Khyri Thomas,DET,5,140.3,67,26,72,.361,13,34,.382,2,2,1.000,3,16,19,11,9,0,10,11,NBA 2019-2020 Summer_League Players Statistic
Elijah Thomas,CHA,3,22.0,6,2,8,.250,0,0,.000,2,4,.500,2,2,4,0,0,1,3,5,NBA 2019-2020 Summer_League Players Statistic
Adonis Thomas,TOR,3,42.6,9,3,12,.250,1,4,.250,2,5,.400,1,3,4,3,1,0,6,4,NBA 2019-2020 Summer_League Players Statistic
Travin Thibodeaux,IND,2,9.1,2,1,3,.333,0,1,.000,0,0,.000,1,0,1,1,1,0,0,3,NBA 2019-2020 Summer_League Players Statistic
Emanuel Terry,OKC,5,69.8,34,13,22,.591,0,0,.000,8,14,.571,4,10,14,0,2,3,3,9,NBA 2019-2020 Summer_League Players Statistic
Jared Terrell,MIN,7,118.1,37,12,35,.343,6,16,.375,7,8,.875,2,13,15,10,9,0,11,9,NBA 2019-2020 Summer_League Players Statistic
Deshon Taylor,PHI,2,19.0,3,1,4,.250,1,3,.333,0,0,.000,0,2,2,3,0,1,2,0,NBA 2019-2020 Summer_League Players Statistic
B.J. Taylor,ORL,1,4.2,0,0,1,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,1,NBA 2019-2020 Summer_League Players Statistic
Jae'sean Tate,DEN,4,95.0,29,12,24,.500,3,10,.300,2,6,.333,4,13,17,8,2,2,10,19,NBA 2019-2020 Summer_League Players Statistic
Keifer Sykes,DEN,3,63.5,22,9,29,.310,3,10,.300,1,1,1.000,2,3,5,6,0,0,6,11,NBA 2019-2020 Summer_League Players Statistic
Edmond Sumner,IND,1,20.5,4,1,7,.143,0,3,.000,2,2,1.000,1,0,1,1,0,0,1,2,NBA 2019-2020 Summer_League Players Statistic
Max Strus,BOS,4,71.7,39,12,29,.414,9,20,.450,6,7,.857,3,8,11,8,2,2,5,5,NBA 2019-2020 Summer_League Players Statistic
Jarnell Stokes,POR,5,103.0,53,21,32,.656,2,3,.667,9,11,.818,10,22,32,9,2,4,12,20,NBA 2019-2020 Summer_League Players Statistic
Skylar Spencer,DEN,1,8.8,2,1,2,.500,0,0,.000,0,0,.000,1,1,2,1,0,0,0,2,NBA 2019-2020 Summer_League Players Statistic
Omari Spellman,ATL,2,51.1,24,10,25,.400,3,9,.333,1,3,.333,4,12,16,1,0,6,6,6,NBA 2019-2020 Summer_League Players Statistic
Raymond Spalding,PHX,3,48.5,24,10,18,.556,0,0,.000,4,5,.800,8,8,16,2,2,6,8,3,NBA 2019-2020 Summer_League Players Statistic
Richard Solomon,TOR,5,83.9,30,11,27,.407,3,11,.273,5,6,.833,9,20,29,6,4,6,9,21,NBA 2019-2020 Summer_League Players Statistic
Zhaire Smith,PHI,5,130.1,62,24,50,.480,5,16,.313,9,15,.600,5,10,15,13,7,1,12,19,NBA 2019-2020 Summer_League Players Statistic
Speedy Smith,NYK,3,13.3,0,0,1,.000,0,0,.000,0,0,.000,0,1,1,2,0,0,0,2,NBA 2019-2020 Summer_League Players Statistic
Deividas Sirvydis,DET,5,34.4,9,3,8,.375,3,6,.500,0,0,.000,1,2,3,1,0,1,2,5,NBA 2019-2020 Summer_League Players Statistic
Anfernee Simons,POR,3,79.1,66,24,43,.558,11,17,.647,7,7,1.000,3,10,13,5,3,0,12,3,NBA 2019-2020 Summer_League Players Statistic
Justin Simon,CHI,5,104.6,34,16,31,.516,0,5,.000,2,5,.400,8,12,20,4,7,3,3,10,NBA 2019-2020 Summer_League Players Statistic
Jordan Sibert,ATL,4,96.4,59,15,50,.300,14,36,.389,15,15,1.000,2,6,8,9,3,0,6,12,NBA 2019-2020 Summer_League Players Statistic
Zijie Shen,CHI,2,35.4,20,7,9,.778,0,0,.000,6,8,.750,1,5,6,1,1,3,3,6,NBA 2019-2020 Summer_League Players Statistic
Marial Shayok,PHI,4,83.1,58,23,50,.460,8,20,.400,4,7,.571,0,17,17,11,2,0,11,6,NBA 2019-2020 Summer_League Players Statistic
Admiral Schofield,WAS,5,89.9,34,10,26,.385,2,9,.222,12,12,1.000,2,14,16,4,0,1,4,9,NBA 2019-2020 Summer_League Players Statistic
Yusuf Sanon,WAS,4,48.0,6,2,11,.182,0,4,.000,2,6,.333,2,2,4,0,2,1,2,7,NBA 2019-2020 Summer_League Players Statistic
Jack Salt,PHX,2,19.3,8,4,7,.571,0,0,.000,0,0,.000,3,1,4,0,0,0,3,4,NBA 2019-2020 Summer_League Players Statistic
Zeljko Sakic,CRO,5,132.3,49,19,54,.352,3,15,.200,8,10,.800,5,25,30,12,2,2,10,13,NBA 2019-2020 Summer_League Players Statistic
Roko Rogic,CRO,5,123.4,42,13,30,.433,5,11,.455,11,11,1.000,3,14,17,25,5,1,9,16,NBA 2019-2020 Summer_League Players Statistic
Isaiah Roby,DAL,5,138.2,44,18,42,.429,3,13,.231,5,7,.714,7,19,26,7,5,6,9,15,NBA 2019-2020 Summer_League Players Statistic
Mitchell Robinson,NYK,4,104.1,61,26,30,.867,0,0,.000,9,16,.563,11,32,43,1,1,13,7,21,NBA 2019-2020 Summer_League Players Statistic
Justin Robinson,WAS,5,116.9,44,13,38,.342,5,15,.333,13,17,.765,4,16,20,20,8,1,14,6,NBA 2019-2020 Summer_League Players Statistic
"Galen Robinson, Jr.",SAS,5,60.7,8,4,10,.400,0,1,.000,0,2,.000,2,5,7,13,2,1,5,5,NBA 2019-2020 Summer_League Players Statistic
Jerome Robinson,LAC,4,94.4,48,17,48,.354,10,22,.455,4,6,.667,0,4,4,8,2,1,9,10,NBA 2019-2020 Summer_League Players Statistic
Devin Robinson,POR,5,102.3,48,16,30,.533,2,7,.286,14,19,.737,8,17,25,2,4,5,7,10,NBA 2019-2020 Summer_League Players Statistic
Kassius Robertson,CHA,3,48.3,16,6,14,.429,2,10,.200,2,5,.400,0,3,3,0,1,1,4,6,NBA 2019-2020 Summer_League Players Statistic
Rayvonte Rice,PHX,3,58.8,27,9,25,.360,7,17,.412,2,5,.400,2,5,7,1,4,0,2,8,NBA 2019-2020 Summer_League Players Statistic
Naz Reid,MIN,7,130.2,83,30,65,.462,8,21,.381,15,17,.882,14,24,38,14,2,5,15,12,NBA 2019-2020 Summer_League Players Statistic
Isaiah Reese,HOU,3,13.8,2,1,5,.200,0,2,.000,0,0,.000,1,0,1,2,2,0,0,0,NBA 2019-2020 Summer_League Players Statistic
Marcquise Reed,DET,2,4.7,2,0,0,.000,0,0,.000,2,2,1.000,0,0,0,1,0,0,0,0,NBA 2019-2020 Summer_League Players Statistic
Josh Reaves,DAL,5,117.4,63,20,52,.385,8,25,.320,15,19,.789,3,21,24,12,6,4,8,17,NBA 2019-2020 Summer_League Players Statistic
Duop Reath,BRK,2,5.8,2,1,1,1.000,0,0,.000,0,0,.000,0,2,2,0,0,1,0,0,NBA 2019-2020 Summer_League Players Statistic
Kendrick Ray,BOS,4,32.2,13,6,15,.400,1,3,.333,0,0,.000,2,3,5,4,1,0,3,1,NBA 2019-2020 Summer_League Players Statistic
Brandon Randolph,MIN,2,7.7,5,1,3,.333,0,0,.000,3,3,1.000,0,1,1,2,0,0,1,3,NBA 2019-2020 Summer_League Players Statistic
Ivan Ramljak,CRO,3,28.9,6,3,6,.500,0,0,.000,0,0,.000,0,2,2,0,0,2,3,5,NBA 2019-2020 Summer_League Players Statistic
Kresimir Radovcic,CRO,5,61.6,16,6,20,.300,1,7,.143,3,4,.750,1,5,6,5,3,0,3,10,NBA 2019-2020 Summer_League Players Statistic
Zhou Qi,CHI,5,96.9,45,16,43,.372,4,17,.235,9,15,.600,12,32,44,3,4,9,13,20,NBA 2019-2020 Summer_League Players Statistic
Rodney Purvis,CHI,4,38.7,9,4,8,.500,1,4,.250,0,0,.000,1,3,4,0,1,0,2,2,NBA 2019-2020 Summer_League Players Statistic
Billy Preston,NYK,2,6.9,0,0,2,.000,0,0,.000,0,2,.000,1,0,1,0,0,1,0,2,NBA 2019-2020 Summer_League Players Statistic
Shamorie Ponds,HOU,5,100.4,36,13,43,.302,5,22,.227,5,9,.556,3,8,11,9,7,1,6,8,NBA 2019-2020 Summer_League Players Statistic
Theo Pinson,BRK,5,120.6,51,13,44,.295,5,23,.217,20,21,.952,4,14,18,15,1,0,19,8,NBA 2019-2020 Summer_League Players Statistic
Dyshawn Pierre,DAL,5,60.1,10,4,14,.286,1,7,.143,1,2,.500,5,13,18,4,3,2,1,7,NBA 2019-2020 Summer_League Players Statistic
Tarik Phillip,WAS,4,50.1,23,10,19,.526,3,5,.600,0,2,.000,1,3,4,5,4,1,2,5,NBA 2019-2020 Summer_League Players Statistic
John Petrucelli,ORL,4,52.1,20,7,18,.389,3,7,.429,3,4,.750,2,5,7,6,0,1,2,6,NBA 2019-2020 Summer_League Players Statistic
Luke Petrasek,NOP,1,10.5,0,0,3,.000,0,0,.000,0,0,.000,1,0,1,1,1,2,0,1,NBA 2019-2020 Summer_League Players Statistic
Lamar Peters,NYK,4,32.7,1,0,10,.000,0,7,.000,1,2,.500,0,4,4,6,2,0,6,7,NBA 2019-2020 Summer_League Players Statistic
London Perrantes,NOP,2,43.7,8,1,6,.167,0,1,.000,6,6,1.000,1,0,1,9,5,0,4,3,NBA 2019-2020 Summer_League Players Statistic
Josh Perkins,CHA,4,82.6,28,9,26,.346,5,15,.333,5,5,1.000,0,5,5,12,4,1,7,7,NBA 2019-2020 Summer_League Players Statistic
Zhou Peng,CHI,3,50.5,10,3,15,.200,1,8,.125,3,6,.500,2,3,5,1,0,0,4,5,NBA 2019-2020 Summer_League Players Statistic
Norvel Pelle,PHI,4,76.6,28,8,16,.500,0,0,.000,12,17,.706,10,17,27,2,3,11,3,20,NBA 2019-2020 Summer_League Players Statistic
Cameron Payne,DAL,3,86.6,60,19,37,.514,11,24,.458,11,13,.846,2,13,15,12,8,1,8,7,NBA 2019-2020 Summer_League Players Statistic
Anzejs Pasecniks,WAS,4,50.1,16,6,21,.286,0,3,.000,4,14,.286,9,12,21,2,0,1,6,17,NBA 2019-2020 Summer_League Players Statistic
Dererk Pardon,ORL,3,41.5,17,7,13,.538,0,0,.000,3,5,.600,2,5,7,2,2,1,2,3,NBA 2019-2020 Summer_League Players Statistic
"James Palmer, Jr.",PHX,4,107.0,56,17,39,.436,7,20,.350,15,18,.833,1,13,14,7,6,2,6,14,NBA 2019-2020 Summer_League Players Statistic
Chinanu Onuaku,BOS,5,84.0,25,10,24,.417,0,3,.000,5,9,.556,6,22,28,7,6,2,11,12,NBA 2019-2020 Summer_League Players Statistic
Stan Okoye,BOS,5,80.9,34,15,29,.517,3,10,.300,1,2,.500,7,19,26,4,2,0,4,13,NBA 2019-2020 Summer_League Players Statistic
Josh Okogie,MIN,5,102.1,51,11,37,.297,5,17,.294,24,29,.828,0,20,20,12,3,5,9,14,NBA 2019-2020 Summer_League Players Statistic
