Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Kevin McHale,BOS,21,827.0,444,174,298,.584,0,0,.000,96,126,.762,66,128,194,39,7,30,54,71,NBA 1986-1987 Playoffs Players Statistic
Mike McGee,ATL,8,101.0,27,10,39,.256,2,14,.143,5,10,.500,9,11,20,15,4,0,4,7,NBA 1986-1987 Playoffs Players Statistic
Ben McDonald,GSW,5,45.0,2,1,11,.091,0,2,.000,0,0,.000,2,4,6,9,2,0,0,8,NBA 1986-1987 Playoffs Players Statistic
Xavier McDaniel,SEA,14,528.0,284,124,254,.488,2,10,.200,34,56,.607,52,65,117,42,22,9,42,63,NBA 1986-1987 Playoffs Players Statistic
Rodney McCray,HOU,10,436.0,157,57,101,.564,0,2,.000,43,54,.796,32,51,83,56,5,9,25,21,NBA 1986-1987 Playoffs Players Statistic
Tim McCormick,PHI,5,121.0,28,12,24,.500,0,0,.000,4,4,1.000,7,24,31,6,1,2,7,19,NBA 1986-1987 Playoffs Players Statistic
Cedric Maxwell,HOU,10,177.0,62,18,34,.529,0,1,.000,26,35,.743,11,22,33,17,3,0,8,17,NBA 1986-1987 Playoffs Players Statistic
Wes Matthews,LAL,12,61.0,28,11,23,.478,0,1,.000,6,7,.857,0,4,4,9,1,0,13,9,NBA 1986-1987 Playoffs Players Statistic
Maurice Martin,DEN,3,54.0,31,12,29,.414,0,1,.000,7,12,.583,4,5,9,10,0,1,5,12,NBA 1986-1987 Playoffs Players Statistic
Fernando Martin,POR,1,1.0,0,0,1,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 1986-1987 Playoffs Players Statistic
Moses Malone,WAS,3,114.0,62,21,47,.447,0,0,.000,20,21,.952,15,23,38,5,0,3,8,5,NBA 1986-1987 Playoffs Players Statistic
Karl Malone,UTA,5,200.0,100,37,88,.420,0,0,.000,26,36,.722,15,33,48,6,11,4,17,20,NBA 1986-1987 Playoffs Players Statistic
Jeff Malone,WAS,3,105.0,45,17,46,.370,0,0,.000,11,11,1.000,1,6,7,9,1,0,11,8,NBA 1986-1987 Playoffs Players Statistic
Rick Mahorn,DET,15,483.0,146,59,109,.541,0,1,.000,28,35,.800,42,100,142,5,6,11,16,60,NBA 1986-1987 Playoffs Players Statistic
Kyle Macy,IND,4,49.0,4,2,6,.333,0,1,.000,0,1,.000,0,3,3,5,1,0,3,7,NBA 1986-1987 Playoffs Players Statistic
Maurice Lucas,SEA,14,264.0,98,35,90,.389,0,1,.000,28,38,.737,19,46,65,19,12,5,17,43,NBA 1986-1987 Playoffs Players Statistic
John Lucas,MIL,12,362.0,187,68,150,.453,12,36,.333,39,48,.813,4,21,25,62,14,1,20,19,NBA 1986-1987 Playoffs Players Statistic
John Long,IND,4,109.0,44,16,52,.308,1,6,.167,11,13,.846,2,4,6,9,6,0,5,16,NBA 1986-1987 Playoffs Players Statistic
Alton Lister,SEA,9,206.0,54,20,50,.400,0,0,.000,14,20,.700,29,27,56,7,7,13,10,37,NBA 1986-1987 Playoffs Players Statistic
Cliff Levingston,ATL,9,108.0,28,7,18,.389,0,1,.000,14,18,.778,12,22,34,3,0,3,4,21,NBA 1986-1987 Playoffs Players Statistic
Fat Lever,DEN,3,99.0,46,19,50,.380,2,8,.250,6,9,.667,5,13,18,22,7,0,2,7,NBA 1986-1987 Playoffs Players Statistic
Allen Leavell,HOU,10,384.0,141,44,107,.411,4,16,.250,49,60,.817,6,19,25,72,19,3,28,42,NBA 1986-1987 Playoffs Players Statistic
Bill Laimbeer,DET,15,543.0,184,84,163,.515,1,5,.200,15,24,.625,30,126,156,37,15,12,20,53,NBA 1986-1987 Playoffs Players Statistic
Jon Koncak,ATL,8,86.0,20,7,13,.538,0,0,.000,6,8,.750,5,20,25,3,3,4,0,24,NBA 1986-1987 Playoffs Players Statistic
Greg Kite,BOS,20,172.0,17,7,20,.350,0,0,.000,3,7,.429,15,31,46,8,2,8,7,43,NBA 1986-1987 Playoffs Players Statistic
Curtis Kitchen,SEA,8,23.0,2,1,2,.500,0,0,.000,0,4,.000,2,4,6,0,0,2,0,7,NBA 1986-1987 Playoffs Players Statistic
Jerome Kersey,POR,4,60.0,24,10,25,.400,0,0,.000,4,4,1.000,6,13,19,3,5,1,6,13,NBA 1986-1987 Playoffs Players Statistic
Michael Jordan,CHI,3,128.0,107,35,84,.417,2,5,.400,35,39,.897,7,14,21,18,6,7,8,11,NBA 1986-1987 Playoffs Players Statistic
Charles A. Jones,WAS,3,56.0,6,3,5,.600,0,0,.000,0,0,.000,1,7,8,3,2,5,1,9,NBA 1986-1987 Playoffs Players Statistic
Caldwell Jones,POR,4,129.0,15,5,12,.417,0,0,.000,5,6,.833,9,22,31,6,0,6,5,15,NBA 1986-1987 Playoffs Players Statistic
Vinnie Johnson,DET,15,388.0,221,95,207,.459,0,2,.000,31,36,.861,20,24,44,62,9,4,23,33,NBA 1986-1987 Playoffs Players Statistic
Steve Johnson,POR,4,137.0,83,28,61,.459,0,0,.000,27,43,.628,17,23,40,2,2,1,9,15,NBA 1986-1987 Playoffs Players Statistic
Magic Johnson,LAL,18,666.0,392,146,271,.539,2,10,.200,98,118,.831,28,111,139,219,31,7,51,37,NBA 1986-1987 Playoffs Players Statistic
"Eddie Johnson, Jr.",SEA,14,181.0,90,31,58,.534,2,5,.400,26,30,.867,5,9,14,45,5,0,9,16,NBA 1986-1987 Playoffs Players Statistic
Frank Johnson,WAS,3,28.0,8,2,7,.286,0,0,.000,4,4,1.000,2,0,2,5,1,0,4,3,NBA 1986-1987 Playoffs Players Statistic
Dennis Johnson,BOS,23,964.0,435,168,361,.465,3,26,.115,96,113,.850,24,67,91,204,16,8,44,71,NBA 1986-1987 Playoffs Players Statistic
Clemon Johnson,SEA,14,262.0,60,24,53,.453,0,0,.000,12,19,.632,25,24,49,4,7,15,2,18,NBA 1986-1987 Playoffs Players Statistic
Buck Johnson,HOU,5,10.0,4,2,6,.333,0,0,.000,0,0,.000,0,0,0,0,0,0,2,1,NBA 1986-1987 Playoffs Players Statistic
Marc Iavaroni,UTA,5,47.0,10,4,10,.400,0,0,.000,2,3,.667,8,5,13,4,0,3,6,7,NBA 1986-1987 Playoffs Players Statistic
Mike Holton,POR,2,9.0,2,1,2,.500,0,0,.000,0,0,.000,0,1,1,0,0,0,0,1,NBA 1986-1987 Playoffs Players Statistic
