Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Max Zaslofsky,CHI,11,0.0,149,60,199,.302,-,-,-,29,44,.659,-,-,0,4,-,-,-,26,NBA 1946-1947 Playoffs Players Statistic
Ray Wertis,CLR,3,0.0,16,6,26,.231,-,-,-,4,5,.800,-,-,0,6,-,-,-,6,NBA 1946-1947 Playoffs Players Statistic
Butch Van Breda Kolff,NYK,5,0.0,21,7,32,.219,-,-,-,7,13,.538,-,-,0,4,-,-,-,5,NBA 1946-1947 Playoffs Players Statistic
Irv Torgoff,WAS,6,0.0,39,13,81,.160,-,-,-,13,19,.684,-,-,0,5,-,-,-,23,NBA 1946-1947 Playoffs Players Statistic
Stan Stutz,NYK,5,0.0,84,28,101,.277,-,-,-,28,32,.875,-,-,0,7,-,-,-,13,NBA 1946-1947 Playoffs Players Statistic
Deb Smith,STB,1,0.0,0,0,0,.000,-,-,-,0,1,.000,-,-,0,0,-,-,-,1,NBA 1946-1947 Playoffs Players Statistic
Belus Smawley,STB,3,0.0,52,23,71,.324,-,-,-,6,11,.545,-,-,0,1,-,-,-,12,NBA 1946-1947 Playoffs Players Statistic
Nick Shaback,CLR,3,0.0,15,6,22,.273,-,-,-,3,5,.600,-,-,0,0,-,-,-,6,NBA 1946-1947 Playoffs Players Statistic
George Senesky,PHI,10,0.0,109,44,139,.317,-,-,-,21,26,.808,-,-,0,8,-,-,-,15,NBA 1946-1947 Playoffs Players Statistic
Jim Seminoff,CHI,11,0.0,75,31,132,.235,-,-,-,13,19,.684,-,-,0,8,-,-,-,27,NBA 1946-1947 Playoffs Players Statistic
Fred Scolari,WAS,6,0.0,71,22,95,.232,-,-,-,27,34,.794,-,-,0,5,-,-,-,17,NBA 1946-1947 Playoffs Players Statistic
Ben Scharnus,CLR,3,0.0,17,6,21,.286,-,-,-,5,9,.556,-,-,0,2,-,-,-,10,NBA 1946-1947 Playoffs Players Statistic
Kenny Sailors,CLR,2,0.0,15,6,16,.375,-,-,-,3,4,.750,-,-,0,4,-,-,-,8,NBA 1946-1947 Playoffs Players Statistic
Ed Sadowski,CLR,3,0.0,71,22,56,.393,-,-,-,27,34,.794,-,-,0,5,-,-,-,10,NBA 1946-1947 Playoffs Players Statistic
Jerry Rullo,PHI,7,0.0,7,3,13,.231,-,-,-,1,1,1.000,-,-,0,0,-,-,-,1,NBA 1946-1947 Playoffs Players Statistic
Giff Roux,STB,3,0.0,22,11,29,.379,-,-,-,0,2,.000,-,-,0,0,-,-,-,6,NBA 1946-1947 Playoffs Players Statistic
Mickey Rottner,CHI,10,0.0,11,5,43,.116,-,-,-,1,4,.250,-,-,0,3,-,-,-,10,NBA 1946-1947 Playoffs Players Statistic
Petey Rosenberg,PHI,9,0.0,2,1,12,.083,-,-,-,0,3,.000,-,-,0,3,-,-,-,4,NBA 1946-1947 Playoffs Players Statistic
Mel Riebe,CLR,3,0.0,21,9,37,.243,-,-,-,3,6,.500,-,-,0,2,-,-,-,3,NBA 1946-1947 Playoffs Players Statistic
Don Putman,STB,3,0.0,15,7,24,.292,-,-,-,1,4,.250,-,-,0,1,-,-,-,7,NBA 1946-1947 Playoffs Players Statistic
Marty Passaglia,WAS,6,0.0,5,2,14,.143,-,-,-,1,3,.333,-,-,0,0,-,-,-,10,NBA 1946-1947 Playoffs Players Statistic
Doyle Parrack,CHI,7,0.0,3,0,9,.000,-,-,-,3,3,1.000,-,-,0,1,-,-,-,3,NBA 1946-1947 Playoffs Players Statistic
Bud Palmer,NYK,5,0.0,78,33,94,.351,-,-,-,12,20,.600,-,-,0,4,-,-,-,8,NBA 1946-1947 Playoffs Players Statistic
Buddy O'Grady,WAS,6,0.0,9,2,20,.100,-,-,-,5,5,1.000,-,-,0,0,-,-,-,5,NBA 1946-1947 Playoffs Players Statistic
George Nostrand,CLR,3,0.0,33,14,40,.350,-,-,-,5,7,.714,-,-,0,3,-,-,-,10,NBA 1946-1947 Playoffs Players Statistic
Johnny Norlander,WAS,6,0.0,41,14,50,.280,-,-,-,13,17,.765,-,-,0,2,-,-,-,11,NBA 1946-1947 Playoffs Players Statistic
