Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Luke Zeller,CHI,4,48.1,12,6,17,.353,0,5,.000,0,0,.000,5,4,9,1,1,1,4,9,NBA 2009-2010 Summer_League Players Statistic
Sam Young,MEM,5,124.9,68,27,52,.519,2,4,.500,12,15,.800,5,16,21,3,2,0,10,11,NBA 2009-2010 Summer_League Players Statistic
Nick Young,WAS,4,131.9,95,31,62,.500,12,30,.400,21,24,.875,0,8,8,3,3,2,13,9,NBA 2009-2010 Summer_League Players Statistic
Julian Wright,NOP,5,163.1,74,31,65,.477,2,14,.143,10,19,.526,6,17,23,9,8,5,9,10,NBA 2009-2010 Summer_League Players Statistic
Ben Woodside,MIN,2,25.6,7,2,6,.333,0,2,.000,3,4,.750,0,1,1,5,1,0,2,1,NBA 2009-2010 Summer_League Players Statistic
Terrence Williams,NJN,5,157.8,48,19,56,.339,5,18,.278,5,11,.455,2,31,33,14,8,6,20,14,NBA 2009-2010 Summer_League Players Statistic
Reggie Williams,LAL,5,52.7,17,6,21,.286,1,3,.333,4,4,1.000,1,4,5,2,5,0,5,3,NBA 2009-2010 Summer_League Players Statistic
Marcus D. Williams,MEM,5,144.6,67,18,54,.333,1,12,.083,30,38,.789,2,21,23,41,1,2,11,5,NBA 2009-2010 Summer_League Players Statistic
Jawad Williams,CLE,5,119.0,70,23,48,.479,8,16,.500,16,22,.727,5,20,25,5,6,1,8,10,NBA 2009-2010 Summer_League Players Statistic
Gary Wilkinson,UTA,4,36.6,10,4,13,.308,0,2,.000,2,3,.667,0,2,2,1,1,0,6,6,NBA 2009-2010 Summer_League Players Statistic
James White,HOU,5,110.4,59,15,37,.405,3,10,.300,26,29,.897,5,10,15,6,1,1,13,6,NBA 2009-2010 Summer_League Players Statistic
Sonny Weems,DEN,5,164.6,83,28,86,.326,3,15,.200,24,28,.857,7,26,33,6,5,1,20,20,NBA 2009-2010 Summer_League Players Statistic
Darryl Watkins,HOU,5,45.7,13,4,12,.333,0,0,.000,5,7,.714,4,2,6,3,4,1,8,12,NBA 2009-2010 Summer_League Players Statistic
Deron Washington,DET,5,157.4,41,14,37,.378,4,11,.364,9,24,.375,14,12,26,6,5,1,6,15,NBA 2009-2010 Summer_League Players Statistic
Brandon Wallace,WAS,4,50.9,14,6,12,.500,0,1,.000,2,5,.400,2,5,7,1,2,0,0,8,NBA 2009-2010 Summer_League Players Statistic
Henry Walker,BOS,4,100.8,47,18,36,.500,2,5,.400,9,14,.643,4,14,18,4,6,0,6,17,NBA 2009-2010 Summer_League Players Statistic
Lorrenzo Wade,MIL,2,11.2,8,3,5,.600,0,0,.000,2,2,1.000,0,2,2,0,0,0,0,0,NBA 2009-2010 Summer_League Players Statistic
Marquinhos Vinicius,SAS,1,0.9,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,1,NBA 2009-2010 Summer_League Players Statistic
Scott VanderMeer,IND,5,48.1,6,3,16,.188,0,3,.000,0,0,.000,1,9,10,0,2,4,3,6,NBA 2009-2010 Summer_League Players Statistic
Roko Ukic,TOR,4,102.8,47,17,33,.515,5,12,.417,8,12,.667,1,6,7,11,5,1,14,14,NBA 2009-2010 Summer_League Players Statistic
Larry Turner,UTA,5,64.6,11,4,15,.267,0,0,.000,3,6,.500,8,16,24,2,1,4,10,18,NBA 2009-2010 Summer_League Players Statistic
Dar Tucker,UTA,5,53.9,14,5,19,.263,2,7,.286,2,2,1.000,4,6,10,5,2,1,7,6,NBA 2009-2010 Summer_League Players Statistic
Clay Tucker,DET,5,58.1,39,16,28,.571,5,9,.556,2,3,.667,0,4,4,2,2,0,1,5,NBA 2009-2010 Summer_League Players Statistic
Alando Tucker,PHX,1,23.6,15,5,11,.455,0,1,.000,5,9,.556,4,1,5,1,1,0,1,0,NBA 2009-2010 Summer_League Players Statistic
Nikoloz Tskitishvili,NYK,5,132.5,62,20,41,.488,12,28,.429,10,14,.714,7,18,25,3,1,8,6,14,NBA 2009-2010 Summer_League Players Statistic
Darian Townes,ORL,5,76.1,18,8,23,.348,0,0,.000,2,5,.400,9,9,18,0,0,1,3,10,NBA 2009-2010 Summer_League Players Statistic
Ryan Toolson,SAC,4,25.8,2,1,6,.167,0,2,.000,0,0,.000,1,1,2,3,1,0,1,2,NBA 2009-2010 Summer_League Players Statistic
Anthony Tolliver,NOP,5,147.4,54,16,39,.410,5,16,.313,17,17,1.000,12,18,30,9,5,3,9,22,NBA 2009-2010 Summer_League Players Statistic
Marcus Thornton,NOP,3,89.2,62,22,50,.440,5,17,.294,13,20,.650,6,4,10,1,7,1,3,15,NBA 2009-2010 Summer_League Players Statistic
Jason Thompson,SAC,5,168.7,95,34,74,.459,0,1,.000,27,44,.614,14,19,33,8,2,4,14,35,NBA 2009-2010 Summer_League Players Statistic
Doug Thomas,OKC,1,13.0,2,1,3,.333,0,0,.000,0,0,.000,2,2,4,0,0,1,0,3,NBA 2009-2010 Summer_League Players Statistic
Hasheem Thabeet,MEM,5,125.2,41,14,31,.452,0,0,.000,13,18,.722,11,12,23,2,1,4,10,26,NBA 2009-2010 Summer_League Players Statistic
Garrett Temple,HOU,5,62.6,23,8,21,.381,3,10,.300,4,6,.667,1,2,3,2,0,2,9,12,NBA 2009-2010 Summer_League Players Statistic
Mike Taylor,LAC,5,128.9,32,10,41,.244,2,11,.182,10,17,.588,3,5,8,24,5,0,18,23,NBA 2009-2010 Summer_League Players Statistic
Jermaine Taylor,HOU,4,83.3,44,16,42,.381,2,13,.154,10,16,.625,3,4,7,9,2,0,7,9,NBA 2009-2010 Summer_League Players Statistic
Donell Taylor,SAS,5,73.6,27,12,27,.444,1,2,.500,2,2,1.000,3,7,10,8,3,2,12,6,NBA 2009-2010 Summer_League Players Statistic
Shawn Taggart,TOR,4,57.4,25,10,22,.455,1,4,.250,4,6,.667,5,11,16,1,1,0,2,8,NBA 2009-2010 Summer_League Players Statistic
Szymon Szewczyk,MIL,5,35.4,19,7,13,.538,5,11,.455,0,0,.000,0,7,7,1,0,1,3,10,NBA 2009-2010 Summer_League Players Statistic
Robert Swift,BOS,5,110.9,35,12,18,.667,0,0,.000,11,13,.846,6,12,18,2,3,4,9,21,NBA 2009-2010 Summer_League Players Statistic
Mike Sweetney,BOS,1,15.1,3,1,1,1.000,0,0,.000,1,2,.500,1,4,5,2,2,2,0,1,NBA 2009-2010 Summer_League Players Statistic
Goran Suton,UTA,5,98.3,24,10,28,.357,0,10,.000,4,6,.667,6,16,22,8,1,0,8,11,NBA 2009-2010 Summer_League Players Statistic
DaJuan Summers,DET,5,162.2,90,35,79,.443,3,11,.273,17,25,.680,5,22,27,5,4,4,8,31,NBA 2009-2010 Summer_League Players Statistic
Trent Strickland,DAL,2,14.8,9,2,8,.250,0,2,.000,5,5,1.000,1,0,1,0,2,0,2,4,NBA 2009-2010 Summer_League Players Statistic
Victor Stowes,SAC,1,2.1,0,0,1,.000,0,0,.000,0,0,.000,0,0,0,1,0,0,0,0,NBA 2009-2010 Summer_League Players Statistic
Salim Stoudamire,MIL,2,21.6,8,3,8,.375,0,1,.000,2,2,1.000,0,1,1,2,2,0,4,5,NBA 2009-2010 Summer_League Players Statistic
Curtis Stinson,SEL,5,148.5,43,20,47,.426,0,4,.000,3,5,.600,4,23,27,16,6,0,21,15,NBA 2009-2010 Summer_League Players Statistic
Greg Stiemsma,MEM,2,15.7,10,4,7,.571,0,0,.000,2,2,1.000,0,3,3,0,1,3,3,4,NBA 2009-2010 Summer_League Players Statistic
Marreese Speights,NJN,5,146.8,71,28,71,.394,0,3,.000,15,17,.882,12,21,33,3,4,11,12,15,NBA 2009-2010 Summer_League Players Statistic
Kyle Spain,WAS,3,27.6,7,3,9,.333,1,2,.500,0,0,.000,2,1,3,0,1,0,1,5,NBA 2009-2010 Summer_League Players Statistic
Donta Smith,MEM,4,55.7,17,6,14,.429,0,3,.000,5,8,.625,3,6,9,4,5,0,2,4,NBA 2009-2010 Summer_League Players Statistic
Anthony Smith,IND,5,97.1,28,10,37,.270,4,19,.211,4,7,.571,3,14,17,4,1,0,11,11,NBA 2009-2010 Summer_League Players Statistic
Donald Rashaad Singleton,NYK,1,3.8,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,1,0,0,0,NBA 2009-2010 Summer_League Players Statistic
Sean Singletary,DET,5,81.9,37,11,22,.500,3,3,1.000,12,15,.800,6,7,13,18,6,0,5,10,NBA 2009-2010 Summer_League Players Statistic
Cedric Simmons,DEN,5,94.2,37,13,29,.448,0,0,.000,11,21,.524,11,22,33,2,2,7,5,17,NBA 2009-2010 Summer_League Players Statistic
