Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Ivica Zubac,LAL,5,55.4,32,14,24,.583,0,0,.000,4,8,.500,4,9,13,2,0,3,6,9,NBA 2018-2019 Preseason Players Statistic
Ante Zizic,CLE,4,63.5,41,15,17,.882,0,0,.000,11,14,.786,7,14,21,1,2,2,7,13,NBA 2018-2019 Preseason Players Statistic
Ying Zhu,SHA,1,8.9,0,0,0,.000,0,0,.000,0,2,.000,0,0,0,0,0,0,0,1,NBA 2018-2019 Preseason Players Statistic
YanXi Zhu,BEI,1,26.2,3,1,7,.143,1,3,.333,0,0,.000,1,5,6,0,1,0,3,4,NBA 2018-2019 Preseason Players Statistic
Zhun Zheng,GLL,1,7.7,3,1,1,1.000,1,1,1.000,0,0,.000,0,0,0,0,0,0,0,2,NBA 2018-2019 Preseason Players Statistic
Ziyi Zhao,BEI,1,1.9,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2018-2019 Preseason Players Statistic
Zhuo Zhang,BEI,1,14.3,2,0,1,.000,0,0,.000,2,2,1.000,1,2,3,0,0,0,1,3,NBA 2018-2019 Preseason Players Statistic
Yongpeng Zhang,GLL,1,32.0,12,5,5,1.000,0,0,.000,2,2,1.000,1,3,4,2,0,1,1,4,NBA 2018-2019 Preseason Players Statistic
Songtao Zhang,BEI,1,1.9,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2018-2019 Preseason Players Statistic
Max Zhang,SHA,1,28.4,10,5,7,.714,0,0,.000,0,3,.000,3,2,5,0,0,0,2,4,NBA 2018-2019 Preseason Players Statistic
Cairen Zhang,BEI,1,18.7,3,1,2,.500,1,1,1.000,0,0,.000,0,1,1,0,0,0,3,2,NBA 2018-2019 Preseason Players Statistic
Tyler Zeller,MIL,4,53.0,23,7,15,.467,2,3,.667,7,10,.700,4,6,10,3,1,0,4,6,NBA 2018-2019 Preseason Players Statistic
Cody Zeller,CHA,4,82.0,45,19,34,.559,2,4,.500,5,10,.500,4,12,16,4,1,4,4,11,NBA 2018-2019 Preseason Players Statistic
Trae Young,ATL,5,122.5,75,26,66,.394,10,27,.370,13,16,.813,0,10,10,27,6,1,11,15,NBA 2018-2019 Preseason Players Statistic
Thaddeus Young,IND,1,29.4,16,8,12,.667,0,1,.000,0,0,.000,5,5,10,0,0,0,1,2,NBA 2018-2019 Preseason Players Statistic
Heng Yifeng,GLL,1,3.9,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2018-2019 Preseason Players Statistic
Tianyi Yao,GLL,1,2.5,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2018-2019 Preseason Players Statistic
Ding Yanyuhang,DAL,1,8.6,1,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,1,1,NBA 2018-2019 Preseason Players Statistic
Guerschon Yabusele,BOS,4,58.9,21,10,19,.526,0,4,.000,1,5,.200,5,8,13,4,2,5,4,5,NBA 2018-2019 Preseason Players Statistic
Huang Xu,SHA,1,6.3,4,2,2,1.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2018-2019 Preseason Players Statistic
Delon Wright,TOR,4,83.1,33,11,25,.440,3,7,.429,8,9,.889,3,11,14,6,1,2,4,4,NBA 2018-2019 Preseason Players Statistic
Willy Workman,MAC,2,36.7,6,3,10,.300,0,1,.000,0,0,.000,4,7,11,2,0,0,5,2,NBA 2018-2019 Preseason Players Statistic
Christian Wood,MIL,4,77.0,54,20,30,.667,3,8,.375,11,21,.524,7,22,29,4,1,3,7,9,NBA 2018-2019 Preseason Players Statistic
Justise Winslow,MIA,4,108.9,40,12,31,.387,4,10,.400,12,16,.750,4,17,21,6,3,0,7,10,NBA 2018-2019 Preseason Players Statistic
Tom Wilson,SYD,1,11.8,5,2,7,.286,1,5,.200,0,0,.000,0,1,1,0,0,0,0,2,NBA 2018-2019 Preseason Players Statistic
Troy Williams,NOP,4,35.1,34,13,27,.481,5,14,.357,3,6,.500,2,2,4,1,3,1,4,2,NBA 2018-2019 Preseason Players Statistic
Robert Williams,BOS,4,39.9,18,7,11,.636,0,1,.000,4,6,.667,2,6,8,1,3,4,1,7,NBA 2018-2019 Preseason Players Statistic
Marvin Williams,CHA,4,78.8,35,12,25,.480,9,20,.450,2,2,1.000,0,14,14,3,2,2,2,8,NBA 2018-2019 Preseason Players Statistic
Lou Williams,LAC,4,75.6,48,14,42,.333,7,21,.333,13,15,.867,0,9,9,12,3,0,8,3,NBA 2018-2019 Preseason Players Statistic
Kenrich Williams,NOP,5,36.8,12,5,10,.500,1,4,.250,1,4,.250,8,9,17,2,1,2,1,8,NBA 2018-2019 Preseason Players Statistic
Johnathan Williams,LAL,6,87.2,41,16,31,.516,0,3,.000,9,23,.391,11,15,26,1,1,4,3,14,NBA 2018-2019 Preseason Players Statistic
C.J. Williams,MIN,5,50.2,19,7,15,.467,3,7,.429,2,2,1.000,0,5,5,2,0,0,1,5,NBA 2018-2019 Preseason Players Statistic
Alan Williams,BRK,1,1.8,2,1,1,1.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,0,NBA 2018-2019 Preseason Players Statistic
Isaiah Wilkins,CHA,1,2.7,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,1,NBA 2018-2019 Preseason Players Statistic
Jake Wiley,ADE,1,37.0,15,6,13,.462,0,3,.000,3,4,.750,2,6,8,0,0,3,3,0,NBA 2018-2019 Preseason Players Statistic
Andrew Wiggins,MIN,4,101.3,33,12,33,.364,2,7,.286,7,13,.538,5,7,12,1,1,3,10,10,NBA 2018-2019 Preseason Players Statistic
Hassan Whiteside,MIA,5,115.2,65,24,37,.649,1,2,.500,16,24,.667,8,46,54,1,4,11,10,16,NBA 2018-2019 Preseason Players Statistic
Terrico White,PER,2,61.5,20,6,28,.214,2,8,.250,6,8,.750,3,8,11,4,0,0,2,4,NBA 2018-2019 Preseason Players Statistic
Okaro White,SAS,3,18.1,10,3,8,.375,1,3,.333,3,4,.750,3,1,4,1,0,0,0,1,NBA 2018-2019 Preseason Players Statistic
Derrick White,SAS,4,80.7,37,14,33,.424,2,10,.200,7,7,1.000,2,12,14,8,2,4,5,8,NBA 2018-2019 Preseason Players Statistic
Tai Wesley,NZB,1,37.0,15,6,16,.375,1,5,.200,2,5,.400,0,7,7,2,1,0,1,3,NBA 2018-2019 Preseason Players Statistic
Thomas Welsh,DEN,3,27.6,8,4,10,.400,0,1,.000,0,0,.000,4,2,6,2,0,0,2,3,NBA 2018-2019 Preseason Players Statistic
Jarrad Weeks,NZB,1,16.1,2,1,4,.250,0,2,.000,0,2,.000,1,0,1,1,1,0,2,1,NBA 2018-2019 Preseason Players Statistic
Corey Webster,NZB,1,40.8,27,11,24,.458,4,10,.400,1,1,1.000,0,4,4,7,1,0,0,1,NBA 2018-2019 Preseason Players Statistic
Briante Weber,MIA,5,83.0,45,13,28,.464,4,7,.571,15,18,.833,1,8,9,15,13,1,8,11,NBA 2018-2019 Preseason Players Statistic
Travis Wear,LAL,6,54.1,27,11,19,.579,5,9,.556,0,1,.000,1,10,11,4,0,3,1,7,NBA 2018-2019 Preseason Players Statistic
David Wear,SYD,1,26.9,7,3,6,.500,1,3,.333,0,0,.000,1,6,7,0,0,0,2,4,NBA 2018-2019 Preseason Players Statistic
Yuta Watanabe,MEM,4,42.9,15,7,12,.583,1,5,.200,0,0,.000,1,5,6,0,1,3,2,1,NBA 2018-2019 Preseason Players Statistic
T.J. Warren,PHX,5,76.7,48,16,26,.615,1,5,.200,15,20,.750,1,10,11,6,3,3,2,6,NBA 2018-2019 Preseason Players Statistic
Casper Ware,MEL,2,75.5,36,12,39,.308,4,17,.235,8,8,1.000,0,6,6,10,5,0,5,6,NBA 2018-2019 Preseason Players Statistic
Yue Wang,GLL,1,4.6,0,0,2,.000,0,0,.000,0,0,.000,2,0,2,0,1,0,1,3,NBA 2018-2019 Preseason Players Statistic
XinLei Wang,BEI,1,3.6,2,0,0,.000,0,0,.000,2,2,1.000,0,0,0,0,0,0,0,0,NBA 2018-2019 Preseason Players Statistic
Xiaohui Wang,BEI,1,18.0,1,0,3,.000,0,2,.000,1,2,.500,0,2,2,1,0,0,0,5,NBA 2018-2019 Preseason Players Statistic
Brad Wanamaker,BOS,4,50.3,9,4,19,.211,0,4,.000,1,2,.500,0,12,12,4,3,0,6,6,NBA 2018-2019 Preseason Players Statistic
"Derrick Walton, Jr.",CHI,2,9.3,7,3,5,.600,1,3,.333,0,0,.000,0,1,1,1,0,0,1,2,NBA 2018-2019 Preseason Players Statistic
Tyrone Wallace,LAC,4,60.9,25,10,19,.526,0,1,.000,5,7,.714,3,12,15,7,2,1,7,9,NBA 2018-2019 Preseason Players Statistic
John Wall,WAS,4,92.7,61,23,51,.451,5,20,.250,10,15,.667,2,14,16,28,9,5,14,3,NBA 2018-2019 Preseason Players Statistic
Tyrius Walker,NYK,1,10.5,1,0,3,.000,0,0,.000,1,2,.500,0,0,0,0,0,0,2,4,NBA 2018-2019 Preseason Players Statistic
Lonnie Walker,SAS,1,5.2,6,3,3,1.000,0,0,.000,0,0,.000,0,0,0,1,0,0,1,1,NBA 2018-2019 Preseason Players Statistic
Kemba Walker,CHA,5,119.0,73,22,50,.440,10,28,.357,19,23,.826,1,23,24,13,4,4,10,5,NBA 2018-2019 Preseason Players Statistic
Jesse Wagstaff,PER,2,41.9,22,6,16,.375,1,6,.167,9,9,1.000,1,6,7,1,2,0,3,6,NBA 2018-2019 Preseason Players Statistic
Dwyane Wade,MIA,5,98.4,44,17,48,.354,4,13,.308,6,10,.600,4,14,18,13,4,4,13,9,NBA 2018-2019 Preseason Players Statistic
Nikola Vucevic,ORL,5,138.6,84,36,76,.474,2,16,.125,10,11,.909,9,40,49,14,3,6,8,5,NBA 2018-2019 Preseason Players Statistic
Noah Vonleh,NYK,5,71.3,33,13,26,.500,3,4,.750,4,6,.667,9,21,30,6,2,4,10,16,NBA 2018-2019 Preseason Players Statistic
Marquinhos Vinicius,FLA,1,27.1,19,4,9,.444,3,5,.600,8,8,1.000,0,6,6,1,1,0,2,3,NBA 2018-2019 Preseason Players Statistic
Anderson Varejao,FLA,1,29.7,14,4,12,.333,0,0,.000,6,6,1.000,4,8,12,0,2,0,3,3,NBA 2018-2019 Preseason Players Statistic
Fred VanVleet,TOR,3,48.1,25,9,19,.474,6,12,.500,1,2,.500,0,8,8,7,1,0,2,5,NBA 2018-2019 Preseason Players Statistic
Jonas Valanciunas,TOR,4,76.8,52,17,35,.486,1,5,.200,17,19,.895,14,16,30,5,6,3,10,8,NBA 2018-2019 Preseason Players Statistic
Rhys Vague,PER,2,32.5,11,4,11,.364,3,8,.375,0,0,.000,1,6,7,0,0,0,0,4,NBA 2018-2019 Preseason Players Statistic
Tyler Ulis,GSW,4,40.7,12,4,11,.364,0,2,.000,4,6,.667,0,6,6,6,3,0,5,4,NBA 2018-2019 Preseason Players Statistic
Ekpe Udoh,UTA,5,61.3,35,15,20,.750,0,0,.000,5,5,1.000,9,13,22,5,2,1,2,6,NBA 2018-2019 Preseason Players Statistic
Myles Turner,IND,3,68.4,23,9,26,.346,0,2,.000,5,7,.714,1,16,17,4,1,6,5,13,NBA 2018-2019 Preseason Players Statistic
Evan Turner,POR,3,50.3,19,6,16,.375,0,0,.000,7,8,.875,2,8,10,10,1,0,6,7,NBA 2018-2019 Preseason Players Statistic
P.J. Tucker,HOU,3,90.6,48,17,34,.500,10,24,.417,4,4,1.000,2,10,12,5,6,0,1,5,NBA 2018-2019 Preseason Players Statistic
Daniel Trist,MEL,2,13.8,8,4,10,.400,0,2,.000,0,0,.000,4,1,5,0,1,0,1,2,NBA 2018-2019 Preseason Players Statistic
Allonzo Trier,NYK,5,115.2,71,22,46,.478,3,10,.300,24,24,1.000,1,10,11,8,2,1,13,13,NBA 2018-2019 Preseason Players Statistic
