Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Rich Yonakor,SAS,10,70.0,33,14,26,.538,0,0,.000,5,7,.714,13,14,27,3,1,2,2,7,NBA 1981-1982 Regular_Season Players Statistic
Larry Wright,DET,1,6.0,0,0,1,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,1,2,NBA 1981-1982 Regular_Season Players Statistic
Sam Worthen,UTA,5,22.0,4,2,5,.400,0,0,.000,0,0,.000,1,0,1,3,0,0,2,3,NBA 1981-1982 Regular_Season Players Statistic
Orlando Woolridge,CHI,75,"1,188.0",548,202,394,.513,0,3,.000,144,206,.699,82,145,227,81,23,24,107,152,NBA 1981-1982 Regular_Season Players Statistic
Mike Woodson,KCK,83,"2,331.0","1,304",538,"1,069",.503,7,25,.280,221,286,.773,102,145,247,222,142,35,153,220,NBA 1981-1982 Regular_Season Players Statistic
Howard Wood,UTA,42,342.0,144,55,120,.458,0,1,.000,34,52,.654,22,43,65,9,8,6,15,37,NBA 1981-1982 Regular_Season Players Statistic
Al Wood,SDC,48,930.0,454,179,381,.470,3,24,.125,93,119,.782,51,83,134,58,31,9,71,108,NBA 1981-1982 Regular_Season Players Statistic
Garry Witts,WAS,46,493.0,132,49,84,.583,1,2,.500,33,40,.825,29,33,62,38,17,4,35,74,NBA 1981-1982 Regular_Season Players Statistic
Brian Winters,MIL,61,"1,829.0",967,404,806,.501,36,93,.387,123,156,.788,51,119,170,253,57,9,118,187,NBA 1981-1982 Regular_Season Players Statistic
Bill Willoughby,HOU,69,"1,475.0",539,240,464,.517,3,7,.429,56,77,.727,107,157,264,75,31,59,78,146,NBA 1981-1982 Regular_Season Players Statistic
Sly Williams,NYK,60,"1,521.0",831,349,628,.556,2,9,.222,131,173,.757,100,127,227,142,77,16,114,153,NBA 1981-1982 Regular_Season Players Statistic
Sam Williams,GSW,59,"1,073.0",357,154,277,.556,0,0,.000,49,89,.551,91,217,308,38,45,76,64,156,NBA 1981-1982 Regular_Season Players Statistic
Ray Williams,NJN,82,"2,732.0","1,674",639,"1,383",.462,9,54,.167,387,465,.832,117,208,325,488,199,43,290,302,NBA 1981-1982 Regular_Season Players Statistic
Herb Williams,IND,82,"2,277.0",942,407,854,.477,2,7,.286,126,188,.670,175,430,605,139,53,178,137,200,NBA 1981-1982 Regular_Season Players Statistic
Gus Williams,SEA,80,"2,876.0","1,875",773,"1,592",.486,9,40,.225,320,436,.734,92,152,244,549,172,36,197,163,NBA 1981-1982 Regular_Season Players Statistic
Freeman Williams,ATL,60,997.0,720,276,623,.443,28,94,.298,140,166,.843,23,39,62,86,29,0,107,103,NBA 1981-1982 Regular_Season Players Statistic
Buck Williams,NJN,82,"2,825.0","1,268",513,881,.582,0,1,.000,242,388,.624,347,658,"1,005",107,84,84,235,285,NBA 1981-1982 Regular_Season Players Statistic
Jeff Wilkins,UTA,82,"2,274.0",765,314,718,.437,0,3,.000,137,176,.778,120,491,611,90,32,77,134,248,NBA 1981-1982 Regular_Season Players Statistic
James Wilkes,CHI,57,862.0,314,128,266,.481,0,1,.000,58,80,.725,62,97,159,64,30,18,62,112,NBA 1981-1982 Regular_Season Players Statistic
Jamaal Wilkes,LAL,82,"2,906.0","1,734",744,"1,417",.525,0,4,.000,246,336,.732,153,240,393,143,89,24,164,240,NBA 1981-1982 Regular_Season Players Statistic
Bob Wilkerson,CLE,65,"1,805.0",716,284,679,.418,3,18,.167,145,185,.784,60,190,250,237,92,25,138,188,NBA 1981-1982 Regular_Season Players Statistic
Michael Wiley,SDC,61,"1,013.0",504,203,359,.565,0,5,.000,98,141,.695,67,115,182,52,40,16,71,127,NBA 1981-1982 Regular_Season Players Statistic
Hawkeye Whitney,KCK,23,266.0,54,25,71,.352,0,1,.000,4,7,.571,13,27,40,19,12,1,14,31,NBA 1981-1982 Regular_Season Players Statistic
Jerome Whitehead,SDC,72,"2,214.0",996,406,726,.559,0,0,.000,184,241,.763,231,433,664,102,48,44,141,290,NBA 1981-1982 Regular_Season Players Statistic
Paul Westphal,NYK,18,451.0,210,86,194,.443,2,8,.250,36,47,.766,9,13,22,100,19,8,47,61,NBA 1981-1982 Regular_Season Players Statistic
Scott Wedman,CLE,54,"1,638.0",591,260,589,.441,5,23,.217,66,90,.733,128,176,304,133,73,14,73,189,NBA 1981-1982 Regular_Season Players Statistic
Marvin Webster,NYK,82,"1,883.0",506,199,405,.491,0,0,.000,108,170,.635,184,306,490,99,22,91,90,211,NBA 1981-1982 Regular_Season Players Statistic
Richard Washington,CLE,18,313.0,109,50,115,.435,0,2,.000,9,15,.600,32,43,75,15,8,2,35,51,NBA 1981-1982 Regular_Season Players Statistic
Kermit Washington,POR,20,418.0,100,38,78,.487,0,0,.000,24,41,.585,40,77,117,29,9,16,19,56,NBA 1981-1982 Regular_Season Players Statistic
Wally Walker,SEA,70,"1,965.0",694,302,629,.480,0,2,.000,90,134,.672,108,197,305,218,36,28,111,215,NBA 1981-1982 Regular_Season Players Statistic
Foots Walker,NJN,77,"1,861.0",456,156,378,.413,3,9,.333,141,194,.727,31,119,150,398,120,6,107,179,NBA 1981-1982 Regular_Season Players Statistic
Danny Vranes,SEA,77,"1,075.0",375,143,262,.546,0,1,.000,89,148,.601,71,127,198,56,28,21,68,150,NBA 1981-1982 Regular_Season Players Statistic
Jay Vincent,DAL,81,"2,626.0","1,732",719,"1,448",.497,1,4,.250,293,409,.716,182,383,565,176,89,22,194,308,NBA 1981-1982 Regular_Season Players Statistic
Pete Verhoeven,POR,71,"1,207.0",349,149,296,.503,0,0,.000,51,72,.708,106,148,254,52,42,22,55,215,NBA 1981-1982 Regular_Season Players Statistic
Kiki Vandeweghe,DEN,82,"2,775.0","1,760",706,"1,260",.560,1,13,.077,347,405,.857,149,312,461,247,52,29,189,217,NBA 1981-1982 Regular_Season Players Statistic
Jan Van Breda Kolff,NJN,41,452.0,144,41,82,.500,0,2,.000,62,76,.816,17,31,48,32,12,13,29,63,NBA 1981-1982 Regular_Season Players Statistic
