Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
John Drew,ATL,74,"2,688.0","1,790",689,"1,416",.487,-,-,-,412,577,.714,280,395,675,133,102,29,-,275,NBA 1976-1977 Regular_Season Players Statistic
Leon Douglas,DET,82,"1,626.0",617,245,512,.479,-,-,-,127,229,.555,181,345,526,68,44,81,-,294,NBA 1976-1977 Regular_Season Players Statistic
Ernie DiGregorio,BUF,81,"2,267.0",868,365,875,.417,-,-,-,138,146,.945,52,132,184,378,57,3,-,150,NBA 1976-1977 Regular_Season Players Statistic
Coby Dietrick,SAS,82,"1,772.0",689,285,620,.460,-,-,-,119,166,.717,111,261,372,148,88,57,-,267,NBA 1976-1977 Regular_Season Players Statistic
Derrek Dickey,GSW,49,856.0,361,158,345,.458,-,-,-,45,61,.738,100,140,240,63,20,11,-,101,NBA 1976-1977 Regular_Season Players Statistic
Henry Dickerson,ATL,6,63.0,17,6,12,.500,-,-,-,5,8,.625,0,2,2,11,1,0,-,13,NBA 1976-1977 Regular_Season Players Statistic
Randy Denton,ATL,45,700.0,239,103,256,.402,-,-,-,33,47,.702,81,137,218,33,14,16,-,100,NBA 1976-1977 Regular_Season Players Statistic
Darryl Dawkins,PHI,59,684.0,310,135,215,.628,-,-,-,40,79,.506,59,171,230,24,12,49,-,129,NBA 1976-1977 Regular_Season Players Statistic
Ron Davis,ATL,7,67.0,20,8,35,.229,-,-,-,4,13,.308,2,5,7,2,7,0,-,9,NBA 1976-1977 Regular_Season Players Statistic
Mickey Davis,MIL,19,165.0,81,29,68,.426,-,-,-,23,25,.920,11,18,29,20,6,4,-,11,NBA 1976-1977 Regular_Season Players Statistic
Mel Davis,NYN,56,"1,094.0",400,168,464,.362,-,-,-,64,91,.703,98,195,293,71,31,5,-,130,NBA 1976-1977 Regular_Season Players Statistic
Johnny Davis,POR,79,"1,451.0",634,234,531,.441,-,-,-,166,209,.794,62,64,126,148,41,11,-,128,NBA 1976-1977 Regular_Season Players Statistic
Dwight Davis,GSW,33,552.0,159,55,124,.444,-,-,-,49,72,.681,34,61,95,29,11,8,-,93,NBA 1976-1977 Regular_Season Players Statistic
Adrian Dantley,BUF,77,"2,816.0","1,564",544,"1,046",.520,-,-,-,476,582,.818,251,336,587,144,91,15,-,215,NBA 1976-1977 Regular_Season Players Statistic
Mel Daniels,NYN,11,126.0,39,13,35,.371,-,-,-,13,23,.565,10,24,34,6,3,11,-,29,NBA 1976-1977 Regular_Season Players Statistic
Bob Dandridge,MIL,70,"2,501.0","1,453",585,"1,253",.467,-,-,-,283,367,.771,146,294,440,268,95,28,-,222,NBA 1976-1977 Regular_Season Players Statistic
Louie Dampier,SAS,80,"1,634.0",530,233,507,.460,-,-,-,64,86,.744,22,54,76,234,49,15,-,93,NBA 1976-1977 Regular_Season Players Statistic
Mike D'Antoni,SAS,2,9.0,3,1,3,.333,-,-,-,1,2,.500,0,2,2,2,0,0,-,3,NBA 1976-1977 Regular_Season Players Statistic
Dave Cowens,BOS,50,"1,888.0",818,328,756,.434,-,-,-,162,198,.818,147,550,697,248,46,49,-,181,NBA 1976-1977 Regular_Season Players Statistic
Norm Cook,BOS,25,138.0,63,27,72,.375,-,-,-,9,17,.529,10,17,27,5,10,3,-,27,NBA 1976-1977 Regular_Season Players Statistic
Doug Collins,PHI,58,"2,037.0","1,062",426,823,.518,-,-,-,210,250,.840,64,131,195,271,70,15,-,174,NBA 1976-1977 Regular_Season Players Statistic
E.C. Coleman,NOJ,77,"2,369.0",662,290,628,.462,-,-,-,82,112,.732,149,399,548,103,62,32,-,280,NBA 1976-1977 Regular_Season Players Statistic
Jim Cleamons,CLE,60,"2,045.0",626,257,592,.434,-,-,-,112,148,.757,99,174,273,308,66,23,-,126,NBA 1976-1977 Regular_Season Players Statistic
Jim Chones,CLE,82,"2,378.0","1,055",450,972,.463,-,-,-,155,212,.731,208,480,688,104,32,77,-,258,NBA 1976-1977 Regular_Season Players Statistic
