Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
John Abramovic,G,1.905,88.45051215000001,29,"BAL, STB",6,1,United States,NBA 1947-1948 Players Information
Hank Beenders,GF,1.9811999999999999,83.91458845000001,31,"PHI, PRO",40,1,Netherlands,NBA 1947-1948 Players Information
Mike Bloom,F,1.9811999999999999,86.1825503,33,"BAL, BOS",45,0,United States,NBA 1947-1948 Players Information
Carl Braun,SG,1.9558,81.6466266,20,NYK,44,0,United States,NBA 1947-1948 Players Information
Stan Brown,GF,1.905,90.718474,18,PHI,17,0,United States,NBA 1947-1948 Players Information
Tommy Byrnes,GF,1.905,79.37866475,25,NYK,44,1,United States,NBA 1947-1948 Players Information
Ernie Calverley,PG,1.778,65.77089365,24,PRO,44,1,United States,NBA 1947-1948 Players Information
Chuck Connors,F,1.9811999999999999,90.718474,26,BOS,4,1,United States,NBA 1947-1948 Players Information
Chink Crossin,G,1.8541999999999998,74.84274105,23,PHI,37,0,United States,NBA 1947-1948 Players Information
Howie Dallmar,SG,1.9304,90.718474,25,PHI,47,1,United States,NBA 1947-1948 Players Information
Bob Doll,F,1.9558,88.45051215000001,28,STB,42,1,United States,NBA 1947-1948 Players Information
Bill Downey,GF,1.9811999999999999,95.2543977,24,PRO,3,0,United States,NBA 1947-1948 Players Information
Bulbs Ehlers,G,1.905,89.81128926000001,24,BOS,40,0,United States,NBA 1947-1948 Players Information
Johnny Ezersky,GF,1.905,83.91458845000001,-,PRO,25,0,United States,NBA 1947-1948 Players Information
Bob Feerick,GF,1.905,86.1825503,28,WAS,47,1,United States,NBA 1947-1948 Players Information
Dick Fitzgerald,F,1.8796,83.91458845000001,27,PRO,1,1,United States,NBA 1947-1948 Players Information
Jerry Fleishman,G,1.8796,86.1825503,26,PHI,44,1,United States,NBA 1947-1948 Players Information
Herm Fuetsch,G,1.8288,77.1107029,29,BAL,38,0,United States,NBA 1947-1948 Players Information
Joe Fulks,SF,1.9558,86.1825503,26,PHI,42,1,United States,NBA 1947-1948 Players Information
Elmer Gainer,GF,1.9811999999999999,88.45051215000001,29,BAL,5,0,United States,NBA 1947-1948 Players Information
Jack Garfinkel,G,1.8288,86.1825503,29,BOS,43,1,United States,NBA 1947-1948 Players Information
Chuck Gilmur,FC,1.9304,102.05828325,25,CHI,46,1,United States,NBA 1947-1948 Players Information
Pop Goodwin,FC,1.8796,92.07925111,27,PRO,20,1,United States,NBA 1947-1948 Players Information
