Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Kareem Abdul-Jabbar,C,2.1844,102.05828325,40,LAL,80,18,United States,NBA 1987-1988 Players Information
Mark Acres,FC,2.1082,99.79032140000001,25,BOS,79,0,United States,NBA 1987-1988 Players Information
Alvan Adams,FC,2.0574,95.2543977,33,PHX,82,12,United States,NBA 1987-1988 Players Information
Michael Adams,PG,1.778,73.93555631000001,25,DEN,82,2,United States,NBA 1987-1988 Players Information
Mark Aguirre,SF,1.9811999999999999,105.23342984,28,DAL,77,6,United States,NBA 1987-1988 Players Information
Danny Ainge,G,1.9304,79.37866475,28,BOS,81,6,United States,NBA 1987-1988 Players Information
Mark Alarie,F,2.032,98.42954429000001,24,WAS,63,1,United States,NBA 1987-1988 Players Information
Steve Alford,G,1.8796,83.00740371,23,DAL,28,0,United States,NBA 1987-1988 Players Information
Cadillac Anderson,PF,2.0827999999999998,104.32624510000001,23,SAS,82,0,United States,NBA 1987-1988 Players Information
Richard Anderson,FC,2.0827999999999998,108.8621688,27,"HOU, POR",74,3,United States,NBA 1987-1988 Players Information
Ron Anderson,GF,2.0065999999999997,97.52235955,29,IND,74,3,United States,NBA 1987-1988 Players Information
Joe Arlauckas,F,2.0574,104.32624510000001,22,SAC,9,0,United States,NBA 1987-1988 Players Information
Vincent Askew,GF,1.9811999999999999,95.2543977,22,PHI,14,0,United States,NBA 1987-1988 Players Information
John Bagley,G,1.8288,83.91458845000001,27,NJN,82,5,United States,NBA 1987-1988 Players Information
James Bailey,FC,2.0574,99.79032140000001,30,PHX,65,8,United States,NBA 1987-1988 Players Information
Thurl Bailey,PF,2.1082,97.52235955,26,UTA,82,4,United States,NBA 1987-1988 Players Information
Charles Barkley,PF,1.9811999999999999,114.30527724000001,25,PHI,80,3,United States,NBA 1987-1988 Players Information
John Battle,G,1.8796,79.37866475,25,ATL,67,2,United States,NBA 1987-1988 Players Information
William Bedford,C,2.1336,102.05828325,25,DET,38,1,United States,NBA 1987-1988 Players Information
Benoit Benjamin,C,2.1336,113.3980925,23,LAC,66,2,United States,NBA 1987-1988 Players Information
Kent Benson,C,2.0827999999999998,106.59420695,33,CLE,2,10,United States,NBA 1987-1988 Players Information
Walter Berry,F,2.032,97.52235955,23,SAS,73,1,United States,NBA 1987-1988 Players Information
Larry Bird,SF,2.0574,99.79032140000001,31,BOS,76,8,United States,NBA 1987-1988 Players Information
Otis Birdsong,GF,1.905,86.1825503,32,NJN,67,10,United States,NBA 1987-1988 Players Information
