Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Arron Afflalo,SG,1.9558,95.2543977,24,DEN,82,2,United States,NBA 2009-2010 Players Information
Alexis Ajinca,C,2.1844,112.49090776,21,CHA,6,1,France,NBA 2009-2010 Players Information
LaMarcus Aldridge,FC,2.1082,120.20197805000001,24,POR,78,3,United States,NBA 2009-2010 Players Information
Joe Alexander,SF,2.032,104.32624510000001,23,CHI,8,1,United StatesIsrael,NBA 2009-2010 Players Information
Malik Allen,F,2.0827999999999998,115.66605435000001,31,DEN,51,9,United States,NBA 2009-2010 Players Information
Ray Allen,SG,1.9558,92.98643585,34,BOS,80,13,United States,NBA 2009-2010 Players Information
Tony Allen,SG,1.9304,96.61517481,28,BOS,54,5,United States,NBA 2009-2010 Players Information
Rafer Alston,G,1.8796,79.37866475,33,"MIA, NJN",52,10,United States,NBA 2009-2010 Players Information
Lou Amundson,PF,2.0574,99.79032140000001,27,PHX,79,3,United States,NBA 2009-2010 Players Information
Chris Andersen,FC,2.0827999999999998,111.13013065000001,31,DEN,76,6,United States,NBA 2009-2010 Players Information
David Andersen,F,2.1336,109.76935354000001,29,HOU,63,0,Australia,NBA 2009-2010 Players Information
Antonio Anderson,SG,1.9811999999999999,97.52235955,24,OKC,1,0,United States,NBA 2009-2010 Players Information
Ryan Anderson,PF,2.0827999999999998,108.8621688,21,ORL,63,1,United States,NBA 2009-2010 Players Information
Carmelo Anthony,F,2.032,108.8621688,25,DEN,69,6,United States,NBA 2009-2010 Players Information
Joel Anthony,C,2.0574,111.13013065000001,27,MIA,80,2,Canada,NBA 2009-2010 Players Information
Gilbert Arenas,G,1.905,86.63614267,28,WAS,32,8,United States,NBA 2009-2010 Players Information
Trevor Ariza,SF,2.032,97.52235955,24,HOU,72,5,United States,NBA 2009-2010 Players Information
Hilton Armstrong,C,2.1082,106.59420695,25,"HOU, NOP, SAC",33,3,United States,NBA 2009-2010 Players Information
Carlos Arroyo,PG,1.8796,91.62565874,30,MIA,72,7,Puerto RicoUnited States,NBA 2009-2010 Players Information
Darrell Arthur,PF,2.0574,106.59420695,21,MEM,32,1,United States,NBA 2009-2010 Players Information
Chucky Atkins,G,1.8034,83.91458845000001,35,DET,40,11,United States,NBA 2009-2010 Players Information
D.J. Augustin,G,1.8288,83.00740371,22,CHA,80,1,United States,NBA 2009-2010 Players Information
Jeff Ayres,FC,2.0827999999999998,108.8621688,22,POR,39,0,United States,NBA 2009-2010 Players Information
Kelenna Azubuike,F-G,1.9558,99.79032140000001,26,GSW,9,3,EnglandNigeria,NBA 2009-2010 Players Information
Renaldo Balkman,F,2.032,94.34721296000001,25,DEN,13,3,United StatesPuerto Rico,NBA 2009-2010 Players Information
Marcus Banks,G,1.8796,90.718474,28,TOR,22,6,United States,NBA 2009-2010 Players Information
Leandro Barbosa,G,1.905,87.99691978,27,PHX,44,6,Brazil,NBA 2009-2010 Players Information
J.J. Barea,G,1.778,81.6466266,25,DAL,78,3,Puerto RicoUnited States,NBA 2009-2010 Players Information
Andrea Bargnani,FC,2.1336,111.13013065000001,24,TOR,80,3,Italy,NBA 2009-2010 Players Information
Matt Barnes,GF,2.0065999999999997,102.51187562000001,29,ORL,81,7,United States,NBA 2009-2010 Players Information
Earl Barron,C,2.1336,113.3980925,28,NYK,7,4,United States,NBA 2009-2010 Players Information
Brandon Bass,PF,2.032,113.3980925,24,ORL,50,4,United States,NBA 2009-2010 Players Information
Tony Battie,PF,2.1082,104.32624510000001,34,NJN,15,12,United States,NBA 2009-2010 Players Information
Shane Battier,F,2.032,99.79032140000001,31,HOU,67,8,United States,NBA 2009-2010 Players Information
Nicolas Batum,F,2.032,104.32624510000001,21,POR,37,1,France,NBA 2009-2010 Players Information
Jerryd Bayless,G,1.905,95.2543977,21,POR,74,1,United States,NBA 2009-2010 Players Information
Michael Beasley,PF,2.0574,106.59420695,21,MIA,78,1,United States,NBA 2009-2010 Players Information
Rodrigue Beaubois,G,1.8541999999999998,83.00740371,22,DAL,56,0,France,NBA 2009-2010 Players Information
Marco Belinelli,G,1.9558,102.05828325,23,TOR,66,2,Italy,NBA 2009-2010 Players Information
Charlie Bell,G,1.905,90.718474,30,MIL,71,5,United States,NBA 2009-2010 Players Information
Raja Bell,SG,1.9558,92.53284348000001,33,"CHA, GOS",6,10,United States,NBA 2009-2010 Players Information
Jonathan Bender,F,2.1082,91.62565874,29,NYK,25,7,United States,NBA 2009-2010 Players Information
Mike Bibby,G,1.8796,88.45051215000001,31,ATL,80,11,United States,NBA 2009-2010 Players Information
Andris Biedrins,C,2.1336,113.3980925,23,GSW,33,5,Latvia,NBA 2009-2010 Players Information
Chauncey Billups,G,1.905,95.2543977,33,DEN,73,12,United States,NBA 2009-2010 Players Information
DeJuan Blair,F,2.032,122.4699399,20,SAS,82,0,United States,NBA 2009-2010 Players Information
Steve Blake,G,1.905,78.01788764,30,"LAC, POR",80,6,United States,NBA 2009-2010 Players Information
Andray Blatche,PF,2.1082,117.9340162,23,WAS,81,4,United StatesPhilippines,NBA 2009-2010 Players Information
Keith Bogans,GF,1.9558,97.52235955,29,SAS,79,6,United States,NBA 2009-2010 Players Information
Andrew Bogut,C,2.1336,117.9340162,25,MIL,69,4,Australia,NBA 2009-2010 Players Information
Matt Bonner,FC,2.0827999999999998,106.59420695,29,SAS,65,5,United States,NBA 2009-2010 Players Information
Josh Boone,C,2.0827999999999998,107.50139169,25,NJN,63,3,United States,NBA 2009-2010 Players Information
Carlos Boozer,PF,2.0574,120.65557042,28,UTA,78,7,GermanyUnited States,NBA 2009-2010 Players Information
Chris Bosh,PF,2.1082,106.59420695,25,TOR,70,6,United States,NBA 2009-2010 Players Information
Ryan Bowen,F,2.0574,98.88313666,34,OKC,1,9,United States,NBA 2009-2010 Players Information
Earl Boykins,G,1.651,61.23496995,33,WAS,67,10,United States,NBA 2009-2010 Players Information
Elton Brand,PF,2.0574,115.21246198,30,PHI,76,10,United States,NBA 2009-2010 Players Information
Corey Brewer,GF,2.0574,84.36818082,23,MIN,82,2,United States,NBA 2009-2010 Players Information
Ronnie Brewer,GF,2.0065999999999997,106.59420695,24,"MEM, UTH",58,3,United States,NBA 2009-2010 Players Information
Primoz Brezec,C,2.1844,114.30527724000001,30,"MIL, PHL",21,7,Slovenia,NBA 2009-2010 Players Information
Jon Brockman,PF,2.0065999999999997,115.66605435000001,22,SAC,52,0,United States,NBA 2009-2010 Players Information
Aaron Brooks,G,1.8288,73.02837157,25,HOU,82,2,United States,NBA 2009-2010 Players Information
Bobby Brown,PG,1.8796,79.37866475,25,"LAC, NOP",45,1,United States,NBA 2009-2010 Players Information
Derrick Brown,F,2.0065999999999997,102.05828325,22,CHA,57,0,United States,NBA 2009-2010 Players Information
Devin Brown,SF,1.9558,99.79032140000001,31,"CHI, NOP",50,7,United States,NBA 2009-2010 Players Information
Kwame Brown,C,2.1082,131.5417873,27,DET,48,8,United States,NBA 2009-2010 Players Information
Shannon Brown,G,1.9304,95.2543977,24,LAL,82,3,United States,NBA 2009-2010 Players Information
Kobe Bryant,SG,1.9811999999999999,96.16158244,31,LAL,73,13,United States,NBA 2009-2010 Players Information
Chase Budinger,GF,2.0065999999999997,97.52235955,21,HOU,74,0,United States,NBA 2009-2010 Players Information
Caron Butler,SF,2.0065999999999997,103.41906036,29,"DAL, WAS",74,7,United States,NBA 2009-2010 Players Information
Rasual Butler,GF,2.0065999999999997,97.52235955,30,LAC,82,7,United States,NBA 2009-2010 Players Information
Andrew Bynum,C,2.1336,129.27382545,22,LAL,65,4,United States,NBA 2009-2010 Players Information
Will Bynum,G,1.8288,83.91458845000001,27,DET,63,2,United States,NBA 2009-2010 Players Information
Jose Calderon,G,1.905,90.718474,28,TOR,68,4,Spain,NBA 2009-2010 Players Information
Marcus Camby,C,2.1082,108.8621688,35,"LAC, POR",74,13,United States,NBA 2009-2010 Players Information
Brian Cardinal,PF,2.032,111.13013065000001,32,MIN,29,9,United States,NBA 2009-2010 Players Information
Rodney Carney,F,2.0065999999999997,92.98643585,25,PHI,68,3,United States,NBA 2009-2010 Players Information
DeMarre Carroll,F,2.032,97.52235955,23,MEM,71,0,United States,NBA 2009-2010 Players Information
Matt Carroll,GF,1.9811999999999999,96.16158244,29,DAL,25,6,United States,NBA 2009-2010 Players Information
Anthony Carter,PG,1.8541999999999998,86.1825503,34,DEN,54,11,United States,NBA 2009-2010 Players Information
Vince Carter,SF,1.9811999999999999,99.79032140000001,33,ORL,75,11,United States,NBA 2009-2010 Players Information
Omri Casspi,F,2.0574,102.05828325,21,SAC,77,0,Israel,NBA 2009-2010 Players Information
Mario Chalmers,G,1.8796,86.1825503,23,MIA,73,1,United States,NBA 2009-2010 Players Information
Tyson Chandler,C,2.159,108.8621688,27,CHA,51,8,United States,NBA 2009-2010 Players Information
Wilson Chandler,SF,2.0574,102.05828325,22,NYK,65,2,United States,NBA 2009-2010 Players Information
Earl Clark,F,2.0827999999999998,106.14061458,22,PHX,51,0,United States,NBA 2009-2010 Players Information
Jarron Collins,C,2.1082,112.49090776,31,PHX,34,8,United States,NBA 2009-2010 Players Information
Jason Collins,C,2.1336,115.66605435000001,31,ATL,24,8,United States,NBA 2009-2010 Players Information
Mardy Collins,G,1.9811999999999999,99.79032140000001,25,LAC,43,3,United States,NBA 2009-2010 Players Information
Darren Collison,PG,1.8288,79.37866475,22,NOP,76,0,United States,NBA 2009-2010 Players Information
Nick Collison,FC,2.0827999999999998,115.66605435000001,29,OKC,75,6,United States,NBA 2009-2010 Players Information
Mike Conley,PG,1.8288,79.37866475,22,MEM,80,2,United States,NBA 2009-2010 Players Information
Will Conroy,G,1.8796,88.45051215000001,27,HOU,5,1,United States,NBA 2009-2010 Players Information
Brian Cook,PF,2.0574,106.14061458,29,HOU,15,6,United States,NBA 2009-2010 Players Information
Daequan Cook,G,1.9558,92.98643585,22,MIA,45,2,United States,NBA 2009-2010 Players Information
Jamal Crawford,SG,1.9558,88.45051215000001,29,ATL,79,9,United States,NBA 2009-2010 Players Information
Dante Cunningham,F,2.032,104.32624510000001,22,POR,63,0,United States,NBA 2009-2010 Players Information
Eddy Curry,C,2.1336,133.80974915000002,27,NYK,7,8,United States,NBA 2009-2010 Players Information
JamesOn Curry,G,1.9304,90.718474,24,LAC,1,1,United States,NBA 2009-2010 Players Information
Stephen Curry,G,1.8796,83.91458845000001,21,GSW,80,0,United States,NBA 2009-2010 Players Information
Samuel Dalembert,C,2.1082,113.3980925,28,PHI,82,8,CanadaHaiti,NBA 2009-2010 Players Information
Erick Dampier,C,2.1082,120.20197805000001,34,DAL,55,13,United States,NBA 2009-2010 Players Information
Marquis Daniels,SF,1.9811999999999999,90.718474,29,BOS,51,6,United States,NBA 2009-2010 Players Information
Baron Davis,G,1.905,97.52235955,30,LAC,75,10,United States,NBA 2009-2010 Players Information
Glen Davis,PF,2.0574,131.08819493000001,24,BOS,54,2,United States,NBA 2009-2010 Players Information
Paul Davis,FC,2.1082,122.4699399,25,WAS,2,3,United States,NBA 2009-2010 Players Information
Ricky Davis,GF,2.0065999999999997,88.45051215000001,30,LAC,36,11,United States,NBA 2009-2010 Players Information
Austin Daye,F,2.1082,99.79032140000001,21,DET,69,0,United States,NBA 2009-2010 Players Information
DeMar DeRozan,GF,1.9811999999999999,99.79032140000001,20,TOR,77,0,United States,NBA 2009-2010 Players Information
Carlos Delfino,SG,1.9811999999999999,104.32624510000001,27,MIL,75,4,Argentina,NBA 2009-2010 Players Information
Luol Deng,GF,2.0574,99.79032140000001,24,CHI,70,5,EnglandSouth Sudan,NBA 2009-2010 Players Information
Boris Diaw,PF,2.032,113.3980925,27,CHA,82,6,France,NBA 2009-2010 Players Information
Yakhouba Diawara,SF,2.0065999999999997,102.05828325,27,MIA,6,3,France,NBA 2009-2010 Players Information
Travis Diener,PG,1.8541999999999998,78.92507238,28,"IND, POR",9,4,United StatesItaly,NBA 2009-2010 Players Information
DeSagana Diop,C,2.1336,127.00586360000001,28,CHA,27,8,Senegal,NBA 2009-2010 Players Information
Keyon Dooling,G,1.905,88.90410452,29,NJN,53,9,United States,NBA 2009-2010 Players Information
Joey Dorsey,FC,2.0574,124.73790175,26,"HOU, SAC",15,1,United States,NBA 2009-2010 Players Information
Toney Douglas,G,1.8796,88.45051215000001,23,NYK,56,0,United States,NBA 2009-2010 Players Information
Chris Douglas-Roberts,SF,2.0065999999999997,95.2543977,23,NJN,67,1,United States,NBA 2009-2010 Players Information
Goran Dragic,G,1.9304,86.1825503,23,PHX,80,1,Slovenia,NBA 2009-2010 Players Information
Jared Dudley,PF,2.0065999999999997,107.50139169,24,PHX,82,2,United States,NBA 2009-2010 Players Information
Chris Duhon,G,1.8541999999999998,86.1825503,27,NYK,67,5,United States,NBA 2009-2010 Players Information
Tim Duncan,FC,2.1082,113.3980925,33,SAS,78,12,United States,NBA 2009-2010 Players Information
