Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Tom Owens,FC,2.0827999999999998,97.52235955,31,POR,78,4,United States,NBA 1980-1981 Players Information
Robert Parish,C,2.1336,104.32624510000001,27,BOS,82,3,United States,NBA 1980-1981 Players Information
Sonny Parker,GF,1.9811999999999999,90.718474,25,GSW,72,4,United States,NBA 1980-1981 Players Information
Myles Patrick,F,2.032,99.79032140000001,26,LAL,3,0,United States,NBA 1980-1981 Players Information
Billy Paultz,FC,2.1082,106.59420695,32,HOU,81,4,United States,NBA 1980-1981 Players Information
Jim Paxson,SG,1.9811999999999999,90.718474,23,POR,79,1,United States,NBA 1980-1981 Players Information
Sam Pellom,PF,2.0574,102.05828325,29,ATL,77,1,United States,NBA 1980-1981 Players Information
Roger Phegley,SG,1.9811999999999999,92.98643585,24,CLE,82,2,United States,NBA 1980-1981 Players Information
Stan Pietkiewicz,SG,1.9558,90.718474,24,"DAL, SDC",41,2,United States,NBA 1980-1981 Players Information
Ben Poquette,FC,2.0574,106.59420695,25,UTA,82,3,United States,NBA 1980-1981 Players Information
Kevin Porter,PG,1.8288,77.1107029,30,WAS,81,8,United States,NBA 1980-1981 Players Information
Tony Price,SG,1.9811999999999999,86.1825503,24,SDC,4,1,United States,NBA 1980-1981 Players Information
Wally Rank,GF,1.9811999999999999,,23,SDC,24,0,United States,NBA 1980-1981 Players Information
Kelvin Ransey,G,1.8541999999999998,77.1107029,22,POR,80,0,United States,NBA 1980-1981 Players Information
Clifford Ray,FC,2.0574,104.32624510000001,32,GSW,64,9,United States,NBA 1980-1981 Players Information
James Ray,PF,2.032,97.52235955,23,DEN,18,0,United States,NBA 1980-1981 Players Information
Billy Reid,SG,1.9558,86.1825503,23,GSW,58,0,United States,NBA 1980-1981 Players Information
Robert Reid,GF,2.032,92.98643585,25,HOU,82,3,United States,NBA 1980-1981 Players Information
Kevin Restani,FC,2.0574,102.05828325,29,SAS,64,6,United States,NBA 1980-1981 Players Information
Clint Richardson,G,1.905,88.45051215000001,24,PHI,77,1,United States,NBA 1980-1981 Players Information
Micheal Ray Richardson,PG,1.9558,85.72895793,25,NYK,79,2,United States,NBA 1980-1981 Players Information
Anthony Roberts,SF,1.9558,83.91458845000001,25,WAS,26,3,United States,NBA 1980-1981 Players Information
Rick Robey,C,2.1082,104.32624510000001,25,BOS,82,2,United States,NBA 1980-1981 Players Information
Cliff Robinson,F,2.0574,99.79032140000001,20,NJN,63,1,United States,NBA 1980-1981 Players Information
Truck Robinson,F,2.0065999999999997,102.05828325,29,PHX,82,6,United States,NBA 1980-1981 Players Information
Wayne Robinson,PF,2.032,98.42954429000001,22,DET,80,0,United States,NBA 1980-1981 Players Information
Bill Robinzine,PF,2.0065999999999997,104.32624510000001,28,"CLE, DAL",78,5,United States,NBA 1980-1981 Players Information
Dave Robisch,FC,2.0827999999999998,106.59420695,31,"CLE, DEN",84,4,United States,NBA 1980-1981 Players Information
John Roche,PG,1.905,77.1107029,31,DEN,26,2,United States,NBA 1980-1981 Players Information
Tree Rollins,C,2.159,106.59420695,27,ATL,40,3,United States,NBA 1980-1981 Players Information
Lorenzo Romar,G,1.8541999999999998,79.37866475,22,GSW,53,0,United States,NBA 1980-1981 Players Information
Dan Roundfield,PF,2.032,92.98643585,27,ATL,63,4,United States,NBA 1980-1981 Players Information
Campy Russell,F,2.032,97.52235955,29,NYK,79,6,United States,NBA 1980-1981 Players Information
Frankie Sanders,SF,1.9811999999999999,90.718474,24,KCK,22,2,United States,NBA 1980-1981 Players Information
DeWayne Scales,PF,2.032,94.34721296000001,22,NYK,43,0,United States,NBA 1980-1981 Players Information
Alvin Scott,GF,2.0065999999999997,83.91458845000001,25,PHX,82,3,United States,NBA 1980-1981 Players Information
Craig Shelton,SF,2.0065999999999997,95.2543977,23,ATL,55,0,United States,NBA 1980-1981 Players Information
Lonnie Shelton,FC,2.032,108.8621688,25,SEA,14,4,United States,NBA 1980-1981 Players Information
Purvis Short,SF,2.0065999999999997,95.2543977,23,GSW,79,2,United States,NBA 1980-1981 Players Information
John Shumate,FC,2.0574,106.59420695,28,"SAN, SEA",24,6,United States,NBA 1980-1981 Players Information
Jerry Sichting,G,1.8541999999999998,76.20351816,24,IND,46,1,United States,NBA 1980-1981 Players Information
Jack Sikma,C,2.1082,104.32624510000001,25,SEA,82,3,United States,NBA 1980-1981 Players Information
James Silas,PG,1.8541999999999998,81.6466266,32,SAS,75,5,United States,NBA 1980-1981 Players Information
Larry Smith,PF,2.032,97.52235955,23,GSW,82,0,United States,NBA 1980-1981 Players Information
Phil Smith,SG,1.9304,83.91458845000001,28,SDC,76,6,United States,NBA 1980-1981 Players Information
Randy Smith,GF,1.905,81.6466266,32,CLE,82,9,United States,NBA 1980-1981 Players Information
Robert Smith,G,1.8034,74.84274105,25,CLE,1,3,United States,NBA 1980-1981 Players Information
Ricky Sobers,SG,1.905,89.81128926000001,28,CHI,71,5,United States,NBA 1980-1981 Players Information
Jim Spanarkel,GF,1.9558,86.1825503,23,DAL,82,1,United States,NBA 1980-1981 Players Information
Rory Sparrow,G,1.8796,79.37866475,22,NJN,15,0,United States,NBA 1980-1981 Players Information
John Stroud,SF,2.0065999999999997,97.52235955,23,HOU,9,0,United States,NBA 1980-1981 Players Information
Brian Taylor,G,1.8796,83.91458845000001,29,SDC,80,4,United States,NBA 1980-1981 Players Information
Carlos Terry,SG,1.9558,95.2543977,24,WAS,26,1,United States,NBA 1980-1981 Players Information
Reggie Theus,GF,2.0065999999999997,86.1825503,23,CHI,82,2,United States,NBA 1980-1981 Players Information
David Thompson,GF,1.9558,88.45051215000001,26,DEN,77,4,United States,NBA 1980-1981 Players Information
Mychal Thompson,FC,2.0827999999999998,102.51187562000001,26,POR,79,2,Bahamas,NBA 1980-1981 Players Information
Rudy Tomjanovich,F,2.032,98.88313666,32,HOU,52,10,United States,NBA 1980-1981 Players Information
Andrew Toney,G,1.905,80.73944186,23,PHI,75,0,United States,NBA 1980-1981 Players Information
Terry Tyler,GF,2.0065999999999997,97.52235955,24,DET,82,2,United States,NBA 1980-1981 Players Information
Wes Unseld,FC,2.0065999999999997,111.13013065000001,34,WAS,63,12,United States,NBA 1980-1981 Players Information
Ronnie Valentine,F,2.0065999999999997,95.2543977,23,DEN,24,0,United States,NBA 1980-1981 Players Information
Jan Van Breda Kolff,SF,2.0065999999999997,88.45051215000001,29,NJN,78,4,United States,NBA 1980-1981 Players Information
Kiki Vandeweghe,SF,2.032,99.79032140000001,22,DEN,51,0,United States,NBA 1980-1981 Players Information
Brett Vroman,C,2.1336,99.79032140000001,25,UTA,11,1,United States,NBA 1980-1981 Players Information
Foots Walker,PG,1.8288,78.01788764,29,NJN,41,6,United States,NBA 1980-1981 Players Information
Wally Walker,SF,2.0065999999999997,86.1825503,26,SEA,82,4,United States,NBA 1980-1981 Players Information
Lloyd Walton,PG,1.8288,72.57477920000001,27,KCK,61,4,United States,NBA 1980-1981 Players Information
Kermit Washington,FC,2.032,104.32624510000001,29,POR,73,7,United States,NBA 1980-1981 Players Information
Richard Washington,PF,2.1082,99.79032140000001,25,"CLE, DAL",80,4,United States,NBA 1980-1981 Players Information
Marvin Webster,C,2.159,102.05828325,28,NYK,82,4,United States,NBA 1980-1981 Players Information
