Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Paul Arizin,GF,1.9304,86.1825503,27,PHI,72,3,United States,NBA 1955-1956 Players Information
Jesse Arnelle,F,1.9558,102.05828325,22,FWP,31,0,United States,NBA 1955-1956 Players Information
Dick Atha,PG,1.8796,86.1825503,24,NYK,24,0,United States,NBA 1955-1956 Players Information
Jim Baechtold,F,1.9304,92.98643585,28,NYK,70,3,United States,NBA 1955-1956 Players Information
Ernie Barrett,GF,1.905,81.6466266,26,BOS,72,1,United States,NBA 1955-1956 Players Information
Ernie Beck,GF,1.9304,86.1825503,24,PHI,67,1,United States,NBA 1955-1956 Players Information
Don Bielke,C,2.032,108.8621688,-,FWP,7,0,United States,NBA 1955-1956 Players Information
Carl Braun,SG,1.9558,81.6466266,28,NYK,72,6,United States,NBA 1955-1956 Players Information
Frankie Brian,G,1.8541999999999998,81.6466266,32,FWP,36,6,United States,NBA 1955-1956 Players Information
Nat Clifton,PF,1.9811999999999999,99.79032140000001,33,NYK,63,5,United States,NBA 1955-1956 Players Information
Jack Coleman,PF,2.0065999999999997,88.45051215000001,31,"ROR, STH",76,6,United States,NBA 1955-1956 Players Information
Ed Conlin,F,1.9558,90.718474,22,SYR,66,0,United States,NBA 1955-1956 Players Information
Chuck Cooper,GF,1.9558,95.2543977,29,"FWP, STH",67,5,United States,NBA 1955-1956 Players Information
Bob Cousy,PG,1.8541999999999998,79.37866475,27,BOS,72,5,United States,NBA 1955-1956 Players Information
Red Davis,F,2.0065999999999997,99.79032140000001,24,ROR,4,0,United States,NBA 1955-1956 Players Information
Walt Davis,FC,2.032,92.98643585,25,PHI,70,2,United States,NBA 1955-1956 Players Information
George Dempsey,PG,1.8796,86.1825503,26,PHI,72,1,United States,NBA 1955-1956 Players Information
Corky Devlin,F,1.9558,90.718474,24,FWP,69,0,United States,NBA 1955-1956 Players Information
Walter Dukes,C,2.1336,99.79032140000001,25,NYK,60,0,United States,NBA 1955-1956 Players Information
Dick Farley,GF,1.9304,86.1825503,23,SYR,72,1,United States,NBA 1955-1956 Players Information
Ron Feiereisel,G,1.905,83.91458845000001,24,MIN,10,0,United States,NBA 1955-1956 Players Information
Ray Felix,C,2.1082,99.79032140000001,25,NYK,72,2,United States,NBA 1955-1956 Players Information
Al Ferrari,G,1.8796,86.1825503,22,STH,67,0,United States,NBA 1955-1956 Players Information
Ed Fleming,G,1.8796,81.6466266,22,ROR,71,0,United States,NBA 1955-1956 Players Information
Larry Foust,FC,2.0574,97.52235955,27,FWP,72,5,United States,NBA 1955-1956 Players Information
Harry Gallatin,FC,1.9811999999999999,95.2543977,28,NYK,72,7,United States,NBA 1955-1956 Players Information
Dick Garmaker,GF,1.905,90.718474,23,MIN,68,0,United States,NBA 1955-1956 Players Information
Jack George,G,1.8796,86.1825503,27,PHI,72,2,United States,NBA 1955-1956 Players Information
Tom Gola,GF,1.9811999999999999,92.98643585,23,PHI,68,0,United States,NBA 1955-1956 Players Information
Joe Graboski,FC,2.0065999999999997,88.45051215000001,26,PHI,72,6,United States,NBA 1955-1956 Players Information
Alex Hannum,FC,2.0065999999999997,95.2543977,32,STH,71,6,United States,NBA 1955-1956 Players Information
Chris Harris,SG,1.905,86.1825503,22,"ROR, STH",40,0,England,NBA 1955-1956 Players Information
Bob Harrison,G,1.8541999999999998,86.1825503,28,STH,72,6,United States,NBA 1955-1956 Players Information
Dick Hemric,F,1.9811999999999999,99.79032140000001,22,BOS,71,0,United States,NBA 1955-1956 Players Information
Larry Hennessy,G,1.905,83.91458845000001,26,PHI,54,0,United States,NBA 1955-1956 Players Information
Lew Hitch,FC,2.032,90.718474,26,MIN,69,4,United States,NBA 1955-1956 Players Information
Jim Holstein,SF,1.905,81.6466266,25,FWP,27,3,United States,NBA 1955-1956 Players Information
Johnny Horan,F,2.032,86.1825503,23,"FWP, MIN",19,0,United States,NBA 1955-1956 Players Information
Bob Houbregs,FC,2.0065999999999997,95.2543977,23,FWP,70,2,Canada,NBA 1955-1956 Players Information
Mel Hutchins,FC,1.9811999999999999,90.718474,27,FWP,66,4,United States,NBA 1955-1956 Players Information
Neil Johnston,C,2.032,95.2543977,27,PHI,70,4,United States,NBA 1955-1956 Players Information
Ed Kalafat,F,1.9811999999999999,111.13013065000001,23,MIN,72,1,United States,NBA 1955-1956 Players Information
Billy Kenville,G,1.8796,84.82177319,25,SYR,72,2,United States,NBA 1955-1956 Players Information
Red Kerr,FC,2.0574,104.32624510000001,23,SYR,72,1,United States,NBA 1955-1956 Players Information
George King,G,1.8288,79.37866475,27,SYR,72,4,United States,NBA 1955-1956 Players Information
Earl Lloyd,F,1.9558,102.05828325,27,SYR,72,4,United States,NBA 1955-1956 Players Information
Jim Loscutoff,F,1.9558,90.718474,26,BOS,71,0,United States,NBA 1955-1956 Players Information
Clyde Lovellette,FC,2.0827999999999998,106.14061458,26,MIN,71,2,United States,NBA 1955-1956 Players Information
Ed Macauley,FC,2.032,83.91458845000001,27,BOS,71,6,United States,NBA 1955-1956 Players Information
Slater Martin,PG,1.778,77.1107029,30,MIN,72,6,United States,NBA 1955-1956 Players Information
Dick McGuire,G,1.8288,81.6466266,30,NYK,62,6,United States,NBA 1955-1956 Players Information
Jack McMahon,G,1.8541999999999998,83.91458845000001,27,"ROR, STH",71,3,United States,NBA 1955-1956 Players Information
Monk Meineke,PF,2.0065999999999997,94.34721296000001,25,ROR,69,3,United States,NBA 1955-1956 Players Information
Chuck Mencel,G,1.8034,77.1107029,22,MIN,69,0,United States,NBA 1955-1956 Players Information
George Mikan,C,2.0827999999999998,111.13013065000001,31,MIN,37,6,United States,NBA 1955-1956 Players Information
Vern Mikkelsen,F,2.0065999999999997,104.32624510000001,27,MIN,72,6,United States,NBA 1955-1956 Players Information
Jackie Moore,F,1.9558,86.1825503,23,PHI,55,1,United States,NBA 1955-1956 Players Information
Red Morrison,FC,2.032,99.79032140000001,23,BOS,71,1,United States,NBA 1955-1956 Players Information
Jack Nichols,F,2.0065999999999997,100.69750614,29,BOS,60,6,United States,NBA 1955-1956 Players Information
Chuck Noble,SG,1.9304,90.718474,24,FWP,72,0,United States,NBA 1955-1956 Players Information
Togo Palazzi,F,1.9304,92.98643585,23,BOS,63,1,United States,NBA 1955-1956 Players Information
Med Park,GF,1.8796,92.98643585,22,STH,40,0,United States,NBA 1955-1956 Players Information
Bob Peterson,F,1.9558,95.2543977,24,NYK,58,2,United States,NBA 1955-1956 Players Information
Bob Pettit,FC,2.0574,92.98643585,23,STH,72,1,United States,NBA 1955-1956 Players Information
Andy Phillip,GF,1.8796,88.45051215000001,33,FWP,70,8,United States,NBA 1955-1956 Players Information
Richie Regan,G,1.8796,81.6466266,25,ROR,72,0,United States,NBA 1955-1956 Players Information
Dick Ricketts,F,2.0065999999999997,97.52235955,22,"ROR, STH",68,0,United States,NBA 1955-1956 Players Information
Arnie Risen,C,2.0574,90.718474,31,BOS,68,7,United States,NBA 1955-1956 Players Information
Red Rocha,FC,2.0574,83.91458845000001,32,SYR,72,7,United States,NBA 1955-1956 Players Information
Bob Santini,F,1.9558,86.1825503,24,NYK,4,0,United States,NBA 1955-1956 Players Information
