Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Tariq Abdul-Wahad,SF,1.9811999999999999,101.15109851000001,25,"DEN, ORL",61,2,France,NBA 1999-2000 Players Information
Shareef Abdur-Rahim,F,2.0574,102.05828325,23,VAN,82,3,United States,NBA 1999-2000 Players Information
Cory Alexander,G,1.8541999999999998,83.91458845000001,26,DEN,29,4,United States,NBA 1999-2000 Players Information
Ray Allen,SG,1.9558,92.98643585,24,MIL,82,3,United States,NBA 1999-2000 Players Information
Rafer Alston,G,1.8796,79.37866475,23,MIL,27,0,United States,NBA 1999-2000 Players Information
John Amaechi,C,2.0827999999999998,122.4699399,29,ORL,80,1,United States,NBA 1999-2000 Players Information
Derek Anderson,G,1.9558,87.99691978,25,LAC,64,2,United States,NBA 1999-2000 Players Information
Kenny Anderson,PG,1.8288,76.20351816,29,BOS,82,8,United States,NBA 1999-2000 Players Information
Nick Anderson,GF,1.9811999999999999,103.41906036,32,SAC,72,10,United States,NBA 1999-2000 Players Information
Shandon Anderson,GF,1.9811999999999999,94.34721296000001,26,HOU,82,3,United States,NBA 1999-2000 Players Information
Chris Anstey,C,2.1336,114.75886961,25,CHI,73,2,Australia,NBA 1999-2000 Players Information
Greg Anthony,PG,1.8288,79.83225712000001,32,POR,82,8,United States,NBA 1999-2000 Players Information
B.J. Armstrong,G,1.8796,79.37866475,32,CHI,27,10,United States,NBA 1999-2000 Players Information
Darrell Armstrong,PG,1.8288,77.1107029,31,ORL,82,5,United States,NBA 1999-2000 Players Information
Chucky Atkins,G,1.8034,83.91458845000001,25,ORL,82,1,United States,NBA 1999-2000 Players Information
Stacey Augmon,SF,1.9811999999999999,92.98643585,31,POR,59,8,United States,NBA 1999-2000 Players Information
Ike Austin,C,2.0827999999999998,115.66605435000001,30,WAS,59,6,United States,NBA 1999-2000 Players Information
Anthony Avent,F,2.0574,106.59420695,30,LAC,49,6,United States,NBA 1999-2000 Players Information
William Avery,PG,1.8796,89.35769689,20,MIN,59,0,United States,NBA 1999-2000 Players Information
Toby Bailey,G,1.9811999999999999,96.61517481,24,PHX,46,1,United States,NBA 1999-2000 Players Information
Vin Baker,PF,2.1082,108.8621688,28,SEA,79,6,United States,NBA 1999-2000 Players Information
Charles Barkley,PF,1.9811999999999999,114.30527724000001,37,HOU,20,15,United States,NBA 1999-2000 Players Information
Dana Barros,PG,1.8034,74.84274105,32,BOS,72,10,United States,NBA 1999-2000 Players Information
Brent Barry,G,2.0065999999999997,95.2543977,28,SEA,80,4,United States,NBA 1999-2000 Players Information
Drew Barry,G,1.9558,86.63614267,27,"ATL, GOS",16,3,United States,NBA 1999-2000 Players Information
Jon Barry,SG,1.9304,88.45051215000001,30,SAC,62,7,United States,NBA 1999-2000 Players Information
Tony Battie,PF,2.1082,104.32624510000001,24,BOS,82,2,United States,NBA 1999-2000 Players Information
Jonathan Bender,F,2.1082,91.62565874,19,IND,24,0,United States,NBA 1999-2000 Players Information
Benoit Benjamin,C,2.1336,113.3980925,35,CLE,3,14,United States,NBA 1999-2000 Players Information
Corey Benjamin,SG,1.9811999999999999,90.718474,22,CHI,48,1,United States,NBA 1999-2000 Players Information
Mario Bennett,C-F,1.9811999999999999,106.59420695,26,LAC,1,3,United States,NBA 1999-2000 Players Information
Travis Best,PG,1.8034,82.55381134000001,27,IND,82,4,United States,NBA 1999-2000 Players Information
Mike Bibby,G,1.8796,88.45051215000001,21,VAN,82,1,United States,NBA 1999-2000 Players Information
Chauncey Billups,G,1.905,95.2543977,23,DEN,13,2,United States,NBA 1999-2000 Players Information
Mookie Blaylock,PG,1.8541999999999998,86.1825503,32,GSW,73,10,United States,NBA 1999-2000 Players Information
Corie Blount,PF,2.0574,108.8621688,31,PHX,38,6,United States,NBA 1999-2000 Players Information
Muggsy Bogues,PG,1.6001999999999998,61.68856232,35,TOR,80,12,United States,NBA 1999-2000 Players Information
Etdrick Bohannon,F,2.0574,99.79032140000001,26,"LAC, NYK",13,2,United States,NBA 1999-2000 Players Information
Calvin Booth,C,2.1082,104.32624510000001,23,WAS,11,0,United States,NBA 1999-2000 Players Information
Lazaro Borrell,F,2.032,99.79032140000001,27,SEA,17,0,United StatesCuba,NBA 1999-2000 Players Information
Cal Bowdler,PF,2.0827999999999998,111.13013065000001,22,ATL,46,0,United States,NBA 1999-2000 Players Information
Bruce Bowen,F,2.0065999999999997,90.718474,28,"MIA, PHL",69,4,United States,NBA 1999-2000 Players Information
Ryan Bowen,F,2.0574,98.88313666,24,DEN,52,0,United States,NBA 1999-2000 Players Information
Ira Bowman,SG,1.9558,88.45051215000001,26,PHI,11,1,United States,NBA 1999-2000 Players Information
Earl Boykins,G,1.651,61.23496995,23,"CLE, ORL",26,1,United States,NBA 1999-2000 Players Information
Shawn Bradley,C,2.286,106.59420695,27,DAL,77,6,United StatesGermany,NBA 1999-2000 Players Information
A.J. Bramlett,F,2.0827999999999998,102.96546799000001,23,CLE,8,0,United States,NBA 1999-2000 Players Information
Elton Brand,PF,2.0574,115.21246198,20,CHI,81,0,United States,NBA 1999-2000 Players Information
Terrell Brandon,PG,1.8034,81.6466266,29,MIN,71,8,United States,NBA 1999-2000 Players Information
Chucky Brown,SF,2.0065999999999997,97.06876718000001,32,"CHA, SAN",63,10,United States,NBA 1999-2000 Players Information
Dee Brown,PG,1.8541999999999998,72.57477920000001,31,TOR,38,9,United States,NBA 1999-2000 Players Information
Marcus Brown,G,1.905,83.91458845000001,25,DET,6,2,United States,NBA 1999-2000 Players Information
P.J. Brown,C,2.1082,102.05828325,30,MIA,80,6,United States,NBA 1999-2000 Players Information
Randy Brown,PG,1.8796,86.1825503,31,CHI,59,8,United States,NBA 1999-2000 Players Information
Rick Brunson,SG,1.9304,86.1825503,27,NYK,37,3,United States,NBA 1999-2000 Players Information
Kobe Bryant,SG,1.9811999999999999,96.16158244,21,LAL,66,3,United States,NBA 1999-2000 Players Information
Mark Bryant,PF,2.0574,111.13013065000001,34,CLE,75,11,United States,NBA 1999-2000 Players Information
Greg Buckner,G-F,1.9304,95.2543977,23,DAL,48,1,United States,NBA 1999-2000 Players Information
Jud Buechler,SF,1.9811999999999999,99.79032140000001,31,DET,58,9,United States,NBA 1999-2000 Players Information
Rodney Buford,SF,1.9558,85.72895793,22,MIA,34,0,United States,NBA 1999-2000 Players Information
Matt Bullard,PF,2.0827999999999998,97.52235955,32,HOU,56,8,United States,NBA 1999-2000 Players Information
Scott Burrell,G-F,2.0065999999999997,98.88313666,29,NJN,74,6,United States,NBA 1999-2000 Players Information
Jason Caffey,PF,2.032,115.66605435000001,26,GSW,71,4,United States,NBA 1999-2000 Players Information
Michael Cage,PF,2.0574,101.60469088,38,NJN,20,15,United States,NBA 1999-2000 Players Information
Marcus Camby,C,2.1082,108.8621688,25,NYK,59,3,United States,NBA 1999-2000 Players Information
Elden Campbell,FC,2.1082,97.52235955,31,CHA,78,9,United States,NBA 1999-2000 Players Information
Antoine Carr,PF,2.0574,102.05828325,38,VAN,21,15,United States,NBA 1999-2000 Players Information
Chris Carr,G,1.9558,93.89362059,25,"CHI, GOS",57,4,United States,NBA 1999-2000 Players Information
Anthony Carter,PG,1.8541999999999998,86.1825503,24,MIA,79,1,United States,NBA 1999-2000 Players Information
Vince Carter,SF,1.9811999999999999,99.79032140000001,23,TOR,82,1,United States,NBA 1999-2000 Players Information
Sam Cassell,G,1.905,83.91458845000001,30,MIL,81,6,United States,NBA 1999-2000 Players Information
Kelvin Cato,C,2.1082,115.66605435000001,25,HOU,65,2,United States,NBA 1999-2000 Players Information
Duane Causwell,C,2.1336,108.8621688,31,MIA,25,9,United States,NBA 1999-2000 Players Information
Cedric Ceballos,SF,1.9811999999999999,86.1825503,30,DAL,69,9,United States,NBA 1999-2000 Players Information
John Celestand,G,1.9304,80.73944186,22,LAL,16,0,United States,NBA 1999-2000 Players Information
Rex Chapman,SG,1.9304,83.91458845000001,32,PHX,53,11,United States,NBA 1999-2000 Players Information
Calbert Cheaney,GF,2.0065999999999997,94.80080533,28,BOS,67,6,United States,NBA 1999-2000 Players Information
Pete Chilcutt,F,2.0827999999999998,104.32624510000001,31,"CLE, LAC, UTH",56,8,United States,NBA 1999-2000 Players Information
Chris Childs,SG,1.905,88.45051215000001,32,NYK,71,6,United States,NBA 1999-2000 Players Information
Doug Christie,SG,1.9811999999999999,90.718474,29,TOR,73,7,United States,NBA 1999-2000 Players Information
Keon Clark,C,2.1082,100.24391377,24,DEN,81,1,United States,NBA 1999-2000 Players Information
Keith Closs,C,2.1844,97.52235955,23,LAC,57,2,United States,NBA 1999-2000 Players Information
Derrick Coleman,FC,2.0827999999999998,104.32624510000001,32,CHA,74,9,United States,NBA 1999-2000 Players Information
Bimbo Coles,SG,1.8541999999999998,81.6466266,31,ATL,80,9,United States,NBA 1999-2000 Players Information
Marty Conlon,F-C,2.0827999999999998,101.60469088,32,LAC,3,9,United States,NBA 1999-2000 Players Information
Tyrone Corbin,F,1.9811999999999999,95.2543977,37,SAC,54,14,United States,NBA 1999-2000 Players Information
Chris Crawford,PF,2.0574,106.59420695,24,ATL,55,2,United States,NBA 1999-2000 Players Information
Austin Croshere,F,2.0574,106.59420695,24,IND,81,2,United States,NBA 1999-2000 Players Information
John Crotty,PG,1.8541999999999998,83.91458845000001,30,DET,69,8,United States,NBA 1999-2000 Players Information
Terry Cummings,PF,2.0574,99.79032140000001,38,GSW,22,17,United States,NBA 1999-2000 Players Information
Vonteego Cummings,PG,1.9304,86.1825503,24,GSW,75,0,United States,NBA 1999-2000 Players Information
Bill Curley,F,2.0574,99.79032140000001,27,"GOS, HOU",28,5,United States,NBA 1999-2000 Players Information
Dell Curry,SG,1.9304,86.1825503,35,TOR,67,13,United States,NBA 1999-2000 Players Information
Michael Curry,F-G,1.9558,95.2543977,31,DET,82,6,United States,NBA 1999-2000 Players Information
Erick Dampier,C,2.1082,120.20197805000001,24,GSW,21,3,United States,NBA 1999-2000 Players Information
Antonio Daniels,G,1.9304,88.45051215000001,24,SAS,68,2,United States,NBA 1999-2000 Players Information
Kornel David,F,2.0574,106.59420695,28,"CHI, CLE",32,2,Hungary,NBA 1999-2000 Players Information
Antonio Davis,FC,2.0574,111.13013065000001,31,TOR,79,6,United States,NBA 1999-2000 Players Information
Baron Davis,G,1.905,97.52235955,20,CHA,82,0,United States,NBA 1999-2000 Players Information
Ben Davis,FC,2.0574,108.8621688,27,PHX,5,3,United States,NBA 1999-2000 Players Information
Dale Davis,C-F,2.1082,114.30527724000001,30,IND,74,8,United States,NBA 1999-2000 Players Information
Emanual Davis,SG,1.9304,88.45051215000001,31,SEA,54,4,United States,NBA 1999-2000 Players Information
Hubert Davis,SF,1.9558,83.00740371,29,DAL,79,7,United States,NBA 1999-2000 Players Information
Mark Davis,G-F,2.0065999999999997,95.2543977,26,GSW,23,4,United States,NBA 1999-2000 Players Information
Ricky Davis,GF,2.0065999999999997,88.45051215000001,20,CHA,48,1,United States,NBA 1999-2000 Players Information
Todd Day,GF,1.9811999999999999,85.27536556,30,PHX,58,6,United States,NBA 1999-2000 Players Information
Andrew DeClercq,C,2.0827999999999998,104.32624510000001,27,CLE,82,4,United States,NBA 1999-2000 Players Information
Vinny Del Negro,SG,1.9304,83.91458845000001,33,MIL,67,9,United States,NBA 1999-2000 Players Information
Tony Delk,G,1.8541999999999998,85.72895793,26,SAC,46,3,United States,NBA 1999-2000 Players Information
Derrick Dial,G,1.9304,83.46099608,24,SAS,8,0,United States,NBA 1999-2000 Players Information
Michael Dickerson,SG,1.9558,86.1825503,24,VAN,82,1,United States,NBA 1999-2000 Players Information
Vlade Divac,C,2.159,117.9340162,32,SAC,82,10,Serbia,NBA 1999-2000 Players Information
Michael Doleac,C,2.1082,118.84120094000001,22,ORL,81,1,United States,NBA 1999-2000 Players Information
Sherman Douglas,PG,1.8288,81.6466266,33,NJN,20,10,United States,NBA 1999-2000 Players Information
Bryce Drew,SG,1.8796,83.91458845000001,25,HOU,72,1,United States,NBA 1999-2000 Players Information
Chris Dudley,C,2.1082,106.59420695,35,NYK,47,12,United States,NBA 1999-2000 Players Information
Tim Duncan,FC,2.1082,113.3980925,23,SAS,74,2,United States,NBA 1999-2000 Players Information
Howard Eisley,G,1.8796,80.28584949,27,UTA,82,5,United States,NBA 1999-2000 Players Information
Obinna Ekezie,C,2.0574,122.4699399,24,VAN,39,0,Nigeria,NBA 1999-2000 Players Information
Mario Elie,SG,1.9558,95.2543977,36,SAS,79,9,United States,NBA 1999-2000 Players Information
Sean Elliott,SF,2.032,92.98643585,32,SAS,19,10,United States,NBA 1999-2000 Players Information
Dale Ellis,GF,2.0065999999999997,92.98643585,39,"CHA, MIL",42,16,United States,NBA 1999-2000 Players Information
LaPhonso Ellis,PF,2.032,108.8621688,29,ATL,58,7,United States,NBA 1999-2000 Players Information
Pervis Ellison,C,2.0574,95.2543977,32,BOS,30,10,United States,NBA 1999-2000 Players Information
Evan Eschmeyer,C,2.1082,115.66605435000001,24,NJN,31,0,United States,NBA 1999-2000 Players Information
Patrick Ewing,C,2.1336,108.8621688,37,NYK,62,14,United StatesJamaica,NBA 1999-2000 Players Information
Tony Farmer,F,2.0574,110.67653828,30,GSW,74,5,United States,NBA 1999-2000 Players Information
Jamie Feick,F,2.0574,115.66605435000001,25,NJN,81,3,United States,NBA 1999-2000 Players Information
Danny Ferry,PF,2.0827999999999998,104.32624510000001,33,CLE,63,9,United States,NBA 1999-2000 Players Information
Michael Finley,G-F,2.0065999999999997,102.05828325,26,DAL,82,4,United States,NBA 1999-2000 Players Information
Derek Fisher,G,1.8541999999999998,95.2543977,25,LAL,78,3,United States,NBA 1999-2000 Players Information
Danny Fortson,F,2.0065999999999997,117.9340162,23,BOS,55,2,United States,NBA 1999-2000 Players Information
Greg Foster,C,2.1082,108.8621688,31,SEA,60,9,United States,NBA 1999-2000 Players Information
Jeff Foster,C,2.1082,107.04779932000001,23,IND,19,0,United States,NBA 1999-2000 Players Information
Rick Fox,SF,2.0065999999999997,104.32624510000001,30,LAL,82,8,CanadaBahamas,NBA 1999-2000 Players Information
Adonal Foyle,C,2.0827999999999998,113.3980925,24,GSW,76,2,Saint Vincent and the GrenadinesUnited States,NBA 1999-2000 Players Information
Steve Francis,G,1.905,88.45051215000001,23,HOU,77,0,United States,NBA 1999-2000 Players Information
Todd Fuller,C,2.1082,115.66605435000001,25,CHA,41,3,United States,NBA 1999-2000 Players Information
Lawrence Funderburke,PF,2.0574,104.32624510000001,29,SAC,75,2,United States,NBA 1999-2000 Players Information
Kevin Garnett,PF,2.1082,108.8621688,23,MIN,81,4,United States,NBA 1999-2000 Players Information
Dean Garrett,C,2.0827999999999998,102.05828325,33,MIN,56,6,United States,NBA 1999-2000 Players Information
Kiwane Garris,G,1.8796,83.00740371,25,ORL,3,1,United States,NBA 1999-2000 Players Information
Pat Garrity,F,2.0574,107.95498406,23,ORL,82,1,United States,NBA 1999-2000 Players Information
Chris Gatling,PF,2.0827999999999998,99.79032140000001,32,"DEN, ORL",85,8,United States,NBA 1999-2000 Players Information
Matt Geiger,C,2.1336,110.22294591,30,PHI,65,7,United States,NBA 1999-2000 Players Information
Devean George,F-G,2.032,106.59420695,22,LAL,49,0,United States,NBA 1999-2000 Players Information
Kendall Gill,SG,1.9558,88.45051215000001,31,NJN,76,9,United States,NBA 1999-2000 Players Information
Armen Gilliam,PF,2.0574,104.32624510000001,35,UTA,50,12,United States,NBA 1999-2000 Players Information
Dion Glover,GF,1.9558,103.41906036,21,ATL,30,0,United States,NBA 1999-2000 Players Information
Brian Grant,PF,2.0574,115.21246198,27,POR,63,5,United States,NBA 1999-2000 Players Information
Gary Grant,G,1.905,83.91458845000001,34,POR,3,11,United States,NBA 1999-2000 Players Information
Horace Grant,PF,2.0827999999999998,115.66605435000001,34,SEA,76,12,United States,NBA 1999-2000 Players Information
Devin Gray,F,2.0065999999999997,108.8621688,27,HOU,21,2,United States,NBA 1999-2000 Players Information
A.C. Green,PF,2.0574,99.79032140000001,36,LAL,82,14,United States,NBA 1999-2000 Players Information
Adrian Griffin,G-F,1.9558,98.42954429000001,25,BOS,72,1,United States,NBA 1999-2000 Players Information
Tom Gugliotta,PF,2.0827999999999998,108.8621688,30,PHX,54,7,United States,NBA 1999-2000 Players Information
Darvin Ham,F-G,2.0065999999999997,99.79032140000001,26,MIL,35,2,United States,NBA 1999-2000 Players Information
Richard Hamilton,SG,2.0065999999999997,87.54332741,22,WAS,71,0,United States,NBA 1999-2000 Players Information
Thomas Hamilton,C,2.1844,149.6854821,24,HOU,22,4,United States,NBA 1999-2000 Players Information
Tom Hammonds,PF,2.0574,97.52235955,32,MIN,56,10,United States,NBA 1999-2000 Players Information
Penny Hardaway,PG,2.0065999999999997,88.45051215000001,28,PHX,60,6,United States,NBA 1999-2000 Players Information
Tim Hardaway,PG,1.8288,79.37866475,33,MIA,52,10,United States,NBA 1999-2000 Players Information
Ron Harper,SG,1.9811999999999999,83.91458845000001,36,LAL,80,13,United States,NBA 1999-2000 Players Information
Matt Harpring,F,2.0065999999999997,104.32624510000001,23,ORL,4,1,United States,NBA 1999-2000 Players Information
Al Harrington,F,2.0574,111.13013065000001,20,IND,50,1,United States,NBA 1999-2000 Players Information
