Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Mahmoud Abdul-Rauf,PG,1.8288,73.48196394,28,SAC,31,7,United States,NBA 1997-1998 Players Information
Tariq Abdul-Wahad,SF,1.9811999999999999,101.15109851000001,23,SAC,59,0,France,NBA 1997-1998 Players Information
Shareef Abdur-Rahim,F,2.0574,102.05828325,21,VAN,82,1,United States,NBA 1997-1998 Players Information
Cory Alexander,G,1.8541999999999998,83.91458845000001,24,"DEN, SAN",60,2,United States,NBA 1997-1998 Players Information
Ray Allen,SG,1.9558,92.98643585,22,MIL,82,1,United States,NBA 1997-1998 Players Information
Cadillac Anderson,PF,2.0827999999999998,104.32624510000001,33,ATL,50,9,United States,NBA 1997-1998 Players Information
Derek Anderson,G,1.9558,87.99691978,23,CLE,66,0,United States,NBA 1997-1998 Players Information
Kenny Anderson,PG,1.8288,76.20351816,27,"BOS, POR",61,6,United States,NBA 1997-1998 Players Information
Nick Anderson,GF,1.9811999999999999,103.41906036,30,ORL,58,8,United States,NBA 1997-1998 Players Information
Shandon Anderson,GF,1.9811999999999999,94.34721296000001,24,UTA,82,1,United States,NBA 1997-1998 Players Information
Chris Anstey,C,2.1336,114.75886961,23,DAL,41,0,Australia,NBA 1997-1998 Players Information
Greg Anthony,PG,1.8288,79.83225712000001,30,SEA,80,6,United States,NBA 1997-1998 Players Information
B.J. Armstrong,G,1.8796,79.37866475,30,"CHA, GOS",66,8,United States,NBA 1997-1998 Players Information
Darrell Armstrong,PG,1.8288,77.1107029,29,ORL,48,3,United States,NBA 1997-1998 Players Information
Vincent Askew,GF,1.9811999999999999,95.2543977,32,POR,30,9,United States,NBA 1997-1998 Players Information
Keith Askins,F,2.0065999999999997,89.35769689,30,MIA,46,7,United States,NBA 1997-1998 Players Information
Stacey Augmon,SF,1.9811999999999999,92.98643585,29,POR,71,6,United States,NBA 1997-1998 Players Information
Ike Austin,C,2.0827999999999998,115.66605435000001,28,"LAC, MIA",78,4,United States,NBA 1997-1998 Players Information
Vin Baker,PF,2.1082,108.8621688,26,SEA,82,4,United States,NBA 1997-1998 Players Information
Charles Barkley,PF,1.9811999999999999,114.30527724000001,35,HOU,68,13,United States,NBA 1997-1998 Players Information
Dana Barros,PG,1.8034,74.84274105,30,BOS,80,8,United States,NBA 1997-1998 Players Information
Brent Barry,G,2.0065999999999997,95.2543977,26,"LAC, MIA",58,2,United States,NBA 1997-1998 Players Information
Drew Barry,G,1.9558,86.63614267,25,ATL,27,1,United States,NBA 1997-1998 Players Information
Jon Barry,SG,1.9304,88.45051215000001,28,LAL,49,5,United States,NBA 1997-1998 Players Information
Tony Battie,PF,2.1082,104.32624510000001,22,DEN,65,0,United States,NBA 1997-1998 Players Information
Corey Beck,G,1.8541999999999998,86.1825503,26,CHA,59,2,United States,NBA 1997-1998 Players Information
Benoit Benjamin,C,2.1336,113.3980925,33,PHI,14,12,United States,NBA 1997-1998 Players Information
Mario Bennett,C-F,1.9811999999999999,106.59420695,24,LAL,45,1,United States,NBA 1997-1998 Players Information
David Benoit,F,2.032,99.79032140000001,29,"NJN, ORL",77,5,United States,NBA 1997-1998 Players Information
Travis Best,PG,1.8034,82.55381134000001,25,IND,82,2,United States,NBA 1997-1998 Players Information
Chauncey Billups,G,1.905,95.2543977,21,"BOS, TOR",80,0,United States,NBA 1997-1998 Players Information
Mookie Blaylock,PG,1.8541999999999998,86.1825503,30,ATL,70,8,United States,NBA 1997-1998 Players Information
Corie Blount,PF,2.0574,108.8621688,29,LAL,70,4,United States,NBA 1997-1998 Players Information
Muggsy Bogues,PG,1.6001999999999998,61.68856232,33,"CHA, GOS",61,10,United States,NBA 1997-1998 Players Information
Etdrick Bohannon,F,2.0574,99.79032140000001,24,IND,5,0,United States,NBA 1997-1998 Players Information
Keith Booth,F,1.9811999999999999,102.51187562000001,23,CHI,6,0,United States,NBA 1997-1998 Players Information
Bruce Bowen,F,2.0065999999999997,90.718474,26,BOS,61,2,United States,NBA 1997-1998 Players Information
Anthony Bowie,GF,1.9811999999999999,86.1825503,34,NYK,27,10,United States,NBA 1997-1998 Players Information
Shawn Bradley,C,2.286,106.59420695,25,DAL,64,4,United StatesGermany,NBA 1997-1998 Players Information
Terrell Brandon,PG,1.8034,81.6466266,27,MIL,50,6,United States,NBA 1997-1998 Players Information
Tim Breaux,F,2.0065999999999997,97.52235955,27,MIL,6,3,United States,NBA 1997-1998 Players Information
Scott Brooks,PG,1.8034,74.84274105,32,CLE,43,10,United States,NBA 1997-1998 Players Information
Chucky Brown,SF,2.0065999999999997,97.06876718000001,30,ATL,77,8,United States,NBA 1997-1998 Players Information
Dee Brown,PG,1.8541999999999998,72.57477920000001,29,"BOS, TOR",72,7,United States,NBA 1997-1998 Players Information
P.J. Brown,C,2.1082,102.05828325,28,MIA,74,4,United States,NBA 1997-1998 Players Information
Randy Brown,PG,1.8796,86.1825503,29,CHI,71,6,United States,NBA 1997-1998 Players Information
Rick Brunson,SG,1.9304,86.1825503,25,POR,38,1,United States,NBA 1997-1998 Players Information
Kobe Bryant,SG,1.9811999999999999,96.16158244,19,LAL,79,1,United States,NBA 1997-1998 Players Information
Mark Bryant,PF,2.0574,111.13013065000001,32,PHX,70,9,United States,NBA 1997-1998 Players Information
Jud Buechler,SF,1.9811999999999999,99.79032140000001,29,CHI,74,7,United States,NBA 1997-1998 Players Information
Matt Bullard,PF,2.0827999999999998,97.52235955,30,HOU,67,6,United States,NBA 1997-1998 Players Information
Scott Burrell,G-F,2.0065999999999997,98.88313666,27,CHI,80,4,United States,NBA 1997-1998 Players Information
Willie Burton,G,1.9811999999999999,95.2543977,29,SAS,13,6,United States,NBA 1997-1998 Players Information
Mitchell Butler,SG,1.9558,95.2543977,27,CLE,18,4,United States,NBA 1997-1998 Players Information
Jason Caffey,PF,2.032,115.66605435000001,24,"CHI, GOS",80,2,United States,NBA 1997-1998 Players Information
Michael Cage,PF,2.0574,101.60469088,36,NJN,79,13,United States,NBA 1997-1998 Players Information
Adrian Caldwell,PF,2.032,120.20197805000001,31,DAL,1,5,United States,NBA 1997-1998 Players Information
Marcus Camby,C,2.1082,108.8621688,23,TOR,63,1,United States,NBA 1997-1998 Players Information
Elden Campbell,FC,2.1082,97.52235955,29,LAL,81,7,United States,NBA 1997-1998 Players Information
Antoine Carr,PF,2.0574,102.05828325,36,UTA,66,13,United States,NBA 1997-1998 Players Information
Chris Carr,G,1.9558,93.89362059,23,MIN,51,2,United States,NBA 1997-1998 Players Information
Sam Cassell,G,1.905,83.91458845000001,28,NJN,75,4,United States,NBA 1997-1998 Players Information
Kelvin Cato,C,2.1082,115.66605435000001,23,POR,74,0,United States,NBA 1997-1998 Players Information
Duane Causwell,C,2.1336,108.8621688,29,MIA,37,7,United States,NBA 1997-1998 Players Information
