Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Zaid Abdul-Aziz,FC,2.0574,106.59420695,22,"CIN, MIL",48,0,United States,NBA 1968-1969 Players Information
Mahdi Abdul-Rahman,G,1.8796,83.91458845000001,26,ATL,80,4,United States,NBA 1968-1969 Players Information
Rick Adelman,PG,1.8541999999999998,79.37866475,22,SDR,75,0,United States,NBA 1968-1969 Players Information
Bob Allen,F,2.0574,92.98643585,22,GSW,26,0,United States,NBA 1968-1969 Players Information
Cliff Anderson,G,1.8796,90.718474,24,LAL,33,1,United States,NBA 1968-1969 Players Information
Al Attles,PG,1.8288,79.37866475,32,GSW,52,8,United States,NBA 1968-1969 Players Information
Harry Barnes,G,1.905,92.98643585,23,SDR,22,0,United States,NBA 1968-1969 Players Information
Jim Barnes,FC,2.032,95.2543977,27,"BOS, CHI",59,4,United States,NBA 1968-1969 Players Information
Dick Barnett,SG,1.9304,86.1825503,32,NYK,82,8,United States,NBA 1968-1969 Players Information
Jim Barnett,GF,1.9304,77.1107029,24,SDR,80,2,United States,NBA 1968-1969 Players Information
John Barnhill,G,1.8541999999999998,81.6466266,30,WAS,30,6,United States,NBA 1968-1969 Players Information
Elgin Baylor,F,1.9558,102.05828325,34,LAL,76,10,United States,NBA 1968-1969 Players Information
Zelmo Beaty,FC,2.0574,102.05828325,29,ATL,72,6,United States,NBA 1968-1969 Players Information
Walt Bellamy,C,2.1082,102.05828325,29,"DET, NYK",88,7,United States,NBA 1968-1969 Players Information
Eddie Biedenbach,G,1.8541999999999998,79.37866475,23,PHX,7,0,United States,NBA 1968-1969 Players Information
Dave Bing,G,1.905,81.6466266,25,DET,77,2,United States,NBA 1968-1969 Players Information
John Block,FC,2.0574,93.89362059,24,SDR,78,2,United States,NBA 1968-1969 Players Information
Tom Boerwinkle,C,2.1336,120.20197805000001,23,CHI,81,0,United States,NBA 1968-1969 Players Information
Bob Boozer,PF,2.032,97.52235955,31,CHI,79,8,United States,NBA 1968-1969 Players Information
Nate Bowman,C,2.0827999999999998,104.32624510000001,25,NYK,67,2,United States,NBA 1968-1969 Players Information
Bill Bradley,GF,1.9558,92.98643585,25,NYK,82,1,United States,NBA 1968-1969 Players Information
Bill Bridges,FC,1.9811999999999999,103.41906036,29,ATL,80,6,United States,NBA 1968-1969 Players Information
Emmette Bryant,PG,1.8541999999999998,79.37866475,30,BOS,80,4,United States,NBA 1968-1969 Players Information
Joe Caldwell,GF,1.9558,88.45051215000001,27,ATL,81,4,United States,NBA 1968-1969 Players Information
Jay Carty,FC,2.032,99.79032140000001,27,LAL,27,0,United States,NBA 1968-1969 Players Information
Wilt Chamberlain,C,2.159,120.20197805000001,32,LAL,81,9,United States,NBA 1968-1969 Players Information
Don Chaney,G,1.9558,95.2543977,22,BOS,20,0,United States,NBA 1968-1969 Players Information
Len Chappell,PF,2.032,108.8621688,28,MIL,80,6,United States,NBA 1968-1969 Players Information
Archie Clark,G,1.8796,79.37866475,27,PHI,82,2,United States,NBA 1968-1969 Players Information
Barry Clemens,PF,1.9811999999999999,95.2543977,25,CHI,75,3,United States,NBA 1968-1969 Players Information
Mel Counts,FC,2.1336,104.32624510000001,27,LAL,77,4,United States,NBA 1968-1969 Players Information
Freddie Crawford,SG,1.9304,85.72895793,27,LAL,81,2,United States,NBA 1968-1969 Players Information
Billy Cunningham,FC,2.0065999999999997,95.2543977,25,PHI,82,3,United States,NBA 1968-1969 Players Information
