Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Shareef Abdur-Rahim,F,2.0574,102.05828325,27,"ATL, POR",85,7,United States,NBA 2003-2004 Players Information
Malik Allen,F,2.0827999999999998,115.66605435000001,25,MIA,45,3,United States,NBA 2003-2004 Players Information
Ray Allen,SG,1.9558,92.98643585,28,SEA,56,7,United States,NBA 2003-2004 Players Information
Rafer Alston,G,1.8796,79.37866475,27,MIA,82,4,United States,NBA 2003-2004 Players Information
Chris Andersen,FC,2.0827999999999998,111.13013065000001,25,DEN,71,2,United States,NBA 2003-2004 Players Information
Derek Anderson,G,1.9558,87.99691978,29,POR,51,6,United States,NBA 2003-2004 Players Information
Kenny Anderson,PG,1.8288,76.20351816,33,IND,44,12,United States,NBA 2003-2004 Players Information
Shandon Anderson,GF,1.9811999999999999,94.34721296000001,30,NYK,80,7,United States,NBA 2003-2004 Players Information
Carmelo Anthony,F,2.032,108.8621688,19,DEN,82,0,United States,NBA 2003-2004 Players Information
Robert Archibald,PF,2.1082,113.3980925,23,"ORL, PHX, TOR",32,1,Scotland,NBA 2003-2004 Players Information
Gilbert Arenas,G,1.905,86.63614267,22,WAS,56,2,United States,NBA 2003-2004 Players Information
Brandon Armstrong,SG,1.9558,83.91458845000001,23,NJN,56,2,United States,NBA 2003-2004 Players Information
Darrell Armstrong,PG,1.8288,77.1107029,35,NOP,79,9,United States,NBA 2003-2004 Players Information
Carlos Arroyo,PG,1.8796,91.62565874,24,UTA,71,2,Puerto RicoUnited States,NBA 2003-2004 Players Information
Chucky Atkins,G,1.8034,83.91458845000001,29,"BOS, DET",64,5,United States,NBA 2003-2004 Players Information
Stacey Augmon,SF,1.9811999999999999,92.98643585,35,NOP,69,12,United States,NBA 2003-2004 Players Information
Vin Baker,PF,2.1082,108.8621688,32,"BOS, NYK",54,10,United States,NBA 2003-2004 Players Information
Marcus Banks,G,1.8796,90.718474,22,BOS,81,0,United States,NBA 2003-2004 Players Information
Leandro Barbosa,G,1.905,87.99691978,21,PHX,70,0,Brazil,NBA 2003-2004 Players Information
Matt Barnes,GF,2.0065999999999997,102.51187562000001,23,LAC,38,1,United States,NBA 2003-2004 Players Information
Dana Barros,PG,1.8034,74.84274105,36,BOS,1,13,United States,NBA 2003-2004 Players Information
Brent Barry,G,2.0065999999999997,95.2543977,32,SEA,59,8,United States,NBA 2003-2004 Players Information
Jon Barry,SG,1.9304,88.45051215000001,34,DEN,57,11,United States,NBA 2003-2004 Players Information
Tony Battie,PF,2.1082,104.32624510000001,28,"BOS, CLE",73,6,United States,NBA 2003-2004 Players Information
Shane Battier,F,2.032,99.79032140000001,25,MEM,79,2,United States,NBA 2003-2004 Players Information
Lonny Baxter,PF,2.032,117.9340162,25,"CHI, TOR, WAS",62,1,United States,NBA 2003-2004 Players Information
Jerome Beasley,PF,2.0827999999999998,107.50139169,23,MIA,2,0,United States,NBA 2003-2004 Players Information
Raja Bell,SG,1.9558,92.53284348000001,27,UTA,82,4,United States,NBA 2003-2004 Players Information
Troy Bell,G,1.8541999999999998,81.6466266,23,MEM,6,0,United States,NBA 2003-2004 Players Information
Jonathan Bender,F,2.1082,91.62565874,23,IND,21,4,United States,NBA 2003-2004 Players Information
Travis Best,PG,1.8034,82.55381134000001,31,DAL,61,8,United States,NBA 2003-2004 Players Information
Mike Bibby,G,1.8796,88.45051215000001,25,SAC,82,5,United States,NBA 2003-2004 Players Information
Chauncey Billups,G,1.905,95.2543977,27,DET,78,6,United States,NBA 2003-2004 Players Information
Steve Blake,G,1.905,78.01788764,24,WAS,75,0,United States,NBA 2003-2004 Players Information
Corie Blount,PF,2.0574,108.8621688,35,"CHI, TOR",62,10,United States,NBA 2003-2004 Players Information
Mark Blount,C-F,2.1336,113.3980925,28,BOS,82,4,United States,NBA 2003-2004 Players Information
Keith Bogans,GF,1.9558,97.52235955,23,ORL,73,0,United States,NBA 2003-2004 Players Information
Calvin Booth,C,2.1082,104.32624510000001,27,SEA,71,4,United States,NBA 2003-2004 Players Information
Carlos Boozer,PF,2.0574,120.65557042,22,CLE,75,1,GermanyUnited States,NBA 2003-2004 Players Information
Curtis Borchardt,C,2.1336,108.8621688,23,UTA,16,1,United States,NBA 2003-2004 Players Information
Chris Bosh,PF,2.1082,106.59420695,19,TOR,75,0,United States,NBA 2003-2004 Players Information
Ruben Boumtje-Boumtje,C,2.1336,117.9340162,25,POR,9,2,Cameroon,NBA 2003-2004 Players Information
