Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Forest Able,G,1.905,79.37866475,24,SYR,1,0,United States,NBA 1956-1957 Players Information
Paul Arizin,GF,1.9304,86.1825503,28,PHI,71,4,United States,NBA 1956-1957 Players Information
Bob Armstrong,F,2.032,99.79032140000001,23,PHI,20,0,United States,NBA 1956-1957 Players Information
Jim Baechtold,F,1.9304,92.98643585,29,NYK,45,4,United States,NBA 1956-1957 Players Information
John Barber,F,1.9811999999999999,95.2543977,29,STH,5,0,United States,NBA 1956-1957 Players Information
Ernie Beck,GF,1.9304,86.1825503,25,PHI,72,2,United States,NBA 1956-1957 Players Information
Irv Bemoras,GF,1.905,83.91458845000001,26,STH,62,1,United States,NBA 1956-1957 Players Information
Gary Bergen,C,2.032,95.2543977,24,NYK,5,0,United States,NBA 1956-1957 Players Information
Al Bianchi,G,1.905,83.91458845000001,24,SYR,68,0,United States,NBA 1956-1957 Players Information
Carl Braun,SG,1.9558,81.6466266,29,NYK,72,7,United States,NBA 1956-1957 Players Information
Bob Burrow,C,2.0065999999999997,103.41906036,22,ROR,66,0,United States,NBA 1956-1957 Players Information
Nat Clifton,PF,1.9811999999999999,99.79032140000001,34,NYK,72,6,United States,NBA 1956-1957 Players Information
Jack Coleman,PF,2.0065999999999997,88.45051215000001,32,STH,72,7,United States,NBA 1956-1957 Players Information
Ed Conlin,F,1.9558,90.718474,23,SYR,71,1,United States,NBA 1956-1957 Players Information
Larry Costello,PG,1.8541999999999998,84.36818082,25,PHI,72,1,United States,NBA 1956-1957 Players Information
Bob Cousy,PG,1.8541999999999998,79.37866475,28,BOS,64,6,United States,NBA 1956-1957 Players Information
Walt Davis,FC,2.032,92.98643585,26,PHI,65,3,United States,NBA 1956-1957 Players Information
George Dempsey,PG,1.8796,86.1825503,27,PHI,71,2,United States,NBA 1956-1957 Players Information
Corky Devlin,F,1.9558,90.718474,25,FWP,71,1,United States,NBA 1956-1957 Players Information
Walter Dukes,C,2.1336,99.79032140000001,26,MIN,71,1,United States,NBA 1956-1957 Players Information
Ray Felix,C,2.1082,99.79032140000001,26,NYK,72,3,United States,NBA 1956-1957 Players Information
Ed Fleming,G,1.8796,81.6466266,23,ROR,51,1,United States,NBA 1956-1957 Players Information
Larry Foust,FC,2.0574,97.52235955,28,FWP,61,6,United States,NBA 1956-1957 Players Information
Harry Gallatin,FC,1.9811999999999999,95.2543977,29,NYK,72,8,United States,NBA 1956-1957 Players Information
Dick Garmaker,GF,1.905,90.718474,24,MIN,72,1,United States,NBA 1956-1957 Players Information
Jack George,G,1.8796,86.1825503,28,PHI,67,3,United States,NBA 1956-1957 Players Information
Joe Graboski,FC,2.0065999999999997,88.45051215000001,27,PHI,72,7,United States,NBA 1956-1957 Players Information
Si Green,G,1.8796,83.91458845000001,23,ROR,13,0,United States,NBA 1956-1957 Players Information
Richie Guerin,SG,1.9304,88.45051215000001,24,NYK,72,0,United States,NBA 1956-1957 Players Information
Cliff Hagan,GF,1.9304,95.2543977,25,STH,67,0,United States,NBA 1956-1957 Players Information
Alex Hannum,FC,2.0065999999999997,95.2543977,33,"FWP, STH",59,7,United States,NBA 1956-1957 Players Information
Bob Harrison,G,1.8541999999999998,86.1825503,29,SYR,56,7,United States,NBA 1956-1957 Players Information
Tommy Heinsohn,PF,2.0065999999999997,98.88313666,22,BOS,72,0,United States,NBA 1956-1957 Players Information
Dick Hemric,F,1.9811999999999999,99.79032140000001,23,BOS,67,1,United States,NBA 1956-1957 Players Information
Larry Hennessy,G,1.905,83.91458845000001,27,SYR,19,1,United States,NBA 1956-1957 Players Information
Lew Hitch,FC,2.032,90.718474,27,"PHI, ROR",68,5,United States,NBA 1956-1957 Players Information
Joe Holup,F,1.9811999999999999,97.52235955,23,SYR,71,0,United States,NBA 1956-1957 Players Information
Bob Hopkins,F,2.0065999999999997,92.98643585,22,SYR,62,0,United States,NBA 1956-1957 Players Information
Bob Houbregs,FC,2.0065999999999997,95.2543977,24,FWP,61,3,Canada,NBA 1956-1957 Players Information
Mel Hutchins,FC,1.9811999999999999,90.718474,28,FWP,72,5,United States,NBA 1956-1957 Players Information
Neil Johnston,C,2.032,95.2543977,28,PHI,69,5,United States,NBA 1956-1957 Players Information
Phil Jordon,C,2.0827999999999998,92.98643585,23,NYK,8,0,United States,NBA 1956-1957 Players Information
Ed Kalafat,F,1.9811999999999999,111.13013065000001,24,MIN,65,2,United States,NBA 1956-1957 Players Information
Billy Kenville,G,1.8796,84.82177319,26,FWP,71,3,United States,NBA 1956-1957 Players Information
Red Kerr,FC,2.0574,104.32624510000001,24,SYR,72,2,United States,NBA 1956-1957 Players Information
Hal Lear,G,1.8034,73.93555631000001,22,PHI,3,0,United States,NBA 1956-1957 Players Information
Slick Leonard,G,1.905,83.91458845000001,24,MIN,72,0,United States,NBA 1956-1957 Players Information
Earl Lloyd,F,1.9558,102.05828325,28,SYR,72,5,United States,NBA 1956-1957 Players Information
Jim Loscutoff,F,1.9558,90.718474,27,BOS,70,1,United States,NBA 1956-1957 Players Information
Clyde Lovellette,FC,2.0827999999999998,106.14061458,27,MIN,69,3,United States,NBA 1956-1957 Players Information
Ed Macauley,FC,2.032,83.91458845000001,28,STH,72,7,United States,NBA 1956-1957 Players Information
Tom Marshall,F,1.9304,97.52235955,26,ROR,40,1,United States,NBA 1956-1957 Players Information
Slater Martin,PG,1.778,77.1107029,31,"NYK, STH",66,7,United States,NBA 1956-1957 Players Information
Johnny McCarthy,G,1.8288,77.1107029,22,ROR,70,0,United States,NBA 1956-1957 Players Information
Dick McGuire,G,1.8288,81.6466266,31,NYK,72,7,United States,NBA 1956-1957 Players Information
Jack McMahon,G,1.8541999999999998,83.91458845000001,28,STH,72,4,United States,NBA 1956-1957 Players Information
Chuck Mencel,G,1.8034,77.1107029,23,MIN,72,1,United States,NBA 1956-1957 Players Information
Vern Mikkelsen,F,2.0065999999999997,104.32624510000001,28,MIN,72,7,United States,NBA 1956-1957 Players Information
Jackie Moore,F,1.9558,86.1825503,24,PHI,56,2,United States,NBA 1956-1957 Players Information
Willie Naulls,F,1.9811999999999999,102.05828325,22,"NYK, STH",71,0,United States,NBA 1956-1957 Players Information
Jack Nichols,F,2.0065999999999997,100.69750614,30,BOS,62,7,United States,NBA 1956-1957 Players Information
Chuck Noble,SG,1.9304,90.718474,25,FWP,55,1,United States,NBA 1956-1957 Players Information
Togo Palazzi,F,1.9304,92.98643585,24,"BOS, SYR",63,2,United States,NBA 1956-1957 Players Information
Med Park,GF,1.8796,92.98643585,23,STH,66,1,United States,NBA 1956-1957 Players Information
"Jim Paxson, Sr.",GF,1.9811999999999999,90.718474,24,MIN,71,0,United States,NBA 1956-1957 Players Information
Bob Pettit,FC,2.0574,92.98643585,24,STH,71,2,United States,NBA 1956-1957 Players Information
