Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Alex Abrines,GF,1.9811999999999999,86.1825503,24,OKC,75,1,Spain,NBA 2017-2018 Players Information
Quincy Acy,F,2.0065999999999997,108.8621688,27,BRK,70,5,United States,NBA 2017-2018 Players Information
Steven Adams,C,2.1082,120.20197805000001,24,OKC,76,4,New Zealand,NBA 2017-2018 Players Information
Bam Adebayo,C,2.0574,115.66605435000001,20,MIA,69,0,United States,NBA 2017-2018 Players Information
Arron Afflalo,SG,1.9558,95.2543977,32,ORL,53,10,United States,NBA 2017-2018 Players Information
Cole Aldrich,C,2.1082,114.75886961,29,MIN,21,7,United States,NBA 2017-2018 Players Information
LaMarcus Aldridge,FC,2.1082,120.20197805000001,32,SAS,75,11,United States,NBA 2017-2018 Players Information
Jarrett Allen,C,2.0574,110.22294591,19,BRK,72,0,United States,NBA 2017-2018 Players Information
Kadeem Allen,G,1.905,90.718474,25,BOS,18,0,United States,NBA 2017-2018 Players Information
Tony Allen,SG,1.9304,96.61517481,36,NOP,22,13,United States,NBA 2017-2018 Players Information
Al-Farouq Aminu,F,2.0574,99.79032140000001,27,POR,69,7,United StatesNigeria,NBA 2017-2018 Players Information
Justin Anderson,F,1.9811999999999999,104.32624510000001,24,PHI,38,2,United States,NBA 2017-2018 Players Information
Kyle Anderson,PF,2.0574,104.32624510000001,24,SAS,74,3,United StatesChina,NBA 2017-2018 Players Information
Ryan Anderson,PF,2.0827999999999998,108.8621688,29,HOU,66,9,United States,NBA 2017-2018 Players Information
Ike Anigbogu,C,2.0574,114.30527724000001,19,IND,11,0,United States,NBA 2017-2018 Players Information
Giannis Antetokounmpo,F,2.1082,110.22294591,23,MIL,75,4,GreeceNigeria,NBA 2017-2018 Players Information
Carmelo Anthony,F,2.032,108.8621688,33,OKC,78,14,United States,NBA 2017-2018 Players Information
OG Anunoby,SF,2.0065999999999997,108.8621688,20,TOR,74,0,EnglandUnited States,NBA 2017-2018 Players Information
Ryan Arcidiacono,G,1.905,88.45051215000001,23,CHI,24,0,United States,NBA 2017-2018 Players Information
Trevor Ariza,SF,2.032,97.52235955,32,HOU,67,13,United States,NBA 2017-2018 Players Information
Darrell Arthur,PF,2.0574,106.59420695,29,DEN,19,9,United States,NBA 2017-2018 Players Information
Jamel Artis,F,2.0065999999999997,96.61517481,25,ORL,15,0,United States,NBA 2017-2018 Players Information
Omer Asik,C,2.1336,115.66605435000001,31,"CHI, NOP",18,7,Turkey,NBA 2017-2018 Players Information
D.J. Augustin,G,1.8288,83.00740371,30,ORL,75,9,United States,NBA 2017-2018 Players Information
Luke Babbitt,SF,2.0574,102.05828325,28,"ATL, MIA",50,7,United States,NBA 2017-2018 Players Information
Dwayne Bacon,SF,1.9811999999999999,100.24391377,22,CHA,53,0,United States,NBA 2017-2018 Players Information
