#,Player,Pos,HT,WT,Age,Teams,YOS,Nationality,Title
15,Bismack Biyombo,PF,2.032,115.66605435000001,31,Oklahoma City Thunder,12,Democratic Republic of the Congo,NBA 2023-2024 Players Information
0,Anthony Black,G,2.0065999999999997,90.718474,20,Orlando Magic,0,United States,NBA 2023-2024 Players Information
12,Leaky Black,SF,1.9811999999999999,94.80080533,26,Charlotte Hornets,0,United States,NBA 2023-2024 Players Information
27,Buddy Boeheim,SG,1.9558,92.98643585,24,Detroit Pistons,1,United States,NBA 2023-2024 Players Information
13,Bogdan Bogdanovic,SG,1.9558,102.05828325,31,Atlanta Hawks,6,Serbia,NBA 2023-2024 Players Information
44,Bojan Bogdanovic,F,2.0065999999999997,102.51187562000001,34,New York Knicks,9,Bosnia and HerzegovinaCroatia,NBA 2023-2024 Players Information
11,Bol Bol,C,2.2098,99.79032140000001,24,Phoenix Suns,4,United States,NBA 2023-2024 Players Information
3,Marques Bolden,C,2.0827999999999998,112.94450013000001,25,Charlotte Hornets,2,United StatesIndonesia,NBA 2023-2024 Players Information
1,Devin Booker,SG,1.9811999999999999,93.44002822,27,Phoenix Suns,8,United States,NBA 2023-2024 Players Information
4,"B.J. Boston, Jr.",SG,1.9811999999999999,85.27536556,22,Los Angeles Clippers,2,United States,NBA 2023-2024 Players Information
25,Chris Boucher,PF,2.0574,90.718474,31,Toronto Raptors,6,Saint LuciaCanada,NBA 2023-2024 Players Information
15,Jamaree Bouyea,G,1.8796,81.6466266,24,San Antonio Spurs,1,United States,NBA 2023-2024 Players Information
22,Malaki Branham,GF,1.9304,81.6466266,20,San Antonio Spurs,1,United States,NBA 2023-2024 Players Information
0,Christian Braun,SF,1.9811999999999999,99.79032140000001,22,Denver Nuggets,1,United States,NBA 2023-2024 Players Information
1,Mikal Bridges,SG,1.9811999999999999,94.80080533,27,Brooklyn Nets,5,United States,NBA 2023-2024 Players Information
0,Miles Bridges,SF,2.0065999999999997,102.05828325,26,Charlotte Hornets,4,United States,NBA 2023-2024 Players Information
12,Oshae Brissett,PF,2.0065999999999997,95.2543977,25,Boston Celtics,4,Canada,NBA 2023-2024 Players Information
11,Malcolm Brogdon,SG,1.9304,103.87265273,31,Portland Trail Blazers,7,United States,NBA 2023-2024 Players Information
9,Dillon Brooks,F,1.9811999999999999,102.05828325,28,Houston Rockets,6,Canada,NBA 2023-2024 Players Information
36,Greg Brown III,SF,2.0065999999999997,93.44002822,22,Dallas Mavericks,2,United States,NBA 2023-2024 Players Information
7,Jaylen Brown,SF,1.9811999999999999,101.15109851000001,27,Boston Celtics,7,United States,NBA 2023-2024 Players Information
11,"Bruce Brown, Jr.",SG,1.9304,91.62565874,27,Toronto Raptors,5,United States,NBA 2023-2024 Players Information
4,"Charlie Brown, Jr.",SG,1.9811999999999999,90.26488163,27,New York Knicks,3,United States,NBA 2023-2024 Players Information
7,"Troy Brown, Jr.",SF,2.0065999999999997,97.52235955,24,Detroit Pistons,5,United States,NBA 2023-2024 Players Information
10,Kendall Brown,G,2.0065999999999997,92.98643585,20,Indiana Pacers,1,United States,NBA 2023-2024 Players Information
21,Kobe Brown,GF,2.0065999999999997,113.3980925,24,Los Angeles Clippers,0,United States,NBA 2023-2024 Players Information
10,Moses Brown,C,2.1844,117.02683146000001,24,Portland Trail Blazers,4,United States,NBA 2023-2024 Players Information
11,Jalen Brunson,PG,1.8796,86.1825503,27,New York Knicks,5,United States,NBA 2023-2024 Players Information
31,Thomas Bryant,C,2.0827999999999998,112.49090776,26,Miami Heat,6,United States,NBA 2023-2024 Players Information
4,Kobe Bufkin,G,1.9558,88.45051215000001,20,Atlanta Hawks,0,United States,NBA 2023-2024 Players Information
25,Reggie Bullock,SG,1.9811999999999999,92.98643585,33,Houston Rockets,10,United States,NBA 2023-2024 Players Information
18,Alec Burks,SG,1.9558,97.06876718000001,32,New York Knicks,12,United States,NBA 2023-2024 Players Information
4,Jared Butler,PG,1.905,87.54332741,23,Washington Wizards,2,United States,NBA 2023-2024 Players Information
22,Jimmy Butler,GF,2.0065999999999997,104.32624510000001,34,Miami Heat,12,United States,NBA 2023-2024 Players Information
8,Jamal Cain,F,1.9811999999999999,86.63614267,25,Miami Heat,1,United States,NBA 2023-2024 Players Information
5,Kentavious Caldwell-Pope,SG,1.9558,92.53284348000001,31,Denver Nuggets,10,United States,NBA 2023-2024 Players Information
33,Toumani Camara,SF,2.0065999999999997,102.51187562000001,23,Portland Trail Blazers,0,Belgium,NBA 2023-2024 Players Information
31,Vlatko Cancar,SF,2.032,107.04779932000001,26,Denver Nuggets,4,Slovenia,NBA 2023-2024 Players Information
15,Clint Capela,PF,2.0827999999999998,116.11964672,29,Atlanta Hawks,9,Switzerland,NBA 2023-2024 Players Information
5,Jevon Carter,PG,1.8541999999999998,90.718474,28,Chicago Bulls,5,United States,NBA 2023-2024 Players Information
34,"Wendell Carter, Jr.",PF,2.0827999999999998,122.4699399,24,Orlando Magic,5,United States,NBA 2023-2024 Players Information
3,D.J. Carton,PG,1.905,90.718474,23,Toronto Raptors,0,United States,NBA 2023-2024 Players Information
6,Alex Caruso,G,1.9558,84.36818082,30,Chicago Bulls,6,United States,NBA 2023-2024 Players Information
14,Colin Castleton,PF,2.0827999999999998,113.3980925,24,Los Angeles Lakers,0,United States,NBA 2023-2024 Players Information
30,Julian Champagnie,F,2.0065999999999997,98.42954429000001,22,San Antonio Spurs,1,United States,NBA 2023-2024 Players Information
9,Justin Champagnie,F,1.9811999999999999,93.44002822,22,Washington Wizards,2,United States,NBA 2023-2024 Players Information
10,Max Christie,F,1.9558,86.1825503,21,Los Angeles Lakers,1,United States,NBA 2023-2024 Players Information
25,Sidy Cissoko,GF,1.9811999999999999,90.718474,19,San Antonio Spurs,0,France,NBA 2023-2024 Players Information
0,Jaylen Clark,G,1.9304,92.98643585,23,Minnesota Timberwolves,0,United States,NBA 2023-2024 Players Information
15,Brandon Clarke,PF,2.032,97.52235955,27,Memphis Grizzlies,4,Canada,NBA 2023-2024 Players Information
0,Jordan Clarkson,G,1.905,87.99691978,31,Utah Jazz,9,United StatesPhilippines,NBA 2023-2024 Players Information
33,Nicolas Claxton,C,2.1082,97.52235955,24,Brooklyn Nets,4,United StatesU.S. Virgin Islands,NBA 2023-2024 Players Information
21,Noah Clowney,F,2.0574,95.2543977,19,Brooklyn Nets,0,United States,NBA 2023-2024 Players Information
7,Amir Coffey,SF,2.0065999999999997,95.2543977,26,Los Angeles Clippers,4,United States,NBA 2023-2024 Players Information
20,John Collins,PF,2.0574,102.51187562000001,26,Utah Jazz,6,United States,NBA 2023-2024 Players Information
23,Zach Collins,C,2.1082,113.3980925,26,San Antonio Spurs,6,United States,NBA 2023-2024 Players Information
10,Mike Conley,PG,1.8288,79.37866475,36,Minnesota Timberwolves,16,United States,NBA 2023-2024 Players Information
24,Pat Connaughton,SF,1.9558,94.80080533,31,Milwaukee Bucks,8,United States,NBA 2023-2024 Players Information
0,Bilal Coulibaly,GF,2.032,88.45051215000001,19,Washington Wizards,0,France,NBA 2023-2024 Players Information
16,Ricky Council IV,G,1.9811999999999999,93.89362059,22,Philadelphia Sixers,0,United States,NBA 2023-2024 Players Information
33,Robert Covington,F,2.0065999999999997,94.80080533,33,Philadelphia Sixers,10,United States,NBA 2023-2024 Players Information
13,Torrey Craig,GF,1.9558,100.24391377,33,Chicago Bulls,6,United States,NBA 2023-2024 Players Information
99,Jae Crowder,SF,1.9811999999999999,106.59420695,33,Milwaukee Bucks,11,United States,NBA 2023-2024 Players Information
2,Cade Cunningham,SF,1.9811999999999999,99.79032140000001,22,Detroit Pistons,2,United States,NBA 2023-2024 Players Information
30,Seth Curry,G,1.8541999999999998,83.91458845000001,33,Charlotte Hornets,10,United States,NBA 2023-2024 Players Information
30,Stephen Curry,G,1.8796,83.91458845000001,36,Golden State Warriors,14,United States,NBA 2023-2024 Players Information
11,Dyson Daniels,GF,2.0065999999999997,90.26488163,21,New Orleans Pelicans,1,Australia,NBA 2023-2024 Players Information
3,Anthony Davis,PF,2.0827999999999998,114.75886961,31,Los Angeles Lakers,11,United States,NBA 2023-2024 Players Information
1,Johnny Davis,F,1.9304,88.45051215000001,22,Washington Wizards,1,United States,NBA 2023-2024 Players Information
20,J.D. Davison,F,1.8541999999999998,88.45051215000001,21,Boston Celtics,1,United States,NBA 2023-2024 Players Information
11,DeMar DeRozan,GF,1.9811999999999999,99.79032140000001,34,Chicago Bulls,14,United States,NBA 2023-2024 Players Information
0,Donte DiVincenzo,SG,1.9304,92.07925111,27,New York Knicks,5,United States,NBA 2023-2024 Players Information
25,Moussa Diabate,PF,2.0574,95.2543977,22,Los Angeles Clippers,1,France,NBA 2023-2024 Players Information
25,Mamadi Diakite,PF,2.0574,103.41906036,27,New York Knicks,3,Guinea,NBA 2023-2024 Players Information
1,Gradey Dick,GF,1.9811999999999999,90.718474,20,Toronto Raptors,0,United States,NBA 2023-2024 Players Information
13,Ousmane Dieng,SG,2.0574,83.91458845000001,20,Oklahoma City Thunder,1,France,NBA 2023-2024 Players Information
26,Spencer Dinwiddie,PG,1.9558,97.52235955,30,Los Angeles Lakers,9,United States,NBA 2023-2024 Players Information
77,Luka Doncic,SF,2.0065999999999997,104.32624510000001,25,Dallas Mavericks,5,Slovenia,NBA 2023-2024 Players Information
5,Luguentz Dort,PG,1.9304,99.79032140000001,24,Oklahoma City Thunder,4,Canada,NBA 2023-2024 Players Information
12,Ayo Dosunmu,PG,1.9558,90.718474,24,Chicago Bulls,2,United States,NBA 2023-2024 Players Information
11,Jeff Dowtin,PG,1.905,80.28584949,26,Philadelphia Sixers,2,United States,NBA 2023-2024 Players Information
77,Henri Drell,SF,2.0574,99.79032140000001,23,Chicago Bulls,0,Estonia,NBA 2023-2024 Players Information
3,Andre Drummond,C,2.1082,126.55227123,30,Chicago Bulls,11,United States,NBA 2023-2024 Players Information
3,Chris Duarte,PG,1.9558,86.1825503,26,Sacramento Kings,2,CanadaDominican Republic,NBA 2023-2024 Players Information
7,David Duke,SG,1.9304,92.53284348000001,24,San Antonio Spurs,2,United States,NBA 2023-2024 Players Information
11,Kris Dunn,SG,1.905,92.98643585,30,Utah Jazz,7,United States,NBA 2023-2024 Players Information
35,Kevin Durant,SF,2.1082,108.8621688,35,Phoenix Suns,16,United States,NBA 2023-2024 Players Information
0,Jalen Duren,PF,2.0827999999999998,113.3980925,20,Detroit Pistons,1,United States,NBA 2023-2024 Players Information
17,Tari Eason,F,2.032,97.52235955,22,Houston Rockets,1,United States,NBA 2023-2024 Players Information
5,Anthony Edwards,SF,1.9304,102.05828325,22,Minnesota Timberwolves,3,United States,NBA 2023-2024 Players Information
17,Kessler Edwards,SG,2.0065999999999997,92.07925111,23,Sacramento Kings,2,United States,NBA 2023-2024 Players Information
23,Keon Ellis,F,1.905,79.37866475,24,Sacramento Kings,1,United States,NBA 2023-2024 Players Information
21,Joel Embiid,C,2.1336,127.00586360000001,30,Philadelphia Sixers,9,Cameroon,NBA 2023-2024 Players Information
14,Drew Eubanks,C,2.0827999999999998,111.13013065000001,27,Phoenix Suns,5,United States,NBA 2023-2024 Players Information
18,Tosan Evbuomwan,SF,2.0065999999999997,98.42954429000001,23,Detroit Pistons,0,England,NBA 2023-2024 Players Information
0,Dante Exum,PG,1.9558,97.06876718000001,28,Dallas Mavericks,7,Australia,NBA 2023-2024 Players Information
24,Bruno Fernando,C,2.0574,108.8621688,25,Atlanta Hawks,4,Angola,NBA 2023-2024 Players Information
28,Dorian Finney-Smith,SF,2.0065999999999997,99.79032140000001,30,Brooklyn Nets,7,United States,NBA 2023-2024 Players Information
14,Adam Flagler,G,1.905,81.6466266,24,Oklahoma City Thunder,0,United States,NBA 2023-2024 Players Information
18,Malachi Flynn,PG,1.8541999999999998,83.91458845000001,25,Detroit Pistons,3,United States,NBA 2023-2024 Players Information
19,Simone Fontecchio,SF,2.0065999999999997,94.80080533,28,Detroit Pistons,1,Italy,NBA 2023-2024 Players Information
31,Jordan Ford,PG,1.8541999999999998,79.37866475,25,Sacramento Kings,0,United States,NBA 2023-2024 Players Information
2,Trent Forrest,SG,1.9304,95.2543977,25,Atlanta Hawks,3,United States,NBA 2023-2024 Players Information
31,Evan Fournier,SG,1.9811999999999999,92.98643585,31,Detroit Pistons,11,France,NBA 2023-2024 Players Information
5,De'Aaron Fox,PG,1.905,83.91458845000001,26,Sacramento Kings,6,United States,NBA 2023-2024 Players Information
0,Javon Freeman-Liberty,G,1.905,86.1825503,24,Toronto Raptors,0,United States,NBA 2023-2024 Players Information
3,Alex Fudge,F,2.032,90.718474,22,Dallas Mavericks,0,United States,NBA 2023-2024 Players Information
20,Markelle Fultz,PG,1.9304,94.80080533,25,Orlando Magic,6,United States,NBA 2023-2024 Players Information
30,Andrew Funk,SG,1.9558,90.718474,24,Chicago Bulls,0,United States,NBA 2023-2024 Players Information
21,Daniel Gafford,C,2.0827999999999998,106.14061458,25,Dallas Mavericks,4,United States,NBA 2023-2024 Players Information
12,Danilo Gallinari,SF,2.0827999999999998,107.04779932000001,35,Milwaukee Bucks,15,Italy,NBA 2023-2024 Players Information
0,Jaylin Galloway,F,1.9811999999999999,86.1825503,22,Milwaukee Bucks,0,United StatesAustralia,NBA 2023-2024 Players Information
10,Darius Garland,G,1.8541999999999998,87.08973504000001,24,Cleveland Cavaliers,4,United States,NBA 2023-2024 Players Information
12,Usman Garuba,C,2.032,103.87265273,22,Golden State Warriors,2,Spain,NBA 2023-2024 Players Information
55,Luka Garza,C,2.0827999999999998,110.22294591,25,Minnesota Timberwolves,2,United StatesBosnia and Herzegovina,NBA 2023-2024 Players Information
3,Keyonte George,G,1.9304,83.91458845000001,20,Utah Jazz,0,United States,NBA 2023-2024 Players Information
13,Paul George,GF,2.032,99.79032140000001,33,Los Angeles Clippers,13,United States,NBA 2023-2024 Players Information
67,Taj Gibson,F,2.0574,105.23342984,38,Detroit Pistons,14,United States,NBA 2023-2024 Players Information
3,Josh Giddey,G,2.032,97.97595192,21,Oklahoma City Thunder,2,Australia,NBA 2023-2024 Players Information
20,Harry Giles,PF,2.0827999999999998,108.8621688,25,Los Angeles Lakers,4,United States,NBA 2023-2024 Players Information
2,Shai Gilgeous-Alexander,PG,1.9811999999999999,88.45051215000001,25,Oklahoma City Thunder,5,Canada,NBA 2023-2024 Players Information
16,Anthony Gill,PF,2.032,104.32624510000001,31,Washington Wizards,3,United States,NBA 2023-2024 Players Information
21,Collin Gillespie,PG,1.8541999999999998,88.45051215000001,25,Denver Nuggets,1,United States,NBA 2023-2024 Players Information
14,Jacob Gilyard,PG,1.7271999999999998,72.57477920000001,25,Brooklyn Nets,1,United States,NBA 2023-2024 Players Information
27,Rudy Gobert,C,2.159,117.02683146000001,31,Minnesota Timberwolves,10,France,NBA 2023-2024 Players Information
4,Jordan Goodwin,SG,1.9304,90.718474,25,Memphis Grizzlies,2,United States,NBA 2023-2024 Players Information
50,Aaron Gordon,F,2.032,106.59420695,28,Denver Nuggets,9,United States,NBA 2023-2024 Players Information
23,Eric Gordon,G,1.905,97.52235955,35,Phoenix Suns,15,United StatesBahamas,NBA 2023-2024 Players Information
4,Devonte' Graham,PG,1.8541999999999998,88.45051215000001,29,San Antonio Spurs,5,United States,NBA 2023-2024 Players Information
9,Jerami Grant,F,2.0065999999999997,95.2543977,30,Portland Trail Blazers,9,United States,NBA 2023-2024 Players Information
41,Raiquan Gray,PF,2.0065999999999997,122.01634753,24,San Antonio Spurs,1,United States,NBA 2023-2024 Players Information
20,A.J. Green,PG,1.9304,86.1825503,24,Milwaukee Bucks,1,United States,NBA 2023-2024 Players Information
23,Draymond Green,F,1.9811999999999999,104.32624510000001,34,Golden State Warriors,11,United States,NBA 2023-2024 Players Information
4,Jalen Green,SG,1.9304,84.36818082,22,Houston Rockets,2,United States,NBA 2023-2024 Players Information
24,Javonte Green,G,1.9558,92.98643585,30,Chicago Bulls,4,United StatesMontenegro,NBA 2023-2024 Players Information
32,Jeff Green,F,2.032,106.59420695,37,Houston Rockets,15,United States,NBA 2023-2024 Players Information
8,Josh Green,SG,1.9558,90.718474,23,Dallas Mavericks,3,United StatesAustralia,NBA 2023-2024 Players Information
14,"A.J. Griffin, Jr.",SG,1.9811999999999999,99.79032140000001,20,Atlanta Hawks,1,United States,NBA 2023-2024 Players Information
24,Quentin Grimes,SG,1.9558,95.2543977,23,Detroit Pistons,2,United States,NBA 2023-2024 Players Information
15,Mouhamadou Gueye,F,2.0574,95.2543977,25,Toronto Raptors,0,United States,NBA 2023-2024 Players Information
18,Mouhamed Gueye,F,2.0827999999999998,95.2543977,21,Atlanta Hawks,0,Senegal,NBA 2023-2024 Players Information
28,Rui Hachimura,F,2.032,104.32624510000001,26,Los Angeles Lakers,4,Japan,NBA 2023-2024 Players Information
22,Ashton Hagans,PG,1.905,86.1825503,24,Portland Trail Blazers,1,United States,NBA 2023-2024 Players Information
0,Tyrese Haliburton,PG,1.9558,83.91458845000001,24,Indiana Pacers,3,United States,NBA 2023-2024 Players Information
10,Tim Hardaway Jr.,SG,1.9558,92.98643585,32,Dallas Mavericks,10,United States,NBA 2023-2024 Players Information
1,James Harden,SG,1.9558,99.79032140000001,34,Los Angeles Clippers,14,United States,NBA 2023-2024 Players Information
1,Jaden Hardy,SG,1.905,89.81128926000001,21,Dallas Mavericks,1,United States,NBA 2023-2024 Players Information
14,Gary Harris,SG,1.9304,95.2543977,29,Orlando Magic,9,United States,NBA 2023-2024 Players Information
8,Kevon Harris,SF,1.9558,97.97595192,26,Orlando Magic,1,United States,NBA 2023-2024 Players Information
12,Tobias Harris,F,2.032,102.51187562000001,31,Philadelphia Sixers,12,United States,NBA 2023-2024 Players Information
3,Josh Hart,SG,1.9304,97.52235955,29,New York Knicks,6,United States,NBA 2023-2024 Players Information
55,Isaiah Hartenstein,PF,2.1336,113.3980925,25,New York Knicks,5,United StatesGermany,NBA 2023-2024 Players Information
30,Sam Hauser,SF,2.0065999999999997,98.42954429000001,26,Boston Celtics,2,United States,NBA 2023-2024 Players Information
24,Jordan Hawkins,G,1.9558,86.1825503,21,New Orleans Pelicans,0,United States,NBA 2023-2024 Players Information
11,Jaxson Hayes,PF,2.1336,99.79032140000001,23,Los Angeles Lakers,4,United States,NBA 2023-2024 Players Information
33,Gordon Hayward,GF,2.0065999999999997,102.05828325,34,Oklahoma City Thunder,13,United States,NBA 2023-2024 Players Information
0,Scoot Henderson,G,1.905,91.62565874,20,Portland Trail Blazers,0,United States,NBA 2023-2024 Players Information
0,Taylor Hendricks,F,2.0574,97.52235955,20,Utah Jazz,0,United States,NBA 2023-2024 Players Information
14,Tyler Herro,SG,1.9558,88.45051215000001,24,Miami Heat,4,United States,NBA 2023-2024 Players Information
17,Buddy Hield,G,1.9304,99.79032140000001,31,Philadelphia Sixers,7,Bahamas,NBA 2023-2024 Players Information
24,Haywood Highsmith,F,1.9558,99.79032140000001,27,Miami Heat,3,United States,NBA 2023-2024 Players Information
33,Malcolm Hill,G,1.9811999999999999,99.79032140000001,28,New Orleans Pelicans,2,United States,NBA 2023-2024 Players Information
14,Nathaniel Hinton,SF,1.9558,95.2543977,24,Houston Rockets,2,United States,NBA 2023-2024 Players Information
0,Aaron Holiday,PG,1.8288,83.91458845000001,27,Houston Rockets,5,United States,NBA 2023-2024 Players Information
4,Jrue Holiday,G,1.9304,92.98643585,33,Boston Celtics,14,United States,NBA 2023-2024 Players Information
9,Justin Holiday,SF,1.9811999999999999,81.6466266,34,Denver Nuggets,10,United States,NBA 2023-2024 Players Information
22,Richaun Holmes,F,2.0574,106.59420695,30,Washington Wizards,8,United States,NBA 2023-2024 Players Information
7,Chet Holmgren,C,2.159,94.34721296000001,21,Oklahoma City Thunder,1,United States,NBA 2023-2024 Players Information
0,Jalen Hood-Schifino,PG,1.9558,97.52235955,20,Los Angeles Lakers,0,United States,NBA 2023-2024 Players Information
42,Al Horford,FC,2.0574,108.8621688,37,Boston Celtics,16,Dominican RepublicUnited States,NBA 2023-2024 Players Information
5,Talen Horton-Tucker,SF,1.9304,106.14061458,23,Utah Jazz,4,United States,NBA 2023-2024 Players Information
2,Caleb Houstan,SF,2.032,92.98643585,21,Orlando Magic,1,Canada,NBA 2023-2024 Players Information
13,Jett Howard,GF,1.9811999999999999,97.52235955,20,Orlando Magic,0,United States,NBA 2023-2024 Players Information
9,Kevin Huerter,SF,2.0065999999999997,89.81128926000001,25,Sacramento Kings,5,United States,NBA 2023-2024 Players Information
30,James Huff,C,2.159,108.8621688,26,Denver Nuggets,2,United States,NBA 2023-2024 Players Information
12,De'Andre Hunter,PF,2.032,100.24391377,26,Atlanta Hawks,4,United States,NBA 2023-2024 Players Information
5,Bones Hyland,G,1.8796,76.65711053,23,Los Angeles Clippers,2,United States,NBA 2023-2024 Players Information
7,Joe Ingles,F,2.0574,99.79032140000001,36,Orlando Magic,9,Australia,NBA 2023-2024 Players Information
14,Brandon Ingram,SF,2.032,86.1825503,26,New Orleans Pelicans,7,United States,NBA 2023-2024 Players Information
11,Kyrie Irving,G,1.8796,88.45051215000001,32,Dallas Mavericks,12,United StatesAustralia,NBA 2023-2024 Players Information
1,Jonathan Isaac,SF,2.0827999999999998,104.32624510000001,26,Orlando Magic,6,United States,NBA 2023-2024 Players Information
23,Jaden Ivey,G,1.9304,88.45051215000001,22,Detroit Pistons,1,United States,NBA 2023-2024 Players Information
45,G.G. Jackson,PF,2.0574,95.2543977,19,Memphis Grizzlies,0,United States,NBA 2023-2024 Players Information
22,Isaiah Jackson,PF,2.0574,92.98643585,22,Indiana Pacers,2,United States,NBA 2023-2024 Players Information
44,"Andre Jackson, Jr.",G,1.9811999999999999,94.80080533,22,Milwaukee Bucks,0,United States,NBA 2023-2024 Players Information
13,"Jaren Jackson, Jr.",PF,2.0827999999999998,109.76935354000001,24,Memphis Grizzlies,5,United States,NBA 2023-2024 Players Information
29,Quenton Jackson,GF,1.9558,78.47148001000001,25,Indiana Pacers,1,United States,NBA 2023-2024 Players Information
7,Reggie Jackson,G,1.8796,94.34721296000001,33,Denver Nuggets,12,ItalyUnited States,NBA 2023-2024 Players Information
32,Trayce Jackson-Davis,F,2.0574,111.13013065000001,24,Golden State Warriors,0,United States,NBA 2023-2024 Players Information
23,LeBron James,F,2.0574,113.3980925,39,Los Angeles Lakers,20,United States,NBA 2023-2024 Players Information
11,"Jaime Jaquez, Jr.",GF,1.9811999999999999,102.05828325,23,Miami Heat,0,United States,NBA 2023-2024 Players Information
77,DeJon Jarreau,PG,1.9558,83.91458845000001,26,Memphis Grizzlies,1,United States,NBA 2023-2024 Players Information
21,DaQuan Jeffries,SF,1.9558,100.69750614,26,New York Knicks,4,United States,NBA 2023-2024 Players Information
50,Trey Jemison,PF,2.0827999999999998,117.9340162,24,Memphis Grizzlies,0,United States,NBA 2023-2024 Players Information
2,Ty Jerome,PG,1.9558,88.45051215000001,26,Cleveland Cavaliers,4,United States,NBA 2023-2024 Players Information
11,Isaiah Joe,SG,1.905,74.84274105,24,Oklahoma City Thunder,3,United States,NBA 2023-2024 Players Information
2,Cameron Johnson,G,2.032,95.2543977,28,Brooklyn Nets,4,United States,NBA 2023-2024 Players Information
1,Jalen Johnson,PF,2.032,99.33672903,22,Atlanta Hawks,2,United States,NBA 2023-2024 Players Information
16,James Johnson,F,2.0065999999999997,108.8621688,37,Indiana Pacers,14,United States,NBA 2023-2024 Players Information
3,Keldon Johnson,SF,1.9558,99.79032140000001,24,San Antonio Spurs,4,United States,NBA 2023-2024 Players Information
45,Keon Johnson,PG,1.9558,83.91458845000001,22,Brooklyn Nets,2,United States,NBA 2023-2024 Players Information
18,Keyontae Johnson,F,1.9304,104.32624510000001,24,Oklahoma City Thunder,0,United States,NBA 2023-2024 Players Information
15,Nikola Jokic,C,2.1082,128.82023308,29,Denver Nuggets,8,Serbia,NBA 2023-2024 Players Information
20,Colby Jones,GF,1.9811999999999999,93.89362059,21,Sacramento Kings,0,United States,NBA 2023-2024 Players Information
30,Damian Jones,PF,2.0827999999999998,111.13013065000001,28,Cleveland Cavaliers,7,United States,NBA 2023-2024 Players Information
55,Derrick Jones,SF,1.9811999999999999,95.2543977,27,Dallas Mavericks,7,United States,NBA 2023-2024 Players Information
5,Herb Jones,SF,2.0065999999999997,93.44002822,25,New Orleans Pelicans,2,United States,NBA 2023-2024 Players Information
22,Mason Jones,G,1.9304,90.718474,25,Sacramento Kings,2,United States,NBA 2023-2024 Players Information
33,Tre Jones,PG,1.8541999999999998,83.91458845000001,24,San Antonio Spurs,3,United States,NBA 2023-2024 Players Information
5,Tyus Jones,PG,1.8541999999999998,88.90410452,27,Washington Wizards,8,United States,NBA 2023-2024 Players Information
6,DeAndre Jordan,C,2.1082,120.20197805000001,35,Denver Nuggets,15,United States,NBA 2023-2024 Players Information
5,Nikola Jovic,F,2.0827999999999998,92.98643585,20,Miami Heat,1,Serbia,NBA 2023-2024 Players Information
33,Johnny Juzang,SG,1.9558,94.80080533,23,Utah Jazz,1,United States,NBA 2023-2024 Players Information
10,Luke Kennard,SG,1.9558,93.44002822,27,Memphis Grizzlies,6,United States,NBA 2023-2024 Players Information
24,Walker Kessler,C,2.1336,111.13013065000001,22,Utah Jazz,1,United States,NBA 2023-2024 Players Information
11,Braxton Key,SF,2.032,102.05828325,27,Denver Nuggets,2,United States,NBA 2023-2024 Players Information
24,Corey Kispert,SF,1.9811999999999999,101.60469088,25,Washington Wizards,2,United States,NBA 2023-2024 Players Information
42,Maxi Kleber,PF,2.0827999999999998,108.8621688,32,Dallas Mavericks,6,Germany,NBA 2023-2024 Players Information
46,John Konchar,G,1.9558,95.2543977,28,Memphis Grizzlies,4,United States,NBA 2023-2024 Players Information
40,Luke Kornet,F,2.159,113.3980925,28,Boston Celtics,6,United States,NBA 2023-2024 Players Information
27,Vit Krejci,PG,2.032,88.45051215000001,23,Atlanta Hawks,2,Czech Republic,NBA 2023-2024 Players Information
0,Jonathan Kuminga,F,2.0065999999999997,102.05828325,21,Golden State Warriors,2,Democratic Republic of the Congo,NBA 2023-2024 Players Information
33,Kyle Kuzma,F,2.0574,100.24391377,28,Washington Wizards,6,United States,NBA 2023-2024 Players Information
3,Jake LaRavia,F,2.0065999999999997,106.59420695,22,Memphis Grizzlies,1,United States,NBA 2023-2024 Players Information
8,Zach LaVine,SG,1.9558,90.718474,29,Chicago Bulls,9,United States,NBA 2023-2024 Players Information
2,Jock Landale,C,2.1082,115.66605435000001,28,Houston Rockets,2,Australia,NBA 2023-2024 Players Information
9,A.J. Lawson,F,1.9811999999999999,81.19303423000001,23,Dallas Mavericks,1,Canada,NBA 2023-2024 Players Information
3,Caris LeVert,G,1.9811999999999999,92.98643585,29,Cleveland Cavaliers,7,United States,NBA 2023-2024 Players Information
10,Damion Lee,G,1.9811999999999999,95.2543977,31,Phoenix Suns,6,United States,NBA 2023-2024 Players Information
38,Saben Lee,PG,1.8796,83.00740371,24,Phoenix Suns,3,United States,NBA 2023-2024 Players Information
25,Alex Len,C,2.1336,113.3980925,30,Sacramento Kings,10,Ukraine,NBA 2023-2024 Players Information
2,Kawhi Leonard,F,2.0065999999999997,102.05828325,32,Los Angeles Clippers,12,United States,NBA 2023-2024 Players Information
13,"Kira Lewis, Jr.",PG,1.8541999999999998,77.1107029,22,Utah Jazz,3,United States,NBA 2023-2024 Players Information
21,Maxwell Lewis,SF,2.0065999999999997,88.45051215000001,21,Los Angeles Lakers,0,United States,NBA 2023-2024 Players Information
32,E.J. Liddell,PF,1.9811999999999999,108.8621688,23,New Orleans Pelicans,1,United States,NBA 2023-2024 Players Information
0,Damian Lillard,G,1.8796,88.45051215000001,33,Milwaukee Bucks,11,United States,NBA 2023-2024 Players Information
