#,Player,Pos,HT,WT,Age,Teams,YOS,Nationality,Title
23,Derrick Rose,PG,1.905,90.718474,35,Memphis Grizzlies,15,United States,NBA 2023-2024 Players Information
2,Terry Rozier,G,1.8541999999999998,86.1825503,30,Miami Heat,8,United States,NBA 2023-2024 Players Information
72,Rayan Rupert,G,1.9811999999999999,83.91458845000001,19,Portland Trail Blazers,0,France,NBA 2023-2024 Players Information
1,D'Angelo Russell,SG,1.905,87.54332741,28,Los Angeles Lakers,8,United States,NBA 2023-2024 Players Information
37,Matt Ryan,SF,1.9811999999999999,97.52235955,26,New Orleans Pelicans,2,United States,NBA 2023-2024 Players Information
10,Domantas Sabonis,PF,2.0827999999999998,108.8621688,27,Sacramento Kings,7,United StatesLithuania,NBA 2023-2024 Players Information
19,Luka Samanic,PF,2.0827999999999998,102.96546799000001,24,Utah Jazz,4,Croatia,NBA 2023-2024 Players Information
0,Jermaine Samuels,SF,1.9811999999999999,104.32624510000001,25,Houston Rockets,0,United States,NBA 2023-2024 Players Information
21,Adama Sanogo,PF,2.0574,111.13013065000001,22,Chicago Bulls,0,Mali,NBA 2023-2024 Players Information
15,Gui Santos,GF,1.9811999999999999,83.91458845000001,21,Golden State Warriors,0,BrazilPortugal,NBA 2023-2024 Players Information
20,Dario Saric,SF,2.0827999999999998,102.05828325,29,Golden State Warriors,7,Croatia,NBA 2023-2024 Players Information
30,Olivier Sarr,FC,2.0827999999999998,108.8621688,25,Oklahoma City Thunder,2,France,NBA 2023-2024 Players Information
25,Marcus Sasser,G,1.8796,88.45051215000001,23,Detroit Pistons,0,United States,NBA 2023-2024 Players Information
25,Admiral Schofield,SF,1.9558,109.31576117,26,Orlando Magic,3,United States,NBA 2023-2024 Players Information
17,Dennis Schroder,PG,1.8541999999999998,79.37866475,30,Brooklyn Nets,10,Germany,NBA 2023-2024 Players Information
0,Dereon Seabron,SG,1.9558,81.6466266,24,New Orleans Pelicans,1,United States,NBA 2023-2024 Players Information
28,Alperen Sengun,C,2.1082,110.22294591,21,Houston Rockets,2,Turkey,NBA 2023-2024 Players Information
8,Brice Sensabaugh,F,1.9558,106.59420695,20,Utah Jazz,0,United States,NBA 2023-2024 Players Information
2,Collin Sexton,PG,1.905,86.1825503,25,Utah Jazz,5,United States,NBA 2023-2024 Players Information
20,Landry Shamet,PG,1.9304,86.1825503,27,Washington Wizards,5,United States,NBA 2023-2024 Players Information
20,Day'Ron Sharpe,PF,2.0574,120.20197805000001,22,Brooklyn Nets,2,United States,NBA 2023-2024 Players Information
17,Shaedon Sharpe,F,1.9558,92.98643585,20,Portland Trail Blazers,1,Canada,NBA 2023-2024 Players Information
26,Ben Sheppard,G,1.9811999999999999,86.1825503,22,Indiana Pacers,0,United States,NBA 2023-2024 Players Information
43,Pascal Siakam,F,2.032,111.13013065000001,29,Indiana Pacers,7,Cameroon,NBA 2023-2024 Players Information
10,Ben Simmons,PF,2.0827999999999998,108.8621688,27,Brooklyn Nets,7,Australia,NBA 2023-2024 Players Information
8,Kobi Simmons,PG,1.9558,81.6466266,26,Toronto Raptors,4,United States,NBA 2023-2024 Players Information
1,Anfernee Simons,SG,1.905,87.54332741,24,Portland Trail Blazers,5,United States,NBA 2023-2024 Players Information
45,Jericho Sims,C,2.0827999999999998,113.3980925,25,New York Knicks,2,United States,NBA 2023-2024 Players Information
18,Jalen Slawson,F,2.0065999999999997,97.52235955,24,Sacramento Kings,0,United States,NBA 2023-2024 Players Information
36,Marcus Smart,PG,1.905,99.79032140000001,30,Memphis Grizzlies,9,United States,NBA 2023-2024 Players Information
4,Dennis Smith,PG,1.905,92.98643585,26,Brooklyn Nets,6,United States,NBA 2023-2024 Players Information
25,Jalen Smith,C,2.0574,97.52235955,24,Indiana Pacers,3,United States,NBA 2023-2024 Players Information
10,"Jabari Smith, Jr.",F,2.1082,99.79032140000001,20,Houston Rockets,1,United States,NBA 2023-2024 Players Information
8,"Nick Smith, Jr.",G,1.8796,83.91458845000001,19,Charlotte Hornets,0,United States,NBA 2023-2024 Players Information
23,Terquavion Smith,G,1.9304,72.57477920000001,21,Philadelphia Sixers,0,United States,NBA 2023-2024 Players Information
10,Jeremy Sochan,SG,2.032,104.32624510000001,20,San Antonio Spurs,1,United StatesPoland,NBA 2023-2024 Players Information
61,Pat Spencer,G,1.905,92.98643585,27,Golden State Warriors,0,United StatesCape Verde,NBA 2023-2024 Players Information
44,Jaden Springer,SG,1.9304,91.62565874,21,Boston Celtics,2,United States,NBA 2023-2024 Players Information
24,Lamar Stevens,SF,2.0065999999999997,104.32624510000001,26,Memphis Grizzlies,3,United States,NBA 2023-2024 Players Information
28,Isaiah Stewart II,C,2.032,113.3980925,22,Detroit Pistons,3,United States,NBA 2023-2024 Players Information
3,Julian Strawther,GF,1.9811999999999999,92.98643585,21,Denver Nuggets,0,United StatesPuerto Rico,NBA 2023-2024 Players Information
1,Max Strus,G,1.9558,97.52235955,27,Cleveland Cavaliers,4,United States,NBA 2023-2024 Players Information
4,Jalen Suggs,SG,1.9558,92.98643585,22,Orlando Magic,2,United States,NBA 2023-2024 Players Information
21,Cole Swider,F,2.032,99.79032140000001,24,Miami Heat,1,United States,NBA 2023-2024 Players Information
8,Jae'sean Tate,F,1.9304,104.32624510000001,28,Houston Rockets,3,United States,NBA 2023-2024 Players Information
0,Jayson Tatum,SF,2.032,95.2543977,26,Boston Celtics,6,United States,NBA 2023-2024 Players Information
32,Terry Taylor,GF,1.9304,104.32624510000001,24,Chicago Bulls,2,United States,NBA 2023-2024 Players Information
14,Garrett Temple,G,1.9558,88.45051215000001,37,Toronto Raptors,13,United States,NBA 2023-2024 Players Information
25,Dalen Terry,PG,2.0065999999999997,88.45051215000001,21,Chicago Bulls,1,United States,NBA 2023-2024 Players Information
10,Daniel Theis,C,2.032,111.13013065000001,31,Los Angeles Clippers,6,Germany,NBA 2023-2024 Players Information
24,Cam Thomas,PG,1.905,95.2543977,22,Brooklyn Nets,2,United States,NBA 2023-2024 Players Information
4,Isaiah Thomas,PG,1.7526,83.91458845000001,35,Phoenix Suns,11,United States,NBA 2023-2024 Players Information
1,Amen Thompson,G,2.0065999999999997,90.718474,21,Houston Rockets,0,United States,NBA 2023-2024 Players Information
9,Ausar Thompson,G,1.9811999999999999,92.98643585,21,Detroit Pistons,0,United States,NBA 2023-2024 Players Information
11,Klay Thompson,G,1.9811999999999999,99.79032140000001,34,Golden State Warriors,12,United States,NBA 2023-2024 Players Information
13,Tristan Thompson,F,2.0574,115.21246198,33,Cleveland Cavaliers,12,Canada,NBA 2023-2024 Players Information
21,J.T. Thor,PF,2.0574,92.07925111,21,Charlotte Hornets,2,United States,NBA 2023-2024 Players Information
4,Matisse Thybulle,SF,1.9558,91.17206637000001,27,Portland Trail Blazers,4,United StatesAustralia,NBA 2023-2024 Players Information
26,"Xavier Tillman, Sr.",PF,2.0065999999999997,111.13013065000001,25,Boston Celtics,3,United States,NBA 2023-2024 Players Information
0,Jacob Toppin,SF,2.032,90.718474,23,New York Knicks,0,United States,NBA 2023-2024 Players Information
1,Obi Toppin,F,2.0574,99.79032140000001,26,Indiana Pacers,3,United States,NBA 2023-2024 Players Information
32,Karl-Anthony Towns,C,2.1336,112.49090776,28,Minnesota Timberwolves,8,United StatesDominican Republic,NBA 2023-2024 Players Information
33,"Gary Trent, Jr.",SG,1.9558,92.53284348000001,25,Toronto Raptors,5,United States,NBA 2023-2024 Players Information
44,Oscar Tshiebwe,F,2.032,115.66605435000001,24,Indiana Pacers,0,Democratic Republic of the Congo,NBA 2023-2024 Players Information
17,P.J. Tucker,SF,1.9558,111.13013065000001,38,Los Angeles Clippers,12,United States,NBA 2023-2024 Players Information
33,Myles Turner,FC,2.1082,113.3980925,28,Indiana Pacers,8,United States,NBA 2023-2024 Players Information
4,Hunter Tyson,SF,2.032,97.52235955,23,Denver Nuggets,0,United States,NBA 2023-2024 Players Information
17,Stanley Umude,G,1.9811999999999999,95.2543977,24,Detroit Pistons,1,United States,NBA 2023-2024 Players Information
17,Jonas Valanciunas,C,2.1082,120.20197805000001,31,New Orleans Pelicans,11,Lithuania,NBA 2023-2024 Players Information
5,Fred VanVleet,G,1.8288,89.35769689,30,Houston Rockets,7,United States,NBA 2023-2024 Players Information
2,Jarred Vanderbilt,PF,2.032,97.06876718000001,24,Los Angeles Lakers,5,United States,NBA 2023-2024 Players Information
24,Devin Vassell,SG,1.9558,90.718474,23,San Antonio Spurs,3,United States,NBA 2023-2024 Players Information
7,Sasha Vezenkov,PF,2.032,102.05828325,28,Sacramento Kings,0,CyprusBulgaria,NBA 2023-2024 Players Information
7,Gabe Vincent,G,1.8796,90.718474,27,Los Angeles Lakers,4,United StatesNigeria,NBA 2023-2024 Players Information
9,Nikola Vucevic,PF,2.0827999999999998,117.9340162,33,Chicago Bulls,12,SwitzerlandMontenegro,NBA 2023-2024 Players Information
0,Tristan Vukcevic,F,2.0827999999999998,99.79032140000001,21,Washington Wizards,0,ItalySerbia,NBA 2023-2024 Players Information
32,Dean Wade,PF,2.0574,103.41906036,27,Cleveland Cavaliers,4,United States,NBA 2023-2024 Players Information
22,Franz Wagner,SF,2.0827999999999998,99.79032140000001,22,Orlando Magic,2,Germany,NBA 2023-2024 Players Information
21,Moe Wagner,PF,2.1082,111.13013065000001,26,Orlando Magic,5,Germany,NBA 2023-2024 Players Information
12,Ish Wainright,GF,1.9558,113.3980925,29,Phoenix Suns,2,United StatesUganda,NBA 2023-2024 Players Information
34,Jabari Walker,F,2.0065999999999997,102.96546799000001,21,Portland Trail Blazers,1,United States,NBA 2023-2024 Players Information
5,Jarace Walker,G,2.0065999999999997,106.59420695,20,Indiana Pacers,0,United States,NBA 2023-2024 Players Information
8,Lonnie Walker,SG,1.9304,92.53284348000001,25,Brooklyn Nets,5,United States,NBA 2023-2024 Players Information
22,Cason Wallace,G,1.905,88.45051215000001,20,Oklahoma City Thunder,0,United States,NBA 2023-2024 Players Information
27,Jordan Walsh,F,1.9811999999999999,92.98643585,20,Boston Celtics,0,United States,NBA 2023-2024 Players Information
44,"Duane Washington, Jr.",G,1.8796,89.35769689,24,New York Knicks,2,United States,NBA 2023-2024 Players Information
23,"TyTy Washington, Jr.",PG,1.905,88.45051215000001,22,Milwaukee Bucks,1,United States,NBA 2023-2024 Players Information
25,P.J. Washington,PF,2.0065999999999997,104.32624510000001,25,Dallas Mavericks,4,United States,NBA 2023-2024 Players Information
18,Yuta Watanabe,F,2.0574,97.52235955,29,Memphis Grizzlies,5,Japan,NBA 2023-2024 Players Information
12,Lindy Waters III,SG,1.9811999999999999,95.2543977,26,Oklahoma City Thunder,2,United States,NBA 2023-2024 Players Information
9,Trendon Watford,SF,2.032,107.50139169,23,Brooklyn Nets,2,United States,NBA 2023-2024 Players Information
8,Peyton Watson,GF,2.0065999999999997,90.718474,21,Denver Nuggets,1,United States,NBA 2023-2024 Players Information
1,Victor Wembanyama,F,2.2352,95.2543977,20,San Antonio Spurs,0,France,NBA 2023-2024 Players Information
14,Blake Wesley,SG,1.905,83.91458845000001,21,San Antonio Spurs,1,United States,NBA 2023-2024 Players Information
0,Russell Westbrook,G,1.9304,90.718474,35,Los Angeles Clippers,15,United States,NBA 2023-2024 Players Information
0,Coby White,PG,1.9558,88.45051215000001,24,Chicago Bulls,4,United States,NBA 2023-2024 Players Information
9,Derrick White,G,1.9304,86.1825503,29,Boston Celtics,6,United States,NBA 2023-2024 Players Information
0,Dariq Whitehead,F,1.9811999999999999,99.79032140000001,19,Brooklyn Nets,0,United States,NBA 2023-2024 Players Information
7,Cam Whitmore,F,2.0065999999999997,104.32624510000001,19,Houston Rockets,0,United States,NBA 2023-2024 Players Information
21,Aaron Wiggins,F,1.9558,86.1825503,25,Oklahoma City Thunder,2,United States,NBA 2023-2024 Players Information
22,Andrew Wiggins,F,2.0065999999999997,89.35769689,29,Golden State Warriors,9,Canada,NBA 2023-2024 Players Information
15,Alondes Williams,G,1.9304,95.2543977,24,Miami Heat,1,United States,NBA 2023-2024 Players Information
0,Brandon Williams,PG,1.8541999999999998,86.1825503,24,Dallas Mavericks,1,United States,NBA 2023-2024 Players Information
2,Grant Williams,SF,1.9811999999999999,107.04779932000001,25,Charlotte Hornets,4,United States,NBA 2023-2024 Players Information
8,Jalen Williams,G,1.9558,95.70799007000001,22,Oklahoma City Thunder,1,United States,NBA 2023-2024 Players Information
6,Jaylin Williams,C,2.0574,108.8621688,21,Oklahoma City Thunder,1,United States,NBA 2023-2024 Players Information
19,"Nate Williams, Jr.",SG,1.9558,92.98643585,25,Houston Rockets,1,United States,NBA 2023-2024 Players Information
5,"Vincent Williams, Jr.",SF,1.9304,92.98643585,23,Memphis Grizzlies,1,United States,NBA 2023-2024 Players Information
34,Kenrich Williams,SF,1.9811999999999999,95.2543977,29,Oklahoma City Thunder,5,United States,NBA 2023-2024 Players Information
5,Mark Williams,C,2.1336,108.8621688,22,Charlotte Hornets,1,United States,NBA 2023-2024 Players Information
44,Patrick Williams,G,2.0065999999999997,97.52235955,22,Chicago Bulls,3,United States,NBA 2023-2024 Players Information
35,Robert Williams,PF,2.0574,112.94450013000001,26,Portland Trail Blazers,5,United States,NBA 2023-2024 Players Information
8,Ziaire Williams,F,2.0574,83.91458845000001,22,Memphis Grizzlies,2,United States,NBA 2023-2024 Players Information
1,Zion Williamson,PF,1.9811999999999999,128.82023308,23,New Orleans Pelicans,4,United States,NBA 2023-2024 Players Information
20,D.J. Wilson,F,2.0827999999999998,104.77983747,28,Philadelphia Sixers,5,United States,NBA 2023-2024 Players Information
22,Jalen Wilson,F,1.9811999999999999,99.79032140000001,23,Brooklyn Nets,0,United States,NBA 2023-2024 Players Information
20,Dylan Windler,SF,2.0065999999999997,88.90410452,27,Atlanta Hawks,4,United States,NBA 2023-2024 Players Information
13,James Wiseman,C,2.1082,108.8621688,22,Detroit Pistons,3,United States,NBA 2023-2024 Players Information
21,Isaiah Wong,G,1.905,83.91458845000001,23,Indiana Pacers,0,United States,NBA 2023-2024 Players Information
35,Christian Wood,PF,2.032,97.06876718000001,28,Los Angeles Lakers,7,United States,NBA 2023-2024 Players Information
4,Delon Wright,G,1.9558,83.91458845000001,31,Miami Heat,8,United States,NBA 2023-2024 Players Information
30,Thaddeus Young,F,2.032,102.05828325,35,Phoenix Suns,16,United States,NBA 2023-2024 Players Information
11,Trae Young,PG,1.8541999999999998,74.38914868,25,Atlanta Hawks,5,United States,NBA 2023-2024 Players Information
77,Omer Yurtseven,C,2.1082,124.73790175,25,Utah Jazz,3,UzbekistanTurkey,NBA 2023-2024 Players Information
40,Cody Zeller,F,2.1082,108.8621688,31,New Orleans Pelicans,10,United States,NBA 2023-2024 Players Information
40,Ivica Zubac,C,2.1336,108.8621688,27,Los Angeles Clippers,7,Bosnia and HerzegovinaCroatia,NBA 2023-2024 Players Information
