Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Kareem Abdul-Jabbar,C,2.1844,102.05828325,39,LAL,78,17,United States,NBA 1986-1987 Players Information
Alvan Adams,FC,2.0574,95.2543977,32,PHX,68,11,United States,NBA 1986-1987 Players Information
Michael Adams,PG,1.778,73.93555631000001,24,WAS,63,1,United States,NBA 1986-1987 Players Information
Rafael Addison,SF,2.0065999999999997,97.52235955,22,PHX,62,0,United States,NBA 1986-1987 Players Information
Mark Aguirre,SF,1.9811999999999999,105.23342984,27,DAL,80,5,United States,NBA 1986-1987 Players Information
Danny Ainge,G,1.9304,79.37866475,27,BOS,71,5,United States,NBA 1986-1987 Players Information
Mark Alarie,F,2.032,98.42954429000001,23,DEN,64,0,United States,NBA 1986-1987 Players Information
Richard Anderson,FC,2.0827999999999998,108.8621688,26,HOU,51,2,United States,NBA 1986-1987 Players Information
Ron Anderson,GF,2.0065999999999997,97.52235955,28,IND,63,2,United States,NBA 1986-1987 Players Information
John Bagley,G,1.8288,83.91458845000001,26,CLE,72,4,United States,NBA 1986-1987 Players Information
James Bailey,FC,2.0574,99.79032140000001,29,NJN,34,7,United States,NBA 1986-1987 Players Information
Thurl Bailey,PF,2.1082,97.52235955,25,UTA,81,3,United States,NBA 1986-1987 Players Information
Greg Ballard,F,2.0065999999999997,97.52235955,32,GSW,82,9,United States,NBA 1986-1987 Players Information
Gene Banks,GF,2.0065999999999997,97.52235955,27,CHI,63,5,United States,NBA 1986-1987 Players Information
Charles Barkley,PF,1.9811999999999999,114.30527724000001,24,PHI,68,2,United States,NBA 1986-1987 Players Information
John Battle,G,1.8796,79.37866475,24,ATL,64,1,United States,NBA 1986-1987 Players Information
William Bedford,C,2.1336,102.05828325,24,PHX,50,0,United States,NBA 1986-1987 Players Information
Benoit Benjamin,C,2.1336,113.3980925,22,LAC,72,1,United States,NBA 1986-1987 Players Information
Kent Benson,C,2.0827999999999998,106.59420695,32,UTA,73,9,United States,NBA 1986-1987 Players Information
Walter Berry,F,2.032,97.52235955,22,"POR, SAN",63,0,United States,NBA 1986-1987 Players Information
Joe Binion,F,2.032,106.59420695,25,POR,11,2,United States,NBA 1986-1987 Players Information
Larry Bird,SF,2.0574,99.79032140000001,30,BOS,74,7,United States,NBA 1986-1987 Players Information
Otis Birdsong,GF,1.905,86.1825503,31,NJN,7,9,United States,NBA 1986-1987 Players Information
Uwe Blab,C,2.1844,110.22294591,24,DAL,30,1,Germany,NBA 1986-1987 Players Information
Rolando Blackman,G,1.9811999999999999,86.1825503,28,DAL,80,5,PanamaUnited States,NBA 1986-1987 Players Information
Manute Bol,C,2.3114,90.718474,24,WAS,82,1,South Sudan,NBA 1986-1987 Players Information
Sam Bowie,C,2.159,106.59420695,25,POR,5,2,United States,NBA 1986-1987 Players Information
Dudley Bradley,GF,1.9811999999999999,88.45051215000001,29,MIL,68,7,United States,NBA 1986-1987 Players Information
Adrian Branch,GF,2.0065999999999997,83.91458845000001,23,LAL,32,1,United States,NBA 1986-1987 Players Information
Randy Breuer,C,2.2098,104.32624510000001,26,MIL,76,3,United States,NBA 1986-1987 Players Information
Frank Brickowski,PF,2.0574,108.8621688,27,"LAL, SAN",44,2,United States,NBA 1986-1987 Players Information
Junior Bridgeman,GF,1.9558,95.2543977,33,MIL,34,11,United States,NBA 1986-1987 Players Information
Mike Brittain,C,2.1336,106.59420695,23,SAS,6,1,United States,NBA 1986-1987 Players Information
Michael Brooks,F,2.0065999999999997,99.79032140000001,28,IND,10,4,United States,NBA 1986-1987 Players Information
Mike Brown,PF,2.0574,116.57323909,23,CHI,62,0,United States,NBA 1986-1987 Players Information
Tony Brown,GF,1.9811999999999999,83.91458845000001,26,NJN,77,4,United States,NBA 1986-1987 Players Information
Michael Cage,PF,2.0574,101.60469088,25,LAC,80,2,United States,NBA 1986-1987 Players Information
Tony Campbell,GF,2.0065999999999997,97.52235955,24,DET,40,2,United States,NBA 1986-1987 Players Information
Rick Carlisle,G,1.9558,95.2543977,27,BOS,42,2,United States,NBA 1986-1987 Players Information
Antoine Carr,PF,2.0574,102.05828325,25,ATL,65,2,United States,NBA 1986-1987 Players Information
Kenny Carr,GF,2.0065999999999997,99.79032140000001,31,POR,49,9,United States,NBA 1986-1987 Players Information
Joe Barry Carroll,FC,2.1336,102.05828325,28,GSW,81,5,United States,NBA 1986-1987 Players Information
Bill Cartwright,C,2.159,111.13013065000001,29,NYK,58,7,United States,NBA 1986-1987 Players Information
Terry Catledge,F,2.032,99.79032140000001,23,WAS,78,1,United States,NBA 1986-1987 Players Information
Tom Chambers,PF,2.0827999999999998,99.79032140000001,27,SEA,82,5,United States,NBA 1986-1987 Players Information
Mo Cheeks,PG,1.8541999999999998,81.6466266,30,PHI,68,8,United States,NBA 1986-1987 Players Information
Fred Cofield,G,1.905,86.1825503,25,CHI,5,1,United States,NBA 1986-1987 Players Information
Ben Coleman,F,2.0574,106.59420695,25,NJN,68,1,United States,NBA 1986-1987 Players Information
Don Collins,GF,1.9811999999999999,86.1825503,28,MIL,6,5,United States,NBA 1986-1987 Players Information
Steve Colter,G,1.905,74.84274105,24,"CHI, PHL",70,2,United States,NBA 1986-1987 Players Information
Darwin Cook,G,1.905,83.46099608,28,WAS,82,0,United States,NBA 1986-1987 Players Information
Michael Cooper,SG,1.9558,77.1107029,30,LAL,82,8,United States,NBA 1986-1987 Players Information
Wayne Cooper,FC,2.0827999999999998,99.79032140000001,30,DEN,69,8,United States,NBA 1986-1987 Players Information
Tyrone Corbin,F,1.9811999999999999,95.2543977,24,"CLE, SAN",63,1,United States,NBA 1986-1987 Players Information
Dave Corzine,C,2.1082,113.3980925,30,CHI,82,8,United States,NBA 1986-1987 Players Information
Pat Cummings,FC,2.0574,104.32624510000001,30,NYK,49,8,United States,NBA 1986-1987 Players Information
Terry Cummings,PF,2.0574,99.79032140000001,25,MIL,82,4,United States,NBA 1986-1987 Players Information
Earl Cureton,PF,2.0574,95.2543977,29,"CHI, LAC",78,6,United States,NBA 1986-1987 Players Information
Dell Curry,SG,1.9304,86.1825503,22,UTA,67,0,United States,NBA 1986-1987 Players Information
Quintin Dailey,G,1.905,81.6466266,26,LAC,49,4,United States,NBA 1986-1987 Players Information
Adrian Dantley,SF,1.9558,94.34721296000001,31,DET,81,10,United States,NBA 1986-1987 Players Information
Brad Daugherty,C,2.1336,111.13013065000001,21,CLE,80,0,United States,NBA 1986-1987 Players Information
Brad Davis,G,1.905,81.6466266,31,DAL,82,9,United States,NBA 1986-1987 Players Information
Walter Davis,GF,1.9811999999999999,87.54332741,32,PHX,79,9,United States,NBA 1986-1987 Players Information
Darryl Dawkins,C,2.1082,113.85168487,30,NJN,6,11,United States,NBA 1986-1987 Players Information
Johnny Dawkins,G,1.8796,74.84274105,23,SAS,81,0,United States,NBA 1986-1987 Players Information
Darren Daye,FC,2.032,99.79032140000001,26,"BOS, CHI",62,3,United States,NBA 1986-1987 Players Information
