Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Quincy Acy,F,2.0065999999999997,108.8621688,22,TOR,29,0,United States,NBA 2012-2013 Players Information
Jeff Adrien,SF,2.0065999999999997,111.13013065000001,27,CHA,52,2,United States,NBA 2012-2013 Players Information
Arron Afflalo,SG,1.9558,95.2543977,27,ORL,64,5,United States,NBA 2012-2013 Players Information
Josh Akognon,PG,1.8034,79.37866475,27,DAL,3,0,United StatesNigeria,NBA 2012-2013 Players Information
Cole Aldrich,C,2.1082,114.75886961,24,"HOU, SAC",45,2,United States,NBA 2012-2013 Players Information
LaMarcus Aldridge,FC,2.1082,120.20197805000001,27,POR,74,6,United States,NBA 2012-2013 Players Information
Lavoy Allen,PF,2.0574,117.9340162,24,PHI,79,1,United States,NBA 2012-2013 Players Information
Ray Allen,SG,1.9558,92.98643585,37,MIA,79,16,United States,NBA 2012-2013 Players Information
Tony Allen,SG,1.9304,96.61517481,31,MEM,79,8,United States,NBA 2012-2013 Players Information
Al-Farouq Aminu,F,2.0574,99.79032140000001,22,NOP,76,2,United StatesNigeria,NBA 2012-2013 Players Information
Lou Amundson,PF,2.0574,99.79032140000001,30,"CHI, MIN, NOP",39,6,United States,NBA 2012-2013 Players Information
Chris Andersen,FC,2.0827999999999998,111.13013065000001,34,MIA,42,9,United States,NBA 2012-2013 Players Information
Alan Anderson,GF,1.9811999999999999,99.79032140000001,30,TOR,65,3,United States,NBA 2012-2013 Players Information
James Anderson,GF,1.9811999999999999,95.2543977,23,"HOU, SAN",39,2,United States,NBA 2012-2013 Players Information
Ryan Anderson,PF,2.0827999999999998,108.8621688,24,NOP,81,4,United States,NBA 2012-2013 Players Information
Carmelo Anthony,F,2.032,108.8621688,28,NYK,67,9,United States,NBA 2012-2013 Players Information
Joel Anthony,C,2.0574,111.13013065000001,30,MIA,62,5,Canada,NBA 2012-2013 Players Information
Trevor Ariza,SF,2.032,97.52235955,27,WAS,56,8,United States,NBA 2012-2013 Players Information
Darrell Arthur,PF,2.0574,106.59420695,24,MEM,59,4,United States,NBA 2012-2013 Players Information
Omer Asik,C,2.1336,115.66605435000001,26,HOU,82,2,Turkey,NBA 2012-2013 Players Information
D.J. Augustin,G,1.8288,83.00740371,25,IND,76,4,United States,NBA 2012-2013 Players Information
Gustavo Ayon,C,2.0827999999999998,113.3980925,27,"MIL, ORL",55,1,Mexico,NBA 2012-2013 Players Information
Jeff Ayres,FC,2.0827999999999998,108.8621688,25,IND,37,2,United States,NBA 2012-2013 Players Information
Luke Babbitt,SF,2.0574,102.05828325,23,POR,62,2,United States,NBA 2012-2013 Players Information
Leandro Barbosa,G,1.905,87.99691978,30,BOS,41,9,Brazil,NBA 2012-2013 Players Information
J.J. Barea,G,1.778,81.6466266,28,MIN,74,6,Puerto RicoUnited States,NBA 2012-2013 Players Information
Andrea Bargnani,FC,2.1336,111.13013065000001,27,TOR,35,6,Italy,NBA 2012-2013 Players Information
Harrison Barnes,SF,2.032,102.05828325,20,GSW,81,0,United States,NBA 2012-2013 Players Information
Matt Barnes,GF,2.0065999999999997,102.51187562000001,32,LAC,80,10,United States,NBA 2012-2013 Players Information
Earl Barron,C,2.1336,113.3980925,31,"NYK, WAS",12,7,United States,NBA 2012-2013 Players Information
Will Barton,GF,1.9558,82.10021897,22,POR,73,0,United States,NBA 2012-2013 Players Information
Brandon Bass,PF,2.032,113.3980925,27,BOS,81,7,United States,NBA 2012-2013 Players Information
Shane Battier,F,2.032,99.79032140000001,34,MIA,72,11,United States,NBA 2012-2013 Players Information
Nicolas Batum,F,2.032,104.32624510000001,24,POR,73,4,France,NBA 2012-2013 Players Information
Jerryd Bayless,G,1.905,95.2543977,24,MEM,80,4,United States,NBA 2012-2013 Players Information
Aron Baynes,C,2.0827999999999998,117.9340162,26,SAS,16,0,New ZealandAustralia,NBA 2012-2013 Players Information
Kent Bazemore,GF,1.9304,88.45051215000001,23,GSW,61,0,United States,NBA 2012-2013 Players Information
Bradley Beal,SG,1.9304,93.89362059,19,WAS,56,0,United States,NBA 2012-2013 Players Information
Michael Beasley,PF,2.0574,106.59420695,24,PHX,75,4,United States,NBA 2012-2013 Players Information
Rodrigue Beaubois,G,1.8541999999999998,83.00740371,25,DAL,45,3,France,NBA 2012-2013 Players Information
Marco Belinelli,G,1.9558,102.05828325,26,CHI,73,5,Italy,NBA 2012-2013 Players Information
Patrick Beverley,PG,1.8796,81.6466266,24,HOU,41,0,United States,NBA 2012-2013 Players Information
Andris Biedrins,C,2.1336,113.3980925,26,GSW,53,8,Latvia,NBA 2012-2013 Players Information
Chauncey Billups,G,1.905,95.2543977,36,LAC,22,15,United States,NBA 2012-2013 Players Information
Bismack Biyombo,PF,2.032,115.66605435000001,20,CHA,80,1,Democratic Republic of the Congo,NBA 2012-2013 Players Information
DeJuan Blair,F,2.032,122.4699399,23,SAS,61,3,United States,NBA 2012-2013 Players Information
Steve Blake,G,1.905,78.01788764,33,LAL,45,9,United States,NBA 2012-2013 Players Information
Andray Blatche,PF,2.1082,117.9340162,26,BRK,82,7,United StatesPhilippines,NBA 2012-2013 Players Information
Eric Bledsoe,PG,1.8541999999999998,97.06876718000001,23,LAC,76,2,United States,NBA 2012-2013 Players Information
Keith Bogans,GF,1.9558,97.52235955,32,BRK,74,9,United States,NBA 2012-2013 Players Information
Andrew Bogut,C,2.1336,117.9340162,28,GSW,32,7,Australia,NBA 2012-2013 Players Information
Matt Bonner,FC,2.0827999999999998,106.59420695,32,SAS,68,8,United States,NBA 2012-2013 Players Information
Trevor Booker,PF,2.032,103.41906036,25,WAS,48,2,United States,NBA 2012-2013 Players Information
Carlos Boozer,PF,2.0574,120.65557042,31,CHI,79,10,GermanyUnited States,NBA 2012-2013 Players Information
Chris Bosh,PF,2.1082,106.59420695,28,MIA,74,9,United States,NBA 2012-2013 Players Information
Avery Bradley,PG,1.905,81.6466266,22,BOS,50,2,United States,NBA 2012-2013 Players Information
Elton Brand,PF,2.0574,115.21246198,33,DAL,72,13,United States,NBA 2012-2013 Players Information
Corey Brewer,GF,2.0574,84.36818082,26,DEN,82,5,United States,NBA 2012-2013 Players Information
Ronnie Brewer,GF,2.0065999999999997,106.59420695,27,"NYK, OKC",60,6,United States,NBA 2012-2013 Players Information
Aaron Brooks,G,1.8288,73.02837157,28,"HOU, SAC",53,4,United States,NBA 2012-2013 Players Information
MarShon Brooks,GF,1.9558,90.718474,24,BRK,73,1,United States,NBA 2012-2013 Players Information
Kwame Brown,C,2.1082,131.5417873,30,PHI,22,11,United States,NBA 2012-2013 Players Information
Shannon Brown,G,1.9304,95.2543977,27,PHX,59,6,United States,NBA 2012-2013 Players Information
Kobe Bryant,SG,1.9811999999999999,96.16158244,34,LAL,78,16,United States,NBA 2012-2013 Players Information
Chase Budinger,GF,2.0065999999999997,97.52235955,24,MIN,23,3,United States,NBA 2012-2013 Players Information
Alec Burks,SG,1.9558,97.06876718000001,21,UTA,64,1,United States,NBA 2012-2013 Players Information
Caron Butler,SF,2.0065999999999997,103.41906036,32,LAC,78,10,United States,NBA 2012-2013 Players Information
Jimmy Butler,GF,2.0065999999999997,104.32624510000001,23,CHI,82,1,United States,NBA 2012-2013 Players Information
Will Bynum,G,1.8288,83.91458845000001,30,DET,65,5,United States,NBA 2012-2013 Players Information
Jose Calderon,G,1.905,90.718474,31,"DET, TOR",73,7,Spain,NBA 2012-2013 Players Information
Marcus Camby,C,2.1082,108.8621688,38,NYK,24,16,United States,NBA 2012-2013 Players Information
DeMarre Carroll,F,2.032,97.52235955,26,UTA,66,3,United States,NBA 2012-2013 Players Information
Matt Carroll,GF,1.9811999999999999,96.16158244,32,CHA,1,9,United States,NBA 2012-2013 Players Information
Vince Carter,SF,1.9811999999999999,99.79032140000001,36,DAL,81,14,United States,NBA 2012-2013 Players Information
