Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Precious Achiuwa,SF,2.032,110.22294591,22,TOR,73,1,Nigeria,NBA 2021-2022 Players Information
Steven Adams,C,2.1082,120.20197805000001,28,MEM,76,8,New Zealand,NBA 2021-2022 Players Information
Bam Adebayo,C,2.0574,115.66605435000001,24,MIA,56,4,United States,NBA 2021-2022 Players Information
Santi Aldama,C,2.1336,97.52235955,21,MEM,32,0,Spain,NBA 2021-2022 Players Information
LaMarcus Aldridge,FC,2.1082,120.20197805000001,36,BRK,47,15,United States,NBA 2021-2022 Players Information
Nickeil Alexander-Walker,SG,1.9558,92.98643585,23,"NOP, UTH",65,2,Canada,NBA 2021-2022 Players Information
Grayson Allen,SG,1.9304,89.81128926000001,26,MIL,66,3,United States,NBA 2021-2022 Players Information
Jarrett Allen,C,2.0574,110.22294591,23,CLE,56,4,United States,NBA 2021-2022 Players Information
Jose Alvarado,G,1.8288,81.19303423000001,23,NOP,54,0,United StatesPuerto Rico,NBA 2021-2022 Players Information
Justin Anderson,F,1.9811999999999999,104.32624510000001,28,"CLE, IND",16,5,United States,NBA 2021-2022 Players Information
Kyle Anderson,PF,2.0574,104.32624510000001,28,MEM,69,7,United StatesChina,NBA 2021-2022 Players Information
Giannis Antetokounmpo,F,2.1082,110.22294591,27,MIL,67,8,GreeceNigeria,NBA 2021-2022 Players Information
Thanasis Antetokounmpo,SF,2.0065999999999997,99.33672903,29,MIL,48,3,GreeceNigeria,NBA 2021-2022 Players Information
Carmelo Anthony,F,2.032,108.8621688,37,LAL,69,18,United States,NBA 2021-2022 Players Information
Cole Anthony,PG,1.8796,83.91458845000001,21,ORL,65,1,United States,NBA 2021-2022 Players Information
OG Anunoby,SF,2.0065999999999997,108.8621688,24,TOR,48,4,EnglandUnited States,NBA 2021-2022 Players Information
Ryan Arcidiacono,G,1.905,88.45051215000001,27,NYK,10,4,United States,NBA 2021-2022 Players Information
Trevor Ariza,SF,2.032,97.52235955,36,LAL,24,17,United States,NBA 2021-2022 Players Information
D.J. Augustin,G,1.8288,83.00740371,34,"HOU, LAL",55,13,United States,NBA 2021-2022 Players Information
Deni Avdija,SG,2.0574,95.2543977,21,WAS,82,1,Israel,NBA 2021-2022 Players Information
Joel Ayayi,G,1.9304,81.6466266,21,WAS,7,0,France,NBA 2021-2022 Players Information
Deandre Ayton,C,2.1336,112.03731539,23,PHX,58,3,Bahamas,NBA 2021-2022 Players Information
Udoka Azubuike,C,2.1082,122.4699399,22,UTA,17,1,Nigeria,NBA 2021-2022 Players Information
Marvin Bagley III,PF,2.0827999999999998,106.59420695,22,"DET, SAC",48,3,United States,NBA 2021-2022 Players Information
