Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Kareem Abdul-Jabbar,C,2.1844,102.05828325,32,LAL,82,10,United States,NBA 1979-1980 Players Information
Tom Abernethy,PF,2.0065999999999997,99.79032140000001,25,GSW,65,3,United States,NBA 1979-1980 Players Information
Alvan Adams,FC,2.0574,95.2543977,25,PHX,75,4,United States,NBA 1979-1980 Players Information
Tiny Archibald,PG,1.8541999999999998,68.0388555,31,BOS,80,9,United States,NBA 1979-1980 Players Information
Dennis Awtrey,C,2.0827999999999998,106.59420695,32,CHI,26,9,United States,NBA 1979-1980 Players Information
Gus Bailey,GF,1.9558,83.91458845000001,29,WAS,20,5,United States,NBA 1979-1980 Players Information
James Bailey,FC,2.0574,99.79032140000001,22,SEA,67,0,United States,NBA 1979-1980 Players Information
Greg Ballard,F,2.0065999999999997,97.52235955,25,WAS,82,2,United States,NBA 1979-1980 Players Information
Mike Bantom,FC,2.0574,90.718474,28,IND,77,6,United States,NBA 1979-1980 Players Information
Marvin Barnes,FC,2.032,95.2543977,27,SDC,19,3,United States,NBA 1979-1980 Players Information
Rick Barry,F,2.0065999999999997,92.98643585,35,HOU,72,9,United States,NBA 1979-1980 Players Information
Tim Bassett,FC,2.032,102.05828325,28,"NJN, SAN",12,3,United States,NBA 1979-1980 Players Information
Billy Ray Bates,SG,1.9304,95.2543977,23,POR,16,1,United States,NBA 1979-1980 Players Information
Ron Behagen,FC,2.0574,83.91458845000001,29,WAS,6,6,United States,NBA 1979-1980 Players Information
Kent Benson,C,2.0827999999999998,106.59420695,25,"DET, MIL",73,2,United States,NBA 1979-1980 Players Information
Delmer Beshore,G,1.8034,74.84274105,23,CHI,68,1,United States,NBA 1979-1980 Players Information
Henry Bibby,G,1.8541999999999998,83.91458845000001,30,PHI,82,7,United States,NBA 1979-1980 Players Information
Larry Bird,SF,2.0574,99.79032140000001,23,BOS,82,0,United States,NBA 1979-1980 Players Information
Otis Birdsong,GF,1.905,86.1825503,24,KCK,82,2,United States,NBA 1979-1980 Players Information
Ron Boone,GF,1.8796,90.718474,33,"LAL, UTH",81,3,United States,NBA 1979-1980 Players Information
Lawrence Boston,PF,2.032,102.05828325,23,WAS,13,1,United States,NBA 1979-1980 Players Information
Tom Boswell,FC,2.0574,99.79032140000001,26,"DEN, UTH",79,4,United States,NBA 1979-1980 Players Information
Winford Boynes,SG,1.9811999999999999,83.91458845000001,22,NJN,63,1,United States,NBA 1979-1980 Players Information
Alonzo Bradley,SF,1.9811999999999999,86.1825503,26,HOU,22,0,United States,NBA 1979-1980 Players Information
Dudley Bradley,GF,1.9811999999999999,88.45051215000001,22,IND,82,0,United States,NBA 1979-1980 Players Information
Mike Bratz,G,1.8796,83.91458845000001,24,PHX,82,2,United States,NBA 1979-1980 Players Information
Jim Brewer,PF,2.0574,95.2543977,28,POR,66,6,United States,NBA 1979-1980 Players Information
Ron Brewer,G,1.9304,81.6466266,24,POR,82,1,United States,NBA 1979-1980 Players Information
Junior Bridgeman,GF,1.9558,95.2543977,26,MIL,81,4,United States,NBA 1979-1980 Players Information
Allan Bristow,GF,2.0065999999999997,95.2543977,28,UTA,82,6,United States,NBA 1979-1980 Players Information
Fred Brown,G,1.905,82.55381134000001,31,SEA,80,8,United States,NBA 1979-1980 Players Information
John Brown,SF,2.0065999999999997,99.79032140000001,28,"ATL, UTH",31,6,GermanyUnited States,NBA 1979-1980 Players Information
Roger Brown,C,2.1082,102.05828325,30,CHI,4,3,United States,NBA 1979-1980 Players Information
Joe Bryant,PF,2.0574,83.91458845000001,25,SDC,81,4,United States,NBA 1979-1980 Players Information
Quinn Buckner,G,1.905,86.1825503,25,MIL,67,3,United States,NBA 1979-1980 Players Information
Tom Burleson,C,2.1844,102.05828325,28,KCK,33,5,United States,NBA 1979-1980 Players Information
Don Buse,G,1.9304,86.1825503,29,PHX,81,3,United States,NBA 1979-1980 Players Information
Marty Byrnes,SF,2.0065999999999997,97.52235955,23,LAL,31,1,United States,NBA 1979-1980 Players Information
Corky Calhoun,F,2.0065999999999997,95.2543977,29,IND,7,7,United States,NBA 1979-1980 Players Information
Mack Calvin,PG,1.8288,74.84274105,32,UTA,47,2,United States,NBA 1979-1980 Players Information
Austin Carr,G,1.9304,90.718474,31,CLE,77,8,United States,NBA 1979-1980 Players Information
Kenny Carr,GF,2.0065999999999997,99.79032140000001,24,"CLE, LAL",79,2,United States,NBA 1979-1980 Players Information
M.L. Carr,GF,1.9811999999999999,92.98643585,29,BOS,82,5,United States,NBA 1979-1980 Players Information
Bob Carrington,SG,1.9811999999999999,88.45051215000001,26,SDC,10,3,United States,NBA 1979-1980 Players Information
Ron Carter,SG,1.9558,86.1825503,23,IND,12,1,United States,NBA 1979-1980 Players Information
Bill Cartwright,C,2.159,111.13013065000001,22,NYK,82,0,United States,NBA 1979-1980 Players Information
Harvey Catchings,FC,2.0574,98.88313666,28,MIL,72,5,United States,NBA 1979-1980 Players Information
Don Chaney,G,1.9558,95.2543977,33,BOS,60,10,United States,NBA 1979-1980 Players Information
Mo Cheeks,PG,1.8541999999999998,81.6466266,23,PHI,79,1,United States,NBA 1979-1980 Players Information
Phil Chenier,PG,1.905,81.6466266,29,"IND, WAS",42,8,United States,NBA 1979-1980 Players Information
Jim Chones,FC,2.1082,99.79032140000001,30,LAL,82,5,United States,NBA 1979-1980 Players Information
Jim Cleamons,SG,1.905,83.91458845000001,30,"NYK, WAS",79,8,United States,NBA 1979-1980 Players Information
Doug Collins,GF,1.9811999999999999,81.6466266,28,PHI,36,6,United States,NBA 1979-1980 Players Information
Jeff Cook,FC,2.0827999999999998,97.52235955,23,PHX,66,1,United States,NBA 1979-1980 Players Information
Michael Cooper,SG,1.9558,77.1107029,23,LAL,81,1,United States,NBA 1979-1980 Players Information
Wayne Cooper,FC,2.0827999999999998,99.79032140000001,23,GSW,79,1,United States,NBA 1979-1980 Players Information
Hollis Copeland,SF,1.9811999999999999,86.1825503,24,NYK,74,1,United States,NBA 1979-1980 Players Information
Dave Corzine,C,2.1082,113.3980925,23,WAS,78,1,United States,NBA 1979-1980 Players Information
John Coughran,SF,2.0065999999999997,102.05828325,28,GSW,22,1,United States,NBA 1979-1980 Players Information
Dave Cowens,FC,2.0574,104.32624510000001,31,BOS,66,9,United States,NBA 1979-1980 Players Information
Charlie Criss,G,1.7271999999999998,74.84274105,31,ATL,81,2,United States,NBA 1979-1980 Players Information
Terry Crosby,SG,1.9304,88.45051215000001,23,KCK,4,0,United States,NBA 1979-1980 Players Information
Pat Cummings,FC,2.0574,104.32624510000001,23,MIL,71,1,United States,NBA 1979-1980 Players Information
Bob Dandridge,SF,1.9811999999999999,88.45051215000001,32,WAS,45,10,United States,NBA 1979-1980 Players Information
Adrian Dantley,SF,1.9558,94.34721296000001,24,UTA,68,3,United States,NBA 1979-1980 Players Information
Brad Davis,G,1.905,81.6466266,24,"IND, UTH",18,2,United States,NBA 1979-1980 Players Information
Harry Davis,SF,2.0065999999999997,99.79032140000001,24,SAS,4,1,United States,NBA 1979-1980 Players Information
Johnny Davis,G,1.8796,77.1107029,24,IND,82,3,United States,NBA 1979-1980 Players Information
Walter Davis,GF,1.9811999999999999,87.54332741,25,PHX,75,2,United States,NBA 1979-1980 Players Information
Darryl Dawkins,C,2.1082,113.85168487,23,PHI,80,4,United States,NBA 1979-1980 Players Information
Paul Dawkins,SF,1.9558,86.1825503,22,UTA,56,0,United States,NBA 1979-1980 Players Information
Greg Deane,SG,1.9304,86.1825503,22,UTA,7,0,United States,NBA 1979-1980 Players Information
Larry Demic,PF,2.0574,102.05828325,22,NYK,82,0,United States,NBA 1979-1980 Players Information
Coby Dietrick,FC,2.0827999999999998,99.79032140000001,31,CHI,79,3,United States,NBA 1979-1980 Players Information
Leon Douglas,C,2.0827999999999998,104.32624510000001,25,DET,70,3,United States,NBA 1979-1980 Players Information
John Drew,GF,1.9811999999999999,92.98643585,25,ATL,80,5,United States,NBA 1979-1980 Players Information
Terry Duerod,SG,1.8796,81.6466266,23,DET,67,0,United States,NBA 1979-1980 Players Information
"Mike Dunleavy, Sr.",G,1.905,81.6466266,25,HOU,51,3,United States,NBA 1979-1980 Players Information
T.R. Dunn,G,1.9304,87.08973504000001,25,POR,80,2,United States,NBA 1979-1980 Players Information
James Edwards,C,2.1336,102.05828325,24,IND,82,2,United States,NBA 1979-1980 Players Information
Bob Elliott,FC,2.0574,102.05828325,24,NJN,54,2,United States,NBA 1979-1980 Players Information
Bo Ellis,F,2.0574,89.35769689,25,DEN,47,2,United States,NBA 1979-1980 Players Information
Len Elmore,FC,2.0574,99.79032140000001,27,KCK,58,3,United States,NBA 1979-1980 Players Information
Alex English,SF,2.0065999999999997,86.1825503,26,"DEN, IND",78,3,United States,NBA 1979-1980 Players Information
Julius Erving,SF,1.9811999999999999,90.718474,30,PHI,78,7,United States,NBA 1979-1980 Players Information
Earl Evans,F,2.032,,24,DET,36,0,United States,NBA 1979-1980 Players Information
Mike Evans,G,1.8541999999999998,77.1107029,24,SAS,79,1,United States,NBA 1979-1980 Players Information
Eric Fernsten,FC,2.0827999999999998,92.98643585,26,BOS,55,2,United States,NBA 1979-1980 Players Information
Chris Ford,SG,1.9558,86.1825503,31,BOS,73,7,United States,NBA 1979-1980 Players Information
Don Ford,F,2.0574,97.52235955,27,"CLE, LAL",73,4,United States,NBA 1979-1980 Players Information
Phil Ford,G,1.8796,79.37866475,24,KCK,82,1,United States,NBA 1979-1980 Players Information
Walt Frazier,PG,1.9304,90.718474,34,CLE,3,12,United States,NBA 1979-1980 Players Information
World B. Free,G,1.8796,83.91458845000001,26,SDC,68,4,United States,NBA 1979-1980 Players Information
Terry Furlow,SG,1.9304,86.1825503,25,"ATL, UTH",76,3,United States,NBA 1979-1980 Players Information
Mike Gale,G,1.9304,83.91458845000001,29,SAS,67,3,United States,NBA 1979-1980 Players Information
Gary Garland,PG,1.9304,81.6466266,22,DEN,78,0,United States,NBA 1979-1980 Players Information
Gus Gerard,GF,2.032,90.718474,26,KCK,73,3,United States,NBA 1979-1980 Players Information
George Gervin,GF,2.0065999999999997,81.6466266,27,SAS,78,3,United States,NBA 1979-1980 Players Information
John Gianelli,FC,2.0827999999999998,99.79032140000001,29,UTA,17,7,United States,NBA 1979-1980 Players Information
Artis Gilmore,C,2.1844,108.8621688,30,CHI,48,3,United States,NBA 1979-1980 Players Information
Jack Givens,SF,1.9558,92.98643585,23,ATL,81,1,United States,NBA 1979-1980 Players Information
Mike Glenn,G,1.8796,79.37866475,24,NYK,75,2,United States,NBA 1979-1980 Players Information
Glen Gondrezick,F,1.9811999999999999,98.88313666,24,DEN,59,2,United States,NBA 1979-1980 Players Information
Mike Green,C,2.0827999999999998,90.718474,28,KCK,21,3,United States,NBA 1979-1980 Players Information
David Greenwood,F,2.0574,100.69750614,22,CHI,82,0,United States,NBA 1979-1980 Players Information
Kevin Grevey,GF,1.9558,95.2543977,26,WAS,65,4,United States,NBA 1979-1980 Players Information
Paul Griffin,FC,2.0574,92.98643585,26,SAS,82,3,United States,NBA 1979-1980 Players Information
Bob Gross,SF,1.9811999999999999,90.718474,26,POR,62,4,United States,NBA 1979-1980 Players Information
Ernie Grunfeld,GF,1.9811999999999999,95.2543977,24,KCK,80,2,RomaniaUnited States,NBA 1979-1980 Players Information
Roy Hamilton,PG,1.8796,81.6466266,22,DET,72,0,United States,NBA 1979-1980 Players Information
James Hardy,PF,2.032,99.79032140000001,23,UTA,74,1,United States,NBA 1979-1980 Players Information
Joe Hassett,SG,1.9558,81.6466266,24,IND,74,2,United States,NBA 1979-1980 Players Information
Steve Hawes,C,2.0574,99.79032140000001,29,ATL,81,5,United States,NBA 1979-1980 Players Information
Elvin Hayes,FC,2.0574,106.59420695,34,WAS,81,11,United States,NBA 1979-1980 Players Information
Spencer Haywood,PF,2.032,102.05828325,30,LAL,76,9,United States,NBA 1979-1980 Players Information
Gar Heard,PF,1.9811999999999999,99.33672903,31,PHX,82,9,United States,NBA 1979-1980 Players Information
Gerald Henderson,G,1.8796,79.37866475,24,BOS,76,1,United States,NBA 1979-1980 Players Information
Tom Henderson,SG,1.905,86.1825503,28,HOU,66,5,United States,NBA 1979-1980 Players Information
Johnny High,G,1.905,83.91458845000001,22,PHX,82,0,United States,NBA 1979-1980 Players Information
Armond Hill,PG,1.9304,86.1825503,26,ATL,79,3,United States,NBA 1979-1980 Players Information
Darnell Hillman,FC,2.0574,97.52235955,30,GSW,45,3,United States,NBA 1979-1980 Players Information
Brad Holland,SG,1.905,81.6466266,23,LAL,37,0,United States,NBA 1979-1980 Players Information
Lionel Hollins,G,1.905,83.91458845000001,26,"PHL, POR",47,4,United States,NBA 1979-1980 Players Information
Phil Hubbard,FC,2.032,97.52235955,23,DET,64,0,United States,NBA 1979-1980 Players Information
