Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Shareef Abdur-Rahim,F,2.0574,102.05828325,29,SAC,72,9,United States,NBA 2005-2006 Players Information
Alex Acker,SG,1.9558,83.91458845000001,23,DET,5,0,United States,NBA 2005-2006 Players Information
Malik Allen,F,2.0827999999999998,115.66605435000001,27,CHI,54,5,United States,NBA 2005-2006 Players Information
Ray Allen,SG,1.9558,92.98643585,30,SEA,78,9,United States,NBA 2005-2006 Players Information
Tony Allen,SG,1.9304,96.61517481,24,BOS,51,1,United States,NBA 2005-2006 Players Information
Rafer Alston,G,1.8796,79.37866475,29,HOU,63,6,United States,NBA 2005-2006 Players Information
Chris Andersen,FC,2.0827999999999998,111.13013065000001,27,NOP,32,4,United States,NBA 2005-2006 Players Information
Alan Anderson,GF,1.9811999999999999,99.79032140000001,23,CHA,36,0,United States,NBA 2005-2006 Players Information
Derek Anderson,G,1.9558,87.99691978,31,"HOU, MIA",43,8,United States,NBA 2005-2006 Players Information
Shandon Anderson,GF,1.9811999999999999,94.34721296000001,32,MIA,48,9,United States,NBA 2005-2006 Players Information
Martynas Andriuskevicius,C,2.1844,108.8621688,19,CLE,6,0,Lithuania,NBA 2005-2006 Players Information
Carmelo Anthony,F,2.032,108.8621688,21,DEN,80,2,United States,NBA 2005-2006 Players Information
Babby Araujo,C,2.1082,127.00586360000001,25,TOR,52,1,Brazil,NBA 2005-2006 Players Information
Gilbert Arenas,G,1.905,86.63614267,24,WAS,80,4,United States,NBA 2005-2006 Players Information
Trevor Ariza,SF,2.032,97.52235955,20,"NYK, ORL",57,1,United States,NBA 2005-2006 Players Information
Darrell Armstrong,PG,1.8288,77.1107029,37,DAL,62,11,United States,NBA 2005-2006 Players Information
Carlos Arroyo,PG,1.8796,91.62565874,26,"DET, ORL",77,4,Puerto RicoUnited States,NBA 2005-2006 Players Information
Chucky Atkins,G,1.8034,83.91458845000001,31,"MEM, WAS",71,7,United States,NBA 2005-2006 Players Information
Stacey Augmon,SF,1.9811999999999999,92.98643585,37,ORL,36,14,United States,NBA 2005-2006 Players Information
Vin Baker,PF,2.1082,108.8621688,34,LAC,8,12,United States,NBA 2005-2006 Players Information
Marcus Banks,G,1.8796,90.718474,24,"BOS, MIN",58,2,United States,NBA 2005-2006 Players Information
Leandro Barbosa,G,1.905,87.99691978,23,PHX,57,2,Brazil,NBA 2005-2006 Players Information
Matt Barnes,GF,2.0065999999999997,102.51187562000001,25,"NYK, PHL",56,3,United States,NBA 2005-2006 Players Information
