Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Denver Nuggets,7,1,.875,-,3-1,4-0,2-0,5-1,101.3,95.0,+6.3,W7,7-1,NBA Standings Pre Season 2005-06
Memphis Grizzlies,6,2,.750,1,3-1,3-1,1-0,1-0,89.5,82.1,+7.4,W2,6-2,NBA Standings Pre Season 2005-06
LA Clippers,6,2,.750,1,2-1,4-1,2-1,6-2,95.8,86.9,+8.9,W3,6-2,NBA Standings Pre Season 2005-06
Dallas Mavericks,6,2,.750,1,3-1,3-1,0-0,1-2,92.1,91.9,+0.2,W2,6-2,NBA Standings Pre Season 2005-06
Houston Rockets,6,2,.750,1,4-0,2-2,1-2,3-2,88.3,83.1,+5.2,L1,6-2,NBA Standings Pre Season 2005-06
Phoenix Suns,6,2,.750,1,3-1,3-1,3-2,6-2,103.1,96.1,+7.0,W4,6-2,NBA Standings Pre Season 2005-06
Los Angeles Lakers,6,3,.667,1.5,6-3,0-0,2-2,3-3,97.2,100.9,-3.7,W4,6-3,NBA Standings Pre Season 2005-06
ew Jersey Nets,5,3,.625,2,3-1,2-2,3-3,5-3,95.0,95.3,-0.3,W2,5-3,NBA Standings Pre Season 2005-06
Indiana Pacers,5,3,.625,2,3-1,2-2,0-0,0-3,94.9,89.8,+5.1,L2,5-3,NBA Standings Pre Season 2005-06
Cleveland Cavaliers,5,3,.625,2,3-1,2-2,0-1,4-3,97.5,92.6,+4.9,L1,5-3,NBA Standings Pre Season 2005-06
Orlando Magic,4,3,.571,2.5,2-1,2-2,2-2,2-2,91.1,89.1,+2.0,L1,4-3,NBA Standings Pre Season 2005-06
Detroit Pistons,4,4,.500,3,4-1,0-3,2-1,3-1,91.4,88.4,+3.0,L2,4-4,NBA Standings Pre Season 2005-06
Miami Heat,4,4,.500,3,3-2,1-2,3-1,3-2,88.3,93.3,-5.0,W1,4-4,NBA Standings Pre Season 2005-06
Minnesota Timberwolves,4,4,.500,3,2-2,2-2,0-0,0-0,88.9,90.9,-2.0,W3,4-4,NBA Standings Pre Season 2005-06
ew York Knicks,3,4,.429,3.5,0-3,3-1,2-2,2-2,91.6,91.4,+0.2,L1,3-4,NBA Standings Pre Season 2005-06
Toronto Raptors,3,4,.429,3.5,2-2,1-2,2-1,2-2,97.4,95.3,+2.1,W1,3-4,NBA Standings Pre Season 2005-06
"O/Oklahoma City
 Hornets",3,5,.375,4,2-3,1-2,1-1,2-2,93.8,95.6,-1.8,L1,3-5,NBA Standings Pre Season 2005-06
Washington Wizards,3,5,.375,4,1-1,2-4,1-0,2-1,89.9,95.0,-5.1,W1,3-5,NBA Standings Pre Season 2005-06
Sacramento Kings,3,5,.375,4,1-3,2-2,2-3,3-5,97.4,97.3,+0.1,L3,3-5,NBA Standings Pre Season 2005-06
Charlotte Bobcats,3,5,.375,4,2-1,1-4,2-2,3-3,93.1,96.3,-3.2,W1,3-5,NBA Standings Pre Season 2005-06
Chicago Bulls,3,5,.375,4,2-2,1-3,1-1,3-1,93.5,93.6,-0.1,L2,3-5,NBA Standings Pre Season 2005-06
Seattle SuperSonics,3,5,.375,4,2-1,1-4,1-1,3-5,93.6,96.1,-2.5,W1,3-5,NBA Standings Pre Season 2005-06
Atlanta Hawks,3,5,.375,4,2-2,1-3,1-4,1-4,94.8,96.9,-2.1,W1,3-5,NBA Standings Pre Season 2005-06
olden State Warriors,3,5,.375,4,1-2,2-3,3-4,3-5,99.1,98.8,+0.3,L3,3-5,NBA Standings Pre Season 2005-06
Philadelphia 76ers,3,5,.375,4,1-3,2-2,1-2,2-3,95.9,96.3,-0.4,L4,3-5,NBA Standings Pre Season 2005-06
Milwaukee Bucks,3,5,.375,4,2-1,1-4,2-2,2-2,95.8,96.9,-1.1,L4,3-5,NBA Standings Pre Season 2005-06
Boston Celtics,3,5,.375,4,3-1,0-4,2-2,3-5,95.3,98.8,-3.5,W1,3-5,NBA Standings Pre Season 2005-06
HUtah Jazz,2,5,.286,4.5,0-2,2-3,1-1,1-4,89.9,93.0,-3.1,L3,2-5,NBA Standings Pre Season 2005-06
Portland Trail Blazers,2,6,.250,5,1-4,1-2,1-3,1-5,84.1,96.5,-12.4,L2,2-6,NBA Standings Pre Season 2005-06
an Antonio Spurs,2,7,.222,5.5,1-4,1-3,1-1,1-1,91.3,96.4,-5.1,W1,2-7,NBA Standings Pre Season 2005-06
