Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Minnesota Timberwolves,5,0,1.000,-,2-0,3-0,0-0,2-0,117.6,104.6,+13.0,W5,5-0,NBA Standings Pre Season 2023-24
Toronto Raptors,4,0,1.000,0.5,3-0,1-0,0-0,2-0,121.5,98.0,+23.5,W4,4-0,NBA Standings Pre Season 2023-24
Boston Celtics,4,1,.800,1,2-0,2-1,3-1,4-1,116.6,106.0,+10.6,W3,4-1,NBA Standings Pre Season 2023-24
olden State Warriors,4,1,.800,1,2-1,2-0,4-0,4-1,121.6,117.0,+4.6,L1,4-1,NBA Standings Pre Season 2023-24
Houston Rockets,4,1,.800,1,2-0,2-1,2-1,2-1,110.8,100.0,+10.8,W1,4-1,NBA Standings Pre Season 2023-24
Phoenix Suns,4,1,.800,1,1-1,3-0,1-0,3-1,119.8,111.6,+8.2,W3,4-1,NBA Standings Pre Season 2023-24
Orlando Magic,3,1,.750,1.5,1-1,2-0,0-0,1-0,107.8,97.5,+10.3,W1,3-1,NBA Standings Pre Season 2023-24
Washington Wizards,3,1,.750,1.5,2-0,1-1,1-0,2-1,118.0,103.5,+14.5,L1,3-1,NBA Standings Pre Season 2023-24
Denver Nuggets,3,2,.600,2,1-0,2-2,0-0,2-1,112.2,109.6,+2.6,W1,3-2,NBA Standings Pre Season 2023-24
Milwaukee Bucks,3,2,.600,2,2-0,1-2,1-0,1-0,108.0,109.4,-1.4,W1,2-2,NBA Standings Pre Season 2023-24
Atlanta Hawks,3,2,.600,2,3-0,0-2,0-0,1-2,107.8,110.0,-2.2,L2,3-2,NBA Standings Pre Season 2023-24
an Antonio Spurs,3,2,.600,2,2-1,1-1,1-1,2-2,113.8,109.0,+4.8,W2,3-2,NBA Standings Pre Season 2023-24
HUtah Jazz,3,2,.600,2,2-0,1-2,1-0,2-2,112.8,108.4,+4.4,L1,3-2,NBA Standings Pre Season 2023-24
Philadelphia 76ers,2,2,.500,2.5,1-1,1-1,1-2,2-2,113.5,112.8,+0.7,W2,2-2,NBA Standings Pre Season 2023-24
Detroit Pistons,2,2,.500,2.5,0-1,2-1,0-0,0-0,119.0,121.3,-2.3,L1,2-2,NBA Standings Pre Season 2023-24
LA Clippers,2,2,.500,2.5,2-2,0-0,0-0,2-2,101.3,101.3,0.0,L1,2-2,NBA Standings Pre Season 2023-24
Indiana Pacers,2,2,.500,2.5,2-0,0-2,1-0,2-0,112.5,116.3,-3.8,W2,2-2,NBA Standings Pre Season 2023-24
Brooklyn Nets,2,2,.500,2.5,1-1,1-1,0-1,1-1,121.8,115.8,+6.0,W1,2-2,NBA Standings Pre Season 2023-24
Memphis Grizzlies,2,3,.400,3,2-0,0-3,0-0,0-0,115.4,116.6,-1.2,L3,2-2,NBA Standings Pre Season 2023-24
Oklahoma City Thunder,2,3,.400,3,2-2,0-1,0-0,1-0,120.4,117.0,+3.4,L1,2-3,NBA Standings Pre Season 2023-24
Miami Heat,2,3,.400,3,2-1,0-2,1-0,1-1,111.4,114.0,-2.6,L2,2-3,NBA Standings Pre Season 2023-24
Los Angeles Lakers,2,4,.333,3.5,2-3,0-1,1-3,1-3,111.3,118.7,-7.4,L3,2-4,NBA Standings Pre Season 2023-24
ew York Knicks,1,3,.250,3.5,1-2,0-1,1-1,1-2,110.5,120.5,-10.0,L3,1-3,NBA Standings Pre Season 2023-24
Portland Trail Blazers,1,3,.250,3.5,1-1,0-2,0-1,0-3,114.0,110.8,+3.2,L3,1-3,NBA Standings Pre Season 2023-24
Cleveland Cavaliers,1,3,.250,3.5,1-1,0-2,0-1,0-3,109.0,103.5,+5.5,L1,1-3,NBA Standings Pre Season 2023-24
Dallas Mavericks,1,3,.250,3.5,1-1,0-2,0-0,0-2,108.0,111.5,-3.5,W1,1-3,NBA Standings Pre Season 2023-24
ew Orleans Pelicans,1,3,.250,3.5,0-2,1-1,0-1,0-1,100.3,111.0,-10.7,W1,1-3,NBA Standings Pre Season 2023-24
Charlotte Hornets,1,3,.250,3.5,1-1,0-2,0-2,0-3,104.3,113.3,-9.0,L1,1-3,NBA Standings Pre Season 2023-24
Chicago Bulls,1,4,.200,4,1-2,0-2,0-1,0-2,108.8,113.0,-4.2,L3,1-4,NBA Standings Pre Season 2023-24
Sacramento Kings,1,4,.200,4,1-1,0-3,0-3,1-3,109.2,114.2,-5.0,W1,1-4,NBA Standings Pre Season 2023-24
