Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Boston Celtics,43,12,.782,-,26-3,17-9,13-1,30-6,120.7,110.6,+10.1,W6,8-2,NBA Standings Regular Season 2023-24
Minnesota Timberwolves,39,16,.709,4,19-5,20-11,8-2,27-8,114.0,106.7,+7.3,W4,7-3,NBA Standings Regular Season 2023-24
Oklahoma City Thunder,37,17,.685,5.5,21-6,16-11,10-4,22-13,120.8,113.6,+7.2,W2,6-4,NBA Standings Regular Season 2023-24
Cleveland Cavaliers,36,17,.679,6,19-9,17-8,8-4,24-11,114.9,109.2,+5.7,W1,9-1,NBA Standings Regular Season 2023-24
LA Clippers,36,17,.679,6,20-6,16-11,8-3,22-13,118.3,112.7,+5.6,W1,7-3,NBA Standings Regular Season 2023-24
Denver Nuggets,36,19,.655,7,21-5,15-14,4-5,20-13,113.9,110.8,+3.1,L3,5-5,NBA Standings Regular Season 2023-24
Milwaukee Bucks,35,21,.625,8.5,23-7,12-14,9-7,25-13,122.0,118.8,+3.2,L2,3-7,NBA Standings Regular Season 2023-24
ew York Knicks,33,22,.600,10,19-8,14-14,6-3,22-12,114.5,109.9,+4.6,L4,5-5,NBA Standings Regular Season 2023-24
Phoenix Suns,33,22,.600,10,18-11,15-11,6-8,19-15,117.6,114.3,+3.3,W2,7-3,NBA Standings Regular Season 2023-24
ew Orleans Pelicans,33,22,.600,10,16-10,17-12,8-6,23-18,116.5,112.2,+4.3,W3,7-3,NBA Standings Regular Season 2023-24
Philadelphia 76ers,32,22,.593,10.5,17-11,15-11,5-4,21-14,118.3,113.9,+4.4,L1,3-7,NBA Standings Regular Season 2023-24
Dallas Mavericks,32,23,.582,11,17-13,15-10,8-5,20-18,118.7,117.2,+1.5,W6,7-3,NBA Standings Regular Season 2023-24
Sacramento Kings,31,23,.574,11.5,15-9,16-14,6-6,20-15,118.4,117.9,+0.5,W1,5-5,NBA Standings Regular Season 2023-24
Indiana Pacers,31,25,.554,12.5,17-11,14-14,9-2,24-14,123.7,122.3,+1.4,W1,5-5,NBA Standings Regular Season 2023-24
Miami Heat,30,25,.545,13,15-13,15-12,11-2,22-16,110.6,110.4,+0.2,W2,6-4,NBA Standings Regular Season 2023-24
Orlando Magic,30,25,.545,13,18-8,12-17,6-5,20-14,111.7,110.9,+0.8,W1,7-3,NBA Standings Regular Season 2023-24
Los Angeles Lakers,30,26,.536,13.5,19-9,11-17,6-4,20-17,117.0,117.1,-0.1,W3,7-3,NBA Standings Regular Season 2023-24
olden State Warriors,27,26,.509,15,14-14,13-12,4-9,15-20,119.7,118.2,+1.5,W1,8-2,NBA Standings Regular Season 2023-24
Chicago Bulls,26,29,.473,17,15-12,11-17,3-7,15-19,111.8,112.9,-1.1,L1,5-5,NBA Standings Regular Season 2023-24
HUtah Jazz,26,30,.464,17.5,17-10,9-20,5-6,13-22,118.0,120.7,-2.7,L4,3-7,NBA Standings Regular Season 2023-24
Houston Rockets,24,30,.444,18.5,19-9,5-21,7-4,16-14,113.3,112.7,+0.6,L1,3-7,NBA Standings Regular Season 2023-24
Atlanta Hawks,24,31,.436,19,13-15,11-16,6-6,14-23,121.3,123.9,-2.6,L2,6-4,NBA Standings Regular Season 2023-24
Brooklyn Nets,21,33,.389,21.5,13-17,8-16,2-7,14-17,113.4,115.6,-2.2,L2,4-6,NBA Standings Regular Season 2023-24
Memphis Grizzlies,20,36,.357,23.5,7-20,13-16,7-7,13-24,107.1,113.0,-5.9,W2,2-8,NBA Standings Regular Season 2023-24
Toronto Raptors,19,36,.345,24,11-16,8-20,0-11,12-23,113.9,117.8,-3.9,L3,3-7,NBA Standings Regular Season 2023-24
Portland Trail Blazers,15,39,.278,27.5,9-17,6-22,1-11,6-31,107.9,116.7,-8.8,L6,2-8,NBA Standings Regular Season 2023-24
Charlotte Hornets,13,41,.241,29.5,8-21,5-20,4-6,9-25,108.6,119.4,-10.8,W3,3-7,NBA Standings Regular Season 2023-24
an Antonio Spurs,11,44,.200,32,5-21,6-23,1-9,7-22,111.8,120.4,-8.6,L1,2-8,NBA Standings Regular Season 2023-24
Washington Wizards,9,45,.167,33.5,3-23,6-22,2-10,6-31,114.8,123.9,-9.1,L8,2-8,NBA Standings Regular Season 2023-24
Detroit Pistons,8,46,.148,34.5,4-23,4-23,1-10,5-25,112.9,122.0,-9.1,L3,3-7,NBA Standings Regular Season 2023-24
