Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Los Angeles Lakers,4,0,1.000,-,2-0,2-0,4-0,4-0,111.0,101.8,+9.2,W4,4-0,NBA Standings Pre Season 2020-21
HUtah Jazz,3,0,1.000,-,2-0,1-0,0-0,3-0,118.3,100.7,+17.6,W3,3-0,NBA Standings Pre Season 2020-21
Brooklyn Nets,2,0,1.000,0.5,1-0,1-0,1-0,2-0,116.0,101.5,+14.5,W2,2-0,NBA Standings Pre Season 2020-21
Philadelphia 76ers,2,0,1.000,0.5,1-0,1-0,1-0,2-0,110.5,103.0,+7.5,W2,2-0,NBA Standings Pre Season 2020-21
ew Orleans Pelicans,2,0,1.000,0.5,1-0,1-0,0-0,0-0,120.5,102.5,+18.0,W2,2-0,NBA Standings Pre Season 2020-21
Chicago Bulls,3,1,.750,0.5,1-1,2-0,0-0,0-0,109.3,105.5,+3.8,W3,3-1,NBA Standings Pre Season 2020-21
ew York Knicks,3,1,.750,0.5,2-0,1-1,0-0,3-1,100.0,89.8,+10.2,W2,3-1,NBA Standings Pre Season 2020-21
Houston Rockets,3,1,.750,0.5,2-0,1-1,2-0,2-0,114.0,103.0,+11.0,W2,3-1,NBA Standings Pre Season 2020-21
Memphis Grizzlies,3,1,.750,1,1-1,2-0,0-0,2-0,118.5,108.0,+10.5,L1,3-1,NBA Standings Pre Season 2020-21
olden State Warriors,2,1,.667,1,1-0,1-1,1-1,2-1,111.0,109.3,+1.7,W1,2-1,NBA Standings Pre Season 2020-21
Dallas Mavericks,2,1,.667,1,0-1,2-0,0-0,0-1,122.3,114.3,+8.0,L1,2-1,NBA Standings Pre Season 2020-21
Denver Nuggets,2,1,.667,1,2-0,0-1,2-0,2-1,120.0,99.3,+20.7,W2,2-1,NBA Standings Pre Season 2020-21
Toronto Raptors,2,1,.667,1,0-1,2-0,0-0,2-1,109.3,108.7,+0.6,L1,2-1,NBA Standings Pre Season 2020-21
Cleveland Cavaliers,2,2,.500,1.5,2-0,0-2,2-0,2-2,99.8,107.3,-7.5,L2,2-2,NBA Standings Pre Season 2020-21
Sacramento Kings,2,2,.500,1.5,1-1,1-1,1-1,2-2,111.5,114.8,-3.3,L1,2-2,NBA Standings Pre Season 2020-21
Atlanta Hawks,2,2,.500,2,1-1,1-1,1-1,1-1,112.8,116.8,-4.0,W1,2-2,NBA Standings Pre Season 2020-21
Detroit Pistons,2,2,.500,2,1-1,1-1,0-0,2-2,94.0,91.5,+2.5,L1,2-2,NBA Standings Pre Season 2020-21
Orlando Magic,2,2,.500,2,1-1,1-1,2-2,2-2,114.5,117.0,-2.5,W1,2-2,NBA Standings Pre Season 2020-21
Miami Heat,1,1,.500,1.5,0-1,1-0,0-0,1-0,104.5,109.5,-5.0,W1,1-1,NBA Standings Pre Season 2020-21
Oklahoma City Thunder,1,2,.333,2,0-2,1-0,0-0,1-0,109.0,112.3,-3.3,L2,1-2,NBA Standings Pre Season 2020-21
Minnesota Timberwolves,1,2,.333,2,0-2,1-0,0-0,1-2,112.7,119.0,-6.3,W1,1-2,NBA Standings Pre Season 2020-21
Washington Wizards,1,2,.333,2.5,1-1,0-1,0-0,1-2,99.7,104.0,-4.3,W1,1-2,NBA Standings Pre Season 2020-21
Portland Trail Blazers,1,3,.250,2.5,1-1,0-2,0-2,1-3,106.0,119.5,-13.5,L3,1-3,NBA Standings Pre Season 2020-21
Charlotte Hornets,1,3,.250,3,0-2,1-1,1-1,1-3,112.3,114.5,-2.2,L1,1-3,NBA Standings Pre Season 2020-21
Boston Celtics,0,2,.000,2.5,0-1,0-1,0-2,0-2,94.0,110.5,-16.5,L2,0-2,NBA Standings Pre Season 2020-21
Indiana Pacers,0,3,.000,3,0-1,0-2,0-2,0-3,105.7,112.0,-6.3,L3,0-3,NBA Standings Pre Season 2020-21
LA Clippers,0,3,.000,3,0-1,0-2,0-2,0-3,97.3,114.3,-17.0,L3,0-3,NBA Standings Pre Season 2020-21
Milwaukee Bucks,0,3,.000,3,0-2,0-1,0-0,0-0,109.0,122.3,-13.3,L3,0-3,NBA Standings Pre Season 2020-21
an Antonio Spurs,0,3,.000,3,0-1,0-2,0-2,0-3,104.0,120.3,-16.3,L3,0-3,NBA Standings Pre Season 2020-21
Phoenix Suns,0,4,.000,4,0-2,0-2,0-2,0-4,104.3,114.0,-9.7,L4,0-4,NBA Standings Pre Season 2020-21
