Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
BOSBoston Celtics,66,16,.805,-,35-6,31-10,14-2,41-11,100.5,90.3,+10.2,W4,9-1,NBA Standings Regular Season 2007-08
DETDetroit Pistons,59,23,.720,7,34-7,25-16,11-5,37-15,97.5,90.1,+7.4,W4,8-2,NBA Standings Regular Season 2007-08
LALLos Angeles Lakers,57,25,.695,9,30-11,27-14,12-4,37-15,108.6,101.3,+7.3,W4,8-2,NBA Standings Regular Season 2007-08
NONew Orleans Hornets,56,26,.683,10,30-11,26-15,10-6,34-18,100.9,95.6,+5.3,L1,6-4,NBA Standings Regular Season 2007-08
SASan Antonio Spurs,56,26,.683,10,34-7,22-19,10-6,33-19,95.4,90.6,+4.8,W2,7-3,NBA Standings Regular Season 2007-08
HOUHouston Rockets,55,27,.671,11,31-10,24-17,8-8,33-19,96.7,92.0,+4.7,W1,6-4,NBA Standings Regular Season 2007-08
PHXPhoenix Suns,55,27,.671,11,30-11,25-16,10-6,31-21,110.1,105.0,+5.1,W2,7-3,NBA Standings Regular Season 2007-08
UTAHUtah Jazz,54,28,.659,12,37-4,17-24,10-6,33-19,106.2,99.3,+6.9,L1,7-3,NBA Standings Regular Season 2007-08
ORLOrlando Magic,52,30,.634,14,25-16,27-14,12-4,38-14,104.5,99.0,+5.5,W3,6-4,NBA Standings Regular Season 2007-08
DALDallas Mavericks,51,31,.622,15,34-7,17-24,10-6,33-19,100.4,95.9,+4.5,W1,6-4,NBA Standings Regular Season 2007-08
DENDenver Nuggets,50,32,.610,16,33-8,17-24,10-6,31-21,110.7,107.0,+3.7,W2,6-4,NBA Standings Regular Season 2007-08
olden State Warriors,48,34,.585,18,27-14,21-20,10-6,28-24,111.0,108.8,+2.2,L2,4-6,NBA Standings Regular Season 2007-08
CLECleveland Cavaliers,45,37,.549,21,27-14,18-23,7-9,28-24,96.4,96.7,-0.3,L1,5-5,NBA Standings Regular Season 2007-08
WSHWashington Wizards,43,39,.524,23,25-16,18-23,10-6,29-23,98.8,99.2,-0.4,L1,5-5,NBA Standings Regular Season 2007-08
TORToronto Raptors,41,41,.500,25,25-16,16-25,10-6,29-23,100.2,97.3,+2.9,L1,4-6,NBA Standings Regular Season 2007-08
Portland Trail Blazers,41,41,.500,25,28-13,13-28,11-5,26-26,95.4,96.3,-0.9,L1,3-7,NBA Standings Regular Season 2007-08
PHIPhiladelphia 76ers,40,42,.488,26,22-19,18-23,7-9,25-27,96.6,96.2,+0.4,L4,3-7,NBA Standings Regular Season 2007-08
Sacramento Kings,38,44,.463,28,26-15,12-29,3-13,21-31,102.5,104.8,-2.3,L2,6-4,NBA Standings Regular Season 2007-08
ATLAtlanta Hawks,37,45,.451,29,25-16,12-29,9-7,24-28,98.2,100.0,-1.8,L3,5-5,NBA Standings Regular Season 2007-08
Indiana Pacers,36,46,.439,30,21-20,15-26,5-11,24-28,104.0,105.4,-1.4,W1,7-3,NBA Standings Regular Season 2007-08
ew Jersey Nets,34,48,.415,32,21-20,13-28,4-12,26-26,95.8,100.9,-5.1,L1,3-7,NBA Standings Regular Season 2007-08
Chicago Bulls,33,49,.402,33,20-21,13-28,11-5,24-28,97.3,100.4,-3.1,W2,5-5,NBA Standings Regular Season 2007-08
Charlotte Bobcats,32,50,.390,34,21-20,11-30,7-9,19-33,97.1,101.4,-4.3,W1,5-5,NBA Standings Regular Season 2007-08
Milwaukee Bucks,26,56,.317,40,19-22,7-34,6-10,18-34,97.0,103.9,-6.9,L8,2-8,NBA Standings Regular Season 2007-08
LA Clippers,23,59,.280,43,13-28,10-31,5-11,13-39,93.8,101.1,-7.3,L7,2-8,NBA Standings Regular Season 2007-08
ew York Knicks,23,59,.280,43,15-26,8-33,5-11,20-32,96.9,103.5,-6.6,L3,3-7,NBA Standings Regular Season 2007-08
Minnesota Timberwolves,22,60,.268,44,15-26,7-34,3-13,14-38,95.6,102.4,-6.8,W1,3-7,NBA Standings Regular Season 2007-08
Memphis Grizzlies,22,60,.268,44,14-27,8-33,2-14,11-41,100.7,106.9,-6.2,L3,3-7,NBA Standings Regular Season 2007-08
Seattle SuperSonics,20,62,.244,46,13-28,7-34,6-10,12-40,97.5,106.3,-8.8,W2,3-7,NBA Standings Regular Season 2007-08
Miami Heat,15,67,.183,51,9-32,6-35,2-14,8-44,91.4,100.0,-8.6,W1,2-8,NBA Standings Regular Season 2007-08
