Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Detroit Pistons,8,0,1.000,-,5-0,3-0,2-0,0-0,85.9,78.1,+7.8,W8,8-0,NBA Standings Pre Season 2002-03
ew Jersey Nets,6,1,.857,1.5,4-0,2-1,3-1,0-0,99.4,92.6,+6.8,W1,6-1,NBA Standings Pre Season 2002-03
Sacramento Kings,6,2,.750,2,4-1,2-1,4-0,0-0,96.3,90.5,+5.8,W4,6-2,NBA Standings Pre Season 2002-03
Portland Trail Blazers,5,2,.714,2.5,3-1,2-1,3-2,0-0,93.6,88.0,+5.6,L1,5-2,NBA Standings Pre Season 2002-03
Dallas Mavericks,5,3,.625,3,3-1,2-2,1-0,0-0,95.4,91.9,+3.5,W3,5-3,NBA Standings Pre Season 2002-03
Indiana Pacers,5,3,.625,3,4-1,1-2,2-2,0-0,90.4,90.8,-0.4,L1,5-3,NBA Standings Pre Season 2002-03
Phoenix Suns,5,3,.625,3,2-1,3-2,2-1,0-0,86.8,87.0,-0.2,W2,5-3,NBA Standings Pre Season 2002-03
an Antonio Spurs,5,3,.625,3,3-1,2-2,1-1,0-0,90.0,83.1,+6.9,W3,5-3,NBA Standings Pre Season 2002-03
Washington Wizards,5,3,.625,3,2-1,3-2,2-1,0-0,90.6,87.8,+2.8,L2,5-3,NBA Standings Pre Season 2002-03
Atlanta Hawks,4,3,.571,3.5,3-1,1-2,3-1,0-0,93.4,89.1,+4.3,W3,4-3,NBA Standings Pre Season 2002-03
Houston Rockets,4,3,.571,3.5,2-2,2-1,2-1,0-0,91.7,89.1,+2.6,L2,4-3,NBA Standings Pre Season 2002-03
Minnesota Timberwolves,4,3,.571,3.5,3-1,1-2,0-0,0-0,95.9,88.9,+7.0,W1,4-3,NBA Standings Pre Season 2002-03
Boston Celtics,4,4,.500,4,2-2,2-2,2-2,0-0,97.8,97.5,+0.3,W1,4-4,NBA Standings Pre Season 2002-03
ew York Knicks,4,4,.500,4,1-3,3-1,0-2,0-0,87.8,92.0,-4.2,L2,4-4,NBA Standings Pre Season 2002-03
Seattle SuperSonics,4,4,.500,4,3-3,1-1,2-3,0-0,88.8,87.3,+1.5,W1,4-4,NBA Standings Pre Season 2002-03
HUtah Jazz,4,4,.500,4,1-1,3-3,0-0,0-0,90.6,91.4,-0.8,W3,4-4,NBA Standings Pre Season 2002-03
Cleveland Cavaliers,3,4,.429,4.5,2-1,1-3,1-2,0-0,90.7,95.9,-5.2,W1,3-4,NBA Standings Pre Season 2002-03
Milwaukee Bucks,3,4,.429,4.5,2-0,1-4,0-1,0-0,94.6,93.3,+1.3,L2,3-4,NBA Standings Pre Season 2002-03
Chicago Bulls,3,5,.375,5,3-1,0-4,1-0,0-0,93.3,99.6,-6.3,L1,3-5,NBA Standings Pre Season 2002-03
olden State Warriors,3,5,.375,5,0-1,3-4,2-4,0-0,89.9,88.1,+1.8,L1,3-5,NBA Standings Pre Season 2002-03
Los Angeles Lakers,3,5,.375,5,3-5,0-0,1-3,0-0,92.1,94.8,-2.7,L1,3-5,NBA Standings Pre Season 2002-03
Orlando Magic,3,5,.375,5,3-1,0-4,0-1,0-0,91.5,92.6,-1.1,L1,3-5,NBA Standings Pre Season 2002-03
Philadelphia 76ers,3,5,.375,5,1-3,2-2,1-2,0-0,95.0,98.1,-3.1,L1,3-5,NBA Standings Pre Season 2002-03
Toronto Raptors,3,5,.375,5,2-3,1-2,1-2,0-0,86.8,88.8,-2.0,L1,3-5,NBA Standings Pre Season 2002-03
Memphis Grizzlies,3,5,.375,5,3-1,0-4,0-1,0-0,93.3,94.0,-0.7,L1,3-5,NBA Standings Pre Season 2002-03
Miami Heat,2,5,.286,5.5,1-2,1-3,1-0,0-0,81.1,84.9,-3.8,L3,2-5,NBA Standings Pre Season 2002-03
ew Orleans Hornets,2,6,.250,6,0-3,2-3,1-3,0-0,83.0,93.5,-10.5,L2,2-6,NBA Standings Pre Season 2002-03
LA Clippers,2,6,.250,6,1-2,1-4,1-2,0-0,91.1,97.8,-6.7,L4,2-6,NBA Standings Pre Season 2002-03
Denver Nuggets,1,7,.125,7,0-3,1-4,0-1,0-0,83.3,91.1,-7.8,L6,1-7,NBA Standings Pre Season 2002-03
