Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Philadelphia 76ers,4,0,1.000,-,2-0,2-0,1-0,4-0,113.0,102.8,+10.2,W4,4-0,NBA Standings Pre Season 2022-23
Sacramento Kings,4,0,1.000,-,2-0,2-0,3-0,4-0,117.3,89.8,+27.5,W4,4-0,NBA Standings Pre Season 2022-23
Oklahoma City Thunder,5,1,.833,-,2-1,3-0,1-0,2-1,119.3,100.8,+18.5,W4,5-1,NBA Standings Pre Season 2022-23
Miami Heat,4,1,.800,0.5,2-1,2-0,0-0,1-0,113.8,104.4,+9.4,W4,4-1,NBA Standings Pre Season 2022-23
ew Orleans Pelicans,4,1,.800,0.5,2-0,2-1,1-0,1-0,114.0,110.8,+3.2,W1,4-1,NBA Standings Pre Season 2022-23
Orlando Magic,4,1,.800,0.5,2-0,2-1,0-0,1-0,106.4,105.2,+1.2,W4,4-1,NBA Standings Pre Season 2022-23
Minnesota Timberwolves,4,1,.800,0.5,0-1,4-0,0-0,3-0,114.8,110.4,+4.4,L1,4-1,NBA Standings Pre Season 2022-23
Chicago Bulls,3,1,.750,1,2-1,1-0,1-0,2-0,124.5,111.0,+13.5,W3,3-1,NBA Standings Pre Season 2022-23
Houston Rockets,3,1,.750,1,2-0,1-1,1-0,1-0,120.5,107.0,+13.5,W1,3-1,NBA Standings Pre Season 2022-23
ew York Knicks,3,1,.750,1,3-0,0-1,0-0,3-1,113.3,102.0,+11.3,W1,3-1,NBA Standings Pre Season 2022-23
Dallas Mavericks,2,1,.667,1.5,0-1,2-0,0-0,2-0,106.0,102.3,+3.7,W1,2-1,NBA Standings Pre Season 2022-23
Toronto Raptors,3,2,.600,1.5,2-1,1-1,2-0,2-1,114.8,113.2,+1.6,W1,3-2,NBA Standings Pre Season 2022-23
Denver Nuggets,3,2,.600,1.5,1-1,2-1,0-1,3-1,113.2,115.0,-1.8,W3,3-2,NBA Standings Pre Season 2022-23
Memphis Grizzlies,3,2,.600,1.5,1-1,2-1,0-0,0-0,111.0,106.0,+5.0,W1,3-2,NBA Standings Pre Season 2022-23
olden State Warriors,3,2,.600,1.5,2-2,1-0,0-1,1-2,112.8,104.6,+8.2,L1,3-2,NBA Standings Pre Season 2022-23
Indiana Pacers,2,2,.500,2,1-1,1-1,0-0,2-1,114.8,112.5,+2.3,L1,2-2,NBA Standings Pre Season 2022-23
Atlanta Hawks,2,2,.500,2,1-0,1-2,0-0,2-1,112.8,111.8,+1.0,L2,2-2,NBA Standings Pre Season 2022-23
Boston Celtics,2,2,.500,2,1-1,1-1,0-2,2-2,124.8,114.5,+10.3,L1,2-2,NBA Standings Pre Season 2022-23
LA Clippers,2,2,.500,2,2-2,0-0,0-0,1-2,113.8,105.8,+8.0,L2,2-2,NBA Standings Pre Season 2022-23
Brooklyn Nets,2,2,.500,2,0-2,2-0,0-1,1-2,101.8,108.8,-7.0,W2,2-2,NBA Standings Pre Season 2022-23
Phoenix Suns,1,3,.250,3,0-2,1-1,1-1,1-2,113.0,115.3,-2.3,L2,1-3,NBA Standings Pre Season 2022-23
Washington Wizards,1,3,.250,3,0-1,1-2,1-0,1-1,96.8,103.0,-6.2,L1,1-3,NBA Standings Pre Season 2022-23
Cleveland Cavaliers,1,3,.250,3,1-1,0-2,0-0,1-3,105.5,109.8,-4.3,L1,1-3,NBA Standings Pre Season 2022-23
HUtah Jazz,1,3,.250,3,0-2,1-1,1-0,1-2,101.3,110.3,-9.0,L2,1-3,NBA Standings Pre Season 2022-23
an Antonio Spurs,1,4,.200,3.5,0-3,1-1,0-2,1-3,103.0,113.8,-10.8,L1,1-4,NBA Standings Pre Season 2022-23
Portland Trail Blazers,1,4,.200,3.5,1-1,0-3,0-1,0-4,105.6,112.4,-6.8,L2,1-4,NBA Standings Pre Season 2022-23
Los Angeles Lakers,1,5,.167,4,0-4,1-1,1-3,1-5,102.0,118.3,-16.3,L2,1-5,NBA Standings Pre Season 2022-23
Detroit Pistons,0,4,.000,4,0-2,0-2,0-0,0-1,101.8,116.3,-14.5,L4,0-4,NBA Standings Pre Season 2022-23
Milwaukee Bucks,0,5,.000,4.5,0-3,0-2,0-1,0-4,105.0,116.4,-11.4,L5,0-5,NBA Standings Pre Season 2022-23
Charlotte Hornets,0,5,.000,4.5,0-3,0-2,0-1,0-5,98.8,116.6,-17.8,L5,0-5,NBA Standings Pre Season 2022-23
