Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Indiana Pacers,69,122.8,46.6,92.4,50.4,13.1,35.4,37.2,16.4,21.0,78.2,10.1,31.3,41.4,30.5,7.7,5.8,12.6,21.5,NBA Team Regular Season Stats 2023-24
2,Boston Celtics,68,121.0,43.8,90.2,48.5,16.6,42.6,39.0,16.8,20.8,81.0,10.7,36.2,46.9,26.6,6.6,6.6,11.5,16.6,NBA Team Regular Season Stats 2023-24
3,Oklahoma City Thunder,67,120.7,44.7,89.4,50.0,13.5,34.2,39.4,17.8,21.4,83.2,8.7,33.0,41.7,26.9,8.2,6.7,11.5,19.3,NBA Team Regular Season Stats 2023-24
4,Milwaukee Bucks,68,120.7,43.4,88.5,49.1,14.4,38.1,37.8,19.4,25.1,77.5,9.2,34.7,43.9,26.6,6.9,5.0,12.1,19.3,NBA Team Regular Season Stats 2023-24
5,Atlanta Hawks,68,119.0,43.1,92.9,46.4,13.6,37.6,36.2,19.3,24.0,80.5,12.9,32.0,44.9,26.3,7.5,4.6,12.5,18.4,NBA Team Regular Season Stats 2023-24
6,Dallas Mavericks,68,118.8,43.3,89.9,48.2,14.6,39.6,37.0,17.5,23.1,76.0,9.9,32.5,42.4,25.4,6.8,4.8,12.0,18.6,NBA Team Regular Season Stats 2023-24
7,Golden State Warriors,67,118.3,43.5,92.2,47.2,14.8,39.3,37.6,16.4,21.0,78.1,12.4,34.2,46.6,29.0,6.8,4.3,13.8,19.9,NBA Team Regular Season Stats 2023-24
8,Sacramento Kings,67,118.0,44.0,91.2,48.3,14.3,38.9,36.8,15.6,21.1,74.0,10.5,33.2,43.7,28.7,7.4,4.0,12.7,20.1,NBA Team Regular Season Stats 2023-24
9,Los Angeles Lakers,69,117.5,43.7,87.6,49.9,11.7,30.9,37.7,18.3,23.7,77.4,8.0,34.5,42.5,28.7,7.5,5.5,13.0,15.9,NBA Team Regular Season Stats 2023-24
10,Utah Jazz,68,117.2,42.6,90.6,47.0,13.3,36.8,36.0,18.8,22.7,82.7,12.6,33.7,46.2,27.9,6.6,5.8,14.9,18.9,NBA Team Regular Season Stats 2023-24
11,Phoenix Suns,68,116.9,42.6,86.3,49.4,12.0,32.0,37.5,19.7,24.5,80.4,10.3,34.0,44.2,26.7,7.3,6.0,14.0,18.2,NBA Team Regular Season Stats 2023-24
12,LA Clippers,67,116.5,42.5,86.6,49.1,13.0,33.6,38.7,18.5,22.6,81.9,9.9,32.7,42.6,25.7,7.8,5.1,12.2,18.7,NBA Team Regular Season Stats 2023-24
13,New Orleans Pelicans,67,116.1,43.0,88.0,48.8,12.3,32.4,38.1,17.9,23.3,76.8,10.8,33.7,44.5,27.2,8.2,5.0,12.5,18.7,NBA Team Regular Season Stats 2023-24
14,Philadelphia 76ers,68,114.8,41.5,89.2,46.5,11.6,32.4,35.7,20.3,24.5,83.0,11.0,31.7,42.7,24.6,8.4,5.8,11.2,20.6,NBA Team Regular Season Stats 2023-24
15,Denver Nuggets,68,114.7,44.0,88.8,49.6,11.5,31.1,37.0,15.2,19.9,76.2,10.7,33.4,44.0,29.3,7.1,5.5,11.7,18.2,NBA Team Regular Season Stats 2023-24
16,Washington Wizards,68,113.8,43.0,91.5,47.0,12.2,35.1,34.8,15.6,20.4,76.5,9.2,31.3,40.5,28.2,7.7,5.2,13.5,19.8,NBA Team Regular Season Stats 2023-24
17,Toronto Raptors,68,113.7,42.8,90.3,47.4,11.8,33.5,35.3,16.2,21.7,74.7,11.1,32.3,43.4,29.1,7.6,4.9,12.9,18.4,NBA Team Regular Season Stats 2023-24
18,Cleveland Cavaliers,68,113.5,42.0,87.8,47.9,13.6,37.3,36.6,15.8,20.7,76.3,10.1,34.2,44.3,27.8,7.4,4.9,12.6,18.1,NBA Team Regular Season Stats 2023-24
19,Minnesota Timberwolves,68,113.3,41.3,85.4,48.4,12.5,32.5,38.7,18.1,23.0,78.5,9.5,34.6,44.1,26.4,7.6,6.1,13.5,19.2,NBA Team Regular Season Stats 2023-24
20,Houston Rockets,67,113.2,41.5,90.5,45.9,12.2,34.9,35.0,18.0,23.5,76.9,11.3,34.6,45.9,24.7,7.7,4.5,12.4,21.0,NBA Team Regular Season Stats 2023-24
21,San Antonio Spurs,68,112.4,42.0,90.8,46.3,12.6,36.0,34.9,15.7,20.0,78.6,10.4,33.2,43.6,29.8,7.2,6.3,14.4,17.6,NBA Team Regular Season Stats 2023-24
22,New York Knicks,68,112.0,40.8,88.6,46.1,13.0,35.9,36.2,17.4,22.1,78.5,12.9,33.0,45.9,23.8,7.3,4.1,12.4,17.7,NBA Team Regular Season Stats 2023-24
