Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Memphis Grizzlies,12,112.5,39.8,91.3,43.5,13.1,35.8,36.5,19.9,27.1,73.5,12.4,33.4,45.8,25.2,9.2,6.1,12.9,20.8,NBA Team Postseason Stats 2021-22
2,Golden State Warriors,22,111.9,41.4,86.1,48.0,14.0,37.3,37.5,15.1,19.8,76.6,9.8,34.1,43.9,27.0,7.7,5.0,13.8,21.5,NBA Team Postseason Stats 2021-22
3,Denver Nuggets,5,110.0,39.4,82.8,47.6,11.2,31.4,35.7,20.0,25.2,79.4,11.2,30.6,41.8,25.0,7.0,3.4,15.4,25.0,NBA Team Postseason Stats 2021-22
4,New Orleans Pelicans,6,109.8,39.0,84.3,46.2,9.3,26.3,35.4,22.5,28.8,78.0,15.2,30.5,45.7,21.3,6.3,3.5,13.8,21.2,NBA Team Postseason Stats 2021-22
5,Minnesota Timberwolves,6,109.2,36.3,82.0,44.3,13.8,35.7,38.8,22.7,28.0,81.0,7.0,33.0,40.0,22.8,8.2,7.8,16.8,26.8,NBA Team Postseason Stats 2021-22
6,Brooklyn Nets,4,109.0,39.3,78.0,50.3,11.5,27.3,42.2,19.0,25.8,73.8,8.5,25.5,34.0,22.3,8.0,6.5,14.5,24.8,NBA Team Postseason Stats 2021-22
7,Phoenix Suns,13,107.6,41.2,82.8,49.7,9.8,27.2,36.3,15.5,18.9,81.7,9.5,30.7,40.2,25.7,6.6,3.8,12.8,22.5,NBA Team Postseason Stats 2021-22
8,Dallas Mavericks,18,106.3,36.3,80.8,44.9,15.8,41.5,38.0,18.0,23.3,77.1,6.5,30.0,36.5,19.2,7.2,2.8,9.4,21.1,NBA Team Postseason Stats 2021-22
9,Boston Celtics,24,105.5,36.7,81.8,44.9,13.7,36.6,37.3,18.5,23.2,79.7,9.0,33.9,42.9,24.5,6.4,6.3,14.0,20.7,NBA Team Postseason Stats 2021-22
10,Philadelphia 76ers,12,104.5,36.4,78.3,46.5,12.4,33.3,37.3,19.3,22.7,84.9,7.7,31.3,39.0,21.8,6.1,4.3,13.7,20.6,NBA Team Postseason Stats 2021-22
11,Miami Heat,18,104.2,38.0,85.3,44.5,10.9,34.8,31.3,17.3,21.6,80.4,9.8,31.2,41.1,21.9,8.3,3.7,12.0,21.4,NBA Team Postseason Stats 2021-22
12,Toronto Raptors,6,103.2,38.3,86.0,44.6,9.8,32.8,29.9,16.7,21.0,79.4,10.0,27.5,37.5,20.7,6.7,4.8,9.2,22.2,NBA Team Postseason Stats 2021-22
13,Milwaukee Bucks,12,102.8,38.5,88.0,43.8,10.6,32.3,32.7,15.2,20.8,73.1,9.8,40.7,50.4,20.8,6.3,4.5,13.1,19.1,NBA Team Postseason Stats 2021-22
14,Utah Jazz,6,99.0,35.0,79.0,44.3,8.2,29.8,27.4,20.8,26.5,78.6,9.3,35.5,44.8,17.2,4.0,3.7,11.7,22.0,NBA Team Postseason Stats 2021-22
15,Atlanta Hawks,5,97.4,34.4,78.2,44.0,11.4,35.0,32.6,17.2,22.0,78.2,8.6,30.8,39.4,18.6,5.8,2.4,16.4,21.6,NBA Team Postseason Stats 2021-22
16,Chicago Bulls,5,95.2,36.4,90.2,40.4,10.4,36.8,28.3,12.0,14.4,83.3,8.2,35.8,44.0,23.0,7.8,3.2,12.6,18.6,NBA Team Postseason Stats 2021-22
