Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Sacramento Kings,82,120.7,43.6,88.2,49.4,13.8,37.3,36.9,19.8,25.1,79.0,9.5,32.9,42.5,27.3,7.0,3.4,13.1,19.7,NBA Team Regular Season Stats 2022-23
2,Golden State Warriors,82,118.9,43.1,90.2,47.9,16.6,43.2,38.5,16.0,20.2,79.4,10.5,34.1,44.6,29.8,7.2,4.0,15.7,21.4,NBA Team Regular Season Stats 2022-23
3,Atlanta Hawks,82,118.4,44.6,92.4,48.3,10.8,30.5,35.2,18.5,22.6,81.8,11.2,33.2,44.4,25.0,7.1,4.9,12.4,18.8,NBA Team Regular Season Stats 2022-23
4,Boston Celtics,82,117.9,42.2,88.8,47.5,16.0,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,6.4,5.2,12.7,18.8,NBA Team Regular Season Stats 2022-23
5,Oklahoma City Thunder,82,117.5,43.1,92.6,46.5,12.1,34.1,35.6,19.2,23.7,80.9,11.4,32.3,43.6,24.4,8.2,4.2,12.5,21.0,NBA Team Regular Season Stats 2022-23
6,Los Angeles Lakers,82,117.2,42.9,89.0,48.2,10.8,31.2,34.6,20.6,26.6,77.5,10.0,35.7,45.7,25.3,6.4,4.6,13.5,17.9,NBA Team Regular Season Stats 2022-23
7,Utah Jazz,82,117.1,42.5,89.8,47.3,13.3,37.8,35.3,18.7,23.8,78.6,11.8,34.1,45.9,26.0,6.1,5.2,14.9,20.5,NBA Team Regular Season Stats 2022-23
8,Milwaukee Bucks,82,116.9,42.7,90.4,47.3,14.8,40.3,36.8,16.6,22.4,74.3,11.1,37.5,48.6,25.8,6.4,4.9,13.9,18.0,NBA Team Regular Season Stats 2022-23
9,Memphis Grizzlies,82,116.9,43.7,92.1,47.5,12.0,34.2,35.1,17.5,23.8,73.3,12.0,34.6,46.6,26.0,8.3,5.8,12.9,20.0,NBA Team Regular Season Stats 2022-23
10,Indiana Pacers,82,116.3,42.0,89.6,46.9,13.6,37.0,36.7,18.7,23.7,79.0,10.1,31.4,41.5,27.0,7.7,5.8,14.1,21.2,NBA Team Regular Season Stats 2022-23
11,New York Knicks,82,116.0,42.0,89.4,47.0,12.6,35.7,35.4,19.4,25.5,76.1,12.6,34.0,46.6,22.9,6.4,4.1,12.0,20.3,NBA Team Regular Season Stats 2022-23
12,Denver Nuggets,82,115.8,43.6,86.4,50.4,11.8,31.2,37.9,16.8,22.4,75.1,10.1,32.9,43.0,28.9,7.5,4.5,13.8,18.6,NBA Team Regular Season Stats 2022-23
13,Minnesota Timberwolves,82,115.8,42.9,87.4,49.0,12.2,33.3,36.5,17.9,23.7,75.5,9.1,32.8,41.9,26.2,8.0,5.4,14.8,21.6,NBA Team Regular Season Stats 2022-23
