Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Chicago Bulls,50,16,0.758,0.0,96.3,88.2,8.1,W3,NBA Standings Regular Season 2011-12,26,7,24,9,13,1,38,10,7,3
San Antonio Spurs,50,16,0.758,0.0,103.7,96.5,7.2,W10,NBA Standings Regular Season 2011-12,28,5,22,11,12,4,35,13,10,0
Oklahoma City Thunder,47,19,0.712,3.0,103.1,96.9,6.2,L1,NBA Standings Regular Season 2011-12,26,7,21,12,10,3,34,14,6,4
Miami Heat,46,20,0.697,4.0,98.5,92.5,6.0,L2,NBA Standings Regular Season 2011-12,28,5,18,15,9,5,35,13,6,4
Indiana Pacers,42,24,0.636,8.0,97.7,94.4,3.3,L1,NBA Standings Regular Season 2011-12,23,10,19,14,9,4,29,19,8,2
Los Angeles Lakers,41,25,0.621,9.0,97.3,95.9,1.4,L1,NBA Standings Regular Season 2011-12,26,7,15,18,9,5,32,16,6,4
Memphis Grizzlies,41,25,0.621,9.0,95.0,93.0,2.0,W6,NBA Standings Regular Season 2011-12,26,7,15,18,7,8,26,22,8,2
Atlanta Hawks,40,26,0.606,10.0,96.6,93.2,3.4,W2,NBA Standings Regular Season 2011-12,23,10,17,16,11,3,31,17,7,3
LA Clippers,40,26,0.606,10.0,97.5,95.0,2.5,L2,NBA Standings Regular Season 2011-12,24,9,16,17,7,7,29,19,6,4
Boston Celtics,39,27,0.591,11.0,91.8,89.3,2.5,W2,NBA Standings Regular Season 2011-12,24,9,15,18,8,6,32,16,7,3
Denver Nuggets,38,28,0.576,12.0,104.1,101.2,2.9,W4,NBA Standings Regular Season 2011-12,20,13,18,15,6,7,22,26,8,2
Orlando Magic,37,29,0.561,13.0,94.2,93.4,0.8,L1,NBA Standings Regular Season 2011-12,21,12,16,17,8,7,30,18,4,6
Dallas Mavericks,36,30,0.545,14.0,95.8,94.8,1.0,L2,NBA Standings Regular Season 2011-12,23,10,13,20,8,5,26,22,5,5
New York Knicks,36,30,0.545,14.0,97.8,94.7,3.1,W3,NBA Standings Regular Season 2011-12,22,11,14,19,8,6,28,20,7,3
Utah Jazz,36,30,0.545,14.0,99.7,99.0,0.7,W5,NBA Standings Regular Season 2011-12,25,8,11,22,9,4,25,23,7,3
Philadelphia 76ers,35,31,0.53,15.0,93.6,89.4,4.2,L1,NBA Standings Regular Season 2011-12,19,14,16,17,7,6,28,20,6,4
Houston Rockets,34,32,0.515,16.0,98.1,97.9,0.2,W1,NBA Standings Regular Season 2011-12,22,11,12,21,6,8,23,25,3,7
Phoenix Suns,33,33,0.5,17.0,98.4,98.6,-0.2,L3,NBA Standings Regular Season 2011-12,19,14,14,19,9,5,23,25,4,6
Milwaukee Bucks,31,35,0.47,19.0,99.0,98.7,0.3,L2,NBA Standings Regular Season 2011-12,17,16,14,19,7,8,24,24,3,7
Portland Trail Blazers,28,38,0.424,22.0,97.2,97.8,-0.6,L7,NBA Standings Regular Season 2011-12,20,13,8,25,4,10,20,28,1,9
Minnesota Timberwolves,26,40,0.394,24.0,97.9,100.1,-2.2,L2,NBA Standings Regular Season 2011-12,13,20,13,20,4,9,19,29,1,9
Detroit Pistons,25,41,0.379,25.0,90.9,95.7,-4.8,W1,NBA Standings Regular Season 2011-12,18,15,7,26,4,11,20,28,4,6
Toronto Raptors,23,43,0.348,27.0,90.7,94.0,-3.3,W1,NBA Standings Regular Season 2011-12,13,20,10,23,7,8,15,33,3,7
Golden State Warriors,23,43,0.348,27.0,97.8,101.2,-3.4,L2,NBA Standings Regular Season 2011-12,12,21,11,22,7,8,16,32,1,9
New Jersey Nets,22,44,0.333,28.0,93.1,99.1,-6.0,L6,NBA Standings Regular Season 2011-12,9,24,13,20,5,9,16,32,3,7
Sacramento Kings,22,44,0.333,28.0,98.8,104.4,-5.6,W1,NBA Standings Regular Season 2011-12,16,17,6,27,3,10,16,32,3,7
Cleveland Cavaliers,21,45,0.318,29.0,93.0,100.2,-7.2,L4,NBA Standings Regular Season 2011-12,11,22,10,23,3,12,13,35,2,8
New Orleans Hornets,21,45,0.318,29.0,89.6,93.4,-3.8,L1,NBA Standings Regular Season 2011-12,11,22,10,23,3,11,14,34,6,4
Washington Wizards,20,46,0.303,30.0,93.6,98.4,-4.8,W6,NBA Standings Regular Season 2011-12,11,22,9,24,7,7,16,32,8,2
Charlotte Bobcats,7,59,0.106,43.0,87.0,100.9,-13.9,L23,NBA Standings Regular Season 2011-12,4,29,3,30,1,14,5,43,0,10
