Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Boston Celtics,43,12,0.782,0.0,120.7,110.6,10.1,W6,NBA Standings Regular Season 2023-24,26,3,17,9,13,1,30,6,8,2
Minnesota Timberwolves,39,16,0.709,4.0,114.0,106.7,7.3,W4,NBA Standings Regular Season 2023-24,19,5,20,11,8,2,27,8,7,3
Oklahoma City Thunder,37,17,0.685,5.5,120.8,113.6,7.2,W2,NBA Standings Regular Season 2023-24,21,6,16,11,10,4,22,13,6,4
Cleveland Cavaliers,36,17,0.679,6.0,114.9,109.2,5.7,W1,NBA Standings Regular Season 2023-24,19,9,17,8,8,4,24,11,9,1
LA Clippers,36,17,0.679,6.0,118.3,112.7,5.6,W1,NBA Standings Regular Season 2023-24,20,6,16,11,8,3,22,13,7,3
Denver Nuggets,36,19,0.655,7.0,113.9,110.8,3.1,L3,NBA Standings Regular Season 2023-24,21,5,15,14,4,5,20,13,5,5
Milwaukee Bucks,35,21,0.625,8.5,122.0,118.8,3.2,L2,NBA Standings Regular Season 2023-24,23,7,12,14,9,7,25,13,3,7
New York Knicks,33,22,0.6,10.0,114.5,109.9,4.6,L4,NBA Standings Regular Season 2023-24,19,8,14,14,6,3,22,12,5,5
Phoenix Suns,33,22,0.6,10.0,117.6,114.3,3.3,W2,NBA Standings Regular Season 2023-24,18,11,15,11,6,8,19,15,7,3
New Orleans Pelicans,33,22,0.6,10.0,116.5,112.2,4.3,W3,NBA Standings Regular Season 2023-24,16,10,17,12,8,6,23,18,7,3
Philadelphia 76ers,32,22,0.593,10.5,118.3,113.9,4.4,L1,NBA Standings Regular Season 2023-24,17,11,15,11,5,4,21,14,3,7
Dallas Mavericks,32,23,0.582,11.0,118.7,117.2,1.5,W6,NBA Standings Regular Season 2023-24,17,13,15,10,8,5,20,18,7,3
Sacramento Kings,31,23,0.574,11.5,118.4,117.9,0.5,W1,NBA Standings Regular Season 2023-24,15,9,16,14,6,6,20,15,5,5
Indiana Pacers,31,25,0.554,12.5,123.7,122.3,1.4,W1,NBA Standings Regular Season 2023-24,17,11,14,14,9,2,24,14,5,5
Miami Heat,30,25,0.545,13.0,110.6,110.4,0.2,W2,NBA Standings Regular Season 2023-24,15,13,15,12,11,2,22,16,6,4
Orlando Magic,30,25,0.545,13.0,111.7,110.9,0.8,W1,NBA Standings Regular Season 2023-24,18,8,12,17,6,5,20,14,7,3
Los Angeles Lakers,30,26,0.536,13.5,117.0,117.1,-0.1,W3,NBA Standings Regular Season 2023-24,19,9,11,17,6,4,20,17,7,3
Golden State Warriors,27,26,0.509,15.0,119.7,118.2,1.5,W1,NBA Standings Regular Season 2023-24,14,14,13,12,4,9,15,20,8,2
Chicago Bulls,26,29,0.473,17.0,111.8,112.9,-1.1,L1,NBA Standings Regular Season 2023-24,15,12,11,17,3,7,15,19,5,5
Utah Jazz,26,30,0.464,17.5,118.0,120.7,-2.7,L4,NBA Standings Regular Season 2023-24,17,10,9,20,5,6,13,22,3,7
Houston Rockets,24,30,0.444,18.5,113.3,112.7,0.6,L1,NBA Standings Regular Season 2023-24,19,9,5,21,7,4,16,14,3,7
Atlanta Hawks,24,31,0.436,19.0,121.3,123.9,-2.6,L2,NBA Standings Regular Season 2023-24,13,15,11,16,6,6,14,23,6,4
Brooklyn Nets,21,33,0.389,21.5,113.4,115.6,-2.2,L2,NBA Standings Regular Season 2023-24,13,17,8,16,2,7,14,17,4,6
Memphis Grizzlies,20,36,0.357,23.5,107.1,113.0,-5.9,W2,NBA Standings Regular Season 2023-24,7,20,13,16,7,7,13,24,2,8
Toronto Raptors,19,36,0.345,24.0,113.9,117.8,-3.9,L3,NBA Standings Regular Season 2023-24,11,16,8,20,0,11,12,23,3,7
Portland Trail Blazers,15,39,0.278,27.5,107.9,116.7,-8.8,L6,NBA Standings Regular Season 2023-24,9,17,6,22,1,11,6,31,2,8
Charlotte Hornets,13,41,0.241,29.5,108.6,119.4,-10.8,W3,NBA Standings Regular Season 2023-24,8,21,5,20,4,6,9,25,3,7
San Antonio Spurs,11,44,0.2,32.0,111.8,120.4,-8.6,L1,NBA Standings Regular Season 2023-24,5,21,6,23,1,9,7,22,2,8
Washington Wizards,9,45,0.167,33.5,114.8,123.9,-9.1,L8,NBA Standings Regular Season 2023-24,3,23,6,22,2,10,6,31,2,8
Detroit Pistons,8,46,0.148,34.5,112.9,122.0,-9.1,L3,NBA Standings Regular Season 2023-24,4,23,4,23,1,10,5,25,3,7
