Rank,Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
1,Utah Jazz,52,20,0.722,0.0,116.4,107.2,9.2,W2,NBA Standings Regular Season 2020-21,31,5,21,15,7,5,28,14,7,3
2,Phoenix Suns,51,21,0.708,1.0,115.3,109.5,5.8,W3,NBA Standings Regular Season 2020-21,27,9,24,12,7,5,30,12,7,3
3,Philadelphia 76ers,49,23,0.681,3.0,113.6,108.1,5.5,W2,NBA Standings Regular Season 2020-21,29,7,20,16,10,2,31,11,8,2
4,Brooklyn Nets,48,24,0.667,4.0,118.6,114.1,4.5,W5,NBA Standings Regular Season 2020-21,28,8,20,16,8,4,26,16,6,4
5,Denver Nuggets,47,25,0.653,5.0,115.1,110.1,5.0,L1,NBA Standings Regular Season 2020-21,25,11,22,14,9,3,26,16,6,4
6,LA Clippers,47,25,0.653,5.0,114.0,107.8,6.2,L2,NBA Standings Regular Season 2020-21,26,10,21,15,9,3,27,15,4,6
7,Milwaukee Bucks,46,26,0.639,6.0,120.1,114.2,5.9,L1,NBA Standings Regular Season 2020-21,26,10,20,16,11,1,30,12,8,2
8,Dallas Mavericks,42,30,0.583,10.0,112.4,110.2,2.2,L1,NBA Standings Regular Season 2020-21,21,15,21,15,7,5,21,21,8,2
9,Los Angeles Lakers,42,30,0.583,10.0,109.5,106.8,2.7,W5,NBA Standings Regular Season 2020-21,21,15,21,15,4,8,25,17,6,4
10,Portland Trail Blazers,42,30,0.583,10.0,116.1,114.3,1.8,W1,NBA Standings Regular Season 2020-21,20,16,22,14,6,6,23,19,8,2
11,Atlanta Hawks,41,31,0.569,11.0,113.7,111.4,2.3,W4,NBA Standings Regular Season 2020-21,25,11,16,20,9,3,24,18,7,3
12,New York Knicks,41,31,0.569,11.0,107.0,104.7,2.3,W3,NBA Standings Regular Season 2020-21,25,11,16,20,4,8,25,17,7,3
13,Miami Heat,40,32,0.556,12.0,108.1,108.0,0.1,W1,NBA Standings Regular Season 2020-21,21,15,19,17,6,6,24,18,8,2
14,Golden State Warriors,39,33,0.542,13.0,113.7,112.7,1.0,W6,NBA Standings Regular Season 2020-21,25,11,14,22,5,7,25,17,8,2
15,Memphis Grizzlies,38,34,0.528,14.0,113.3,112.3,1.0,L1,NBA Standings Regular Season 2020-21,18,18,20,16,6,6,19,23,6,4
16,Boston Celtics,36,36,0.5,16.0,112.6,111.2,1.4,L1,NBA Standings Regular Season 2020-21,21,15,15,21,4,8,20,22,4,6
17,Washington Wizards,34,38,0.472,18.0,116.6,118.5,-1.9,W2,NBA Standings Regular Season 2020-21,19,17,15,21,3,9,16,26,6,4
18,Indiana Pacers,34,38,0.472,18.0,115.3,115.3,0.0,W1,NBA Standings Regular Season 2020-21,13,23,21,15,7,5,20,22,5,5
19,San Antonio Spurs,33,39,0.458,19.0,111.1,112.8,-1.7,L4,NBA Standings Regular Season 2020-21,14,22,19,17,6,6,17,25,2,8
20,Charlotte Hornets,33,39,0.458,19.0,109.5,111.4,-1.9,L5,NBA Standings Regular Season 2020-21,18,18,15,21,8,4,20,22,3,7
21,New Orleans Pelicans,31,41,0.431,21.0,114.6,114.9,-0.3,L4,NBA Standings Regular Season 2020-21,18,18,13,23,6,6,18,24,4,6
22,Chicago Bulls,31,41,0.431,21.0,110.7,111.6,-0.9,W1,NBA Standings Regular Season 2020-21,15,21,16,20,7,5,21,21,5,5
23,Sacramento Kings,31,41,0.431,21.0,113.7,117.4,-3.7,L3,NBA Standings Regular Season 2020-21,16,20,15,21,5,7,18,24,6,4
24,Toronto Raptors,27,45,0.375,25.0,111.3,111.7,-0.4,L7,NBA Standings Regular Season 2020-21,16,20,11,25,4,8,17,25,1,9
25,Minnesota Timberwolves,23,49,0.319,29.0,112.1,117.7,-5.6,W1,NBA Standings Regular Season 2020-21,13,23,10,26,5,7,15,27,5,5
26,Cleveland Cavaliers,22,50,0.306,30.0,103.8,112.3,-8.5,L2,NBA Standings Regular Season 2020-21,13,23,9,27,4,8,16,26,1,9
27,Oklahoma City Thunder,22,50,0.306,30.0,105.0,115.6,-10.6,W1,NBA Standings Regular Season 2020-21,10,26,12,24,3,9,12,30,1,9
28,Orlando Magic,21,51,0.292,31.0,104.0,113.3,-9.3,L7,NBA Standings Regular Season 2020-21,11,25,10,26,4,8,13,29,2,8
29,Detroit Pistons,20,52,0.278,32.0,106.6,111.1,-4.5,L5,NBA Standings Regular Season 2020-21,13,23,7,29,1,11,12,30,1,9
30,Houston Rockets,17,55,0.236,35.0,108.8,116.7,-7.9,L1,NBA Standings Regular Season 2020-21,9,27,8,28,5,7,11,31,2,8
