Rank,Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
1,Indiana Pacers,61,21,0.744,0.0,91.4,85.6,5.8,W5,NBA Standings Regular Season 2003-04,34,7,27,14,20,8,41,13,8,2
2,Minnesota Timberwolves,58,24,0.707,3.0,94.5,89.1,5.4,W9,NBA Standings Regular Season 2003-04,31,10,27,14,14,10,34,18,9,1
3,San Antonio Spurs,57,25,0.695,4.0,91.5,84.3,7.2,W11,NBA Standings Regular Season 2003-04,33,8,24,17,15,9,35,17,10,0
4,Los Angeles Lakers,56,26,0.683,5.0,98.2,94.3,3.9,W2,NBA Standings Regular Season 2003-04,34,7,22,19,15,9,31,21,7,3
5,Sacramento Kings,55,27,0.671,6.0,102.8,97.8,5.0,L2,NBA Standings Regular Season 2003-04,34,7,21,20,16,8,31,21,4,6
6,Detroit Pistons,54,28,0.659,7.0,90.1,84.3,5.8,L1,NBA Standings Regular Season 2003-04,31,10,23,18,17,11,37,17,8,2
7,Dallas Mavericks,52,30,0.634,9.0,105.2,100.8,4.4,W2,NBA Standings Regular Season 2003-04,36,5,16,25,14,10,33,19,8,2
8,Memphis Grizzlies,50,32,0.61,11.0,96.7,94.3,2.4,L4,NBA Standings Regular Season 2003-04,31,10,19,22,12,12,28,24,4,6
9,New Jersey Nets,47,35,0.573,14.0,90.3,87.8,2.5,L2,NBA Standings Regular Season 2003-04,28,13,19,22,18,7,34,20,5,5
10,Houston Rockets,45,37,0.549,16.0,89.8,88.0,1.8,L1,NBA Standings Regular Season 2003-04,27,14,18,23,8,16,21,31,3,7
11,Denver Nuggets,43,39,0.524,18.0,97.2,96.1,1.1,L1,NBA Standings Regular Season 2003-04,29,12,14,27,11,13,29,23,6,4
12,Miami Heat,42,40,0.512,19.0,90.3,89.7,0.6,W2,NBA Standings Regular Season 2003-04,29,12,13,28,15,10,30,24,7,3
13,Utah Jazz,42,40,0.512,19.0,88.7,89.9,-1.2,L2,NBA Standings Regular Season 2003-04,28,13,14,27,10,14,25,27,5,5
14,New Orleans Hornets,41,41,0.5,20.0,91.8,91.9,-0.1,W1,NBA Standings Regular Season 2003-04,25,16,16,25,14,14,30,24,4,6
15,Milwaukee Bucks,41,41,0.5,20.0,98.0,97.0,1.0,L3,NBA Standings Regular Season 2003-04,27,14,14,27,15,13,33,21,5,5
16,Portland Trail Blazers,41,41,0.5,20.0,90.7,92.0,-1.3,L4,NBA Standings Regular Season 2003-04,25,16,16,25,13,11,22,30,4,6
17,New York Knicks,39,43,0.476,22.0,92.0,93.5,-1.5,L1,NBA Standings Regular Season 2003-04,23,18,16,25,17,7,31,23,6,4
18,Golden State Warriors,37,45,0.451,24.0,93.3,94.0,-0.7,W1,NBA Standings Regular Season 2003-04,27,14,10,31,12,12,23,29,5,5
19,Seattle SuperSonics,37,45,0.451,24.0,97.1,97.8,-0.7,W1,NBA Standings Regular Season 2003-04,21,20,16,25,11,13,22,30,3,7
20,Boston Celtics,36,46,0.439,25.0,95.3,96.7,-1.4,W1,NBA Standings Regular Season 2003-04,19,22,17,24,14,10,24,30,4,6
21,Cleveland Cavaliers,35,47,0.427,26.0,92.9,95.5,-2.6,W3,NBA Standings Regular Season 2003-04,23,18,12,29,14,14,29,25,3,7
22,Toronto Raptors,33,49,0.402,28.0,85.4,88.5,-3.1,W2,NBA Standings Regular Season 2003-04,18,23,15,26,11,17,22,32,3,7
23,Philadelphia 76ers,33,49,0.402,28.0,88.0,90.5,-2.5,L4,NBA Standings Regular Season 2003-04,21,20,12,29,10,14,23,31,3,7
24,Phoenix Suns,29,53,0.354,32.0,94.2,97.9,-3.7,W1,NBA Standings Regular Season 2003-04,18,23,11,30,9,15,16,36,5,5
25,Atlanta Hawks,28,54,0.341,33.0,92.8,97.5,-4.7,L1,NBA Standings Regular Season 2003-04,18,23,10,31,10,18,19,35,5,5
26,LA Clippers,28,54,0.341,33.0,94.8,99.4,-4.6,L1,NBA Standings Regular Season 2003-04,18,23,10,31,8,16,14,38,1,9
27,Washington Wizards,25,57,0.305,36.0,91.8,97.4,-5.6,L3,NBA Standings Regular Season 2003-04,17,24,8,33,3,21,16,38,2,8
28,Chicago Bulls,23,59,0.28,38.0,89.7,96.0,-6.3,L2,NBA Standings Regular Season 2003-04,14,27,9,32,11,17,19,35,3,7
29,Orlando Magic,21,61,0.256,40.0,94.0,101.1,-7.1,W2,NBA Standings Regular Season 2003-04,11,30,10,31,8,16,17,37,2,8
