Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Cleveland Cavaliers,61,21,0.744,0.0,102.1,95.6,6.5,L4,NBA Standings Regular Season 2009-10,35,6,26,15,12,4,38,14,4,6
Orlando Magic,59,23,0.72,2.0,102.8,95.3,7.5,W6,NBA Standings Regular Season 2009-10,34,7,25,16,10,6,39,13,9,1
Los Angeles Lakers,57,25,0.695,4.0,101.7,97.0,4.7,L1,NBA Standings Regular Season 2009-10,34,7,23,18,13,3,35,17,4,6
Dallas Mavericks,55,27,0.671,6.0,102.0,99.3,2.7,W5,NBA Standings Regular Season 2009-10,28,13,27,14,10,6,33,19,8,2
Phoenix Suns,54,28,0.659,7.0,110.2,105.3,4.9,W3,NBA Standings Regular Season 2009-10,32,9,22,19,12,4,35,17,8,2
Denver Nuggets,53,29,0.646,8.0,106.5,102.4,4.1,L1,NBA Standings Regular Season 2009-10,34,7,19,22,12,4,34,18,6,4
Atlanta Hawks,53,29,0.646,8.0,101.7,97.0,4.7,W4,NBA Standings Regular Season 2009-10,34,7,19,22,8,8,32,20,7,3
Utah Jazz,53,29,0.646,8.0,104.2,98.9,5.3,L1,NBA Standings Regular Season 2009-10,32,9,21,20,8,8,31,21,6,4
Boston Celtics,50,32,0.61,11.0,99.2,95.6,3.6,L2,NBA Standings Regular Season 2009-10,24,17,26,15,13,3,33,19,3,7
Portland Trail Blazers,50,32,0.61,11.0,98.1,94.8,3.3,L1,NBA Standings Regular Season 2009-10,26,15,24,17,8,8,33,19,7,3
San Antonio Spurs,50,32,0.61,11.0,101.4,96.3,5.1,L1,NBA Standings Regular Season 2009-10,29,12,21,20,9,7,31,21,6,4
Oklahoma City Thunder,50,32,0.61,11.0,101.5,98.0,3.5,W1,NBA Standings Regular Season 2009-10,27,14,23,18,9,7,28,24,6,4
Miami Heat,47,35,0.573,14.0,96.5,94.2,2.3,W3,NBA Standings Regular Season 2009-10,24,17,23,18,9,7,32,20,9,1
Milwaukee Bucks,46,36,0.561,15.0,97.7,96.0,1.7,W1,NBA Standings Regular Season 2009-10,28,13,18,23,10,6,31,21,6,4
Charlotte Bobcats,44,38,0.537,17.0,95.3,93.8,1.5,L1,NBA Standings Regular Season 2009-10,31,10,13,28,10,6,27,25,6,4
Houston Rockets,42,40,0.512,19.0,102.4,102.7,-0.3,L1,NBA Standings Regular Season 2009-10,23,18,19,22,9,7,28,24,6,4
Chicago Bulls,41,41,0.5,20.0,97.5,99.1,-1.6,W3,NBA Standings Regular Season 2009-10,24,17,17,24,10,6,28,24,7,3
Toronto Raptors,40,42,0.488,21.0,104.1,105.9,-1.8,W2,NBA Standings Regular Season 2009-10,25,16,15,26,11,5,29,23,5,5
Memphis Grizzlies,40,42,0.488,21.0,102.5,104.0,-1.5,L3,NBA Standings Regular Season 2009-10,23,18,17,24,5,11,22,30,2,8
New Orleans Hornets,37,45,0.451,24.0,100.2,102.7,-2.5,W2,NBA Standings Regular Season 2009-10,24,17,13,28,7,9,26,26,3,7
Indiana Pacers,32,50,0.39,29.0,100.8,103.8,-3.0,L2,NBA Standings Regular Season 2009-10,23,18,9,32,6,10,23,29,6,4
New York Knicks,29,53,0.354,32.0,102.1,105.9,-3.8,L1,NBA Standings Regular Season 2009-10,18,23,11,30,6,10,20,32,3,7
LA Clippers,29,53,0.354,32.0,95.7,102.1,-6.4,W1,NBA Standings Regular Season 2009-10,21,20,8,33,5,11,15,37,2,8
Detroit Pistons,27,55,0.329,34.0,94.0,99.1,-5.1,W1,NBA Standings Regular Season 2009-10,17,24,10,31,2,14,18,34,4,6
Philadelphia 76ers,27,55,0.329,34.0,97.7,101.6,-3.9,L2,NBA Standings Regular Season 2009-10,12,29,15,26,7,9,14,38,2,8
Golden State Warriors,26,56,0.317,35.0,108.8,112.4,-3.6,W1,NBA Standings Regular Season 2009-10,18,23,8,33,5,11,15,37,6,4
Washington Wizards,26,56,0.317,35.0,96.2,101.0,-4.8,W1,NBA Standings Regular Season 2009-10,15,26,11,30,3,13,18,34,5,5
Sacramento Kings,25,57,0.305,36.0,100.0,104.4,-4.4,L3,NBA Standings Regular Season 2009-10,18,23,7,34,5,11,16,36,1,9
Minnesota Timberwolves,15,67,0.183,46.0,98.2,107.8,-9.6,L7,NBA Standings Regular Season 2009-10,10,31,5,36,3,13,8,44,1,9
New Jersey Nets,12,70,0.146,49.0,92.4,101.5,-9.1,L3,NBA Standings Regular Season 2009-10,8,33,4,37,3,13,8,44,3,7
