Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Los Angeles Lakers,4,0,1.0,0.0,111.0,101.8,9.2,W4,NBA Standings Pre Season 2020-21,2,0,2,0,4,0,4,0,4,0
HUtah Jazz,3,0,1.0,0.0,118.3,100.7,17.6,W3,NBA Standings Pre Season 2020-21,2,0,1,0,0,0,3,0,3,0
Brooklyn Nets,2,0,1.0,0.5,116.0,101.5,14.5,W2,NBA Standings Pre Season 2020-21,1,0,1,0,1,0,2,0,2,0
Philadelphia 76ers,2,0,1.0,0.5,110.5,103.0,7.5,W2,NBA Standings Pre Season 2020-21,1,0,1,0,1,0,2,0,2,0
ew Orleans Pelicans,2,0,1.0,0.5,120.5,102.5,18.0,W2,NBA Standings Pre Season 2020-21,1,0,1,0,0,0,0,0,2,0
Chicago Bulls,3,1,0.75,0.5,109.3,105.5,3.8,W3,NBA Standings Pre Season 2020-21,1,1,2,0,0,0,0,0,3,1
ew York Knicks,3,1,0.75,0.5,100.0,89.8,10.2,W2,NBA Standings Pre Season 2020-21,2,0,1,1,0,0,3,1,3,1
Houston Rockets,3,1,0.75,0.5,114.0,103.0,11.0,W2,NBA Standings Pre Season 2020-21,2,0,1,1,2,0,2,0,3,1
Memphis Grizzlies,3,1,0.75,1.0,118.5,108.0,10.5,L1,NBA Standings Pre Season 2020-21,1,1,2,0,0,0,2,0,3,1
olden State Warriors,2,1,0.667,1.0,111.0,109.3,1.7,W1,NBA Standings Pre Season 2020-21,1,0,1,1,1,1,2,1,2,1
Dallas Mavericks,2,1,0.667,1.0,122.3,114.3,8.0,L1,NBA Standings Pre Season 2020-21,0,1,2,0,0,0,0,1,2,1
Denver Nuggets,2,1,0.667,1.0,120.0,99.3,20.7,W2,NBA Standings Pre Season 2020-21,2,0,0,1,2,0,2,1,2,1
Toronto Raptors,2,1,0.667,1.0,109.3,108.7,0.6,L1,NBA Standings Pre Season 2020-21,0,1,2,0,0,0,2,1,2,1
Cleveland Cavaliers,2,2,0.5,1.5,99.8,107.3,-7.5,L2,NBA Standings Pre Season 2020-21,2,0,0,2,2,0,2,2,2,2
Sacramento Kings,2,2,0.5,1.5,111.5,114.8,-3.3,L1,NBA Standings Pre Season 2020-21,1,1,1,1,1,1,2,2,2,2
Atlanta Hawks,2,2,0.5,2.0,112.8,116.8,-4.0,W1,NBA Standings Pre Season 2020-21,1,1,1,1,1,1,1,1,2,2
Detroit Pistons,2,2,0.5,2.0,94.0,91.5,2.5,L1,NBA Standings Pre Season 2020-21,1,1,1,1,0,0,2,2,2,2
Orlando Magic,2,2,0.5,2.0,114.5,117.0,-2.5,W1,NBA Standings Pre Season 2020-21,1,1,1,1,2,2,2,2,2,2
Miami Heat,1,1,0.5,1.5,104.5,109.5,-5.0,W1,NBA Standings Pre Season 2020-21,0,1,1,0,0,0,1,0,1,1
Oklahoma City Thunder,1,2,0.333,2.0,109.0,112.3,-3.3,L2,NBA Standings Pre Season 2020-21,0,2,1,0,0,0,1,0,1,2
Minnesota Timberwolves,1,2,0.333,2.0,112.7,119.0,-6.3,W1,NBA Standings Pre Season 2020-21,0,2,1,0,0,0,1,2,1,2
Washington Wizards,1,2,0.333,2.5,99.7,104.0,-4.3,W1,NBA Standings Pre Season 2020-21,1,1,0,1,0,0,1,2,1,2
Portland Trail Blazers,1,3,0.25,2.5,106.0,119.5,-13.5,L3,NBA Standings Pre Season 2020-21,1,1,0,2,0,2,1,3,1,3
Charlotte Hornets,1,3,0.25,3.0,112.3,114.5,-2.2,L1,NBA Standings Pre Season 2020-21,0,2,1,1,1,1,1,3,1,3
Boston Celtics,0,2,0.0,2.5,94.0,110.5,-16.5,L2,NBA Standings Pre Season 2020-21,0,1,0,1,0,2,0,2,0,2
Indiana Pacers,0,3,0.0,3.0,105.7,112.0,-6.3,L3,NBA Standings Pre Season 2020-21,0,1,0,2,0,2,0,3,0,3
LA Clippers,0,3,0.0,3.0,97.3,114.3,-17.0,L3,NBA Standings Pre Season 2020-21,0,1,0,2,0,2,0,3,0,3
Milwaukee Bucks,0,3,0.0,3.0,109.0,122.3,-13.3,L3,NBA Standings Pre Season 2020-21,0,2,0,1,0,0,0,0,0,3
an Antonio Spurs,0,3,0.0,3.0,104.0,120.3,-16.3,L3,NBA Standings Pre Season 2020-21,0,1,0,2,0,2,0,3,0,3
Phoenix Suns,0,4,0.0,4.0,104.3,114.0,-9.7,L4,NBA Standings Pre Season 2020-21,0,2,0,2,0,2,0,4,0,4
