Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Houston Rockets,65,17,0.793,0.0,112.4,103.9,8.5,L1,NBA Standings Regular Season 2017-18,34,7,31,10,12,4,41,11,7,3
Toronto Raptors,59,23,0.72,6.0,111.7,103.9,7.8,L1,NBA Standings Regular Season 2017-18,34,7,25,16,12,4,40,12,6,4
Golden State Warriors,58,24,0.707,7.0,113.5,107.5,6.0,L1,NBA Standings Regular Season 2017-18,29,12,29,12,13,3,34,18,4,6
Boston Celtics,55,27,0.671,10.0,104.0,100.4,3.6,W1,NBA Standings Regular Season 2017-18,27,14,28,13,12,4,33,19,6,4
Philadelphia 76ers,52,30,0.634,13.0,109.8,105.3,4.5,W16,NBA Standings Regular Season 2017-18,30,11,22,19,9,7,34,18,10,0
Cleveland Cavaliers,50,32,0.61,15.0,110.9,109.9,1.0,L1,NBA Standings Regular Season 2017-18,29,12,21,20,11,5,35,17,7,3
Portland Trail Blazers,49,33,0.598,16.0,105.6,103.0,2.6,W1,NBA Standings Regular Season 2017-18,28,13,21,20,9,7,31,21,5,5
Oklahoma City Thunder,48,34,0.585,17.0,107.9,104.4,3.5,W3,NBA Standings Regular Season 2017-18,27,14,21,20,5,11,28,24,5,5
Indiana Pacers,48,34,0.585,17.0,105.6,104.2,1.4,L1,NBA Standings Regular Season 2017-18,27,14,21,20,10,6,32,20,7,3
Utah Jazz,48,34,0.585,17.0,104.1,99.8,4.3,L1,NBA Standings Regular Season 2017-18,28,13,20,21,7,9,34,18,7,3
New Orleans Pelicans,48,34,0.585,17.0,111.7,110.4,1.3,W5,NBA Standings Regular Season 2017-18,24,17,24,17,9,7,27,25,6,4
San Antonio Spurs,47,35,0.573,18.0,102.7,99.8,2.9,L1,NBA Standings Regular Season 2017-18,33,8,14,27,9,7,29,23,5,5
Minnesota Timberwolves,47,35,0.573,18.0,109.5,107.3,2.2,W3,NBA Standings Regular Season 2017-18,30,11,17,24,10,6,34,18,6,4
Denver Nuggets,46,36,0.561,19.0,110.0,108.5,1.5,L1,NBA Standings Regular Season 2017-18,31,10,15,26,9,7,28,24,7,3
Miami Heat,44,38,0.537,21.0,103.4,102.9,0.5,W1,NBA Standings Regular Season 2017-18,26,15,18,23,11,5,31,21,5,5
Milwaukee Bucks,44,38,0.537,21.0,106.5,106.8,-0.3,L1,NBA Standings Regular Season 2017-18,25,16,19,22,6,10,27,25,6,4
Washington Wizards,43,39,0.524,22.0,106.6,106.0,0.6,L1,NBA Standings Regular Season 2017-18,23,18,20,21,8,8,28,24,3,7
LA Clippers,42,40,0.512,23.0,109.0,109.0,0.0,L4,NBA Standings Regular Season 2017-18,22,19,20,21,12,4,24,28,4,6
Detroit Pistons,39,43,0.476,26.0,103.8,103.9,-0.1,W1,NBA Standings Regular Season 2017-18,25,16,14,27,9,7,24,28,7,3
Charlotte Hornets,36,46,0.439,29.0,108.2,108.0,0.2,W1,NBA Standings Regular Season 2017-18,21,20,15,26,11,5,22,30,5,5
Los Angeles Lakers,35,47,0.427,30.0,108.1,109.6,-1.5,W1,NBA Standings Regular Season 2017-18,20,21,15,26,6,10,19,33,3,7
New York Knicks,29,53,0.354,36.0,104.5,108.0,-3.5,W1,NBA Standings Regular Season 2017-18,19,22,10,31,6,10,17,35,3,7
Brooklyn Nets,28,54,0.341,37.0,106.6,110.3,-3.7,L1,NBA Standings Regular Season 2017-18,15,26,13,28,1,15,19,33,5,5
Sacramento Kings,27,55,0.329,38.0,98.8,105.8,-7.0,W1,NBA Standings Regular Season 2017-18,14,27,13,28,5,11,14,38,4,6
Chicago Bulls,27,55,0.329,38.0,102.9,110.0,-7.1,L4,NBA Standings Regular Season 2017-18,17,24,10,31,4,12,21,31,3,7
Orlando Magic,25,57,0.305,40.0,103.4,108.2,-4.8,W1,NBA Standings Regular Season 2017-18,17,24,8,33,5,11,15,37,4,6
Dallas Mavericks,24,58,0.293,41.0,102.3,105.4,-3.1,L4,NBA Standings Regular Season 2017-18,15,26,9,32,5,11,14,38,2,8
Atlanta Hawks,24,58,0.293,41.0,103.4,108.8,-5.4,L1,NBA Standings Regular Season 2017-18,16,25,8,33,5,11,12,40,3,7
Memphis Grizzlies,22,60,0.268,43.0,99.3,105.5,-6.2,L2,NBA Standings Regular Season 2017-18,16,25,6,35,5,11,18,34,3,7
Phoenix Suns,21,61,0.256,44.0,103.9,113.3,-9.4,W1,NBA Standings Regular Season 2017-18,10,31,11,30,4,12,15,37,2,8
