Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Chicago Bulls,2,0,1.0,0.0,94.0,85.5,8.5,W2,NBA Standings Pre Season 2011-12,1,0,1,0,2,0,2,0,2,0
Minnesota Timberwolves,2,0,1.0,0.0,101.0,90.0,11.0,W2,NBA Standings Pre Season 2011-12,1,0,1,0,0,0,0,0,2,0
ew Orleans Hornets,2,0,1.0,0.0,96.0,85.0,11.0,W2,NBA Standings Pre Season 2011-12,1,0,1,0,2,0,2,0,2,0
Philadelphia 76ers,2,0,1.0,0.0,102.0,86.0,16.0,W2,NBA Standings Pre Season 2011-12,1,0,1,0,0,0,2,0,2,0
Boston Celtics,2,0,1.0,0.0,78.5,74.0,4.5,W2,NBA Standings Pre Season 2011-12,1,0,1,0,2,0,2,0,2,0
LA Clippers,2,0,1.0,0.0,111.0,99.0,12.0,W2,NBA Standings Pre Season 2011-12,1,0,1,0,2,0,2,0,2,0
Denver Nuggets,2,0,1.0,0.0,118.5,97.5,21.0,W2,NBA Standings Pre Season 2011-12,1,0,1,0,0,0,2,0,2,0
ew York Knicks,2,0,1.0,0.0,90.0,82.5,7.5,W2,NBA Standings Pre Season 2011-12,1,0,1,0,2,0,2,0,2,0
Oklahoma City Thunder,2,0,1.0,0.0,96.5,87.5,9.0,W2,NBA Standings Pre Season 2011-12,1,0,1,0,0,0,2,0,2,0
Orlando Magic,1,1,0.5,1.0,94.5,109.0,-14.5,W1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
Detroit Pistons,1,1,0.5,1.0,88.5,90.0,-1.5,W1,NBA Standings Pre Season 2011-12,0,1,1,0,1,1,1,1,1,1
Portland Trail Blazers,1,1,0.5,1.0,99.5,91.0,8.5,L1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
Miami Heat,1,1,0.5,1.0,109.0,94.5,14.5,L1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
Sacramento Kings,1,1,0.5,1.0,95.5,99.0,-3.5,W1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
an Antonio Spurs,1,1,0.5,1.0,92.0,98.0,-6.0,W1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
Charlotte Bobcats,1,1,0.5,1.0,77.0,84.5,-7.5,L1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
Atlanta Hawks,1,1,0.5,1.0,84.5,77.0,7.5,W1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
Houston Rockets,1,1,0.5,1.0,98.0,92.0,6.0,L1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
Cleveland Cavaliers,1,1,0.5,1.0,90.0,88.5,1.5,L1,NBA Standings Pre Season 2011-12,0,1,1,0,1,1,1,1,1,1
olden State Warriors,1,1,0.5,1.0,99.0,95.5,3.5,L1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
HUtah Jazz,1,1,0.5,1.0,91.0,99.5,-8.5,W1,NBA Standings Pre Season 2011-12,1,0,0,1,1,1,1,1,1,1
ew Jersey Nets,0,2,0.0,2.0,82.5,90.0,-7.5,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,2,0,2,0,2
Washington Wizards,0,2,0.0,2.0,86.0,102.0,-16.0,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,0,0,2,0,2
Memphis Grizzlies,0,2,0.0,2.0,85.0,96.0,-11.0,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,2,0,2,0,2
Dallas Mavericks,0,2,0.0,2.0,87.5,96.5,-9.0,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,0,0,2,0,2
Indiana Pacers,0,2,0.0,2.0,85.5,94.0,-8.5,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,2,0,2,0,2
Los Angeles Lakers,0,2,0.0,2.0,99.0,111.0,-12.0,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,2,0,2,0,2
Toronto Raptors,0,2,0.0,2.0,74.0,78.5,-4.5,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,2,0,2,0,2
Milwaukee Bucks,0,2,0.0,2.0,90.0,101.0,-11.0,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,0,0,0,0,2
Phoenix Suns,0,2,0.0,2.0,97.5,118.5,-21.0,L2,NBA Standings Pre Season 2011-12,0,1,0,1,0,0,0,2,0,2
