Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Milwaukee Bucks,56,17,0.767,0.0,118.7,108.6,10.1,L1,NBA Standings Regular Season 2019-20,30,5,26,12,13,1,37,7,3,7
Toronto Raptors,53,19,0.736,2.5,112.8,106.5,6.3,W4,NBA Standings Regular Season 2019-20,26,10,27,9,9,5,34,11,9,1
Los Angeles Lakers,52,19,0.732,3.0,113.4,107.6,5.8,L1,NBA Standings Regular Season 2019-20,25,10,27,9,10,3,36,10,4,6
LA Clippers,49,23,0.681,6.5,116.3,109.9,6.4,W2,NBA Standings Regular Season 2019-20,27,9,22,14,8,6,32,16,6,4
Boston Celtics,48,24,0.667,7.5,113.7,107.3,6.4,L1,NBA Standings Regular Season 2019-20,26,10,22,14,9,6,30,13,6,4
Denver Nuggets,46,27,0.63,10.0,111.3,109.2,2.1,L3,NBA Standings Regular Season 2019-20,26,11,20,16,12,2,29,16,4,6
Indiana Pacers,45,28,0.616,11.0,109.4,107.5,1.9,W2,NBA Standings Regular Season 2019-20,25,11,20,17,8,7,28,19,7,3
Houston Rockets,44,28,0.611,11.5,117.8,114.8,3.0,L3,NBA Standings Regular Season 2019-20,24,12,20,16,8,5,28,19,5,5
Oklahoma City Thunder,44,28,0.611,11.5,110.4,108.4,2.0,L1,NBA Standings Regular Season 2019-20,23,14,21,14,8,5,27,19,6,4
Utah Jazz,44,28,0.611,11.5,111.3,108.8,2.5,W1,NBA Standings Regular Season 2019-20,23,12,21,16,5,7,24,21,4,6
Miami Heat,44,29,0.603,12.0,112.0,109.1,2.9,L2,NBA Standings Regular Season 2019-20,29,7,15,22,10,4,30,13,4,6
Philadelphia 76ers,43,30,0.589,13.0,110.7,108.4,2.3,W1,NBA Standings Regular Season 2019-20,31,4,12,26,11,5,28,18,5,5
Dallas Mavericks,43,32,0.573,14.0,117.0,112.1,4.9,L2,NBA Standings Regular Season 2019-20,20,18,23,14,10,4,27,20,4,6
Brooklyn Nets,35,37,0.486,20.5,111.8,112.4,-0.6,L1,NBA Standings Regular Season 2019-20,20,16,15,21,6,10,23,23,7,3
Portland Trail Blazers,35,39,0.473,21.5,115.0,116.1,-1.1,W3,NBA Standings Regular Season 2019-20,21,15,14,24,5,8,20,27,7,3
Memphis Grizzlies,34,39,0.466,22.0,112.6,113.7,-1.1,W1,NBA Standings Regular Season 2019-20,20,17,14,22,4,9,20,26,3,7
Phoenix Suns,34,39,0.466,22.0,113.6,113.4,0.2,W8,NBA Standings Regular Season 2019-20,17,22,17,17,6,9,19,27,9,1
Orlando Magic,33,40,0.452,23.0,107.3,108.3,-1.0,W1,NBA Standings Regular Season 2019-20,18,17,15,23,9,5,20,23,5,5
San Antonio Spurs,32,39,0.451,23.0,114.1,115.2,-1.1,L1,NBA Standings Regular Season 2019-20,19,15,13,24,7,6,20,23,6,4
Sacramento Kings,31,41,0.431,24.5,110.1,112.1,-2.0,W2,NBA Standings Regular Season 2019-20,16,19,15,22,8,5,23,23,4,6
New Orleans Pelicans,30,42,0.417,25.5,115.8,117.1,-1.3,L3,NBA Standings Regular Season 2019-20,15,21,15,21,4,9,18,30,4,6
Charlotte Hornets,23,42,0.354,29.0,102.9,109.6,-6.7,W1,NBA Standings Regular Season 2019-20,10,21,13,21,2,7,16,24,4,6
Washington Wizards,25,47,0.347,30.5,114.4,119.1,-4.7,W1,NBA Standings Regular Season 2019-20,16,20,9,27,5,9,18,27,2,8
Chicago Bulls,22,43,0.338,30.0,106.8,109.9,-3.1,W1,NBA Standings Regular Season 2019-20,14,20,8,23,7,9,15,28,3,7
New York Knicks,21,45,0.318,31.5,105.8,112.3,-6.5,W1,NBA Standings Regular Season 2019-20,11,22,10,23,2,11,15,28,4,6
Detroit Pistons,20,46,0.303,32.5,107.2,110.8,-3.6,L5,NBA Standings Regular Season 2019-20,11,22,9,24,5,10,12,31,1,9
Atlanta Hawks,20,47,0.299,33.0,111.8,119.7,-7.9,L1,NBA Standings Regular Season 2019-20,14,20,6,27,6,7,11,32,4,6
Minnesota Timberwolves,19,45,0.297,32.5,113.3,117.5,-4.2,L3,NBA Standings Regular Season 2019-20,8,24,11,21,2,10,9,30,3,7
Cleveland Cavaliers,19,46,0.292,33.0,106.9,114.8,-7.9,L1,NBA Standings Regular Season 2019-20,11,25,8,21,4,10,12,32,4,6
Golden State Warriors,15,50,0.231,37.0,106.3,115.0,-8.7,L1,NBA Standings Regular Season 2019-20,8,26,7,24,2,11,9,34,3,7
