Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
ew Orleans Hornets,7,0,1.0,0.0,99.9,84.9,15.0,W7,NBA Standings Pre Season 2008-09,4,0,3,0,1,0,2,0,7,0
Orlando Magic,6,1,0.857,1.0,102.4,90.4,12.0,W6,NBA Standings Pre Season 2008-09,3,1,3,0,4,1,4,1,6,1
Denver Nuggets,6,1,0.857,1.0,103.9,96.3,7.6,W2,NBA Standings Pre Season 2008-09,3,0,3,1,2,1,5,1,6,1
Boston Celtics,6,2,0.75,1.5,95.0,91.9,3.1,W2,NBA Standings Pre Season 2008-09,3,1,3,1,3,2,5,2,6,2
Detroit Pistons,6,2,0.75,1.5,87.1,82.1,5.0,L1,NBA Standings Pre Season 2008-09,3,2,3,0,3,0,5,1,6,2
Los Angeles Lakers,6,2,0.75,1.5,97.4,94.6,2.8,W6,NBA Standings Pre Season 2008-09,6,2,0,0,1,1,2,2,6,2
Minnesota Timberwolves,6,2,0.75,1.5,95.9,89.9,6.0,W1,NBA Standings Pre Season 2008-09,3,1,3,1,2,1,2,1,6,2
Houston Rockets,5,2,0.714,2.0,97.1,93.6,3.5,W3,NBA Standings Pre Season 2008-09,3,1,2,1,3,0,5,1,5,2
olden State Warriors,4,2,0.667,2.5,110.7,102.5,8.2,W2,NBA Standings Pre Season 2008-09,3,0,1,2,0,0,2,1,4,2
Atlanta Hawks,5,3,0.625,2.5,97.4,97.5,-0.1,W1,NBA Standings Pre Season 2008-09,1,2,4,1,3,1,4,1,5,3
Phoenix Suns,5,3,0.625,2.5,94.5,91.3,3.2,W3,NBA Standings Pre Season 2008-09,2,2,3,1,1,0,3,2,5,3
Philadelphia 76ers,4,3,0.571,3.0,99.6,97.3,2.3,W1,NBA Standings Pre Season 2008-09,1,2,3,1,4,1,4,3,4,3
HUtah Jazz,4,3,0.571,3.0,99.0,94.7,4.3,W2,NBA Standings Pre Season 2008-09,1,1,3,2,2,1,3,2,4,3
Portland Trail Blazers,4,3,0.571,3.0,96.4,91.0,5.4,L1,NBA Standings Pre Season 2008-09,2,2,2,1,0,2,3,3,4,3
Indiana Pacers,4,4,0.5,3.5,98.5,97.5,1.0,W1,NBA Standings Pre Season 2008-09,3,1,1,3,1,0,1,0,4,4
Toronto Raptors,4,4,0.5,3.5,93.0,94.3,-1.3,L2,NBA Standings Pre Season 2008-09,2,3,2,1,1,1,2,1,4,4
Chicago Bulls,4,4,0.5,3.5,97.1,98.1,-1.0,W3,NBA Standings Pre Season 2008-09,2,3,2,1,1,1,1,1,4,4
Dallas Mavericks,4,4,0.5,3.5,102.1,97.5,4.6,L2,NBA Standings Pre Season 2008-09,2,2,2,2,0,0,1,0,4,4
LA Clippers,4,4,0.5,3.5,94.0,95.1,-1.1,L3,NBA Standings Pre Season 2008-09,0,4,4,0,2,1,3,3,4,4
ew York Knicks,3,4,0.429,4.0,106.9,106.9,0.0,L2,NBA Standings Pre Season 2008-09,0,3,3,1,3,4,3,4,3,4
ew Jersey Nets,3,4,0.429,4.0,97.9,103.7,-5.8,W1,NBA Standings Pre Season 2008-09,1,3,2,1,1,4,3,4,3,4
an Antonio Spurs,3,4,0.429,4.0,90.4,86.0,4.4,L2,NBA Standings Pre Season 2008-09,1,3,2,1,0,2,0,2,3,4
Cleveland Cavaliers,3,5,0.375,4.5,88.9,91.8,-2.9,W1,NBA Standings Pre Season 2008-09,2,3,1,2,0,1,3,4,3,5
Washington Wizards,2,5,0.286,5.0,81.9,94.4,-12.5,L1,NBA Standings Pre Season 2008-09,0,2,2,3,0,0,0,2,2,5
Miami Heat,2,5,0.286,5.0,93.0,95.3,-2.3,W1,NBA Standings Pre Season 2008-09,1,3,1,2,0,1,0,4,2,5
Memphis Grizzlies,2,6,0.25,5.5,90.8,96.9,-6.1,L4,NBA Standings Pre Season 2008-09,2,2,0,4,0,2,0,2,2,6
Oklahoma City Thunder,1,6,0.143,6.0,93.4,100.7,-7.3,L3,NBA Standings Pre Season 2008-09,0,1,1,5,0,1,1,6,1,6
Milwaukee Bucks,1,7,0.125,6.5,89.3,103.5,-14.2,L3,NBA Standings Pre Season 2008-09,1,3,0,4,0,3,0,3,1,7
Sacramento Kings,1,7,0.125,6.5,96.3,105.8,-9.5,L6,NBA Standings Pre Season 2008-09,1,3,0,4,0,2,1,7,1,7
Charlotte Bobcats,0,8,0.0,7.5,88.6,99.4,-10.8,L8,NBA Standings Pre Season 2008-09,0,2,0,6,0,4,0,4,0,8
