Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
ew Orleans Pelicans,5,0,1.0,0.0,125.6,118.2,7.4,W5,NBA Standings Pre Season 2019-20,1,0,4,0,1,0,2,0,5,0
Milwaukee Bucks,5,0,1.0,0.0,121.2,105.2,16.0,W5,NBA Standings Pre Season 2019-20,2,0,3,0,1,0,2,0,5,0
Boston Celtics,4,0,1.0,0.5,110.8,87.0,23.8,W4,NBA Standings Pre Season 2019-20,2,0,2,0,0,0,4,0,4,0
Denver Nuggets,4,0,1.0,0.5,108.3,97.8,10.5,W4,NBA Standings Pre Season 2019-20,1,0,3,0,2,0,4,0,4,0
Miami Heat,4,1,0.8,1.0,115.0,102.4,12.6,L1,NBA Standings Pre Season 2019-20,2,1,2,0,3,0,3,0,4,1
Philadelphia 76ers,4,1,0.8,1.0,113.8,93.0,20.8,L1,NBA Standings Pre Season 2019-20,2,1,2,0,0,0,3,1,4,1
Indiana Pacers,3,1,0.75,1.5,119.5,110.8,8.7,L1,NBA Standings Pre Season 2019-20,2,1,1,0,1,0,1,0,3,1
Brooklyn Nets,3,1,0.75,1.5,112.3,100.0,12.3,L1,NBA Standings Pre Season 2019-20,2,1,1,0,0,1,0,1,3,1
Houston Rockets,4,2,0.667,1.5,125.7,112.3,13.4,W1,NBA Standings Pre Season 2019-20,2,1,2,1,0,1,1,1,4,2
Sacramento Kings,3,2,0.6,2.0,118.8,115.0,3.8,W3,NBA Standings Pre Season 2019-20,2,1,1,1,1,0,2,0,3,2
Memphis Grizzlies,3,2,0.6,2.0,109.0,105.0,4.0,L1,NBA Standings Pre Season 2019-20,2,1,1,1,0,1,1,1,3,2
Washington Wizards,3,2,0.6,2.0,114.2,101.8,12.4,W1,NBA Standings Pre Season 2019-20,1,2,2,0,0,0,2,2,3,2
Detroit Pistons,3,2,0.6,2.0,105.2,110.6,-5.4,W1,NBA Standings Pre Season 2019-20,2,1,1,1,1,0,2,2,3,2
Los Angeles Lakers,3,3,0.5,2.5,107.3,103.5,3.8,L1,NBA Standings Pre Season 2019-20,2,1,1,2,3,1,3,1,3,3
Orlando Magic,3,3,0.5,2.5,100.7,100.2,0.5,L3,NBA Standings Pre Season 2019-20,0,3,3,0,1,1,2,3,3,3
Phoenix Suns,2,2,0.5,2.5,108.8,109.0,-0.2,L1,NBA Standings Pre Season 2019-20,1,1,1,1,0,1,2,2,2,2
Oklahoma City Thunder,2,2,0.5,2.5,104.5,104.8,-0.3,L2,NBA Standings Pre Season 2019-20,2,1,0,1,0,0,1,2,2,2
Toronto Raptors,2,2,0.5,2.5,114.8,114.8,0.0,W1,NBA Standings Pre Season 2019-20,1,1,1,1,1,0,1,1,2,2
an Antonio Spurs,2,3,0.4,3.0,104.8,112.0,-7.2,W2,NBA Standings Pre Season 2019-20,1,2,1,1,2,1,2,1,2,3
Dallas Mavericks,2,3,0.4,3.0,108.2,103.6,4.6,W2,NBA Standings Pre Season 2019-20,1,1,1,2,0,0,2,1,2,3
Chicago Bulls,2,3,0.4,3.0,108.0,107.6,0.4,W2,NBA Standings Pre Season 2019-20,1,2,1,1,0,2,2,2,2,3
olden State Warriors,2,3,0.4,3.0,111.8,115.8,-4.0,W1,NBA Standings Pre Season 2019-20,2,1,0,2,1,3,2,3,2,3
Minnesota Timberwolves,2,3,0.4,3.0,115.0,116.8,-1.8,L1,NBA Standings Pre Season 2019-20,1,0,1,3,0,0,0,2,2,3
Portland Trail Blazers,2,3,0.4,3.0,109.2,107.0,2.2,L1,NBA Standings Pre Season 2019-20,1,2,1,1,1,2,1,3,2,3
LA Clippers,2,3,0.4,3.0,104.0,101.8,2.2,L1,NBA Standings Pre Season 2019-20,2,3,0,0,0,0,0,3,2,3
ew York Knicks,1,3,0.25,3.5,103.8,107.8,-4.0,L3,NBA Standings Pre Season 2019-20,0,3,1,0,0,0,1,2,1,3
Cleveland Cavaliers,1,3,0.25,3.5,98.0,108.5,-10.5,L3,NBA Standings Pre Season 2019-20,1,1,0,2,0,1,0,3,1,3
Atlanta Hawks,1,4,0.2,4.0,95.4,111.4,-16.0,L1,NBA Standings Pre Season 2019-20,0,2,1,2,0,2,1,3,1,4
HUtah Jazz,1,4,0.2,4.0,118.4,119.2,-0.8,L4,NBA Standings Pre Season 2019-20,1,2,0,2,0,1,0,3,1,4
Charlotte Hornets,1,4,0.2,4.0,103.4,106.0,-2.6,L1,NBA Standings Pre Season 2019-20,0,3,1,1,0,1,0,4,1,4
