Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Minnesota Timberwolves,5,0,1.0,0.0,117.6,104.6,13.0,W5,NBA Standings Pre Season 2023-24,2,0,3,0,0,0,2,0,5,0
Toronto Raptors,4,0,1.0,0.5,121.5,98.0,23.5,W4,NBA Standings Pre Season 2023-24,3,0,1,0,0,0,2,0,4,0
Boston Celtics,4,1,0.8,1.0,116.6,106.0,10.6,W3,NBA Standings Pre Season 2023-24,2,0,2,1,3,1,4,1,4,1
olden State Warriors,4,1,0.8,1.0,121.6,117.0,4.6,L1,NBA Standings Pre Season 2023-24,2,1,2,0,4,0,4,1,4,1
Houston Rockets,4,1,0.8,1.0,110.8,100.0,10.8,W1,NBA Standings Pre Season 2023-24,2,0,2,1,2,1,2,1,4,1
Phoenix Suns,4,1,0.8,1.0,119.8,111.6,8.2,W3,NBA Standings Pre Season 2023-24,1,1,3,0,1,0,3,1,4,1
Orlando Magic,3,1,0.75,1.5,107.8,97.5,10.3,W1,NBA Standings Pre Season 2023-24,1,1,2,0,0,0,1,0,3,1
Washington Wizards,3,1,0.75,1.5,118.0,103.5,14.5,L1,NBA Standings Pre Season 2023-24,2,0,1,1,1,0,2,1,3,1
Denver Nuggets,3,2,0.6,2.0,112.2,109.6,2.6,W1,NBA Standings Pre Season 2023-24,1,0,2,2,0,0,2,1,3,2
Milwaukee Bucks,3,2,0.6,2.0,108.0,109.4,-1.4,W1,NBA Standings Pre Season 2023-24,2,0,1,2,1,0,1,0,2,2
Atlanta Hawks,3,2,0.6,2.0,107.8,110.0,-2.2,L2,NBA Standings Pre Season 2023-24,3,0,0,2,0,0,1,2,3,2
an Antonio Spurs,3,2,0.6,2.0,113.8,109.0,4.8,W2,NBA Standings Pre Season 2023-24,2,1,1,1,1,1,2,2,3,2
HUtah Jazz,3,2,0.6,2.0,112.8,108.4,4.4,L1,NBA Standings Pre Season 2023-24,2,0,1,2,1,0,2,2,3,2
Philadelphia 76ers,2,2,0.5,2.5,113.5,112.8,0.7,W2,NBA Standings Pre Season 2023-24,1,1,1,1,1,2,2,2,2,2
Detroit Pistons,2,2,0.5,2.5,119.0,121.3,-2.3,L1,NBA Standings Pre Season 2023-24,0,1,2,1,0,0,0,0,2,2
LA Clippers,2,2,0.5,2.5,101.3,101.3,0.0,L1,NBA Standings Pre Season 2023-24,2,2,0,0,0,0,2,2,2,2
Indiana Pacers,2,2,0.5,2.5,112.5,116.3,-3.8,W2,NBA Standings Pre Season 2023-24,2,0,0,2,1,0,2,0,2,2
Brooklyn Nets,2,2,0.5,2.5,121.8,115.8,6.0,W1,NBA Standings Pre Season 2023-24,1,1,1,1,0,1,1,1,2,2
Memphis Grizzlies,2,3,0.4,3.0,115.4,116.6,-1.2,L3,NBA Standings Pre Season 2023-24,2,0,0,3,0,0,0,0,2,2
Oklahoma City Thunder,2,3,0.4,3.0,120.4,117.0,3.4,L1,NBA Standings Pre Season 2023-24,2,2,0,1,0,0,1,0,2,3
Miami Heat,2,3,0.4,3.0,111.4,114.0,-2.6,L2,NBA Standings Pre Season 2023-24,2,1,0,2,1,0,1,1,2,3
Los Angeles Lakers,2,4,0.333,3.5,111.3,118.7,-7.4,L3,NBA Standings Pre Season 2023-24,2,3,0,1,1,3,1,3,2,4
ew York Knicks,1,3,0.25,3.5,110.5,120.5,-10.0,L3,NBA Standings Pre Season 2023-24,1,2,0,1,1,1,1,2,1,3
Portland Trail Blazers,1,3,0.25,3.5,114.0,110.8,3.2,L3,NBA Standings Pre Season 2023-24,1,1,0,2,0,1,0,3,1,3
Cleveland Cavaliers,1,3,0.25,3.5,109.0,103.5,5.5,L1,NBA Standings Pre Season 2023-24,1,1,0,2,0,1,0,3,1,3
Dallas Mavericks,1,3,0.25,3.5,108.0,111.5,-3.5,W1,NBA Standings Pre Season 2023-24,1,1,0,2,0,0,0,2,1,3
ew Orleans Pelicans,1,3,0.25,3.5,100.3,111.0,-10.7,W1,NBA Standings Pre Season 2023-24,0,2,1,1,0,1,0,1,1,3
Charlotte Hornets,1,3,0.25,3.5,104.3,113.3,-9.0,L1,NBA Standings Pre Season 2023-24,1,1,0,2,0,2,0,3,1,3
Chicago Bulls,1,4,0.2,4.0,108.8,113.0,-4.2,L3,NBA Standings Pre Season 2023-24,1,2,0,2,0,1,0,2,1,4
Sacramento Kings,1,4,0.2,4.0,109.2,114.2,-5.0,W1,NBA Standings Pre Season 2023-24,1,1,0,3,0,3,1,3,1,4
