Rank,Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
1,Golden State Warriors,67,15,0.817,0.0,110.0,99.9,10.1,W4,NBA Standings Regular Season 2014-15,39,2,28,13,13,3,42,10,8,2
2,Atlanta Hawks,60,22,0.732,7.0,102.5,97.1,5.4,L3,NBA Standings Regular Season 2014-15,35,6,25,16,12,4,38,14,5,5
3,Houston Rockets,56,26,0.683,11.0,103.9,100.5,3.4,W3,NBA Standings Regular Season 2014-15,30,11,26,15,8,8,33,19,7,3
4,LA Clippers,56,26,0.683,11.0,106.7,100.1,6.6,W7,NBA Standings Regular Season 2014-15,30,11,26,15,12,4,37,15,9,1
5,Memphis Grizzlies,55,27,0.671,12.0,98.3,95.1,3.2,W1,NBA Standings Regular Season 2014-15,31,10,24,17,9,7,35,17,5,5
6,San Antonio Spurs,55,27,0.671,12.0,103.2,97.0,6.2,L1,NBA Standings Regular Season 2014-15,33,8,22,19,8,8,32,20,9,1
7,Cleveland Cavaliers,53,29,0.646,14.0,103.1,98.7,4.4,W2,NBA Standings Regular Season 2014-15,31,10,22,19,11,5,35,17,7,3
8,Portland Trail Blazers,51,31,0.622,16.0,102.8,98.6,4.2,L4,NBA Standings Regular Season 2014-15,32,9,19,22,11,5,31,21,4,6
9,Chicago Bulls,50,32,0.61,17.0,100.8,97.8,3.0,W4,NBA Standings Regular Season 2014-15,27,14,23,18,8,8,33,19,7,3
10,Dallas Mavericks,50,32,0.61,17.0,105.2,102.3,2.9,W1,NBA Standings Regular Season 2014-15,27,14,23,18,7,9,29,23,5,5
11,Toronto Raptors,49,33,0.598,18.0,104.0,100.9,3.1,W1,NBA Standings Regular Season 2014-15,27,14,22,19,11,5,33,19,7,3
12,Washington Wizards,46,36,0.561,21.0,98.5,97.8,0.7,L2,NBA Standings Regular Season 2014-15,29,12,17,24,10,6,30,22,6,4
13,New Orleans Pelicans,45,37,0.549,22.0,99.4,98.6,0.8,W2,NBA Standings Regular Season 2014-15,28,13,17,24,8,8,29,23,7,3
14,Oklahoma City Thunder,45,37,0.549,22.0,104.0,101.8,2.2,W2,NBA Standings Regular Season 2014-15,29,12,16,25,10,6,25,27,4,6
15,Milwaukee Bucks,41,41,0.5,26.0,97.8,97.4,0.4,L1,NBA Standings Regular Season 2014-15,23,18,18,23,7,9,30,22,5,5
16,Boston Celtics,40,42,0.488,27.0,101.4,101.2,0.2,W6,NBA Standings Regular Season 2014-15,21,20,19,22,12,4,28,24,8,2
17,Phoenix Suns,39,43,0.476,28.0,102.4,103.3,-0.9,L5,NBA Standings Regular Season 2014-15,22,19,17,24,6,10,21,31,1,9
18,Brooklyn Nets,38,44,0.463,29.0,98.0,100.9,-2.9,W1,NBA Standings Regular Season 2014-15,19,22,19,22,10,6,24,28,6,4
19,Indiana Pacers,38,44,0.463,29.0,97.3,97.0,0.3,L1,NBA Standings Regular Season 2014-15,23,18,15,26,8,8,28,24,7,3
20,Utah Jazz,38,44,0.463,29.0,95.1,94.9,0.2,L1,NBA Standings Regular Season 2014-15,21,20,17,24,9,7,23,29,7,3
21,Miami Heat,37,45,0.451,30.0,94.7,97.3,-2.6,W2,NBA Standings Regular Season 2014-15,20,21,17,24,6,10,25,27,4,6
22,Charlotte Hornets,33,49,0.402,34.0,94.2,97.3,-3.1,L6,NBA Standings Regular Season 2014-15,19,22,14,27,8,8,25,27,2,8
23,Detroit Pistons,32,50,0.39,35.0,98.5,99.5,-1.0,W1,NBA Standings Regular Season 2014-15,18,23,14,27,6,10,23,29,4,6
24,Denver Nuggets,30,52,0.366,37.0,101.5,105.0,-3.5,L2,NBA Standings Regular Season 2014-15,19,22,11,30,6,10,19,33,3,7
25,Sacramento Kings,29,53,0.354,38.0,101.3,105.0,-3.7,W2,NBA Standings Regular Season 2014-15,18,23,11,30,7,9,18,34,3,7
26,Orlando Magic,25,57,0.305,42.0,95.7,101.4,-5.7,L4,NBA Standings Regular Season 2014-15,13,28,12,29,4,12,15,37,3,7
27,Los Angeles Lakers,21,61,0.256,46.0,98.5,105.3,-6.8,L3,NBA Standings Regular Season 2014-15,12,29,9,32,2,14,9,43,2,8
28,Philadelphia 76ers,18,64,0.22,49.0,92.0,101.0,-9.0,L10,NBA Standings Regular Season 2014-15,12,29,6,35,2,14,12,40,0,10
29,New York Knicks,17,65,0.207,50.0,91.9,101.2,-9.3,L1,NBA Standings Regular Season 2014-15,10,31,7,34,5,11,11,41,3,7
30,Minnesota Timberwolves,16,66,0.195,51.0,97.8,106.5,-8.7,L12,NBA Standings Regular Season 2014-15,9,32,7,34,4,12,7,45,0,10
