Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Toronto Raptors,6,1,0.857,0.0,103.9,98.7,5.2,L1,NBA Standings Pre Season 2006-07,3,0,3,1,3,0,6,1,6,1
olden State Warriors,5,1,0.833,0.5,114.7,108.5,6.2,L1,NBA Standings Pre Season 2006-07,2,0,3,1,1,0,5,1,5,1
Chicago Bulls,6,2,0.75,0.5,95.8,88.9,6.9,W1,NBA Standings Pre Season 2006-07,4,1,2,1,0,0,2,0,6,2
Orlando Magic,6,2,0.75,0.5,99.3,90.1,9.2,W1,NBA Standings Pre Season 2006-07,2,2,4,0,2,2,2,2,6,2
Houston Rockets,5,2,0.714,1.0,91.1,81.6,9.5,L1,NBA Standings Pre Season 2006-07,3,1,2,1,2,1,2,1,5,2
LA Clippers,4,2,0.667,1.5,95.5,97.5,-2.0,L1,NBA Standings Pre Season 2006-07,2,2,2,0,2,1,4,2,4,2
ew York Knicks,4,2,0.667,1.5,108.7,109.7,-1.0,L1,NBA Standings Pre Season 2006-07,3,0,1,2,4,2,4,2,4,2
Minnesota Timberwolves,5,3,0.625,1.5,98.3,94.4,3.9,W2,NBA Standings Pre Season 2006-07,2,2,3,1,0,0,0,0,5,3
Atlanta Hawks,5,3,0.625,1.5,97.5,97.0,0.5,W1,NBA Standings Pre Season 2006-07,2,2,3,1,3,2,4,2,5,3
Sacramento Kings,5,3,0.625,1.5,97.9,93.3,4.6,W1,NBA Standings Pre Season 2006-07,3,1,2,2,1,1,5,3,5,3
Detroit Pistons,5,3,0.625,1.5,95.5,94.9,0.6,L1,NBA Standings Pre Season 2006-07,3,2,2,1,0,0,2,0,5,3
Denver Nuggets,4,3,0.571,2.0,115.1,109.7,5.4,W2,NBA Standings Pre Season 2006-07,1,2,3,1,0,1,2,2,4,3
Los Angeles Lakers,4,4,0.5,2.5,98.1,98.6,-0.5,L1,NBA Standings Pre Season 2006-07,4,4,0,0,1,3,4,4,4,4
Washington Wizards,4,4,0.5,2.5,95.1,92.9,2.2,L1,NBA Standings Pre Season 2006-07,0,1,4,3,3,0,4,3,4,4
Seattle SuperSonics,4,4,0.5,2.5,100.5,98.6,1.9,W3,NBA Standings Pre Season 2006-07,2,1,2,3,1,1,4,3,4,4
HUtah Jazz,4,4,0.5,2.5,102.5,98.4,4.1,W2,NBA Standings Pre Season 2006-07,2,0,2,4,2,1,2,3,4,4
Memphis Grizzlies,4,4,0.5,2.5,88.3,91.1,-2.8,W1,NBA Standings Pre Season 2006-07,2,2,2,2,1,0,1,0,4,4
Phoenix Suns,3,3,0.5,2.5,100.3,99.0,1.3,L2,NBA Standings Pre Season 2006-07,2,2,1,1,2,2,2,3,3,3
an Antonio Spurs,2,3,0.4,3.0,85.8,91.2,-5.4,W1,NBA Standings Pre Season 2006-07,2,2,0,1,1,1,1,1,2,3
Indiana Pacers,3,5,0.375,3.5,96.0,101.6,-5.6,L2,NBA Standings Pre Season 2006-07,2,2,1,3,0,0,2,1,3,5
ew Jersey Nets,3,5,0.375,3.5,102.9,107.1,-4.2,W1,NBA Standings Pre Season 2006-07,3,0,0,5,3,4,3,5,3,5
Boston Celtics,3,5,0.375,3.5,103.4,101.5,1.9,L2,NBA Standings Pre Season 2006-07,2,2,1,3,2,4,3,5,3,5
Dallas Mavericks,3,5,0.375,3.5,82.6,87.5,-4.9,L1,NBA Standings Pre Season 2006-07,2,2,1,3,0,3,0,4,3,5
Milwaukee Bucks,3,5,0.375,3.5,96.9,101.3,-4.4,L2,NBA Standings Pre Season 2006-07,2,2,1,3,0,0,1,1,3,5
Miami Heat,2,5,0.286,4.0,86.4,93.9,-7.5,L1,NBA Standings Pre Season 2006-07,1,2,1,3,1,1,1,2,2,5
O/Oklahoma City Hornets,2,5,0.286,4.0,94.3,101.9,-7.6,W1,NBA Standings Pre Season 2006-07,1,1,1,4,1,0,2,3,2,5
Charlotte Bobcats,2,6,0.25,4.5,97.8,105.0,-7.2,L1,NBA Standings Pre Season 2006-07,1,4,1,2,0,4,2,6,2,6
Portland Trail Blazers,2,6,0.25,4.5,97.4,102.6,-5.2,L3,NBA Standings Pre Season 2006-07,1,2,1,4,2,2,2,6,2,6
Philadelphia 76ers,1,4,0.2,4.0,100.8,101.6,-0.8,W1,NBA Standings Pre Season 2006-07,1,1,0,3,1,3,1,3,1,4
Cleveland Cavaliers,1,6,0.143,5.0,87.6,93.0,-5.4,L5,NBA Standings Pre Season 2006-07,0,5,1,1,0,0,1,5,1,6
