Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
Detroit Pistons,8,0,1.0,0.0,85.9,78.1,7.8,W8,NBA Standings Pre Season 2002-03,5,0,3,0,2,0,0,0,8,0
ew Jersey Nets,6,1,0.857,1.5,99.4,92.6,6.8,W1,NBA Standings Pre Season 2002-03,4,0,2,1,3,1,0,0,6,1
Sacramento Kings,6,2,0.75,2.0,96.3,90.5,5.8,W4,NBA Standings Pre Season 2002-03,4,1,2,1,4,0,0,0,6,2
Portland Trail Blazers,5,2,0.714,2.5,93.6,88.0,5.6,L1,NBA Standings Pre Season 2002-03,3,1,2,1,3,2,0,0,5,2
Dallas Mavericks,5,3,0.625,3.0,95.4,91.9,3.5,W3,NBA Standings Pre Season 2002-03,3,1,2,2,1,0,0,0,5,3
Indiana Pacers,5,3,0.625,3.0,90.4,90.8,-0.4,L1,NBA Standings Pre Season 2002-03,4,1,1,2,2,2,0,0,5,3
Phoenix Suns,5,3,0.625,3.0,86.8,87.0,-0.2,W2,NBA Standings Pre Season 2002-03,2,1,3,2,2,1,0,0,5,3
an Antonio Spurs,5,3,0.625,3.0,90.0,83.1,6.9,W3,NBA Standings Pre Season 2002-03,3,1,2,2,1,1,0,0,5,3
Washington Wizards,5,3,0.625,3.0,90.6,87.8,2.8,L2,NBA Standings Pre Season 2002-03,2,1,3,2,2,1,0,0,5,3
Atlanta Hawks,4,3,0.571,3.5,93.4,89.1,4.3,W3,NBA Standings Pre Season 2002-03,3,1,1,2,3,1,0,0,4,3
Houston Rockets,4,3,0.571,3.5,91.7,89.1,2.6,L2,NBA Standings Pre Season 2002-03,2,2,2,1,2,1,0,0,4,3
Minnesota Timberwolves,4,3,0.571,3.5,95.9,88.9,7.0,W1,NBA Standings Pre Season 2002-03,3,1,1,2,0,0,0,0,4,3
Boston Celtics,4,4,0.5,4.0,97.8,97.5,0.3,W1,NBA Standings Pre Season 2002-03,2,2,2,2,2,2,0,0,4,4
ew York Knicks,4,4,0.5,4.0,87.8,92.0,-4.2,L2,NBA Standings Pre Season 2002-03,1,3,3,1,0,2,0,0,4,4
Seattle SuperSonics,4,4,0.5,4.0,88.8,87.3,1.5,W1,NBA Standings Pre Season 2002-03,3,3,1,1,2,3,0,0,4,4
HUtah Jazz,4,4,0.5,4.0,90.6,91.4,-0.8,W3,NBA Standings Pre Season 2002-03,1,1,3,3,0,0,0,0,4,4
Cleveland Cavaliers,3,4,0.429,4.5,90.7,95.9,-5.2,W1,NBA Standings Pre Season 2002-03,2,1,1,3,1,2,0,0,3,4
Milwaukee Bucks,3,4,0.429,4.5,94.6,93.3,1.3,L2,NBA Standings Pre Season 2002-03,2,0,1,4,0,1,0,0,3,4
Chicago Bulls,3,5,0.375,5.0,93.3,99.6,-6.3,L1,NBA Standings Pre Season 2002-03,3,1,0,4,1,0,0,0,3,5
olden State Warriors,3,5,0.375,5.0,89.9,88.1,1.8,L1,NBA Standings Pre Season 2002-03,0,1,3,4,2,4,0,0,3,5
Los Angeles Lakers,3,5,0.375,5.0,92.1,94.8,-2.7,L1,NBA Standings Pre Season 2002-03,3,5,0,0,1,3,0,0,3,5
Orlando Magic,3,5,0.375,5.0,91.5,92.6,-1.1,L1,NBA Standings Pre Season 2002-03,3,1,0,4,0,1,0,0,3,5
Philadelphia 76ers,3,5,0.375,5.0,95.0,98.1,-3.1,L1,NBA Standings Pre Season 2002-03,1,3,2,2,1,2,0,0,3,5
Toronto Raptors,3,5,0.375,5.0,86.8,88.8,-2.0,L1,NBA Standings Pre Season 2002-03,2,3,1,2,1,2,0,0,3,5
Memphis Grizzlies,3,5,0.375,5.0,93.3,94.0,-0.7,L1,NBA Standings Pre Season 2002-03,3,1,0,4,0,1,0,0,3,5
Miami Heat,2,5,0.286,5.5,81.1,84.9,-3.8,L3,NBA Standings Pre Season 2002-03,1,2,1,3,1,0,0,0,2,5
ew Orleans Hornets,2,6,0.25,6.0,83.0,93.5,-10.5,L2,NBA Standings Pre Season 2002-03,0,3,2,3,1,3,0,0,2,6
LA Clippers,2,6,0.25,6.0,91.1,97.8,-6.7,L4,NBA Standings Pre Season 2002-03,1,2,1,4,1,2,0,0,2,6
Denver Nuggets,1,7,0.125,7.0,83.3,91.1,-7.8,L6,NBA Standings Pre Season 2002-03,0,3,1,4,0,1,0,0,1,7
