Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Minnesota Timberwolves,68,106.6,39.0,87.2,44.8,11.3,32.4,35.0,17.2,21.9,78.5,10.4,30.9,41.3,24.4,7.4,4.9,13.4,20.0,NBA Team Regular Season Stats 2023-24
2,New York Knicks,68,107.9,40.1,86.0,46.7,12.7,34.6,36.6,14.9,19.8,75.7,10.1,30.5,40.6,25.4,6.8,5.3,12.7,19.3,NBA Team Regular Season Stats 2023-24
3,Orlando Magic,68,109.0,40.0,84.3,47.4,11.6,32.4,35.7,17.6,22.8,77.1,9.1,30.8,39.9,23.9,8.1,4.7,14.3,21.2,NBA Team Regular Season Stats 2023-24
4,Miami Heat,68,109.3,40.4,86.1,46.9,13.2,36.8,36.0,15.2,19.6,77.4,9.3,33.6,43.0,26.6,6.7,5.0,13.0,19.0,NBA Team Regular Season Stats 2023-24
5,Boston Celtics,68,109.3,41.3,92.0,44.9,12.8,36.9,34.6,13.9,18.1,76.7,11.1,32.3,43.4,24.8,6.3,3.7,11.2,17.7,NBA Team Regular Season Stats 2023-24
6,Cleveland Cavaliers,68,109.5,40.2,88.1,45.7,12.1,33.7,35.9,16.9,21.6,78.4,10.2,32.6,42.9,24.6,7.6,5.1,12.8,19.1,NBA Team Regular Season Stats 2023-24
7,Denver Nuggets,68,110.2,40.8,87.9,46.5,11.2,31.2,36.0,17.3,22.3,77.7,11.0,31.4,42.4,25.6,7.0,4.7,11.7,18.1,NBA Team Regular Season Stats 2023-24
8,New Orleans Pelicans,67,111.0,40.5,87.9,46.1,13.4,38.8,34.6,16.6,21.1,78.3,10.3,32.0,42.3,26.8,6.5,5.3,13.3,18.7,NBA Team Regular Season Stats 2023-24
9,Philadelphia 76ers,68,112.3,40.7,86.4,47.1,11.8,33.6,35.3,19.0,24.0,79.1,11.1,33.3,44.4,26.1,6.1,6.1,13.8,19.0,NBA Team Regular Season Stats 2023-24
10,Memphis Grizzlies,69,112.4,41.1,87.1,47.2,13.2,35.2,37.6,17.0,21.8,78.0,10.6,35.0,45.6,26.2,8.1,6.4,14.4,19.0,NBA Team Regular Season Stats 2023-24
11,Houston Rockets,67,112.5,40.5,87.9,46.1,12.3,35.5,34.7,19.2,25.5,75.2,10.5,34.2,44.7,24.5,7.4,6.0,13.0,19.7,NBA Team Regular Season Stats 2023-24
12,LA Clippers,67,112.6,41.7,88.9,46.9,12.8,35.2,36.4,16.5,21.1,78.0,11.1,30.9,42.0,26.6,7.1,4.5,12.5,19.2,NBA Team Regular Season Stats 2023-24
13,Oklahoma City Thunder,67,113.1,40.6,89.3,45.4,13.5,36.9,36.5,18.5,23.6,78.5,12.1,32.7,44.8,27.0,6.9,5.2,15.0,19.0,NBA Team Regular Season Stats 2023-24
14,Chicago Bulls,69,113.6,41.0,87.0,47.1,14.4,39.4,36.5,17.1,21.9,77.9,10.1,33.5,43.7,28.0,6.7,5.1,12.9,19.0,NBA Team Regular Season Stats 2023-24
15,Brooklyn Nets,68,114.1,41.5,88.1,47.2,13.0,34.5,37.6,18.0,22.2,81.1,10.2,34.2,44.4,25.3,6.8,4.9,12.1,18.2,NBA Team Regular Season Stats 2023-24
16,Phoenix Suns,68,114.6,42.4,91.3,46.4,13.5,36.7,36.7,16.4,21.3,76.8,11.3,30.2,41.5,26.2,8.3,4.6,11.9,20.4,NBA Team Regular Season Stats 2023-24
17,Portland Trail Blazers,68,115.8,42.7,86.9,49.2,11.6,33.0,35.1,18.7,23.7,78.8,10.8,33.0,43.8,27.3,8.7,6.3,13.8,18.2,NBA Team Regular Season Stats 2023-24
18,Charlotte Hornets,68,116.7,43.0,87.5,49.1,13.3,35.7,37.4,17.4,21.7,80.1,10.4,35.1,45.6,28.1,7.1,5.1,13.0,17.6,NBA Team Regular Season Stats 2023-24
19,Golden State Warriors,67,116.8,42.6,90.6,47.0,13.1,36.7,35.7,18.4,23.2,79.4,10.8,32.5,43.3,26.8,7.8,5.0,12.4,18.8,NBA Team Regular Season Stats 2023-24
20,Sacramento Kings,67,117.0,42.4,87.5,48.5,13.2,33.7,39.2,18.9,23.4,80.9,9.0,33.4,42.4,27.6,7.5,4.7,13.0,18.5,NBA Team Regular Season Stats 2023-24
21,Milwaukee Bucks,68,117.3,43.7,92.4,47.3,12.6,35.0,36.1,17.2,21.5,80.2,10.3,33.7,44.0,26.7,6.8,4.3,11.5,19.8,NBA Team Regular Season Stats 2023-24
22,Dallas Mavericks,68,117.5,43.5,90.5,48.1,13.3,35.9,37.0,17.1,22.4,76.7,11.2,33.9,45.1,27.7,7.3,4.0,12.9,20.8,NBA Team Regular Season Stats 2023-24
23,Los Angeles Lakers,69,117.6,44.4,93.6,47.5,14.2,37.8,37.5,14.5,18.1,80.2,11.0,33.3,44.3,28.4,7.9,4.8,12.4,19.6,NBA Team Regular Season Stats 2023-24
24,Toronto Raptors,68,118.0,44.4,91.2,48.7,13.4,35.6,37.6,15.8,19.8,79.5,10.9,34.0,44.9,28.3,6.9,5.4,13.0,18.1,NBA Team Regular Season Stats 2023-24
25,San Antonio Spurs,68,119.8,45.1,91.8,49.1,12.9,34.2,37.8,16.6,21.3,77.9,10.7,34.7,45.4,28.1,8.8,4.7,12.8,18.2,NBA Team Regular Season Stats 2023-24
26,Detroit Pistons,68,120.1,43.6,89.3,48.9,12.0,32.3,37.3,20.7,25.6,81.0,9.5,33.1,42.6,26.8,8.9,6.0,11.5,18.2,NBA Team Regular Season Stats 2023-24
27,Utah Jazz,68,120.6,44.5,91.7,48.5,14.8,37.1,39.8,16.9,21.8,77.4,10.8,31.1,41.9,29.6,8.4,6.5,11.6,19.4,NBA Team Regular Season Stats 2023-24
28,Indiana Pacers,69,120.9,44.8,89.7,50.0,10.9,29.4,37.2,20.3,25.9,78.5,10.8,32.4,43.2,24.7,6.8,5.5,13.4,18.6,NBA Team Regular Season Stats 2023-24
29,Atlanta Hawks,68,121.1,44.8,90.7,49.4,13.9,36.4,38.3,17.4,22.1,78.9,11.0,33.7,44.7,28.3,7.8,5.6,13.5,19.9,NBA Team Regular Season Stats 2023-24
30,Washington Wizards,68,124.0,46.6,93.1,50.1,12.5,33.8,36.9,18.3,23.6,77.5,12.3,37.0,49.3,29.6,7.8,5.8,13.6,18.0,NBA Team Regular Season Stats 2023-24
