Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Detroit Pistons,23,80.7,29.5,75.2,39.2,4.7,17.0,27.7,17.0,23.7,72.1,10.9,29.7,40.6,18.6,8.0,5.1,15.6,26.0,NBA Team Postseason Stats 2003-04
2,Indiana Pacers,16,81.1,28.9,72.8,39.7,3.7,12.0,30.7,19.6,25.3,77.5,10.8,31.6,42.4,16.9,6.5,6.3,15.6,22.9,NBA Team Postseason Stats 2003-04
3,New Orleans Hornets,7,83.6,30.4,75.3,40.4,4.0,15.7,25.5,18.7,25.4,73.6,12.0,30.9,42.9,16.3,8.1,4.0,15.1,23.4,NBA Team Postseason Stats 2003-04
4,Miami Heat,13,83.9,29.6,73.2,40.5,5.9,17.6,33.6,18.8,25.4,73.9,11.4,30.5,41.9,18.8,6.3,5.0,15.8,21.8,NBA Team Postseason Stats 2003-04
5,New Jersey Nets,11,85.7,31.0,79.2,39.2,4.4,14.7,29.6,19.4,26.5,73.2,12.5,29.5,41.9,19.4,8.8,5.8,16.0,26.5,NBA Team Postseason Stats 2003-04
6,San Antonio Spurs,10,86.2,32.0,70.7,45.3,4.1,12.7,32.3,18.1,27.1,66.8,8.8,29.3,38.1,17.9,8.0,5.2,14.9,22.7,NBA Team Postseason Stats 2003-04
7,Los Angeles Lakers,22,87.2,32.0,75.9,42.2,5.1,16.5,31.1,18.0,25.0,72.0,11.5,31.5,43.0,17.9,6.6,3.4,14.5,24.0,NBA Team Postseason Stats 2003-04
8,Houston Rockets,5,90.0,33.8,78.8,42.9,4.6,13.4,34.3,17.8,28.0,63.6,10.0,30.4,40.4,24.4,10.0,4.0,10.4,21.6,NBA Team Postseason Stats 2003-04
9,Minnesota Timberwolves,18,92.0,34.8,81.0,42.9,5.4,15.8,34.2,17.1,24.8,68.7,11.8,30.3,42.1,23.2,7.5,3.4,12.6,21.7,NBA Team Postseason Stats 2003-04
10,Denver Nuggets,5,94.6,34.6,75.2,46.0,6.4,13.0,49.2,19.0,26.2,72.5,9.2,31.0,40.2,20.0,6.8,6.0,16.4,21.6,NBA Team Postseason Stats 2003-04
11,Sacramento Kings,12,95.1,35.8,86.3,41.4,5.7,16.6,34.2,17.9,23.3,77.1,14.7,33.2,47.8,19.8,8.2,6.3,14.9,22.7,NBA Team Postseason Stats 2003-04
12,New York Knicks,4,96.8,34.3,72.0,47.6,4.3,15.8,27.0,24.0,32.3,74.4,9.3,34.3,43.5,22.3,9.5,5.0,19.0,22.5,NBA Team Postseason Stats 2003-04
13,Memphis Grizzlies,4,97.5,36.5,72.0,50.7,7.8,16.3,47.7,16.8,25.3,66.3,11.5,30.5,42.0,21.8,7.5,6.3,16.3,20.3,NBA Team Postseason Stats 2003-04
14,Milwaukee Bucks,5,98.2,36.8,80.0,46.0,5.4,16.8,32.1,19.2,25.2,76.2,13.0,32.2,45.2,24.0,9.6,8.0,14.0,20.6,NBA Team Postseason Stats 2003-04
15,Dallas Mavericks,5,98.2,37.2,84.2,44.2,6.6,18.0,36.7,17.2,24.2,71.1,12.6,35.2,47.8,22.2,10.0,4.6,16.4,21.8,NBA Team Postseason Stats 2003-04
16,Boston Celtics,4,101.3,38.8,84.5,45.9,7.3,18.5,39.2,16.5,22.8,72.5,12.3,30.8,43.0,23.0,12.8,6.0,12.8,22.8,NBA Team Postseason Stats 2003-04
