Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Detroit Pistons,17,89.1,32.9,76.0,43.3,3.9,12.0,32.8,19.2,24.9,77.3,11.8,31.4,43.2,17.6,6.5,3.8,15.1,27.2,NBA Team Postseason Stats 2002-03
2,San Antonio Spurs,24,89.3,33.0,81.6,40.4,5.8,17.5,33.1,17.6,22.6,77.7,12.1,30.2,42.3,16.7,7.3,5.7,14.9,25.7,NBA Team Postseason Stats 2002-03
3,New Jersey Nets,20,90.3,32.7,76.5,42.7,5.6,16.1,34.8,19.3,26.2,73.7,9.6,30.3,39.8,19.2,7.9,6.4,15.3,24.0,NBA Team Postseason Stats 2002-03
4,Phoenix Suns,6,90.5,31.0,76.8,40.3,5.3,17.7,30.2,23.2,33.2,69.8,14.3,34.7,49.0,22.3,7.5,6.8,18.5,21.0,NBA Team Postseason Stats 2002-03
5,Philadelphia 76ers,12,91.3,31.8,75.2,42.3,7.4,20.2,36.8,20.2,26.9,74.9,11.4,26.6,38.0,18.8,7.8,5.4,13.9,24.8,NBA Team Postseason Stats 2002-03
6,New Orleans Hornets,6,94.5,33.5,75.7,44.3,4.3,12.3,35.1,23.2,28.3,81.8,12.3,26.8,39.2,19.7,7.8,2.3,14.3,22.8,NBA Team Postseason Stats 2002-03
7,Orlando Magic,7,94.9,32.0,75.7,42.3,6.0,19.1,31.3,24.9,33.6,74.0,12.6,30.0,42.6,18.6,8.4,5.4,13.6,24.0,NBA Team Postseason Stats 2002-03
8,Boston Celtics,10,95.2,32.4,78.8,41.1,5.9,16.7,35.3,24.5,31.8,77.0,11.8,33.5,45.3,22.1,7.9,4.3,15.1,23.5,NBA Team Postseason Stats 2002-03
9,Indiana Pacers,6,96.8,33.8,78.5,43.1,9.5,24.8,38.3,19.7,24.5,80.3,8.8,31.7,40.5,20.2,7.7,4.0,12.5,25.3,NBA Team Postseason Stats 2002-03
10,Los Angeles Lakers,12,100.0,37.3,79.9,46.7,5.3,13.2,39.9,20.1,26.3,76.3,9.7,31.9,41.6,21.0,7.3,3.8,13.8,23.5,NBA Team Postseason Stats 2002-03
11,Portland Trail Blazers,7,100.3,36.9,80.7,45.7,8.1,20.0,40.7,18.4,21.7,84.9,11.1,26.3,37.4,20.3,6.3,4.3,11.3,23.7,NBA Team Postseason Stats 2002-03
12,Milwaukee Bucks,6,102.2,36.5,79.0,46.2,5.0,14.3,34.9,24.2,31.3,77.1,14.3,31.3,45.7,24.3,5.2,3.2,16.0,26.5,NBA Team Postseason Stats 2002-03
13,Utah Jazz,5,103.6,38.0,79.4,47.9,6.0,14.2,42.3,21.6,28.2,76.6,13.4,25.6,39.0,21.2,8.8,5.8,13.6,24.2,NBA Team Postseason Stats 2002-03
14,Dallas Mavericks,20,104.7,37.3,82.2,45.4,6.6,19.0,34.8,23.5,31.2,75.3,13.0,33.4,46.4,23.1,6.9,4.5,13.7,22.1,NBA Team Postseason Stats 2002-03
15,Sacramento Kings,12,105.6,39.8,87.5,45.5,7.0,18.4,38.0,18.9,24.6,76.9,13.1,30.9,44.0,21.9,6.2,5.6,14.3,24.3,NBA Team Postseason Stats 2002-03
16,Minnesota Timberwolves,6,106.8,40.0,88.5,45.2,8.2,22.2,36.8,18.7,27.0,69.1,13.7,30.3,44.0,26.0,8.5,5.7,12.0,24.0,NBA Team Postseason Stats 2002-03
