Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,San Antonio Spurs,10,9.0,3.8,1.2,3.9,1.9,-1.0,12.0,-0.5,-1.3,2.4,-4.6,0.5,-4.1,3.1,2.1,2.3,-3.4,-1.6,NBA Team Postseason Stats 2015-16
2,Cleveland Cavaliers,21,8.6,3.0,2.1,2.4,1.8,0.5,5.3,0.8,1.2,-0.4,2.0,3.2,5.2,0.6,1.4,-0.2,-0.4,-1.3,NBA Team Postseason Stats 2015-16
3,Oklahoma City Thunder,18,5.2,0.2,-0.6,0.6,-0.7,0.6,-3.8,5.4,5.3,5.6,3.1,4.6,7.8,-0.8,-0.4,1.3,1.5,-0.8,NBA Team Postseason Stats 2015-16
4,Golden State Warriors,24,4.3,1.6,-1.2,2.5,3.5,5.3,5.4,-2.5,-3.7,0.6,-1.9,-0.6,-2.6,4.6,-0.5,0.2,-0.8,-0.1,NBA Team Postseason Stats 2015-16
5,Miami Heat,14,3.1,2.8,-1.4,4.2,0.9,0.5,3.8,-3.5,-4.1,-1.2,0.5,4.7,5.3,2.1,-1.6,2.5,2.2,1.6,NBA Team Postseason Stats 2015-16
6,Indiana Pacers,7,1.4,0.5,-7.5,4.7,1.0,-4.0,10.0,-0.7,-2.7,5.6,-5.5,0.4,-5.1,2.0,0.0,1.0,0.5,0.5,NBA Team Postseason Stats 2015-16
7,LA Clippers,6,1.0,1.8,-1.3,2.7,-4.3,-10.1,-4.6,1.6,6.3,-9.9,-2.6,-2.0,-4.6,-3.1,2.8,1.1,-3.5,-3.3,NBA Team Postseason Stats 2015-16
8,Atlanta Hawks,10,-1.0,0.2,-3.2,1.7,-2.3,-2.3,-4.4,0.9,-0.5,6.1,-2.9,1.2,-1.6,-0.2,0.5,2.0,0.3,-0.6,NBA Team Postseason Stats 2015-16
9,Portland Trail Blazers,11,-2.5,-2.6,1.9,-3.9,3.0,6.4,2.1,-0.2,-1.6,3.4,1.6,-0.8,0.8,0.0,-1.5,-2.0,2.0,1.6,NBA Team Postseason Stats 2015-16
10,Toronto Raptors,20,-4.2,-1.3,4.1,-4.0,-1.3,0.5,-6.4,-0.2,1.4,-5.7,2.1,-2.6,-0.6,-1.8,0.3,-1.1,-0.8,1.4,NBA Team Postseason Stats 2015-16
11,Boston Celtics,6,-6.6,-2.6,2.3,-4.0,-1.1,-0.5,-3.2,-0.1,-0.3,0.4,2.1,-3.6,-1.5,-1.6,-1.6,-2.1,-0.1,2.0,NBA Team Postseason Stats 2015-16
12,Detroit Pistons,4,-8.5,-2.5,-8.2,1.7,-5.5,-11.2,-3.6,2.0,5.2,-8.3,-3.0,-0.2,-3.2,-0.2,-0.5,0.7,2.0,-1.2,NBA Team Postseason Stats 2015-16
13,Charlotte Hornets,7,-8.8,-6.0,-0.8,-6.9,-2.5,-1.8,-9.7,5.7,4.2,10.2,-2.2,-8.0,-10.2,-5.5,1.5,-3.8,-2.7,-4.1,NBA Team Postseason Stats 2015-16
14,Dallas Mavericks,5,-18.2,-4.0,-1.5,-3.9,-3.9,-6.6,-7.4,-6.1,-5.1,-8.8,-4.4,-7.8,-12.2,-0.7,-1.5,-2.1,-1.1,1.6,NBA Team Postseason Stats 2015-16
15,Houston Rockets,5,-18.7,-7.7,1.1,-9.7,-4.0,-0.4,-13.5,0.8,2.1,-2.4,4.6,-0.7,3.7,-10.8,-0.7,-1.2,4.8,3.4,NBA Team Postseason Stats 2015-16
16,Memphis Grizzlies,4,-22.0,-5.0,5.0,-9.1,-5.5,-5.7,-17.4,-6.5,-5.2,-12.4,5.7,-6.7,-1.0,-5.0,-2.0,-5.2,1.7,4.0,NBA Team Postseason Stats 2015-16
