Rank,Team Name,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Title
1,Golden State Warriors,82,10.0,4.6,0.6,4.9,3.5,5.6,6.1,-2.6,-3.6,0.5,-1.3,1.5,0.1,6.4,1.0,2.4,-1.4,1.0,NBA Team Regular Season Stats 2014-15
2,LA Clippers,82,6.5,2.9,1.0,3.0,1.7,2.9,2.6,-1.1,-0.4,-3.0,-1.0,0.7,-0.2,1.5,1.1,2.0,-1.7,-0.2,NBA Team Regular Season Stats 2014-15
3,San Antonio Spurs,82,6.1,2.0,0.0,2.4,1.4,3.6,0.6,0.7,0.0,3.4,0.0,1.5,1.4,3.6,0.1,1.0,0.0,-0.5,NBA Team Regular Season Stats 2014-15
4,Atlanta Hawks,82,5.4,1.5,-1.4,2.7,1.1,0.4,3.9,1.0,1.0,1.3,-2.8,-0.2,-3.0,2.1,1.7,-0.2,-1.9,-1.8,NBA Team Regular Season Stats 2014-15
5,Cleveland Cavaliers,82,4.4,-0.3,-1.3,0.2,2.3,4.9,2.3,2.9,3.7,0.6,0.3,1.5,1.8,-1.9,-0.4,-0.3,0.9,-2.1,NBA Team Regular Season Stats 2014-15
6,Portland Trail Blazers,82,4.2,0.5,-0.9,1.0,3.4,8.2,2.4,-0.3,-1.5,4.2,-0.2,1.5,1.2,1.5,-1.5,0.9,1.6,-0.4,NBA Team Regular Season Stats 2014-15
7,Houston Rockets,82,3.4,-0.7,-1.8,0.1,4.0,9.7,2.6,0.9,2.4,-3.6,-0.1,0.0,-0.1,0.8,0.6,-0.3,0.4,0.8,NBA Team Regular Season Stats 2014-15
8,Memphis Grizzlies,82,3.2,1.7,0.9,1.5,-2.9,-7.8,-1.1,2.6,2.6,3.1,0.0,0.2,0.1,1.5,1.1,-0.9,-1.6,-1.1,NBA Team Regular Season Stats 2014-15
9,Toronto Raptors,82,3.0,0.0,0.5,-0.3,1.1,2.8,0.6,2.1,1.1,5.3,-0.5,-0.4,-0.9,-2.0,0.5,-0.6,-1.5,0.5,NBA Team Regular Season Stats 2014-15
10,Chicago Bulls,82,3.0,-1.1,-3.8,0.6,1.3,2.6,1.8,3.9,4.1,3.3,0.0,2.3,2.3,1.5,-1.2,0.4,1.5,-2.9,NBA Team Regular Season Stats 2014-15
11,Dallas Mavericks,82,2.9,1.6,1.2,1.2,-0.1,0.5,-1.2,-0.3,-0.4,-0.1,-1.8,-2.0,-3.8,0.1,0.7,0.6,-2.9,-2.0,NBA Team Regular Season Stats 2014-15
12,Oklahoma City Thunder,82,2.1,1.2,1.3,0.7,-0.5,-1.4,-0.4,0.3,0.1,0.9,1.6,3.1,4.7,-1.6,-0.5,0.9,1.1,1.8,NBA Team Regular Season Stats 2014-15
13,New Orleans Pelicans,82,0.7,0.0,-0.2,0.1,0.5,-0.2,3.5,0.1,0.4,-0.7,0.8,1.0,1.9,1.2,0.0,0.4,0.8,0.0,NBA Team Regular Season Stats 2014-15
14,Washington Wizards,82,0.7,2.1,-0.6,2.9,-1.9,-6.1,1.1,-1.5,-2.2,0.3,0.5,2.4,2.9,4.0,-0.6,0.3,1.0,1.1,NBA Team Regular Season Stats 2014-15
15,Milwaukee Bucks,82,0.4,2.0,0.5,2.2,-1.5,-5.7,2.0,-2.0,-3.1,1.5,-0.7,0.0,-0.7,1.2,0.9,0.1,-0.6,2.0,NBA Team Regular Season Stats 2014-15
16,Indiana Pacers,82,0.2,0.5,0.4,0.4,0.2,0.3,0.6,-1.1,-1.6,0.2,0.6,1.4,2.1,1.5,-1.3,-0.1,1.1,-0.1,NBA Team Regular Season Stats 2014-15
17,Utah Jazz,82,0.2,-0.4,-1.1,0.1,0.0,1.3,-1.9,1.0,2.0,-2.2,2.1,2.5,4.7,0.4,-0.6,1.3,1.6,-0.2,NBA Team Regular Season Stats 2014-15
18,Boston Celtics,82,0.1,0.8,3.2,-0.7,0.6,2.6,-0.9,-2.1,-2.8,0.0,0.2,-1.0,-0.8,2.5,1.1,-1.6,-1.3,2.3,NBA Team Regular Season Stats 2014-15
19,Phoenix Suns,82,-0.9,0.3,0.8,0.0,0.7,3.0,-1.1,-2.4,-3.2,0.1,-0.6,-1.5,-2.1,-0.9,0.5,0.5,-0.4,0.9,NBA Team Regular Season Stats 2014-15
20,Detroit Pistons,82,-1.0,-0.7,2.6,-2.3,0.8,3.0,-1.0,-0.2,1.6,-6.9,2.1,-1.3,0.7,-2.1,0.6,0.0,-0.7,-0.3,NBA Team Regular Season Stats 2014-15
21,Miami Heat,82,-2.5,-0.9,-2.3,0.1,-1.3,-2.7,-1.7,0.5,0.4,1.1,-1.7,0.0,-1.8,-1.4,0.0,0.1,-0.1,-0.9,NBA Team Regular Season Stats 2014-15
22,Brooklyn Nets,82,-2.8,-0.9,-1.3,-0.4,-1.8,-3.7,-2.6,0.9,0.8,1.6,-1.1,-0.8,-1.9,-2.7,-0.8,-0.3,0.3,-0.7,NBA Team Regular Season Stats 2014-15
23,Charlotte Hornets,82,-3.1,-1.3,0.8,-1.9,-1.8,-3.0,-3.9,1.2,2.3,-2.4,1.1,-1.1,0.0,-1.9,0.0,0.0,-0.8,-2.6,NBA Team Regular Season Stats 2014-15
24,Denver Nuggets,82,-3.5,-0.7,3.0,-2.5,0.3,2.5,-2.1,-2.3,-2.6,-1.3,1.3,-1.7,-0.3,-1.2,0.3,-1.6,0.1,2.2,NBA Team Regular Season Stats 2014-15
25,Sacramento Kings,82,-3.7,-2.7,-5.8,-0.1,-3.1,-8.5,-0.7,4.9,6.1,1.3,0.0,3.0,3.0,-2.9,-1.9,-2.2,3.0,-3.1,NBA Team Regular Season Stats 2014-15
26,Orlando Magic,82,-5.7,-0.4,0.8,-1.0,-1.5,-3.1,-2.1,-3.2,-3.8,-2.1,0.0,-1.6,-1.6,-2.7,0.1,-1.5,0.4,3.0,NBA Team Regular Season Stats 2014-15
27,Los Angeles Lakers,82,-6.8,-1.5,2.4,-3.1,-2.0,-4.5,-1.8,-1.7,-2.2,-0.4,1.5,-1.8,-0.2,-3.0,-0.4,-0.3,0.2,1.8,NBA Team Regular Season Stats 2014-15
28,Minnesota Timberwolves,82,-8.7,-4.7,-1.3,-4.8,-3.5,-8.2,-3.5,4.1,4.9,1.6,0.0,-2.5,-2.6,-1.9,-0.2,-1.4,-0.3,-2.1,NBA Team Regular Season Stats 2014-15
29,Philadelphia 76ers,82,-8.9,-3.4,0.0,-4.0,0.4,3.4,-2.9,-2.5,-0.8,-8.0,0.4,-3.8,-3.4,-3.1,0.1,0.4,0.9,1.4,NBA Team Regular Season Stats 2014-15
30,New York Knicks,82,-9.3,-1.8,1.6,-3.1,-1.6,-2.5,-3.3,-4.0,-5.5,0.9,-0.3,-2.7,-3.1,-0.4,-1.0,0.3,0.3,2.4,NBA Team Regular Season Stats 2014-15
