Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Chicago Bulls,2,0,1.000,-,1-0,1-0,2-0,2-0,94.0,85.5,+8.5,W2,2-0,NBA Standings Pre Season 2011-12
Minnesota Timberwolves,2,0,1.000,-,1-0,1-0,0-0,0-0,101.0,90.0,+11.0,W2,2-0,NBA Standings Pre Season 2011-12
ew Orleans Hornets,2,0,1.000,-,1-0,1-0,2-0,2-0,96.0,85.0,+11.0,W2,2-0,NBA Standings Pre Season 2011-12
Philadelphia 76ers,2,0,1.000,-,1-0,1-0,0-0,2-0,102.0,86.0,+16.0,W2,2-0,NBA Standings Pre Season 2011-12
Boston Celtics,2,0,1.000,-,1-0,1-0,2-0,2-0,78.5,74.0,+4.5,W2,2-0,NBA Standings Pre Season 2011-12
LA Clippers,2,0,1.000,-,1-0,1-0,2-0,2-0,111.0,99.0,+12.0,W2,2-0,NBA Standings Pre Season 2011-12
Denver Nuggets,2,0,1.000,-,1-0,1-0,0-0,2-0,118.5,97.5,+21.0,W2,2-0,NBA Standings Pre Season 2011-12
ew York Knicks,2,0,1.000,-,1-0,1-0,2-0,2-0,90.0,82.5,+7.5,W2,2-0,NBA Standings Pre Season 2011-12
Oklahoma City Thunder,2,0,1.000,-,1-0,1-0,0-0,2-0,96.5,87.5,+9.0,W2,2-0,NBA Standings Pre Season 2011-12
Orlando Magic,1,1,.500,1,1-0,0-1,1-1,1-1,94.5,109.0,-14.5,W1,1-1,NBA Standings Pre Season 2011-12
Detroit Pistons,1,1,.500,1,0-1,1-0,1-1,1-1,88.5,90.0,-1.5,W1,1-1,NBA Standings Pre Season 2011-12
Portland Trail Blazers,1,1,.500,1,1-0,0-1,1-1,1-1,99.5,91.0,+8.5,L1,1-1,NBA Standings Pre Season 2011-12
Miami Heat,1,1,.500,1,1-0,0-1,1-1,1-1,109.0,94.5,+14.5,L1,1-1,NBA Standings Pre Season 2011-12
Sacramento Kings,1,1,.500,1,1-0,0-1,1-1,1-1,95.5,99.0,-3.5,W1,1-1,NBA Standings Pre Season 2011-12
an Antonio Spurs,1,1,.500,1,1-0,0-1,1-1,1-1,92.0,98.0,-6.0,W1,1-1,NBA Standings Pre Season 2011-12
Charlotte Bobcats,1,1,.500,1,1-0,0-1,1-1,1-1,77.0,84.5,-7.5,L1,1-1,NBA Standings Pre Season 2011-12
Atlanta Hawks,1,1,.500,1,1-0,0-1,1-1,1-1,84.5,77.0,+7.5,W1,1-1,NBA Standings Pre Season 2011-12
Houston Rockets,1,1,.500,1,1-0,0-1,1-1,1-1,98.0,92.0,+6.0,L1,1-1,NBA Standings Pre Season 2011-12
Cleveland Cavaliers,1,1,.500,1,0-1,1-0,1-1,1-1,90.0,88.5,+1.5,L1,1-1,NBA Standings Pre Season 2011-12
olden State Warriors,1,1,.500,1,1-0,0-1,1-1,1-1,99.0,95.5,+3.5,L1,1-1,NBA Standings Pre Season 2011-12
HUtah Jazz,1,1,.500,1,1-0,0-1,1-1,1-1,91.0,99.5,-8.5,W1,1-1,NBA Standings Pre Season 2011-12
ew Jersey Nets,0,2,.000,2,0-1,0-1,0-2,0-2,82.5,90.0,-7.5,L2,0-2,NBA Standings Pre Season 2011-12
Washington Wizards,0,2,.000,2,0-1,0-1,0-0,0-2,86.0,102.0,-16.0,L2,0-2,NBA Standings Pre Season 2011-12
Memphis Grizzlies,0,2,.000,2,0-1,0-1,0-2,0-2,85.0,96.0,-11.0,L2,0-2,NBA Standings Pre Season 2011-12
Dallas Mavericks,0,2,.000,2,0-1,0-1,0-0,0-2,87.5,96.5,-9.0,L2,0-2,NBA Standings Pre Season 2011-12
Indiana Pacers,0,2,.000,2,0-1,0-1,0-2,0-2,85.5,94.0,-8.5,L2,0-2,NBA Standings Pre Season 2011-12
Los Angeles Lakers,0,2,.000,2,0-1,0-1,0-2,0-2,99.0,111.0,-12.0,L2,0-2,NBA Standings Pre Season 2011-12
Toronto Raptors,0,2,.000,2,0-1,0-1,0-2,0-2,74.0,78.5,-4.5,L2,0-2,NBA Standings Pre Season 2011-12
Milwaukee Bucks,0,2,.000,2,0-1,0-1,0-0,0-0,90.0,101.0,-11.0,L2,0-2,NBA Standings Pre Season 2011-12
Phoenix Suns,0,2,.000,2,0-1,0-1,0-0,0-2,97.5,118.5,-21.0,L2,0-2,NBA Standings Pre Season 2011-12
