Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Memphis Grizzlies,8,0,1.000,-,4-0,4-0,2-0,3-0,102.3,94.8,+7.5,W8,8-0,NBA Standings Pre Season 2010-11
HUtah Jazz,8,0,1.000,-,3-0,5-0,2-0,8-0,98.5,90.4,+8.1,W8,8-0,NBA Standings Pre Season 2010-11
Orlando Magic,7,0,1.000,0.5,4-0,3-0,2-0,4-0,102.7,77.7,+25.0,W7,7-0,NBA Standings Pre Season 2010-11
Boston Celtics,7,1,.875,1,4-0,3-1,7-1,7-1,99.6,92.0,+7.6,W4,7-1,NBA Standings Pre Season 2010-11
Cleveland Cavaliers,6,2,.750,2,4-2,2-0,1-0,3-1,92.6,85.4,+7.2,W2,6-2,NBA Standings Pre Season 2010-11
Minnesota Timberwolves,6,2,.750,2,5-1,1-1,1-0,2-0,110.1,105.1,+5.0,W1,6-2,NBA Standings Pre Season 2010-11
Denver Nuggets,5,3,.625,3,3-0,2-3,2-2,5-3,109.6,104.1,+5.5,W1,5-3,NBA Standings Pre Season 2010-11
Oklahoma City Thunder,4,3,.571,3.5,2-1,2-2,0-1,2-2,101.9,102.7,-0.8,W1,4-3,NBA Standings Pre Season 2010-11
an Antonio Spurs,4,3,.571,3.5,3-1,1-2,1-1,2-2,96.9,95.3,+1.6,W1,4-3,NBA Standings Pre Season 2010-11
Chicago Bulls,4,4,.500,4,3-1,1-3,1-1,4-2,95.8,94.6,+1.2,W2,4-4,NBA Standings Pre Season 2010-11
Los Angeles Lakers,4,4,.500,4,4-2,0-2,3-0,4-3,96.6,96.9,-0.3,W2,4-4,NBA Standings Pre Season 2010-11
Toronto Raptors,4,4,.500,4,3-2,1-2,2-2,2-4,108.6,103.0,+5.6,W1,4-4,NBA Standings Pre Season 2010-11
Charlotte Bobcats,4,4,.500,4,3-1,1-3,2-1,3-3,89.9,88.8,+1.1,W4,4-4,NBA Standings Pre Season 2010-11
Dallas Mavericks,4,4,.500,4,2-2,2-2,1-0,1-1,91.8,95.1,-3.3,W1,4-4,NBA Standings Pre Season 2010-11
Houston Rockets,4,4,.500,4,3-2,1-2,1-2,1-2,97.8,93.6,+4.2,L2,4-4,NBA Standings Pre Season 2010-11
Miami Heat,3,4,.429,4.5,3-1,0-3,0-2,1-2,91.1,92.9,-1.8,L3,3-4,NBA Standings Pre Season 2010-11
Indiana Pacers,3,4,.429,4.5,2-1,1-3,0-1,0-2,94.9,102.3,-7.4,L1,3-4,NBA Standings Pre Season 2010-11
Washington Wizards,3,4,.429,4.5,1-1,2-3,1-0,2-4,95.3,94.6,+0.7,L3,3-4,NBA Standings Pre Season 2010-11
Portland Trail Blazers,3,4,.429,4.5,3-1,0-3,1-3,3-4,99.4,98.9,+0.5,W1,3-4,NBA Standings Pre Season 2010-11
Sacramento Kings,3,4,.429,4.5,2-1,1-3,3-3,3-4,94.4,97.3,-2.9,L1,3-4,NBA Standings Pre Season 2010-11
ew York Knicks,3,5,.375,5,2-1,1-4,1-4,2-4,101.6,105.9,-4.3,L2,3-5,NBA Standings Pre Season 2010-11
Detroit Pistons,3,5,.375,5,3-2,0-3,1-0,3-2,97.1,99.4,-2.3,L1,3-5,NBA Standings Pre Season 2010-11
olden State Warriors,3,5,.375,5,3-0,0-5,2-4,3-5,101.5,100.3,+1.2,L3,3-5,NBA Standings Pre Season 2010-11
Milwaukee Bucks,3,5,.375,5,2-1,1-4,1-2,3-2,95.6,96.4,-0.8,L4,3-5,NBA Standings Pre Season 2010-11
ew Jersey Nets,3,5,.375,5,2-2,1-3,2-3,2-3,95.3,95.1,+0.2,L4,3-5,NBA Standings Pre Season 2010-11
Philadelphia 76ers,2,5,.286,5.5,2-1,0-4,2-4,2-5,97.4,99.9,-2.5,W1,2-5,NBA Standings Pre Season 2010-11
Atlanta Hawks,2,5,.286,5.5,1-2,1-3,1-3,1-4,87.0,97.1,-10.1,L1,2-5,NBA Standings Pre Season 2010-11
Phoenix Suns,2,6,.250,6,2-3,0-3,1-1,2-4,95.8,111.6,-15.8,L1,2-6,NBA Standings Pre Season 2010-11
ew Orleans Hornets,1,7,.125,7,1-2,0-5,0-2,0-3,88.5,99.4,-10.9,L5,1-7,NBA Standings Pre Season 2010-11
LA Clippers,1,7,.125,7,0-4,1-3,1-2,1-7,97.0,104.6,-7.6,L6,1-7,NBA Standings Pre Season 2010-11
