Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
ew Orleans Hornets,7,0,1.000,-,4-0,3-0,1-0,2-0,99.9,84.9,+15.0,W7,7-0,NBA Standings Pre Season 2008-09
Orlando Magic,6,1,.857,1,3-1,3-0,4-1,4-1,102.4,90.4,+12.0,W6,6-1,NBA Standings Pre Season 2008-09
Denver Nuggets,6,1,.857,1,3-0,3-1,2-1,5-1,103.9,96.3,+7.6,W2,6-1,NBA Standings Pre Season 2008-09
Boston Celtics,6,2,.750,1.5,3-1,3-1,3-2,5-2,95.0,91.9,+3.1,W2,6-2,NBA Standings Pre Season 2008-09
Detroit Pistons,6,2,.750,1.5,3-2,3-0,3-0,5-1,87.1,82.1,+5.0,L1,6-2,NBA Standings Pre Season 2008-09
Los Angeles Lakers,6,2,.750,1.5,6-2,0-0,1-1,2-2,97.4,94.6,+2.8,W6,6-2,NBA Standings Pre Season 2008-09
Minnesota Timberwolves,6,2,.750,1.5,3-1,3-1,2-1,2-1,95.9,89.9,+6.0,W1,6-2,NBA Standings Pre Season 2008-09
Houston Rockets,5,2,.714,2,3-1,2-1,3-0,5-1,97.1,93.6,+3.5,W3,5-2,NBA Standings Pre Season 2008-09
olden State Warriors,4,2,.667,2.5,3-0,1-2,0-0,2-1,110.7,102.5,+8.2,W2,4-2,NBA Standings Pre Season 2008-09
Atlanta Hawks,5,3,.625,2.5,1-2,4-1,3-1,4-1,97.4,97.5,-0.1,W1,5-3,NBA Standings Pre Season 2008-09
Phoenix Suns,5,3,.625,2.5,2-2,3-1,1-0,3-2,94.5,91.3,+3.2,W3,5-3,NBA Standings Pre Season 2008-09
Philadelphia 76ers,4,3,.571,3,1-2,3-1,4-1,4-3,99.6,97.3,+2.3,W1,4-3,NBA Standings Pre Season 2008-09
HUtah Jazz,4,3,.571,3,1-1,3-2,2-1,3-2,99.0,94.7,+4.3,W2,4-3,NBA Standings Pre Season 2008-09
Portland Trail Blazers,4,3,.571,3,2-2,2-1,0-2,3-3,96.4,91.0,+5.4,L1,4-3,NBA Standings Pre Season 2008-09
Indiana Pacers,4,4,.500,3.5,3-1,1-3,1-0,1-0,98.5,97.5,+1.0,W1,4-4,NBA Standings Pre Season 2008-09
Toronto Raptors,4,4,.500,3.5,2-3,2-1,1-1,2-1,93.0,94.3,-1.3,L2,4-4,NBA Standings Pre Season 2008-09
Chicago Bulls,4,4,.500,3.5,2-3,2-1,1-1,1-1,97.1,98.1,-1.0,W3,4-4,NBA Standings Pre Season 2008-09
Dallas Mavericks,4,4,.500,3.5,2-2,2-2,0-0,1-0,102.1,97.5,+4.6,L2,4-4,NBA Standings Pre Season 2008-09
LA Clippers,4,4,.500,3.5,0-4,4-0,2-1,3-3,94.0,95.1,-1.1,L3,4-4,NBA Standings Pre Season 2008-09
ew York Knicks,3,4,.429,4,0-3,3-1,3-4,3-4,106.9,106.9,0.0,L2,3-4,NBA Standings Pre Season 2008-09
ew Jersey Nets,3,4,.429,4,1-3,2-1,1-4,3-4,97.9,103.7,-5.8,W1,3-4,NBA Standings Pre Season 2008-09
an Antonio Spurs,3,4,.429,4,1-3,2-1,0-2,0-2,90.4,86.0,+4.4,L2,3-4,NBA Standings Pre Season 2008-09
Cleveland Cavaliers,3,5,.375,4.5,2-3,1-2,0-1,3-4,88.9,91.8,-2.9,W1,3-5,NBA Standings Pre Season 2008-09
Washington Wizards,2,5,.286,5,0-2,2-3,0-0,0-2,81.9,94.4,-12.5,L1,2-5,NBA Standings Pre Season 2008-09
Miami Heat,2,5,.286,5,1-3,1-2,0-1,0-4,93.0,95.3,-2.3,W1,2-5,NBA Standings Pre Season 2008-09
Memphis Grizzlies,2,6,.250,5.5,2-2,0-4,0-2,0-2,90.8,96.9,-6.1,L4,2-6,NBA Standings Pre Season 2008-09
Oklahoma City Thunder,1,6,.143,6,0-1,1-5,0-1,1-6,93.4,100.7,-7.3,L3,1-6,NBA Standings Pre Season 2008-09
Milwaukee Bucks,1,7,.125,6.5,1-3,0-4,0-3,0-3,89.3,103.5,-14.2,L3,1-7,NBA Standings Pre Season 2008-09
Sacramento Kings,1,7,.125,6.5,1-3,0-4,0-2,1-7,96.3,105.8,-9.5,L6,1-7,NBA Standings Pre Season 2008-09
Charlotte Bobcats,0,8,.000,7.5,0-2,0-6,0-4,0-4,88.6,99.4,-10.8,L8,0-8,NBA Standings Pre Season 2008-09
