Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Toronto Raptors,6,1,.857,-,5-0,1-1,1-0,4-1,102.6,94.4,+8.2,W5,6-1,NBA Standings Pre Season 2012-13
Philadelphia 76ers,6,1,.857,-,3-1,3-0,4-1,6-1,102.7,91.7,+11.0,W5,6-1,NBA Standings Pre Season 2012-13
olden State Warriors,6,2,.750,0.5,3-0,3-2,3-1,5-2,97.0,91.5,+5.5,W1,6-2,NBA Standings Pre Season 2012-13
Houston Rockets,5,2,.714,1,3-1,2-1,3-2,4-2,103.9,100.4,+3.5,W3,5-2,NBA Standings Pre Season 2012-13
Chicago Bulls,5,2,.714,1,5-1,0-1,2-1,2-1,90.4,87.1,+3.3,W4,5-2,NBA Standings Pre Season 2012-13
Minnesota Timberwolves,5,2,.714,1,4-0,1-2,0-0,0-0,92.4,80.9,+11.5,W2,5-2,NBA Standings Pre Season 2012-13
Sacramento Kings,5,2,.714,1,2-1,3-1,4-2,5-2,98.7,95.6,+3.1,W1,5-2,NBA Standings Pre Season 2012-13
LA Clippers,5,3,.625,1.5,3-2,2-1,2-0,4-2,95.1,92.3,+2.8,W3,5-3,NBA Standings Pre Season 2012-13
HUtah Jazz,5,3,.625,1.5,3-0,2-3,2-1,5-3,99.3,91.0,+8.3,W1,5-3,NBA Standings Pre Season 2012-13
Indiana Pacers,4,3,.571,2,3-0,1-3,1-1,2-2,91.0,92.0,-1.0,L1,4-3,NBA Standings Pre Season 2012-13
Oklahoma City Thunder,4,3,.571,2,4-0,0-3,1-1,3-2,99.7,95.7,+4.0,W1,4-3,NBA Standings Pre Season 2012-13
an Antonio Spurs,4,3,.571,2,3-1,1-2,1-0,1-1,102.1,96.1,+6.0,W1,4-3,NBA Standings Pre Season 2012-13
Phoenix Suns,4,3,.571,2,3-0,1-3,1-2,4-3,97.1,94.7,+2.4,W1,4-3,NBA Standings Pre Season 2012-13
Miami Heat,4,4,.500,2.5,2-3,2-1,1-2,2-2,94.0,92.4,+1.6,L2,4-4,NBA Standings Pre Season 2012-13
Detroit Pistons,4,4,.500,2.5,4-0,0-4,0-1,4-3,90.3,92.9,-2.6,W1,4-4,NBA Standings Pre Season 2012-13
Dallas Mavericks,4,4,.500,2.5,3-1,1-3,2-0,2-2,93.4,92.6,+0.8,W1,4-4,NBA Standings Pre Season 2012-13
ew Orleans Hornets,4,4,.500,2.5,2-1,2-3,0-3,0-3,84.4,89.3,-4.9,W1,4-4,NBA Standings Pre Season 2012-13
Memphis Grizzlies,4,4,.500,2.5,3-1,1-3,0-1,0-1,100.4,99.1,+1.3,L1,4-4,NBA Standings Pre Season 2012-13
ew York Knicks,3,3,.500,2.5,0-0,3-3,2-3,3-3,96.5,100.8,-4.3,W1,3-3,NBA Standings Pre Season 2012-13
Brooklyn Nets,3,3,.500,2.5,1-3,2-0,2-3,3-3,96.5,101.2,-4.7,L3,3-3,NBA Standings Pre Season 2012-13
Atlanta Hawks,3,4,.429,3,3-0,0-4,1-0,1-2,98.0,94.0,+4.0,L1,3-4,NBA Standings Pre Season 2012-13
Cleveland Cavaliers,3,4,.429,3,2-3,1-1,1-2,2-4,92.4,98.3,-5.9,L2,3-4,NBA Standings Pre Season 2012-13
Portland Trail Blazers,3,4,.429,3,2-1,1-3,2-1,3-4,98.7,98.3,+0.4,L1,3-4,NBA Standings Pre Season 2012-13
Denver Nuggets,3,4,.429,3,1-1,2-3,0-2,3-4,93.4,98.9,-5.5,L4,3-4,NBA Standings Pre Season 2012-13
Washington Wizards,3,5,.375,3.5,0-1,3-4,1-1,3-4,95.6,99.1,-3.5,L1,3-5,NBA Standings Pre Season 2012-13
Boston Celtics,3,5,.375,3.5,1-3,2-2,2-4,2-4,95.6,93.1,+2.5,L1,3-5,NBA Standings Pre Season 2012-13
Milwaukee Bucks,3,5,.375,3.5,1-3,2-2,2-1,3-3,94.8,95.5,-0.7,L1,3-5,NBA Standings Pre Season 2012-13
Orlando Magic,2,6,.250,4.5,2-2,0-4,0-0,1-3,97.5,104.0,-6.5,L2,2-6,NBA Standings Pre Season 2012-13
Charlotte Bobcats,1,7,.125,5.5,1-3,0-4,1-1,1-3,88.9,97.1,-8.2,L7,1-7,NBA Standings Pre Season 2012-13
Los Angeles Lakers,0,8,.000,6.5,0-7,0-1,0-5,0-8,85.9,101.1,-15.2,L8,0-8,NBA Standings Pre Season 2012-13
